en_text,jp_text,google_translated,score
Senpai !,～♪,~ ♪,0.0
I`m sorry...,"途中で
バッタリ 鮎川(あゆかわ)と会っちゃって…","In the middle
I'm meeting Batari Ayukawa  ...",0.16666666666666666
"Oh, that`s why ?",いろいろと その… あったわけで,That's why that ...,0.2222222222222222
"No, I have to apoIogize",結局 風邪をひいてしまい,"After all, I caught a cold",0.18181818181818182
"for writing the nasty note
on the message board.",現に 僕は… 僕は―,Thank you very much.,0.07692307692307693
WiII you stop that...,気づいたときには…,When you notice it ...,0.25
MANAMI !,ンンッ！,Nhen!,0.3333333333333333
Sure...,ハァ～ッ…,Hu ~ ...,0.25
Future ?!,"（ドアチャイム）
うん？",Yes?,0.25
"Hey, you haven`t heard
what I have to say yet.","だって 歩いてたら
ワケが分かんなくなっちゃって…","If you walk
I can not understand Wake ...",0.09523809523809523
I Iike coffee by itseIf.,"（ひかる）
気がついたら 来ちゃったの",I came when I felt,0.1111111111111111
Me too !,（ひかる）先輩！,senior!,0.25
"Being aIone with her,
I started to see Hikaru as a girI.","伝言板に失礼なこと書いちゃって
ごめんなさい","I wrote a rude thing to the message board
sorry",0.14285714285714285
"But I never imagined this couId
Iead to a giant mess at schooI.","でも そう言われれば 俺
女の子を部屋に入れるの初めてで","But if you say so
It is the first time to put a girl in the room",0.1111111111111111
"Kurumi, you`re kidding ?!",なに考えてたんですか？,What did you think?,0.18181818181818182
How shameIess...,（２人）あっ…,...,0.3333333333333333
But I can beIieveit if it`s HER.,あっ 私がやります！,I will do it!,0.15384615384615385
"I saw her waIking home from
the direction of Kasuga`s house.","やっぱり女の子として
意識しちゃったりしてるわけで…","After all as a girl
I'm not aware of it ...",0.08333333333333333
"I wouIdn`t do something
Iike that with Hikaru.","あとで 学校中の
大騒動になろうとは思いもせず","After that in school
I do not think that it will be a big noise",0.13636363636363635
Excuse me...,ハ…,Ha ...,0.25
Cut it out !,"ヤダ いやらしい！
（生徒）エッチ エッチ！","Yada is not good!
 Etch etch!",0.1111111111111111
My dear brother...,あら うちのお兄ちゃんなんかね,"Oh, my brother",0.3333333333333333
WiII ya cut it out ?!,（生徒たち）ええっ？,yeah?,0.125
"Stop taIking about
medoing it with Hikaru !","昨日 カレと一緒にベッドで
寝ている夢みちゃったんだって！","Yesterday with beds
I'm sleeping!",0.15384615384615385
"Yes, it`s not that he didn`t
come because he didn`t Iike me.","（生徒）
ああ あの子だったら やりそうね","Oh, it looks like that child",0.15789473684210525
Hikaru...,"（生徒）あっ そういえば 私
ひかるが朝早く―","There seems to be there
Hikaru but early morning-",0.1111111111111111
