en_text,jp_text,google_translated,score
See you tomorrow.,バイバイ　また明日ね,Bye bye again tomorrow,0.16666666666666666
Fine. I'll bring it. who cares if he does?,いいじゃねぇか　タメ口でも,It's okay or Tame mouth,0.058823529411764705
"Okay, see you then.",うん　じゃね,It's not good,0.0
"He said he'll be in big trouble if he doesn't turn his in today,",今日こそノート提出しないと大変だから,It is difficult if you do not submit a note today,0.08695652173913043
so he asked me to bring it to him at school.,学校まで持ってきてって,I brought it to school,0.23076923076923078
Younger brother?,弟　春ちゃん弟いんの？！,My younger brother Spring-chan brother?!,0.5
"I have two older sisters, too...",あ　あと上に姉が二人いるんですけど,"Oh, there are two sisters above",0.25
What? I totally thought your family was all women...,えーー　俺絶対女系だと思ってた,Eh I thought I was absolutely a woman,0.2
It certainly seems that way to his brother.,まぁ　その弟にとっては女系みたいなもんだけどね,"Well, for my brother, it seems like a woman system",0.17647058823529413
"So, I have to make a trip to the middle school today.",なので　今日僕中学校寄ってかないと,So I can not stop my junior high school today,0.21052631578947367
"Sorry, guys. I'm off.",すみません　お先に,Excuse me,0.0
I'd like to see my old school again.,じゃ俺も行くよ　久々に中学覗いてみたいし,Well then I will go to junior high school after a long time,0.15
"All right! I'm coming, too!",はいはい　俺も俺も,Yes Yes I also also,0.1
I wanna see the middle school you guys attended!,俺もみんなが通ってた中学校見に行く,I also go to the junior high school who everyone passed,0.15789473684210525
What'll I do if he's that cute?,こんなかわゆい子だったらどうしよう,What should I do if it is such a cute child,0.3125
I could never choose!,やべえ　選べねぇよ俺,I can choose Yabe I'm me,0.2222222222222222
You don't have to choose...,選ばなくていいんだよ,You don't have to choose,0.8571428571428571
I was delighted when my brother was born.,弟ができたとき　僕はとてもうれしかった,When my younger brother was done I was very happy,0.4166666666666667
A hand smaller than my own.,僕より小さな手,Smaller than me,0.25
A smile more innocent than my own.,僕よりあどけない笑顔,Smiling smiles than me,0.09090909090909091
But now...,それが今は…,That's now ...,0.4
It's damn cold out here.,あー　外くそ寒い,"Oh, it's cold",0.3333333333333333
"Besides, don't I always tell you to turn things in ahead of—",だいたい　提出物は余裕をもって出しなさいっていつも,It is always possible to put out a lot of submissions,0.08695652173913043
"Um, this is my younger brother, Fuyuki.",えっと　この子が弟の冬樹です,This child is a younger brother's winter tree,0.2857142857142857
