en_text,jp_text,google_translated,score
Father! Mother!,父上！ 母上！,father!mother!,1.0
Let me go! Let me go!,離せ！ 離せ！,Release!Release!,0.2
"It started with the slaughter at Wan Castle,",丸城の皆殺しから始まり これまで 両軍 多くの血を流した,Starting from the Mot Circle's all of the whole troops flowed,0.05263157894736842
We finally meet.,呉慶… ようやく会えたのぅ,Keisei ... I finally met,0.125
"After learning that the era of saints had ended,",聖者の時代は終わりを告げ 人間の欲望は解放されていた,The era of the saint said end of the end of the human desire was released,0.17647058823529413
And a storm of violent wars erupted for 500 years,戦乱の嵐が 500年にわたって吹き荒れ,Arashi of the war blows over 500 years,0.2
until over one hundred states were reduced to merely seven.,100を超えた国々は ７つに淘汰された,More than 100 countries were deceived in seven,0.11764705882352941
"And now, a wind of great history gusts from the State of Qin in the far West.",そして今 西の果ての国 秦から―,And now from the Nishi National Rinstore-,0.2
This is the tumultuous tale of a nameless boy and a young king who brought the warring era to its end!,これは 戦乱の時代を生き抜いた―,This survived the time of the war-,0.13043478260869565
Presented by Anime-Destiny in a starry sky that disappeared faster than it ever has,いつもより早く消えてった星空に,To the starry sky that has disappeared earlier than usual,0.3333333333333333
the many piled up meetings we've had,重なり合った出会いは,Overlapping encounter,0.0
swallow me.,俺を呑み込んでいく,I will swallow me,0.4
This dream cannot be broken.,この夢は砕けない,This dream is not crushed,0.3333333333333333
"No one can take it away,",誰にも奪えやしない,I can not take it to anyone,0.2727272727272727
our pride that lurks in the same landscape.,同じ景色にひそんだプライド,Pride with the same scenery,0.2727272727272727
"We won't throw away our weaknesses,",弱さを捨てはしない,Do not throw away weakness,0.18181818181818182
those are scenes that won't disappear.,俺達の消えないシーン,A scene that does not disappear,0.16666666666666666
Now's the only time.,～♪,~ ♪,0.0
What?! They came out even?!,なに？ 五分だと？ 将軍！,what?Is it half?General!,0.2727272727272727
"Man, this is incredible.",すげえことになったぞ )頑張れ！ 麃公将軍！,I'm going to do it) Good luck!General of the public!,0.0
Th-This is...,こ… これは… マズイんじゃねえのか？,Hmm ... This is ... Don't you?,0.2222222222222222
This will add to Wei's Great General's power.,これで魏の大将は力を増す,This will increase the power of Zhao,0.21428571428571427
I thought it was weird he got cornered like this.,追い詰められて おかしくなったかと思ったが,I thought it was crunchy and it was funny,0.2857142857142857
Was he that confident?,自信があったのか,Is it confident?,0.2857142857142857
He was aiming to be pushed by these cheers from the beginning.,この大声援の後押しも 初めから狙ってやがったな？,Did you go from the beginning after the boosts of this lig.,0.19047619047619047
That it would be a one-on-one fight between generals.,大将同士の一騎打ちだ,It is one of the rusters of the general,0.0625
And the winner of the fight between the two would be the winner of the whole war!,２人の勝敗は そのまま戦の勝敗になっちまうぞ,Two victory lords will be the victory of the game as it is,0.21052631578947367
"Unless we do something, he won't be able to use his full strength!",このままじゃ 将軍の力が出ねえ！,"If this is left, the power of the general will come out!",0.07407407407407407
The general has no need for such a thing.,そんなもの 将軍には必要ない,I do not need to be a general,0.2
"The moment it became a one-on-one battle, the winners and losers were decided.",一騎打ちになった時点で 勝敗は決している,I have a victory and defeat at the time,0.15
"In all of China, the number of people who could be a match against Lord Biao Gong",麃公さまと 一騎打ちで渡り合える者など,Those who can cross the,0.1
could be counted on one's fingers.,中華全域でも 数えるほどしかおりはせぬ,It is only possible to count as many as China,0.0
Wu Qing's military strength will not possibly reach that of Lord Biao Gong's.,呉慶の武は 麃公さまには 到底 及ばぬ,Keisei's Takeshi has no,0.05263157894736842
Then the general is holding back and just playing around right now?,えっ… じゃ 将軍は今 手を抜いて 遊んでるってのか？,"Eh ... Well, do Generals don't play and play?",0.09523809523809523
He is not.,そうではない　将軍は 呉慶を知ろうとしておられるのだ,Not so generals are trying to know Keisei,0.09090909090909091
But it is likely for him to soon make his move.,だが もうそろそろ動かれるぞ,But it will be moved soon,0.2
"With the first strike of my sword, I could tell the level of your resolve and vigor.",ひと太刀目で 貴様の覚悟と気迫は伝わった,I was convepted with a single swordfish,0.09090909090909091
"But with my second, I lost track of the location of your soul.",じゃが ふた太刀目で 貴様の魂の居所を見失った,I lost my soul wheel at the faded sword,0.2777777777777778
"You did not enter a one-on-one fight in order to excite your warrior's blood, did you?!",呉慶！ 貴様 一騎打ちに出たのは 武人の血が騒いだからではないな？,Kaido!It is not because the blood of the warrior who came out for you to hit it?,0.2413793103448276
For what pathetic reason did you challenge me?!,どんな くだらぬ理由で このわしに挑んできた？,Could you challenge this for anywhere?,0.3076923076923077
I would like to hear it before I kill you.,殺す前に聞いておいてやろうぞ,Let's ask before killing,0.07142857142857142
Biao Gong. There dwells within me something far more heated than the blood of a warrior,武人の血などよりも 熱きものが我の中にあることを…,It is a hot thing than the blood of the warrior.,0.3333333333333333
"and with this sword, I will tell you what that is.",この剣をもって 教えてやろう,Let's teach with this sword,0.1875
Interesting.,面白いのぅ,Funny ぅ,0.0
What's wrong? Are you finished?,どうした？ 終わりか？,What happened?Is it the end?,0.16666666666666666
"Please, stop fighting and order the whole army to attack Biao Gong.",戦いをやめて 全軍に麃公を討てと号令ください,Please stop fighting and talk to the whole army,0.5333333333333333
We'll slaughter all of the State of Qin's foot soldiers,秦国の兵士を皆殺しにし 自軍に箝口令を敷けば―,If you kill all the soldiers in the Qingdian and lay,0.16666666666666666
"and if you issue a gag order on your own army, we can make it so the one-on-one battle itself never happened.",一騎打ち自体も なかったことにできます,I can have never had one night,0.06896551724137931
Leave it to us. i ask that you please hand down the duty to us.,我らに任せて どうか呉慶さまは お下がりを,Please leave it to us?,0.3333333333333333
Lord Wu Qing! What in the world...?,呉慶さま 一体… 呉慶さま…,Mr. Keisuke is an integrated ...,0.06666666666666667
"Up against invader, to not retreat at this point...",フフフッ… 侵略者に対し ここまで ひくことができぬとは…,Huhufu ... I can not be rolled here to the aggression ...,0.15789473684210525
honestly surprises even myself.,正直 自分でも驚きだ 人の感情とは ままならぬものだな,It's a good thing with the emotions of those who are surprised,0.0
Oh? I thought you were a cool-headed man,ほう… 冷徹な男かと思ったが 意外と情念が深いと見える,Ho ... I thought it was a cold man but surprisingly it looks deep,0.2222222222222222
It was not just my family!,家族だけではない,Not only family,0.25
What was killed... was my country itself!,殺されたのは 国そのものだ！,It is the country itself that was killed!,0.4166666666666667
His country... was killed?,“国を殺された”？,"""I was killed by the country""?",0.36363636363636365
And I was part of that country's royal family!,我は その小国の王族だ,I am a royal family in that,0.2857142857142857
He's a survivor of the ruling family of a ruined country?,亡国の王室の生き残りか,Is the surviving of the royalty of the country?,0.2857142857142857
I changed my name and tattooed my face.,名を変え 顔に墨を入れた,I changed my name and put ink on my face,0.5454545454545454
"I became a different person, wandered, and eventually made my way to Wei.",別人となり 放浪し 魏に流れ着いた,It became another person and wandering wandering,0.16666666666666666
"With the help of Lord Xinling, I regained my name",そして 信陵君の加護により 名を取り戻し,And regain the name by the protection of Yuthan,0.1875
and the State of Wei became my second fatherland.,魏の国が 第２の祖国となった,The country became the second home country,0.25
"But... The landscape I saw on that day of that rumbling, blazing castle...",だが あの日 見た ごうごうと燃ゆる城の光景は―,But the sight of the flavoring castle who saw that day-,0.3333333333333333
"and carelessly challenged me, is that it?",では その私怨にとらわれ ノコノコ このわしに挑んできたというわけか,"Well, I was trying to work on that I was able to challenge this",0.10526315789473684
Do you know what it means to lose your country?,国を失うことが どういうことか 貴様に理解はできぬわ！,How do you lose your country?,0.5
It's meaningless sentiment of a loser!,くだらん負け犬の感傷だな,It's a crazy dog sentiment,0.4
It is normal in this world of warring states for small countries to be weeded out!,小国の淘汰は 戦国の世の常,The small country's 汰 の の,0.045454545454545456
Your lick of distress is just one out of those many!,貴様のなめた苦汁など そこら中に転がっておるわ,You're rolling in a row such as a bad soup,0.0
"On the battlefield, stories of one's history have no meaning whatsoever!",戦場にあって 身の上話など 何の意味も持たぬ,There is no meaning such as across yourself in the battlefield,0.19047619047619047
"For soldiers, all that matters is how to defeat the enemy in front of them.",兵ならば “目の前の敵をどう倒すか”,"If it is a soldier, how to defeat the enemy in front of you?",0.43478260869565216
"For generals, all that matters is how to defeat the enemy general!",将ならば“敵軍に どう勝つか” それ以外に心とらわれることはない,"If it is a general, ""how to win against the enemy army""",0.3181818181818182
"To place your own feelings above your duty as general, you have become the picture of defeat!",将の責務よりも 私情を優先させた貴様に待つのは,Wait for you to give priority to private nature than the commander's responsibility,0.10714285714285714
"Come, Wu Qing! as a great general of the state of qin, i will put an end to you!",来い 呉慶！ 秦国大将軍の 名において 引導を渡してやる！,Come on!I will pass the lead in the name of the general General General,0.28
Has the air changed?,空気が変わったか 否 変えたのは麃公か,Is it a good idea that the air has changed or not?,0.38461538461538464
"When I saw that castle burn, I understood something.",燃ゆる城を見て 悟ったことがある,I have realized that I saw the flammable castle,0.2857142857142857
"In this world, there is often something huge that most people do not understand in the justice they conceive of.",この世には およそ 人の考えうる正義が全く通じぬ―,About this world Another thinking of people is totally through,0.19230769230769232
"If he hits, my body is sure to be destroyed.",当たらば 必ず こちらの身が滅ぶ,"If you hit, be sure to destroy yourself",0.3125
I will not retreat!,我は ひかぬ！,I'm sorry!,0.2857142857142857
"That ingenuity, that had you in a close fight with me up to this point,",ここまで わしを苦戦させた知略と 最後に 武に走ったその激情,The intense intense who ran to the incomplete and finally,0.045454545454545456
Victory cry!,勝ち鬨じゃ！,Winning!,0.25
"As he heard the victory cry of the soldiers, Xin's eyes were captured not by the victorious General Biao Gong,",兵士たちの勝ち鬨を聞きながら,While listening to the wins of the soldiers,0.125
but by the tragic sight of the collapsed General Wu Qing.,無残に倒れた呉慶将軍の姿に 目を奪われていた,I was robbed in the figure of General Keisei who fell without leaving,0.14285714285714285
"Because even dead, the eyes of Wu Qing",死してもなお 呉慶の瞳には―,"Even if you die, the eyes of Keisei-",0.38461538461538464
still had a small flame smoldering in them.,まだ小さな炎が くすぶっていたからである,It is because a small flame was still smashed,0.2857142857142857
Seeing that sight made Xin mutter something in his mind.,そのサマに 信は 心の中でつぶやいた,Communation to the Sama tweeted in my heart,0.05555555555555555
"""So this is a general?""",“これが将軍なのか”と,"""Is this a general?""",0.875
"And so, the flow of the war was decided.",こうして 戦の趨勢は決した,Thus the trend of the battle was decided,0.3076923076923077
"3,000 Qin soldiers accompanied Biao Gong","麃公に付き従ってきた 秦国軍の兵士は3,000","The soldiers of the Zinyan army who came in a row are 3,000",0.125
"and over 50,000 Wei soldiers surrounded them.",それを囲む魏国の兵は ５万を超えていた,"The soldiers of the 魏 around it were over 50,000",0.21428571428571427
But there wasn't a single soldier among the Wei army that raised their fallen shoulders.,だが 魏の軍の中に 落とした肩を上げる者は―,But those who raise the shoulder dropped into the army of the 魏,0.12
