en_text,jp_text,google_translated,score,semantic_score
Bye bye!,（園児たち）バイバイ！\N,bye!\ N,0.5,0.8140372
See you on Monday!,（こばと）じゃあ　また月曜日に！\N,Well then on Monday!\ N,0.3333333333333333,0.6767806
Why you... Every single time...,すみません！\N（藤本）お前は　毎度毎度。\N,excuse me!\ N  You are every time every time.\ N,0.2307692307692308,0.5950659
"Fine, just move outta the way. I'm going to be late.",大丈夫でした？\Nいいから　どけ。　遅刻する。\N,I was fine?\ N. be late.\ N,0.15,0.49006352
Are you going to another job?,また　アルバイトですか？\Nまあな。\N,Are you another part-time job?\ N Well.\ N,0.4545454545454545,0.6311416
I'll be okay here. You can go home now.,大丈夫。　もう帰ってもいいわよ。\N,fine.You can go home already.\ N,0.21428571428571427,0.72114784
Part Time Jobs,（電卓をたたく音）\N,\ N,0.0,0.09404279
Kobato.,あ～！\N,Oh!\ N,0.0,0.23263961
I just want to smile when I'm happy,・「好きなときに\N歌いたいだけなのに」\N,"· ""I just want to sing when I like it"" \ N",0.3125,0.38904953
"I was told, ""Someday,\Nyour dream will come true.""",・「いつか願いは叶うと」\N,"· ""If you wish, you will come true"" \ N",0.3157894736842105,0.6726605
and gather all the light in the world.,・「全身にひかりを集めて」\N,"· ""Collecting Hikari in the whole body"" \ N",0.1176470588235294,0.20626922
"Tell me,",・「どこにあるの\N教えて私にできること」\N,"· ""Where to teach me to me"" \ N",0.09090909090909093,0.15971172
isn't there something I can do?,・「でもいつかってどれくらい？」\N,· How long is it? \ N,0.14285714285714285,-0.054753486
Although it may seem silly...,・「それでもまた　あきれるくらい」\N,"· ""It is still possible to get along"" \ N",0.05882352941176471,0.26171038
I believe in tomorrow.,・「明日を信じてる」\N,"· ""I believe tomorrow"" \ N",0.3,0.72381926
Production\NThe Kobato Protection Group,・～\N,· ~ \ N,0.0,0.13261607
What are you going to do with that book? Oww.,（いおりょぎ）そんな本借りてきて\Nどうすんだ？　アラッ。\N,I borrowed such a book \ N What is it?Arat.\ N,0.14285714285714285,0.4101251
Get a job of course! Just like Fujimoto.,もちろん　アルバイトするんです\N藤本さんみたいに。\N,Of course I will part-time job \ n like Fujimoto.\ N,0.25,0.7353708
"'Cause you wanna help pay back even\Njust a little of the nursery's debt, right?",少しでも借金返す\N足しにしたいってか？\N,I return to a little debt \ N. N.\ N,0.12,0.4566064
Right!,はい！　アハッ…。\N,Yes!A-ha ....\ N,0.14285714285714285,0.32158458
Maybe I could deliver newspapers bright and early in the morning!,さわやかな朝に\N新聞をお配りするとか。\N,I will distribute \ N newspapers in a refreshing morning.\ N,0.15789473684210525,0.6993311
Don't you oversleep every morning?,いつも寝坊してるお前がか？\N,Are you always overslept?\ N,0.16666666666666666,0.460454
Well then...,でしたら…。\N,If it is ....\ N,0.125,0.316365
How about delivering pizza to people's houses?,みなさんのお家に\Nピザをお届けするとか。\N,I will deliver \ N pizza to everyone's house.\ N,0.1875,0.6838914
Oh... well then...,あ…　でしたら…。\N,Oh ... if it is ....\ N,0.2222222222222222,0.4591518
Then what kind of job should I do?,え～！　じゃあ　どんなアルバイト\Nすればいいんですか？\N,"Eh!Well then, what should I do?\ N",0.4,0.39754575
Don't ask me!,オレに聞くな！\N（糸が切れる音）\N,Don't ask me!\ N  \ N,0.7142857142857143,0.87951475
I give up!,もう　やめだ～！\Nいおりょぎさん？\N,I'm sorry!\ Nao Mao-san?\ N,0.18181818181818185,0.16169088
"Actually, there's something else I wanted to ask you...",（千歳）いいえ。\Nもう一つ　お願いしたい事が…。\N,No.\ N I would like to ask another ....\ N,0.2222222222222222,0.5478853
The umbrella person!,あっ！　傘の方！\N,Ah!Umbrella!\ N,0.2857142857142857,0.7613637
Thank you so much for the other day.,この間はありがとうございました。\Nいいえ。\N,Thank you for this time.\ N No.\ N,0.2307692307692308,0.45902526
"It's nice to formally meet you. I'm the manager, Ueda.",あら　お知り合いなのね。\N,It's a good deal.\ N,0.1111111111111111,0.10716553
I'm Kobato Hanato!,花戸小鳩です！\N,Hachio Kobato!\ N,0.25,0.668781
She said she was looking for a place to work and your shop came to mind.,アルバイトできる所を探してるって\N言うから　このお店を思い出して。\N,"I'm looking for a part-time job, so remember this shop because I say \ N.\ N",0.14285714285714285,0.526149
I see.,ふだんは「よもぎ保育園」を\Nお手伝いをしているの。\N,I usually help you \ N.\ N,0.1111111111111111,0.052720744
"It's very busy here so if she could work even just on the weekends, it'd help me out immensely.",そうですか。　店が忙しい\N週末だけでも手伝ってくれると→\N,Is that so.If the store is busy \ N.,0.10714285714285714,0.23782234
At least until my hands heal.,大変　助かるんですが。\N（裕美）私の手が治るまで。\N,I am very helpful.\ Ne  Until my hand is cured.\ N,0.125,0.47859713
What happened?,（２人）えっ？\N,?\ N,0.2,0.1759435
"And, umm...",それから…　えっと…？\N,Then ... well ...?\ N,0.1111111111111111,0.3450095
"Good luck, Kobato!",頑張ってね　こばとさん。\N・はいっ！\N,Good luck with me.\ N · · · · ·\ N,0.2,0.398518
Thank you!,はい！　よろしくお願いします\N店長さん！\N,Yes!Thank you \ N store manager!\ N,0.375,0.23709019
I finished changing.,私は大村裕美。\Nよろしくね　こばとちゃん。\N,I am Hiromura Omura.\ No Kobato-chan.\ N,0.1,0.13062188
The uniform fits perfectly! I'm so glad.,着替えました！\Nあ…。→\N,I changed my clothes!\ N ....→ \ N,0.1176470588235294,0.21535113
"And now, what should I do to help?",それで　何をすれば\Nよろしいのですか？\N,So what if you do it?\ N,0.1875,0.16763286
"Well... First, when a customer\Narrives, be sure to greet them.",えっと…　まず　お客さんが来たら\N「いらっしゃいませ」かな。\N,"Well ... First of all, \ n ""Please do not know"".\ N",0.16666666666666666,0.2724152
Welcome!,いらっしゃいませ！\N,Welcome!\ N,0.5,0.73213696
"And when you get an order, put the cake inside one of those boxes over there.",それから　注文を聞いたらね→\N,Then when you hear your order → \ N,0.125,0.42154026
"I'll be working the register, so when the customer pays, make sure you say...",レジは私が打つから\N代金を頂いて…。\N,The cash register is \ N.\ N,0.09523809523809523,0.45253772
Thank you very much! Right?,「ありがとうございました」\Nですね！\N,"""Thank you very much"" \ N!\ N",0.4545454545454545,0.30894136
"Let's try, shall we?",まずは　やってみましょうか？\Nはいっ！\N,Let's do it first?\ N!\ N,0.2307692307692308,0.5883585
Okay!,そうそう！\N（ドアベル）\N,Oh yeah!\ N  \ N,0.16666666666666666,0.30368653
Shortcake and Mont Blanc...,えっと…　ショートケーキとモンブラン\Nそれから…。\N,Well ... Shortcake and Mont Blanc \ N from then ....\ N,0.4545454545454545,0.9078464
"Not a cheesecake, but... an apple pie... and a lemon tart!",ショートケーキとモンブラン。\N（客）チーズケーキじゃなくて　アップルパイ…。\N,Short cake and Montblanc.\ N  It is not a cheese cake but he is apple pie ....\ N,0.3181818181818182,0.6862846
"Cheese, apple... lemon?",チーズ　アップル…。\N（客）それから　レモンタルト。\N,Cheese apple ....\ N  then lemon tart.\ N,0.4,0.8445851
And a cream puff please.,（客）それと　シュークリームを\Nお願いします。\N,and shoe cream \ N.\ N,0.2,0.56767386
"Shortcake, Mont Blanc, apple pie, lemon tart, and a cream puff.",アップルパイにレモンタルトとシュークリーム。\Nすごいです　裕美さん。\N,Lemon tart and shoe cream in apple pie.\ N. Hiromi Hirumi.\ N,0.25,0.59633493
"You're amazing, Yumi!",こばとちゃん。　箱に入れて。\Nはいっ！\N,Kobato-chan.Put in the box.\ N!\ N,0.08333333333333333,0.23024131
"Kobato, are you okay?",こばとちゃん　大丈夫？\N,Kobato-chan okay?\ N,0.2222222222222222,0.6656674
And now a Mont Blanc and...,あと　モンブランと…？\N,After that Mont Blanc ...?\ N,0.2727272727272727,0.8354384
An apple pie and a lemon tart. And a cream puff.,アップルパイとレモンタルト　シュークリームだよ。\N,Apple pie and lemon talt cream.\ N,0.3076923076923077,0.739327
I did it!,出来ました！\N,it is complete!\ N,0.25,0.31195858
Then when you're all finished...,ウフッ。　じゃあ　最後に…。\N,Uhuhu.Well then ....\ N,0.2,0.38849556
Thank you very much!,ありがとうございました！\Nどうも。　元気な店員さん。\N,thank you very much!\ N Thank you.A cheerful clerk.\ N,0.5,0.30295077
"Yup. Once you get used to it, I'm sure you'll be great.",これで　いいでしょうか？\Nうん　慣れれば大丈夫だと思うよ。\N,Is this all right?I think it's okay if you get used to it.\ N,0.2307692307692308,0.5285502
Kobato!,（ドアベル）\N（裕美　こばと）いらっしゃいませ！\N,\ N !\ N,0.25,0.23458724
Kobato works in a cake shop!,こばとちゃんが　ケーキ屋さんだ。\Nはい！　今日は　ケーキ屋さんです。\N,Kobato-chan is a cake shop.\ N Yes!She is a cake shop today.\ N,0.2857142857142857,0.73691887
We came to pick up my birthday cake today!,今日は　満里奈のお誕生日ケーキを\N取りに来たの！\N,Today I came to pick up a birthday cake of Misara's birthday cake!\ N,0.4705882352941176,0.7681492
Happy birthday!,お誕生日ですか！\Nおめでとうございます！\N,Is your birthday!\ N. Congratulations!\ N,0.2222222222222222,0.6870439
"Thank you, Kobato!",ありがとうございました！\Nじゃあね！\N,thank you very much!\ N!\ N,0.3333333333333333,0.4046745
What's the matter?,あれ？\Nどうしたの？\N,that?\ N What happened?\ N,0.2222222222222222,0.22749768
Why is this...?,これ　どうしてでしょう？\N,What should this mean?\ N,0.2,0.29613978
Marina!,満里奈ちゃ～ん！\N,Misakai!\ N,0.2,0.3882891
