en_text,jp_text,google_translated,score
It's... raining...,でもでもっ！　雨だって\Nこばと頑張ります！\N,But!It's raining \ Now you will do our best!\ N,0.21428571428571427
Sure is.,（いおりょぎ）雨だな。\N,is raining.\ N,0.2
I'm going to collect more konpeito!,コンペイトウを増やすんです！\N（天井にぶつかる音）\N,I will increase the competion!\ N  \ N,0.14285714285714285
Dobato...!,きゃあ！\N,Yo!\ N,0.16666666666666666
Kobato.,・～（テーマ音楽）\N,· ~  \ N,0.0
I just want to smile when I'm happy,・「好きなときに\N歌いたいだけなのに」\N,"· ""I just want to sing when I like it"" \ N",0.3125
"I was told, ""Someday, your dream will come true.""",・「いつか願いは叶うと」\N,"· ""If you wish, you will come true"" \ N",0.3157894736842105
and gather all the light in the world.,・「全身にひかりを集めて」\N,"· ""Collecting Hikari in the whole body"" \ N",0.11764705882352941
"Tell me,",・「どこにあるの\N教えて私にできること」\N,"· ""Where to teach me to me"" \ N",0.09090909090909091
isn't there something I can do?,・「でも　いつかってどれくらい？」\N,· How long is it? \ N,0.14285714285714285
I believe in tomorrow.,・「明日を信じてる」\N,"· ""I believe tomorrow"" \ N",0.3
Production\NThe Kobato Protection Group,・～\N,· ~ \ N,0.0
I-It's okay if you get dirty.,汚れたって大丈夫ですよ。\Nいおりょぎさん。\N,It's okay to get dirty.\ Ni Maoi.\ N,0.21428571428571427
The rain will just wash it all off!,雨が洗い流してくれます。\N,The rain will be washed away.\ N,0.23076923076923078
"No, it's not 'fine'!",大丈夫じゃねえ！\Nそのかわり　ズブぬれじゃねぇか。\N,It's okay!\ N Don't worn Zub wet?\ N,0.17647058823529413
Miss Sayaka!,（清花）こばとちゃん。\Nあっ！\N,Kobato-chan.\ N!\ N,0.16666666666666666
What is it?,なあに？\Nどこに行くんですか？\N,What is it?\ N Where are you going?\ N,0.4
Huh?,え？\N,picture?\ N,0.2
"B-But, am I really allowed to live here?",でもでも　ここに住んで\Nいいんですか？\N,But I live here \ N.\ N,0.21428571428571427
Let's take a look inside.,さあ　中へ入りましょう。\Nはい！\N,Let's go inside.\ N Yes!\ N,0.15384615384615385
Okay!,ここよ。\Nわ～！\N,Here is here.\ N!\ N,0.14285714285714285
I'm Kobato Hanato.,ええ。　こばとちゃんさえ\N気に入れば。\N,Yes.Kobato-chan even if I like it.\ N,0.09090909090909091
Pleasure to meet you. I'm Chitose Mihara.,（千歳）こばとさんね。　初めまして\N三原千歳です。\N,Kobato-san.Nice to meet you \ N Mihara Chitose.\ N,0.3076923076923077
I have to get back to the nursery.,じゃあね　こばとちゃん。\N私は保育園に戻るから。\N,Well then Kobato-chan.\ N I return to the nursery.\ N,0.21428571428571427
I hope you enjoy your stay.,後で　お手伝いに伺います。\N,I will visit you later.\ N,0.18181818181818182
She looks really nice!,こばとさん。\Nはいっ！\N,Mr. Kobato.\ N!\ N,0.1111111111111111
I'm Kobato Hanato!,今日からこちらで　お世話します\N花戸小鳩です！\N,I will take care of here from today \ N Hadori Kobato!\ N,0.2
Do you have any idea of when you're luggage will arrive?,（千歳）荷物は何時ごろに\N届くのかしら？\N,Luggage What time does it arrive \ N.?\ N,0.15789473684210525
U-Umm...,ありません。\Nあら…。\N,is not.\ N ....\ N,0.16666666666666666
But what about your bedsheets?,これだけです！\Nお布団とかは？\N,Only this!\ N What is your futon?\ N,0.23076923076923078
"Well, let me show you around.",じゃあ　早速　中を案内するわね。\N,"Well then, I will guide you inside.\ N",0.21428571428571427
Thanks!,はい！\N,Yes!\ N,0.2
"Why, thank you.",いおりょぎさん？\N,Thank you very much?\ N,0.2
"What a great room, Ioryogi!",わ～！　ステキなお部屋ですね\Nいおりょぎさん！\N,Wow!It is a wonderful room \ Nao Miyagi!\ N,0.2
What?,（物音）\Nあっ？\N,\ N?\ N,0.25
Where did he go?,どこ行っちゃったんでしょうか？\N,Where did you go?\ N,0.5
How dare you leave me behind...!,どばと…。\Nよくも置いていきやがったな！\N,How and ....\ Neko I went well!\ N,0.1875
I'm sorry!,オレは　こっちじゃ\Nぬいぐるみなんだよ！\N,I'm here \ Ni-Ni-ni!\ N,0.375
I totally forgot!,まったくよ…！\N,It's totally ...!\ N,0.2222222222222222
I'm late!,急がないと　遅刻です！\N,It is late if there is no sudden!\ N,0.16666666666666666
