en_text,jp_text,google_translated,score,semantic_score
This place is full of people today.,"（トール）今日は人が
いっぱいですね","Today is a person
It is full",0.2727272727272727,0.6889015
The New Year's right after Christmas.,"（小林(こばやし)）クリスマスが終わったら
もう正月か",") When Christmas is over
Is it New Year?",0.21428571428571427,0.7454358
What's that?,（カンナカムイ）何あれ？,What?,0.5,0.504813
I want to try.,"（小林）福引きだね
（カンナ）やってみたい","Good luck
I want to do",0.375,0.5126209
I have some.,もらいました,I got,0.2,0.37866682
"Lady Tohru, is that magic?","（トール）ありますよ
（小林）ん？","There is
?",0.25,0.12368776
"No, I received them during my daily\Nshopping here at the shopping district.",いいえ,No,0.07142857142857142,0.24091753
Special Sale,"（トール）特賞は
温泉旅行ですか～","Special Prize
Hot spring trip-",0.16666666666666666,0.32340968
"Okay, you get three turns.","（係員）はい
３回 引けますね","Yes
I will pull three times",0.08333333333333333,0.48868343
Hot springs.,温泉,hot spring,0.25,0.8681751
I'll land the hot springs!,温泉 当てます！,Hot spring!,0.25,0.7097649
Don't use magic.,"魔法は使うなよ
（トール）分かってます","Don't use magic
 I understand",0.5714285714285714,0.8678682
Here's your consolation prize. Pocket tissues.,"（係員）参加賞の
ポケットティッシュで～す","Participating award
Pocket tissue",0.09090909090909093,0.7098007
Last one! This time I'll win!,"最後の１回
次こそ当てます！","Last one
Next!",0.3333333333333333,0.7068201
Hmm?,"（カンナ･トール）お？
（小林）ん？","?
?",0.5,0.46975666
Congratulations!,"（係員）
おめでとうございま～す！",Congratulations ~!,0.6666666666666666,0.85228336
Third prize! You'll be set for the cold winter with this.,３等 寒い冬も これで安心,Three cold winters are relieved with this,0.16666666666666666,0.5297972
You've won a warm kotatsu.,"あったかコタツが
当たりました","There was a kotatsu
Correct",0.2,0.6340219
Kotatsu?,コタツ？,Kotatsu?,1.0,1.0000001
"Are you going anywhere, Yamashita-kun?","（男性社員）山下(やました)くんは
どっか行くの？","Yamashita 
Where are you going?",0.4444444444444444,0.8274615
Home to my family in Hokkaido.,"（山下）北海道の
実家に帰ります","Hokkaido
I will return home",0.2,0.80600023
I'll buy you some nama chocolates as souvenirs.,"お土産に 生チョコレート
買ってきますね","Raw chocolate to souvenir
I will buy it",0.125,0.6708571
"What about you, Kobayashi-san?\NGoing home to your family?","（滝谷(たきや) 真(まこと)）小林さんは？
実家とか帰るの？","True) What is Kobayashi?
Do you go home?",0.2352941176470588,0.7963262
No. You?,いや 滝谷くんは？,No Takaya-kun?,0.4,0.13593417
I have Winter Comiket at the end of the year.,"俺は年末
冬コミがあるから","I am the end of the year
Because there is winter komi",0.4,0.6839239
Aah.,あー,Ah,0.0,0.46824318
Happy New Year!,"（女性Ａ）よいお年を
（女性Ｂ）よいお年を","Good year
 Good year",0.2,0.55055034
A lot of stuff happened this year.,"（小林）今年は
色々あったなー","This year
There were various things",0.16666666666666666,0.69011015
I'm home.,ただいまー,I'm home,0.75,0.9248279
Welcome home.,おかえりなさい～,Welcome to,0.25,0.5393346
This year's work is finally over.,"（小林）ハァ
今年の仕事 終わったー！",I finished this year's work!,0.3636363636363637,0.6037252
"Kobayashi, do you have to go to work anymore?","コバヤシ もう仕事
行かなくていい？","Kobayashi already work
Do you have to go?",0.7272727272727273,0.8632925
Nope. I'm off until the third.,（小林）うん ３日まで休み,Yeah holiday until 3 days,0.08333333333333333,0.40578672
I need to start preparing the New Year's dishes soon.,"そろそろ おせちの仕込みも
しないとですね","It is also the preparation of our sice soon
I have to",0.2,0.34683135
I even borrowed the tools to pound mochi and soba.,"餅つきと そば打ちの道具も
借りてきましたし","Mochitsuki and soba struggle
I borrowed",0.3076923076923077,0.6228705
You don't have to go that all-out.,"そんな本格的に
やんなくてもいいよ","Such a full-scale
You don't have to do it",0.38461538461538464,0.5110504
It's a maid's responsibility to take charge and make sure,メイドの務めですから,Because it is a maid,0.2307692307692308,0.6003596
"Oh well, guess I'll go.","トール メイドだろ
代わりに行ってこい","Tall Maid
I will go instead",0.16666666666666666,0.19099729
"Oh, Miss Kobayashi,\Ncould you hit the switch on the rice cooker?","あ 小林さん
炊飯器のスイッチ お願いします","Mr. Kobayashi
Switch of rice cooker please",0.25,0.8309276
Pass the remote.,（カンナ）リモコン取って～,Remote control take ~,0.14285714285714285,0.59992534
What are you doing?,"（ファフニール）
何をしている？",What are you doing?,1.0,0.9999999
This is New Year's curry.,ああ 正月用のカレーでヤンス,Oh yhans with curry for New Year,0.2727272727272727,0.7567588
m 394 771 l 670 815 643 945 543 927 519 910 467 914 376 904,甘口でヤンス,Sweet and eans,0.0,0.042678762
The New Year's parlor trick tournament\Nwill be on January 3rd.,元日 朝６時半から…,From 6:30 under the New Year's Day ...,0.2352941176470588,0.486136
You can look forward to several outstanding\Nguests performing in our competition!,（トール）はあッ！,!,0.08333333333333333,0.3025504
"So I can just pound the New Year's\Nsoba tomorrow before we eat it, then?","年越しそばは明日
食べる直前に打てばいいですかね","New Year's Eve Soba is tomorrow
Should I hit just before eating?",0.25,0.6307985
"Tohru, isn't this a lot of work for you?",トール 色々 大変じゃない？,It's not a lot of tall?,0.25,0.13023268
"No, these are my natural duties as a maid.","いえ メイドとして
当然の務めです","No Maid
It is natural",0.2307692307692308,0.6315179
"Hmm, but I feel like we're forgetting something.","ん～ でも何か
忘れてるような気がしますけど…","What's wrong
I feel like I forgot ...",0.1875,0.5088442
"Oh, a guest.",あ お客様です,"Oh, I am a customer",0.375,0.3711787
Who could it be?,誰でしょうね～,Who is it?,0.5,0.49965143
"Tohru, they're calling for you.",トール 呼んでるよ,I'm calling for a tall,0.16666666666666666,0.27718535
"Well, if I have to...",しょうがないですね～,I can not help,0.1,0.19038972
"Yes, yes. Hello?",はいはい は～い,Yes yes,0.2,0.47989237
"Oh, Miss Sasakibe.",ああ 笹木部さん,"Oh, Mr. Sakura",0.2857142857142857,0.47209275
"Umm, I made too much candied\Nsweet potatoes with chestnuts.","あの～ 栗きんとん
作りすぎちゃったの","That ~ chestnut tan
I made too much",0.26666666666666666,0.60854524
Have some if you'd like.,よかったら どうぞ,if you like please get,0.3333333333333333,0.52993375
"Well, we didn't make any of those.","栗きんとんは
作ってなかったですね～","Chestnut kinton
I did not make it ~",0.125,0.30107382
Thank you very much!,ありがとうございます,thank you,0.4,0.51744354
