en_text,jp_text,google_translated,score
The sports festival is coming up soon.,（先生）もうすぐ運動会です！,It is athletic meet soon!,0.16666666666666666
"Saikawa, what's a sports festival?","（カンナカムイ）才川(さいかわ)
ウンドウカイって何？","talented river 
What is the Und Ukai?",0.14285714285714285
"Wow, didn't you have them in your country, Kanna-san?","（才川リコ）あら カンナさんの
国には なかったのね","Ano Kanna's
There was no she in the country",0.10526315789473684
and lots of other events where\Nthe whole class works together!,"運動会っていうのは
と～っても楽しいイベントなの","What athletic meet is
And ~ of fun events",0.17647058823529413
Oh!,おお～,Oh ~,0.3333333333333333
"Mothers and fathers come watch, too.","お父さんや お母さんも
見に来るのよ","Dad and mom
I will come to see",0.14285714285714285
"You can eat lunch with them, as well.",一緒に お弁当も食べるの,I also eat lunch together,0.15384615384615385
"You're great at sports, so I'm\Nsure you'll be a heroine of the day.","カンナさんは運動も得意だから
きっと ヒロインになれるわよ","Kanna is also good at exercise
She surely she can be a heroine",0.16666666666666666
Then your mother will praise you!,"そしたら あのお母さんにも
褒められるわよ！","Then that mom
I can praise!",0.2727272727272727
Work that day. Can't.,（小林(こばやし)）その日 仕事　無理,that day work impossible,0.42857142857142855
I can't do that.,でも別に構わない,But I do not mind,0.2222222222222222
"Kanna, Miss Kobayashi's in\Nthe middle of her death march","（トール）カンナ
小林さんは デスマ中で","Kanna
Mr. Kobayashi is in his Deathma",0.125
Give it up.,"ハデスと対面しそうなんです
諦めなさい","It seems to face Hades
Give up",0.375
No!,"いや
（小林）ん？","no
?",0.3333333333333333
"Also, what is a sports festival?","というか　運動会って
何ですか？","Meeting athletic meet
What is it?",0.25
You train with everyone to defeat strong opponents.,"（カンナ）強い敵を倒すために
みんなで訓練するの","To defeat strong enemies
Everybody train",0.36363636363636365
"No, I don't think that's quite right.",いや なんか違うんじゃないかな,"No, I wonder if something is different",0.1875
Defeat Hades!,"お… お… お…
（カンナ）ハデス倒して","Oh ... ... ... ...
 Hades defeat",0.4
Why does it have to be Miss Kobayashi?,"何で小林さんも
一緒じゃないとダメと～？","What is Kobayashi
If it is not together, it is useless ~?",0.17647058823529413
Saikawa said mothers and fathers come with us.,"才川は “お父さん
お母さんと一緒”って言ってた","The talented river ""dad
I said ""with my mom",0.11764705882352941
Kobayashi's like a mother.,"トール様は お姉さんっぽい
コバヤシは お母さんっぽい","Tall is a sister
Kobayashi is her mom",0.18181818181818182
A mother? I'm not that old... Wait.,"お母さんって
私 そんな年でも… いや","Mother
I am such a year ... No",0.26666666666666666
"Miss Kobayashi, hang in there!",小林さん 気をしっかり！,Mr. Kobayashi I feel carefully!,0.18181818181818182
"Sorry, but you'll have to make do with Tohru.","（小林）まあ とにかくダメだよ
悪いけどトールで我慢して","Well, it's no good
It's bad but putting up with Tall",0.14285714285714285
Forget it!,もういい！,enough!,0.25
Is it that important whether a parent shows up or not?,"親が来る来ないって
そんなに大事かねー","Parents come to come
It is so important",0.1875
"For one thing, I'm not exactly\NKanna-chan's mother anyway.","そもそも私 別にカンナちゃんの
親ってわけでもないし","In the first place, I'm by Kansna
It is not a familiar",0.18181818181818182
But Kanna does tend to view you as her mother.,"でも カンナは小林さんを
親のように慕ってる節がありますよ","But Kanna is Kobayashi
There is a verse of the parents like",0.1
They were busy with work.,仕事で忙しかったし,I was busy at work,0.2222222222222222
Kanna's parents basically gave her free rein.,"カンナの親は基本
放任しています","Kanna parents are basic
I am released",0.14285714285714285
They felt a dragon would grow up strong on its own.,ドラゴンは勝手に強く育つと,Dragon grows strongly,0.07142857142857142
But Kanna's pulled many different\Npranks to try and get her parents' attention.,"でもカンナは 親の気を引くため
イタズラを繰り返しました","But Kanna is to draw a parent's mind
I repeated Itazura",0.17391304347826086
To the point she was banished to this world...,揚げ句 この世界に飛ばされて,Deep-fried phrase Freer to this world,0.25
So I think that's why she wants you to spoil her.,"だから ああして小林さんに
甘えてるんだと思います","So, to Mr. Kobayashi
I think I'm sweet",0.2222222222222222
Even if you say that...,そんなこと言われてもな…,Even if it is said that ...,0.4444444444444444
Hmm...,うーん…,Hmm ...,1.0
What's wrong?,"おはよう カンナさん
どうしたの？","Good morning Kanna
What's wrong?",0.5714285714285714
Kobayashi won't come to the sports festival.,"（カンナ）コバヤシ
運動会 来てくれない","Kobayashi
I can not come athletic meet",0.14285714285714285
But there's more to the sports festival than that!,"でも 運動会は
それだけじゃないのよ！","But the athletic meet
It's not the only!",0.25
It's still fun working together\Nwith everyone to be victorious!,"みんなで頑張って
優勝するのだって楽しいんだから！","Good luck with everyone
It's fun to win!",0.4
"Your ""working together"" sounds fishy, Saikawa-san.","（福島(ふくしま)）才川が
“みんなで頑張る”とか","talented river
""Everybody work hard""",0.06666666666666667
"No, no problem. I just don't believe you.","（福島）いや 文句はないけど
信じられないっていうか…","No no complaint
I can not believe ...",0.21428571428571427
Sports festival?,（滝谷(たきや) 真(まこと)）運動会？,True) Athletic meet?,0.14285714285714285
Yeah.,（小林）うん,Yeah,0.5
That date overlaps directly with our delivery date.,"その日付だと まともに
納品日に ぶつかっちゃうね","If it is that date,
It will hit on the delivery date",0.1875
"Well, I'm wondering if there's\Nreally any need to go in the first place.","まあ そもそも行く必要が
あるのかって話なんだけど","Well I need to go in the first place
I'm talking about it",0.5263157894736842
You don't want to?,行きたくないの？,Do you not want to go?,0.625
"Well, I think it would be nice if I could go.","（小林）
んー まあ “行けたら行った方が
いいかな”くらいに考えてる","Hmmm ""If you go""
I wonder if it is good",0.21052631578947367
Hmm? What?,（小林）ん？ 何よ,?What,0.6666666666666666
"Oh, I guess so.",そうかな？,I do not think so?,0.2
"Well, I think it's more a question of\Ndo you want to go, rather than can you.","まあ “行けるかどうか”より
“行きたいかどうか”じゃないかな","Well ""whether you can go""
""Whether you want to go""",0.2857142857142857
"If I want to go, huh?",ハァ… “行きたいかどうか”ね,"Hua ... ""Whether I want to go""",0.3076923076923077
"Lalala, I'm a cute maid!",♪ 私は かわいいメイドさ～ん,♪ I am cute maid,0.3
