en_text,jp_text,google_translated,score,semantic_score
Will Layfon ever be able to return here?,"もう ここには
戻ってこれないんですか？","Here
Isn't it back?",0.15384615384615385,0.37248406
Leerin...,"（リーリン）
も… 申し訳ありません",... sorry,0.3333333333333333,0.21300715
Yes.,はい,Yes,0.5,0.83685565
His return is not inconceivable.,"（アルシェイラ）
戻すことができないわけじゃない",I can not return,0.25,0.39149728
"However, it will take some time.",ただ 時間はかかるが,It takes time,0.2222222222222222,0.6170379
Then...,じゃあ…,Well then ...,0.6666666666666666,0.85411465
But whether he'd want to come back given the opportunity...,"だが そうしても あれが進んで
戻ってくる気になるかどうか","But that amount is progressing
Whether I'm going to come back",0.2631578947368421,0.3318619
"You, of the Psyharden, are going to leave the city, correct?","貴公ら サイハーデンは
外へと向かう一門だな？","Yusuke Saihaden
Is it a single gate to go outside?",0.09523809523809523,0.2941032
Many of those who left after the first Salinvan were the apprentices of your ancestors.,"（アルシェイラ）
初代サリンバンについて
外に流れた者たちには―","About the first sarinban
For those who flow outside-",0.21052631578947367,0.24647099
Lyuhou Gaj.,（デルク）リュホウ･ガジュ,Ryhou Gaj,0.25,0.77207905
He was a man who had much greater skills than I do.,"私よりも はるかに
腕の立つ男でした","A much more than me
It was a man standing",0.29411764705882354,0.44011033
"Normally, he would have inherited the Psyharden's name.","本来ならば
“サイハーデン”の名前は―","Inherently
""Sahaden"" is the name of",0.125,0.28681055
He is dead.,（アルシェイラ）死んだよ,dead,0.25,0.61440325
"During a battle with a Polluted Beast, he was unable to fully remove the pollutant inside his body.","技を伝えることだけ
考えよ","Only to convey the technique
Think",0.08695652173913042,0.02028482
Is that so?,"あれがサイハーデンに
連なる者である以上―","That is Sai Harden
More than a party-",0.2,0.19191341
The Psyharden are an important asset for Glendan.,"グレンダンにとって
大切な宝だ","For Glendan
It is an important treasure",0.3333333333333333,0.6551477
Just think about passing down your skills.,貴公は 後進に―,Your public goes backwards-,0.09090909090909093,0.11504409
Leerin Marfes...,"（アルシェイラ）
リーリン･マーフェス",Lily Lin Murfes,0.0,0.33005986
Be prepared for that.,"そのことは
覚悟しておいた方がいい","The thing is
It is better to be prepared",0.18181818181818185,0.5805434
"As an archer, being unable to hide your presence isn't very praiseworthy.","（ハイア）気配を消せないのは
射手としては やばいだろ～","I can not erase the sign
He is a hide as a shooter",0.125,0.33821228
Stalk a guy you like or something.,好きな男のストーキングでもしろ,Sometimes you like your favorite man,0.16666666666666666,0.30619305
I'm telling you it'd be good practice.,練習になるからって言ってんのに,I'm going to practice because I'm practicing,0.21428571428571427,0.53205335
I can't do that!,"（ミュンファ）
あっ… そんなことできません",Oh ... I can not do that,0.3,0.7393897
Who on earth are you guys?,"（ゴルネオ）
貴様らは 一体 何者だ？",Who is your one?,0.2,0.49216154
My name's Haia Salinvan Lyia.,"俺っちの名前は
ハイア･サリンバン･ライア","My name is
Hia Salinban Lia",0.18181818181818185,0.6816598
And this one's Myunfa.,で こっちはミュンファ,This is Münfa,0.125,0.52292114
What business brings you to our Academy City?,学園都市に何の用だ？,What is it for the school city?,0.21428571428571427,0.57059795
There was no request for you to teach Military Arts students.,"武芸科の学生を教導してくれと
依頼があったわけでもあるまい","Teaching the martial arts students
There was a request",0.3125,0.44739476
"Sadly, we're not here on business.",あいにく 商売に来たわけじゃない,Unfortunately I can not come to business,0.14285714285714285,0.5198156
"since you're the product of the Glendan high class, it wouldn't be surprising if you already knew,","グレンダンの名門の出なら
知っていても おかしくないだろう","If it comes out of Glendan's prestigious
She will not be strange or she knows",0.17857142857142858,0.5380981
the Salinvan Guidance Mercenary Group's secret founding story.,"サリンバン教導傭兵団の
創設秘話ってやつをさ","Sarinban teaching mercenary
Crowded secret story",0.2307692307692308,0.6213401
"Gor, what does this mean?",（シャンテ）ゴル どういうこと？,Gol What does it mean?,0.4444444444444444,0.78405243
Why?,何で？ やだよ！,why? no way!,0.4,0.44839555
