en_text,jp_text,google_translated,score
I have a favor to ask of you.,"（シャーニッド）
頼みがあるんだがな",I have a request,0.3
I have something to say to you.,聞いてくれよ ばかな話さ,I heard that you heard,0.2222222222222222
Can you leave Siena to me?,"シェーナは
俺に任せてくんねえか？","Shena
Leave it to me?",0.4444444444444444
"Wait, Sharnid, we haven't accepted the President's proposal yet.","生徒会長の提案を
のんだわけじゃない","Proposal of student president
I'm not",0.1111111111111111
"Then, is there any other way?","（シャーニッド）
なら 他に方法があるのか？",Is there another way?,0.4444444444444444
It's a stupid story.,"知り合って すぐに
ばかみてえに気が合った","Immediately after acquaintance
I felt a fool",0.08333333333333333
We've been friends since our first year.,俺たちは １年のころからの仲だ,We are friends from the one year,0.23076923076923078
She was a good person.,いい人だったよ,It was a good person,0.5714285714285714
"When we lost in an inter-city match, the Commander was so sad.","（シャーニッド）
前の都市戦で負けたとき―",When losing in the previous urban game-,0.16666666666666666
She regretted that she would graduate without being able to do anything for Zuellni.,"“ツェルニに何もできないまま
卒業していくのが悔しい”と","""I can not do anything to Zerni
I regret that I graduated",0.19047619047619047
That we'd protect Zuellni with our own hands.,"俺たちの手で
ツェルニを守ってやるってな","Our hands
Don't protect Zerni",0.23076923076923078
But still...,だけどな―,But,0.3333333333333333
"By that time, our relationship was already falling apart.","そのときには もう 俺たちの仲は
壊れかけていたんだよ","At that time our friends are already
I was broken",0.3125
"Since I half-destroyed it, they clumsily tried to put us back together.","あいつが かけらを
不器用に つなぎ合わせようとした","Atsushi fragments
I tried to join her",0.16666666666666666
"So, this time...",だから 今度こそさ,So this time,0.6
We understand.,（レイフォン）分かりました,I understand,0.25
"Even without you, I can do it!",俺はやれる！,I can do it!,0.5555555555555556
"Siena, we'll crush them like this!",シェーナ このまま たたき潰すぞ！,Shena I will kill this!,0.15384615384615385
Traps one and two have been breached.,"（フェリ）第１ 第２トラップ
突破されました","1st second trap
It was breached",0.07692307692307693
"You're good, Dinn.","（ニーナ）
足止めにもならなかったか",Did not you go to stop,0.09090909090909091
Lay-ton...,（ディン･ダルシェナ）あっ…,...,0.5
What?,（ディン）何だと？,What?,1.0
"Everyone, except Sharnid, are in front of the flag?","シャーニッド以外は
全員 フラッグの前にいる","Except for shearnid
Before everyone's flag",0.2
That means...,ということは…,That's why ...,0.4
Be careful of getting sniped!,全員 狙撃に気を付けろ！,Be careful with all the sniper!,0.3
Dinn!,（ディン）心配ない 先に進め！,Advoids ahead!,0.25
I can't afford... to lose...,うっ 負けるわけには… いかぬのだ,I'm sorry ... I'm sorry,0.2222222222222222
Are you planning on greeting me with cheap attacks?,"小手先の技で
私を迎え撃つつもりか？","With the technique of
Will I meet me?",0.1875
Why?,なぜだ？,Why?,1.0
Because you're stupid.,お前が ばかだからさ,Because you are stupid,0.5
I came to end it!,俺は 終わらせるために来たんだよ,I came to finish,0.42857142857142855
Why didn't you stop him?,お前 どうして止めなかった？,Why didn't you stop?,0.8571428571428571
How can you say that?!,お前が それを言うか！,Do you say that!,0.5
Why do you think this happened?,"どうして こんなことになったと
思っている！","What did you do this?
thinking!",0.36363636363636365
"Isn't it because you broke our promise, Sharnid?","シャーニッド
お前が誓いを破ったからだろ","Shernid
It's because you broke your vow",0.26666666666666666
