en_text,jp_text,google_translated,score,semantic_score
The Teiko Middle School basketball club.,帝光中学校 バスケットボール部,Teiji Junior High School Basketball Club,0.3,0.7644179
An incredibly strong team with over one hundred members and three consecutive championship wins.,部員数は100を超え 全中三連覇を誇る 超強豪校,The number of members is over 100 super strong schools that boast more than 100,0.1153846153846154,0.46555945
"Even within that brilliant history,",その輝かしい歴史の中でも 特に“最強”と呼ばれ—,"Also in the bright history, it is called ""strongest"" especially-",0.1176470588235294,0.22306594
"a group of five prodigies known as the ""Generation of Miracles"" stood above the rest.",無敗を誇った10年に１人の天才が ５人同時にいた世代は—,The generation of five people at the same time in 10 years boasting,0.16666666666666666,0.46768758
"However, there was a strange rumor concerning the Generation of Miracles.",が “キセキの世代”には 奇妙なうわさがあった,"There was a strange rumor in ""Kiseki generation""",0.35294117647058826,0.55924267
Despite being relatively unknown,誰も知らない 試合記録もない,There is no match record that no one knows,0.0,0.3642019
A phantom sixth man.,幻のシックスマンがいた と,I had a phantom Sixman,0.25,0.703679
"You haven't changed, Aomine.",相変わらずだな 青峰,Aomine that is still as usual,0.08333333333333333,0.6821
You seem confused.,なんか カン違いしてるぜ,I'm wrong,0.0,0.21784128
The past is irrelevant.,昔がどうでも 関係ねぇだろ,The old days are not related,0.1,0.44912022
"Well then, see ya.",じゃあ 切るぜ ああ,Well then I cut ah,0.2222222222222222,0.3201146
Sorry to bother you while you're sad!,ミドリーン！ 落ち込んでるときにごめんねー！,Midren!I'm sorry when I'm falling down!,0.14285714285714285,0.29536408
"No, wait... Sorry...",いや… ちょっと… ゴメン マジ待って,No ... Hey ... Wa n't Maji Wait,0.3333333333333333,0.41911054
"Seriously, wait... we just played two games against kings.",２試合やってんだぞ！ しかも王者！,I'm doing 2 games!And the king!,0.05,0.52695316
"Oh, sorry.",あ ゴメン,Ghomen,0.0,0.11104717
"I can't even stand, nevermind move.",動くどころか… 立てねえっス,Running something ... standing,0.0,0.31011266
But we can't stay here forever.,でも いつまでも ここにいるわけにもいかないし,But I can not go here forever,0.25,0.72303975
Let's go to the closest restaurant.,とりあえず どっか 一番近い店に入ろうか,"For now, let's go into the nearest store",0.2857142857142857,0.3934483
Seirin High Dressing Room,火神君は 誰かおんぶしてって！,Someone is a fire god!,0.0,0.04694238
There's so many of you.,いらっしゃーい！ ありゃ お客さん 多いね,welcome!There are many customers,0.18181818181818185,0.21310177
"Kuroko, you'll pay for this.",黒子 テメェ 覚えとけよ コラ！,Kuroko Teme remembers Kora!,0.08333333333333333,0.49839774
There's eleven of us.,11人なんですけど… お？,It is 11 people ... ...?,0.0,0.6547163
Hey.,呼び捨てか オイ！ ちーっす,Call away or oe!Chicken,0.0,0.17475876
Why are we sitting together?,なんで相席なんスか？,Why is there a seat?,0.2,0.66355795
"And Kagamicchi, why were you covered in mud?",そして火神っち なんで ドロドロだったんスか？,And why did you have a fire god?,0.26666666666666666,0.25492308
"If we don't eat, they'll burn.",食わねーと コゲんぞ ああ ハイ,"Eat, Kogen Oh Hai",0.15384615384615385,0.2747467
What are you doing here?,なんでオマエら ここに！ つか他は？,Why is Omae et al. Here!Is there any other?,0.125,0.19949774
H-Hey!,店を変えるぞ あっ オイ,I'm changing the store,0.0,0.1137371
How did you know?,なんで 知ってんだ？,Why do you know?,0.42857142857142855,0.6943695
"As someone who plays the same position, I'd love to hear your stories!",同じポジションとして 話 聞きてーなぁ！,Listen to the same position as the same position!,0.35294117647058826,0.38089192
That table is ridiculous!,あの席 パネェ！,That seat pan!,0.2857142857142857,0.41343212
"You wanted this to happen, didn't you?",オマエ あれ狙ってたろ？,Did you aim at Omae?,0.25,0.25380147
What? Of course not.,えー？ まっさかー,Eh?Rustic,0.125,0.10654237
Why don't we order something?,とりあえず 何か 頼みませんか？,"For now, don't you ask for something?",0.3333333333333333,0.27197507
"I'm already pretty full, so I'm fine with what we already have.",オレ もう 結構いっぱいだから—,I'm already full of,0.2857142857142857,0.6102598
It's all right.,大丈夫です 火神君 １人で食べますから,It is okay because I eat with one fire god,0.07142857142857142,0.19469382
Is he really human?,ホントに 人間っスか！？,Really human beings!?,0.42857142857142855,0.46522906
