en_text,jp_text,google_translated,score
Aomine-kun's not with you?,青峰君は 一緒じゃないんですか？,Aomine is not together?,0.2222222222222222
No. We're rarely together anymore.,最近はもう 一緒にいることは ほとんどないかも…,It may be hard to be together recently ...,0.07142857142857142
"They're getting stronger and haven't lost,  but it's kind of sad.",チームは強くて 負けなしだけど—,The team is strong and no longer-,0.045454545454545456
Do you remember what I asked you?,前に私が言ったこと 覚えてる？,Do you remember what I said before?,0.6666666666666666
"always be together, right?",ずっと 一緒だよね？,"It's been a long time, right?",0.25
What?,あ ううんっ！ いいの別に！ 大したことじゃないから！,I'm sorry!Anyway!Because it is not a big deal!,0.0
"Anyway, I'm going the other way.",それより ここから 道 別々だよね,"From here, it is a separate road",0.0625
Right.,あ はい… じゃあ,Oh yes ...,0.0
The team has become stronger.,チームは強くなった,The team became stronger,0.42857142857142855
They fulfill their obligation  to win without emotion.,無感動にこなしていく,I will do my best,0.0
Our opponents have been too weak to offer,相手 弱すぎて 張り合いねぇなんて—,It is too weak and it is tight.,0.15384615384615385
real competition for a long time.,今に始まったことじゃねぇだろ,It's not something that has begun now,0.0
You mean the Uncrowned Somethings?,ああ 無冠の何とかじゃないっスか？,"Oh, isn't it?",0.09090909090909091
"It's so easy, I don't  have any desire to play.",いよいよ楽勝すぎて やる気なんか出ないしー,"Finally, it's too easy to go out",0.2777777777777778
That was my basket!,だはっ！ 横取り！ 横取りっス！,!Side!Sidewalk!,0.14285714285714285
Your fault for missing.,外すほうが悪いんでしょ,It is bad to remove,0.0
"Either way, you're dead last.",どっちにしろ オメエがダントツ ビリじゃねぇか,Either way Ome is not Dantts Biri,0.15384615384615385
I'll catch up!,こっから 巻き返すっスよ,I'm going to get back here,0.09090909090909091
They're competing to see who  can score the most points!,くそっ あいつら 誰が 一番点取れるかで—,Who is the most point of,0.2
Why did you do that during today's game?,今日の試合 なぜ あんなことをしたんですか？,Today's game Why did you do that?,0.9
"What are you talking about, Kurokocchi?",何 言ってんスか 黒子っちー,What do you say Kuroko,0.18181818181818182
We're just playing around.,遊びっスよ 遊び！,Play Play!,0.0
I think it's rude,でも あんなやり方は—,But there is such a way-,0.0
to the other team.,相手に失礼だと思います,I think it is rude to the other party,0.2727272727272727
You're the one who said  we shouldn't slack off.,テツだろ 手ぇ抜くのは よくないみてぇに言ったの,Tetsu I'm not good to go out,0.0
We're playing a game to  motivate us against weaklings.,だから 雑魚相手にも—,So also for miscellaneous fish,0.0
"Right, Midorima?",なっ 緑間,Green,0.0
I want no part in your game.,ふざけるな オレは参加した覚えなどない,Do not remember that I participated,0.07692307692307693
There're tons of people.,おお 人がいっぱいだ,There are many people,0.25
We're playing here today?,今日 こんなとこでやんの!?,Today's cousin!?,0.2222222222222222
Tokyo Middle School  Basketball Tournament,こっちは 今日—,This is today-,0.0
They're more imposing than we are!,ていうか オレらより貫禄あるよ!?,It is said that it is more than Ore!?,0.21428571428571427
Aren't they middle school students?,中学生じゃないの!?,It's not a junior high school student!?,0.13333333333333333
"What's wrong, Tetsu-kun?",どうしたの？ テツ君,What's wrong?Tetsu,0.5714285714285714
The game already started?,ヤバ… もう試合始まっちゃってる,Yaba ... I'm already starting,0.1
I'll have a staff member give it to them.,誰か係の人に渡してもらおっか,If you pass to someone who is,0.058823529411764705
They're a good team.,いいチームだね,It is a good team,0.375
They probably love the game  and give everything they have.,きっと あの人たちは 全力でバスケに取り組んでいて—,Surely that people are working on basketball with all my strength-,0.0
They're as imposing as professionals...,まるで プロのような貫禄,It is a professional,0.0
They sure are.,ああ そうだな！ あっ,Oh yeah!Ah,0.0
