en_text,jp_text,google_translated,score
"Good morning, Kojo.",（小春(こはる)）おっ？ コジョ おはよう,?Kojo Good morning,0.5
Tell him breakfast is ready.,もう ご飯盛っちゃうよって,I'm already eating,0.0
Okay.,オッケー,Octopus,0.0
"Yuki-ne, oh no! Kennosuke is gone!","（小春）ゆき姉 大変！
剣之介 いなくなっちゃった","Yuki sister serious!
I'm gone",0.15384615384615385
What?,（由希奈）え？,?,0.5
No way.,まさか,Masadish,0.0
Kennosuke went to Kurobe.,"（和尚）剣之介なら
黒部に行ったぞ","Kenyuke
I went to the black part",0.2
He's with Mom?,お母さんとこ？,Mom and mother?,0.2857142857142857
This early? For what?,こんな時間に？ 何の用？,At this time of the day?What do you do?,0.25
Better hurry or you'll be late for school.,"お前たち
急がんと遅刻するぞ","you
I'm late for the sudden cancer",0.2
"-Bye!
-Bye!",（小春･由希奈）あっ！,Ah!,0.3333333333333333
That was a great meal.,何だ 美夏か,What a summer summer,0.125
What's up? Why are you so jumpy?,"おびえてんなあ
どうした？","I'm scared
What happened?",0.15384615384615385
How scandalous!,わっ！,Wow!,0.25
"Yukina, you're so popular!","ヒョ～！ スキャンダラス～
由希奈ちゃん 人気者！","Hyo!Scandalas ~
Yuuki-chan popular person!",0.16666666666666666
"With my mom.
So you know, I'm not his guardian.","お母さんとこ てか私
あいつの保護者じゃないし","Mom and me
It's not a guardian of that guy",0.14285714285714285
Shirahane came alone?,（茅原(かやはら)）由希奈は渡さねえってか？,) Yuka Yurana is passing?,0.1111111111111111
Shut up!,"（カルロス）あっ
（茅原）ヤベっ 走れ！",Yabe Run!,0.2
He's not a kid anymore.,"あんで
だんも気付いとらん思とるぞ","Because
I will not notice my mind",0.07692307692307693
Pleased to make your acquaintance.,"（剣之介）
以後 見知りおかれたい",I want to see it later,0.09090909090909091
What?!,ええ～っ!?,Yeah!?,0.5
"What does that mean, Mom?
Am I a soldier now or something?","あの～ それって…
どういうこと？ お母さん","That ~ that ...
What do you mean?mother",0.21052631578947367
"I mean, you two are the only ones who
can operate the Artifact.",あなたたちだけだから,Because you are only you,0.2
"that allow you to connect
to the Artifact.","（洋海(ひろみ)）だって
アーティファクトを動かせるのは",To move the artifact,0.3333333333333333
"We do not have the technology
to remove it without serious risks.","我々の技術で これを
無理やり引き剥がそうとすると","This is our technology
If you do not force it",0.21052631578947367
"high probability of full body paralysis,","よくて運動機能の一部喪失
高い確率で全身マヒ","Loss of some of the exercise functions
Whole body mahi with high probability",0.26666666666666666
"not to mention
the worst case scenario, death,","いうまでもなく
最悪は死亡です","Northern
The worst is death",0.2727272727272727
"Dr. Hausen, I think that's enough details.","ディテールは
そのくらいでいいでしょう","Detail
That's right",0.16666666666666666
"The Artifact that you left in Toyama
will be ready to be transported soon.","（グラハム）君たちが富山市内に
放置したアーティファクトの移送も","You are in Toyama City
Transport of artifacts left",0.21052631578947367
I don't really care if we get it back.,別に帰ってこなくていいけど,I do not want to come home separately,0.11764705882352941
As I've said.,そうですか？,I see?,0.14285714285714285
That is my Mukuro.,"（剣之介）言ったはずだ
あれは俺の骸(むくろ)だと","should be said
That's my",0.2222222222222222
"-I have a question.
-What is it?",（グラハム）何だね？,What is it?,0.3
Like a part-time job or something?,"え～っと
アルバイト… みたいな？","Eye
Part-time job ... like it?",0.4
I'm finished.,できたぞ,I was able to,0.14285714285714285
"-What is that?
-An ogre.",これは？,this is?,0.25
"I am certain this is what
Yukina's father saw.","由希奈の父上が会ったというのは
こいつに相違ない","It is said that Yukina's father met
There is no difference to this guy",0.25
"We'll upload this picture
to the UN's cloud","この似顔絵は情報共有のため
国連のクラウドに保管しておこう","This portrait is for information sharing
Store in the UN Cloud",0.23529411764705882
"Oh, my God...",オーマイゴッド,Oh my God,0.6
"Team, I'm sure you're already familiar
with these two from their files,","（グラハム）みんな
情報としては確認済みだと思うが","Everyone
I think it has been confirmed as information",0.043478260869565216
but this will be your first time meeting.,対面するのは初めてだと思う,I think it is the first time to face,0.125
"This is Yukina Shirahane
and Kennosuke Tokisada Oma.","白羽由希奈と
青馬剣之介時貞だ","Hakata Hakata
It is a funny day",0.07142857142857142
"That's Captain Tom Borden,
pilot of the GAUS 1 geoframe.","ジオフレーム１号機
ガウス１(ワン)のパイロットだ","Geoframe 1
Gauss 1  pilot",0.21428571428571427
"Listen up, you two.",（トム）２人とも よく聞け,often listen well,0.125
"Comparing you guys to maggots
is an insult to them!","貴様ら民間人は
ウジ虫以下の存在だ","Your private sector
There is an existence below",0.125
But you two are very fortunate.,"（トム）しかし 貴様らは幸運だ
なぜなら 俺が全力をもって","But you are lucky
Because I have all my strength",0.21428571428571427
Look forward to it.,"フフフ…
楽しみにしていろ","Fuhufu ...
I'm looking forward to it",0.3
"The captain is also the leader
of the GAUS team.","んん… 大尉は
ガウスチームのリーダーでもある","Non ...
It is also a leader of Gaussle team",0.35714285714285715
She is GAUS 1's navigator.,"それから リュウ･シェンミイ中尉
ガウス１のナビゲーター","Then Lyu Shen Mai Lyustor
Gauss 1 Navigator",0.15384615384615385
"Sophie Noel, GAUS 2's pilot.","ソフィー･ノエル
ガウス２(ツー)のパイロット","Sophie Noel
Gauss 2  pilot",0.4444444444444444
Thank goodness!,よかった～,It was good-,0.0
That's right. You two have already met.,"君たちは すでに
面識があるのだったな","You already have
There was a sense",0.23076923076923078
Sophie is very popular.,"ソフィー 人気あるんですよ
かわいいし勉強できるし","Sophie is popular
Cute and I can study",0.3
Pervert.,変態,transformation,0.0
What did you say?!,"（由希奈）え？
（剣之介）何？","?
 What?",0.3333333333333333
He is a valuable combat resource.,彼も貴重な戦力なのですから,Because he is also a valuable force,0.4
I am not as kind as she is.,"私は お嬢様ほど
お優しくはありませんよ","I am so
It is not gentle",0.36363636363636365
"As you can see, GAUS 2's navigator is also
an expert of Close Quarters Combat.","見てのとおり
近接格闘術のエキスパートでもある","As you see
It is also an expert of nearly trading martial arts",0.34782608695652173
Toshiyuki Mozumi.,"ガウス２のナビゲーター
茂住(もずみ)敏幸(としゆき)だ","Gauss 2 Navigator
Shigeimi Takumi Toshiyuki",0.125
"Pleased to meet you.
Please call me Sebastian.","どうか セバスチャンと
お呼びください","With Sebastian
Please call",0.3
Sebastian?,何で セバスチャン？,What is Sebastian?,0.5
I am Miss Sophie's loyal butler.,"私 ソフィーお嬢様の執事を
務めておりまして","My Sophie's Butler
I have been working",0.3333333333333333
Butler?,執事？,Butler?,1.0
"He's also Captain of the
Japan Ground Self-Defense Force.","茂住は
陸上自衛隊の１等陸尉だ","Shigeru Shigei
He is a 1st land of the SDF",0.16666666666666666
I am still a butler at heart.,"あくまでも本分は
執事でございますから","The main part is
Because it is a butler",0.14285714285714285
Pay him no mind.,気にしないで,Do not worry,0.0
"I want you to maintain a cooperative
relationship with each other.","各員 今後も
良好な協力関係を保つように","Each member will continue
To keep good cooperation",0.1111111111111111
"-Major, I have a suggestion.
-What is it?","（トム）少佐 提案がある
（グラハム）何か？","There is a major proposal
 What?",0.2
His name is way too long!,"（トム）こいつの名前だが長すぎる
何とかなりませんか","This is the name of this guy but too long
What should I do?",0.23529411764705882
"-My name?
-You have a point.","（剣之介）名前？
（グラハム）そうだな","Name?
 That's right",0.18181818181818182
Not bad.,"（剣之介）ケン？
（トム）悪くない","Ken?
 not bad",0.4
So you're Ken from now on.,"というわけで今後
お前はケンだ","So in the future
You are Ken",0.25
Ken?!,（剣之介）う… ケン？,... Ken?,0.5
"I have to be with Ken at school, too?","あ～あ
学校でもケンと一緒か","Oh yo
Even in school, it is together with Ken",0.2222222222222222
You would call me by that name as well?,"そなたまで
その名で呼ぶか？","Up to you
Do you call it by that name?",0.42857142857142855
"That is right. Although, what is this
""persona"" you speak of?","ところで
その“キャラ”とは何だ？","by the way
What is that ""character""?",0.2631578947368421
Use your dictionary.,"辞書 引きなさい
グラハムさんから もらったやつ","Dictionary
Graham's guy I got",0.1111111111111111
"Is it just me or does Akagi
have low standards?","赤城のヤツ
志 低ないか？","Akagi's guy
Isn't it short?",0.26666666666666666
"Someone like Shirahane
is more in his league.","（茅原）まあ 異論はないが
現実は厳しい","Well there is no objection
Reality is tough",0.06666666666666667
"-What? Why?
-Then I'll ask.",（アルマ）え～？ 何でよ,?Whatever,0.1111111111111111
Is it true that you're living with Oma?,"青馬君と
一緒に暮らしてるって本当？","With Ao horse
Is it true that you live together?",0.5
"Our place isn't that nice,
but we do have many extra rooms.","部屋だけは たくさんあるし
スクランブルとかもあるし","There are many rooms
It may be scrambled",0.09523809523809523
"-Straight out of a young adult book.
-So you eat breakfast together.","（ユン）すっげ～ ラノベみてえ
（貫和）朝ご飯 一緒なんだ","~ Ranobe
 The breakfast is together",0.11764705882352941
PERSONA,"（剣之介）き… きやら
きゃらくたーの略","Kiya
Kaga's abbreviation",0.0
Personality?,"（ユン）全裸で？
（３人）やだ～",Naked?,0.3333333333333333
Another word I don't know.,"きゃらくたー？
また知らない言葉が…","Did you cure?
Another word that does not know is ...",0.1875
The Samurai Goes to School,花と散りぬる天下無双の武士(もののふ)たち,Flower and swallowed Tenka no Samurai,0.1
"Nobunaga, time to battle!","（美少女信長(のぶなが)）ふえ～！
信長 出陣しま～す",")!
Nobunaga",0.2857142857142857
"-Glove!
-Point!",（部員）や～！ さ～！,!!,0.3333333333333333
Like this would ever kill a man!,"（剣之介）こんなもので敵が殺せるか！
（部員）面！ 胴！","Can the enemy can kill this one!
 side!Torso!",0.21428571428571427
"This is all to train for the battlefield!
Prepare yourself!",これも戦場(いくさば)の習わし　覚悟！,This is also ready to learn the battlefield!,0.42857142857142855
"I thought you were going
to cut off his head.","（由希奈）だって 本当に
首を斬り落とすかと思ったから","It is really because it is 
Because I thought that she was killed her neck",0.09523809523809523
"Look, kendo is a sport with rules.","あのね 剣道っていうのは
ルールが ちゃんとあるスポーツなの","That's why
The rule is a sport he",0.2
You can't just do whatever you want.,フフ… 殺意は否定しないんだ,Hufu ... Don't deny my intention,0.15384615384615385
"-What is this ""sport"" you speak of?
-Seriously?",何だ？ “すぽおつ”とは,"What?What is ""Popo""",0.3076923076923077
It's exercising your body for your health.,"（由希奈）決まってるでしょ
健康のために体を動かすこと","is decided
Move your body for health",0.36363636363636365
Um...,（茉莉那(まりな)）あ… あの…,A ... that ...,0.25
"Lord Kennosuke, you may have
to learn the history of our country.","この国の歴史を
勉強する必要があるかもね","History of this country
You may need to study",0.35294117647058826
"-In that case...
-History?!","（茉莉那）そ… それなら…
（剣之介）歴史？","... if that ...
 Historic?",0.3333333333333333
"You mean the ""Unify Japan"" show?","“天下布武しちゃうぞ”
とかいうあれか","""Tenka Murabu will be""
Is it so?",0.1875
