en_text,jp_text,google_translated,score,semantic_score
Can't something fun happen for once?,"（アマンダ）あ～あ
何か面白(おもしれ)えこと ねえかなぁ―","Oh
Something funny",0.1,0.26479334
Every single day bores me to death.,"毎日 くっそ退屈だぜ
規則に 課題に 罰当番","It is boring every day
Positive numbers for the rules",0.125,0.3305951
When's that?,"（アッコ）いつ？
（アマンダ）あした","When?
 tomorrow",0.4,0.56812066
I mean it this time!,今度こそ 絶対だ！―,This time is absolute!-,0.3333333333333333,0.53491366
"Anyway, what's got you so focused?","ん？
てか 何してんだ？ さっきから","Yeah?
What do you do?After a while ago",0.2,0.2295417
Doing research about the Words.,言の葉について調べてんの,Check the leaves of words,0.2222222222222222,0.52249825
The Shiny Rod will lead me to the Words!,"そして シャイニィロッドは
あたしを言の葉へ導いてくれる！","And shiny rod
I will lead you to the leaves of words!",0.5714285714285714,0.8986926
"Look, the Shiny Rod!",シャイニィロッドが！,Shiny Rod!,0.5,0.8817543
"The fifth Word, I see.","（アーシュラ）
５つ目の言の葉ね―",The fifth word leaf-,0.375,0.6614194
This one is related to ancient history and tradition.,"これは
古い歴史や伝統に関係があるの","this is
It is related to old history and tradition",0.5833333333333334,0.8741595
History and tradition?,歴史に伝統？,Tradition in history?,0.6,0.940215
When can I expect the materials I requested of you?,"頼んだ資料は いつになったら
用意できるんですか？","When the material you asked is when
Can you read it?",0.3333333333333333,0.63090724
M-My apologies!,（アーシュラ）ヒッ！,Hi!,0.25,0.24868771
I'll be right there!,今すぐに！,right now!,0.2857142857142857,0.48985344
"Sorry, Akko! Just give me a minute.","ごめんね アッコ
ちょっと待ってて―","Sorry Akko
Wait a minute-",0.25,0.86603916
"She said ""Cavendish"", right? I wonder\Nif something happened to Diana.","“キャベンディッシュ”って
ダイアナが どうかしたのかな？","""Cavendish""
Diana how did she did?",0.35294117647058826,0.88072354
"I was at the club the other night, and I heard that the legendary Holy Grail is in Brightonbury.","聖杯は エイプルトン校に
そりゃあ大事に隠されてるって話だ","Holy Grail is in Aipton
Well, it is a story that is hidden in important",0.24,0.46510887
The legendary Holy Grail?,聖杯の伝説？,The legend of the Holy Grail?,0.5714285714285714,0.92646533
Seems that it was used in one of Appleton's\Ntraditional ceremonies of some sort.,"“伝統”の儀式に
使われてたんだとよ","In the ritual of ""tradition""
It was used",0.2777777777777778,0.5263617
And Appleton Academy was...,エイプルトン校って 確か…,Aipton Currently ...,0.14285714285714285,0.16387324
It's a famous school bearing more than one thousand years of history.,"（クロワ）1000年以上の
歴史と伝統がある名門校ね","More than 1000 years
Meistical school with history and tradition",0.2631578947368421,0.65870726
"Sorry, I didn't intend to eavesdrop.","ごめんね 立ち聞きするつもりは
なかったんだけど","I'm sorry I'm sorry
I did not",0.2727272727272727,0.3758373
"That said, I was surprised to learn that you're looking for the Words.","それにしても あなたが
言の葉を探しているなんて…","Even then you
I'm looking for a leaf of words ...",0.2272727272727273,0.6447803
Do you know about the Words?,"先生も
言の葉のこと知ってたんですか！？","Also
Did you know the leaves of words!?",0.4166666666666667,0.6999293
Maybe you have some idea of the one that's related to history and tradition?,"“歴史と伝統に関係ある言の葉”
ヒント 知りませんか？","""Leaves of words related to history and tradition""
Hint Do you know?",0.3478260869565217,0.621538
"But if you can discover the seven Words, that may shed some light on why Chariot du Nord disappeared...","でも あなたが
７つの言の葉を探し出せれば","But you
If you find 7 leaves of seven words",0.2,0.51142687
But Professor Ursula...,"でも アーシュラ先生が…
（アマンダ）はあ？―","But Mr. Arshura ...
?-",0.25,0.20280656
What?!,"（アッコ）あっ！
（クロワ）かもしれない","!
 may be",0.2,0.31132448
"Whatever, let's go!",いいから 行こうぜ！,Let's go because it is good!,0.4,0.6282878
"Hey, wait! Amanda!","（アッコ）
ちょ… ちょっと アマンダ！",Cho ... A little amanda!,0.2222222222222222,0.64040893
Take care.,気を付けて,take care,0.6666666666666666,0.8888153
