en_text,jp_text,google_translated,score
How to contact Luna Nova?,"（フランク）
ルーナノヴァの連絡先？",Lou Nava contact?,0.25
"Yeah. If you know their number,\NI'd appreciate if you could tell me.","（アンドリュー）
ああ もし知っていたら
教えてくれないか？","Oh if you know
Could you tell me?",0.375
I need to talk to Kagari Atsuko.,"カガリ･アツコと
連絡を取りたいんだ","With Kagari Atsko
I want to contact me",0.25
What are you talking about?,"（アンドリュー）
ん？ どういう意味だ？",Yeah?What do you mean?,0.3333333333333333
"She left her hat in my car, so I simply wanted to inform her before she misses it.",知らせようと思っただけなんだが,I just wanted to let me know,0.13636363636363635
"Aw man, how boring.",なあんだ つまらない―,Nana-boring-,0.0
"Unfortunately, the witches are on a different network than ours.",残念ながら 魔女たちは―,Unfortunately the witch-,0.15384615384615385
Why don't you hand deliver it to her instead?,"（フランク）直接 届けてあげたら
いいんじゃないか？","If you receive it directly
Isn't it good?",0.25
"I could, but I get the feeling we'll meet again soon enough.","まあ 近いうちに
また会うこともあるだろう","Well nearly
There will be something to meet again",0.09523809523809523
No goal! No goal! No goal!,ノーゴール！ ノーゴール！,Norgoll!Norgoll!,0.25
The results of that soccer match have escalated into this?,"あのサッカーの試合
こんな大騒ぎになっているのか","That football match
Is it such a fuss?",0.17647058823529413
It looks like some of them are only in it for the entertainment.,"面白半分に参加してるヤツも
いるようだが","The guy who participates in a fun half
It seems that",0.14285714285714285
I think so too. They want to ride the wave and go wild.,"便乗して
ただ 暴れたいんだよ―","To take advantage of
I just want to go wild-",0.21052631578947367
It's a site where people go to,"隣国への反感を
ぶちまけたサイトだ―","Anti-sense to neighboring countries
It is a buzzing site-",0.21428571428571427
"""ER""?",ＥＲ？,ER?,0.5
Emotion Refresh. It's an app with some sort of healing effect.,ヒーリング効果があるアプリだ―,It is an app that has a healing effect-,0.2222222222222222
It feels like everyone's been using it because of the tense atmosphere in town.,"この騒ぎで
町中が いらついてるせいか―","In this fuss
Is it because the town is missing-",0.2631578947368421
Take action!,♪Take Action！,♪ Take Action!,0.75
Raise your hands!,♪Raise your hands！,♪ RAISE YOUR HANDS!,0.8
"""One scene"" shattaa kiru you ni setsuna wo utsushite","♪“One Scene”
　　　シャッター切るように","♪ ""One Scene""
To cut the shutter",0.25
tsukuriageru na mo naki hitotsu no story,♪名も無き一つのStory,♪ Nameless story Story,0.1111111111111111
Every single one of us can become a hero,"♪私たちは誰だって
　　　ヒーローになれる","♪ Who is
Become a hero",0.25
"kanousei wo himeta sonzai, sou deshou?","♪可能性を
　　秘めた存在、","♪ possibilities
Hidden existence,",0.08333333333333333
"Keep it up, and we can create a brand-new future","♪きっと新しい未来を
　　　　　描き出せるんだ","♪ surely a new future
I can draw it",0.25
donna toki mo shinjiteiru yo,♪どんなときも,♪ Any case,0.0
I'll always believe no matter what,♪信じているよ,♪ I believe,0.25
In this world and in my dreams,"♪この世界を、
　　　　自分の夢を","♪ This world
Your dream",0.2222222222222222
So off I go!,"♪決めたよ
（♪恐れないで try again）",♪ I decided,0.14285714285714285
It's showtime!,♪It's Showtime！,♪ IT's showTime!,0.8
Oh I don't want to miss a thing,"（♪（Oh）I don't want to
　　　　　　　miss a thing）","I Don't TO
MISS A THING",0.7777777777777778
Starting from here,♪この場所から,♪ From this place,0.16666666666666666
but also unlocked the fifth Word along the way.,"５つ目の言の葉まで
手に入れてくるなんて","At the fifth word leaves
I will get it",0.2
And now there are only two more Words left!,これで 残る言の葉は あと２つ！,There are two more letters of the word left!,0.42857142857142855
You've finally reached the sixth Word.,"（アーシュラ）
ついに ６番目まで来たのね",Finally she came up to the sixth,0.25
How do you read it?,"（アッコ）６番目の言の葉
何て読むの？","6th word leaves
What do you read?",0.4
Lyonne.,（アーシュラ）“リュオーン”,"""Rhoan""",0.0
That's it? It's short!,（アッコ）それだけ？ 短！,Is it just?Short!,0.5
Ryuong is one of the most precious words there is.,"“リュオーン”は
最も大切な言葉の１つ","""Rhong"" is
One of the most important words",0.42857142857142855
Only those who understand its true meaning\Ncan see the light at the end of their paths.,その言葉を身につけた者のみ,Only those who have acquired the words,0.21052631578947367
"Professor Ursula, do you know what it means?","アーシュラ先生 その言の葉のこと
何か知ってるの？","Arshura Teacher's Leaf
Do you know something?",0.26666666666666666
Aren't I always saying that only when you realize each Word's value in your heart will its magic be released?,"言の葉は 自分で気付いて
心から発したときだけ","I noticed the leaves of words
Only when I emit my heart",0.13333333333333333
"I know, but still...",分かってるけどさ―,I know-,0.14285714285714285
"It feels like I'm this close to Chariot,\Nand I can't wait any more!","何だかシャリオに近づいた気がして
待ちきれない！―","I felt like I was approaching Shario
I can not wait!-",0.16666666666666666
"Chariot made it up to the next Word too, right?","確か シャリオが集めたのが
次の言の葉までだったよね？","Certainly Surrio collected
It was the leaf of the next word, right?",0.3888888888888889
Yes.,ええ,Yes,0.5
Ryuong...,大切な言葉… か,Important Word ...,0.25
"I can't find it if I look, but if I don't, I can?","探すと見つからないのに
探してないと見つかったり―","I can not find it
Found unknown-",0.26666666666666666
Why are the Words so complicated?,"言の葉って
ひねくれてんじゃない？","Leaf
Aren't you worried?",0.18181818181818182
Akko.,"（バーバラ）アッコ
（アッコ）え！？","Akko
!?",0.25
I guess even you use the library sometimes.,"（ハンナ）あんたでも 図書室を
利用することなんかあるのね","Anata, the library room
There is something to use",0.1875
Not really.,別に,Separately,0.0
Then what do you want?,な… 何？,... what?,0.2857142857142857
Thank you.,"（ハンナ･バーバラ）
ありがとう",Thank you,0.6666666666666666
You brought Diana back.,"（バーバラ）
ダイアナを連れ戻してくれて",Take the diana back,0.2857142857142857
Yeah...,あ… うん,Oh ... yeah,0.6666666666666666
But you did what we couldn't.,"（ハンナ）
でも 私たちじゃ できなかった",But I could not do it,0.16666666666666666
I'm grateful to you.,"（アッコ）お礼なんて…
あたしが勝手にやったことだし","Thank you ...
I'm doing myself",0.3
Um...,（アッコ）あ…―,...-,0.3333333333333333
You're welcome.,（ハンナ）ありがとう,Thank you,0.2
"Did you come to the library to study, Akko?","（クロワ）
アッコが 図書室で お勉強？",Akko studied in the library room?,0.3076923076923077
Is it really so strange to see me here?,"あたしが ここにいるの
そんなに変ですか？","I am here
Is it so strange?",0.5
"That's right, but I can't find any clues at all. Professor Croix,","そうなんです
でも 全然 分かんなくって","That's right
But I can not understand at all",0.3684210526315789
"have you heard of ""Ryuong""?",“リュオーン”って知ってます？,"Do you know ""Rhong""?",0.36363636363636365
That's it!,そうです！,that's right!,0.6
Wagandea?,ワガンディア！？,Wagandia!?,0.25
This is...,これは…,this is…,0.25
"The legendary tree, Wagandea.","（クロワ）
伝説の木“ワガンディア”よ","Legendary trees ""Wagandia""",0.1
