en_text,jp_text,google_translated,score
Are you frightened?,"（クラスティ）
おじけづきましたか？",Did you praise?,0.3333333333333333
"Princess, I must return to my guild for a time.","姫 私は一度
ギルドに戻らなくてはなりません","Princess I once
I have to return to the guild",0.3333333333333333
They will accompany you until I return.,その間は彼らがお供をします,Meanwhile they will receive,0.2
"I am Shiroe, of Log Horizon.","ログ･ホライズンの
シロエといいます","Log Horizon
It is called Shiroe",0.2727272727272727
This is Akatsuki.,で こちらがアカツキ,So this is Akatsuki,0.6
P-Pleased to meet you.,よ… よろしくお願いします,Yo ... Thank you,0.125
"Um, so... Where do I start?",あの それで まずは何を？,"That's that, what do you do?",0.23076923076923078
"For starters, here in the street \Nis not the place. Shall we go?","とりあえず こんな所では何ですし
行きましょうか","For now, what is this place
Shall we go",0.3157894736842105
And I was only a blacksmith to begin with...,"つか オレはもともと
鍛冶屋だったんだがな","Tsuka Ore originally
It was a blacksmith",0.21428571428571427
"Now, what to do?",さて どうまとめるか,Well what to put,0.25
"Sir Soujirou, this custard is delicious.","（フエヴェル）ソウジロウ様
この卵菓子 おいしいんですのよ","Soujiro
This egg confectionery is delicious",0.2727272727272727
Thank you.,（ソウジロウ）ありがとう,Thank you,0.6666666666666666
Um...,（ナズナ）ぐぬぬ…,...,0.5
Sir Soujirou is tired.,"（フエヴェル）ソウジロウ様は
疲れていらっしゃるのですよ","Soujiro is
I'm tired",0.25
"No, I will!",（姫）いいえ 私が！,No I!,0.6
This is part of the job. \NThis is part of the job!,"これも仕事のうち
これも仕事のうち","This is also a job
This is also a job",0.2727272727272727
"Let's all get along,",仲よくしようよ ね？,Do you get along well?,0.2
Yes...,はーい,Yes,0.5
Is that some kind of event?,"（リコピン）
あれって何かのイベント？",What is the event?,0.3333333333333333
Maybe it's just cosplay?,"（スマッシュ）さあ
何かのコスプレじゃねえの？",Something is not a cosplay?,0.2
You're walking a bit fast...,"（レイネシア）
歩くの ちょっと速いんですけど",It's a bit fast to walk,0.2727272727272727
"Hello, I am Karashin, the trader.","（カラシン）私は交易商人の
カラシンと申します","I am a trading merchant
My name is carasin",0.13333333333333333
A pleasure to meet you.,"コーウェン家の娘 レイネシアです
どうぞよろしくお願いします","Kawen's daughter Leisesia
Nice to meet you",0.2727272727272727
"A real princess, huh?",リアル姫様か 聞いてた以上だ,It is more than hearing that Real Princess,0.16666666666666666
I think we need something with impact.,"やっぱりインパクトが欲しいね
第一印象でグッといかなきゃ","After all I want an impact
I have to go with the first impression",0.16666666666666666
Do you have Valkyrie mail?,ヴァルキリー･メイルある？,Is Valkly Mail?,0.25
"We have about seven types,","うちのオリジナルコーデも合わせて
７パターンくらいなら","Match our original corde
If it is about 7 patterns",0.06666666666666667
"between model variations and \Nour own, original designs.","（カラシン）
モデルチェンジ分と―",Model Change /,0.08333333333333333
One with a required level under 4.,装備レベルが４以下なら平気かな,If the equipment level is 4 or less,0.14285714285714285
U-Um...,"（リリアナ）あ… あの
（レイネシア）ん？","Oh ... that
?",0.2
"Oh, wow! It's a real princess!","（タロ）やばっ
ホントに姫なんだけど！",It really is a princess!,0.36363636363636365
She's so cute!,（アシュリン）かわいいですね,is cute,0.16666666666666666
She smiled!,笑った！,Laughed!,0.25
"This is a one-handed weapon, \Nwith high attack power.","（カラシン）これなら片手持ちで
攻撃力も高いけど","If this is a single ticket
Although the attack power is also high",0.35294117647058826
"Princess, are you hungry?","（タロ）姫 姫 お腹すいてない？
（シロエ）見栄え優先で…","Princess Hime no hungry?
 Great lookup priority ...",0.25
"Yes, I suppose...",あ… ええ まあ,Oh ... yeah,0.14285714285714285
She ate it!,（タロ）おお 食べた！,I ate!,0.4
She eats like a princess.,"（アシュリン）
食べ方がお姫様してます",How to eat is a princess,0.2
Do you like it? It's called a Crescent Burger.,"クレセントバーガーって
いうんですよ","Crescent burger
It is said",0.23076923076923078
"Princess Lenessia, here.","（シロエ）
レイネシア姫 これを",Reinesian princess this,0.14285714285714285
"Akatsuki, help her get changed.",アカツキ 手伝ってあげて,Help Akatsuki Help,0.2857142857142857
Right.,（アカツキ）うむ,Um,0.0
"We'll help, too.",（リリアナ）私たちも手伝います,We also help,0.2857142857142857
Eh?,え？,picture?,0.3333333333333333
This armor emphasizes the lines \Nof my body a bit too much...,"このヨロイ 体の線が
強調されすぎるというか―","Line of this yoroid
Is it too emphasized-",0.10526315789473684
Special Dressing Room \NPeek and Be Sent to the Cathedral,我慢して,be patient,0.09090909090909091
"You're tall, so it has to.","（アカツキ）
背丈があるから
しかたない","Because there is a tall
it can not be helped",0.11764705882352941
Deal with it.,"こう…
増量されてるというか","shell…
It is said that it is increasing",0.1111111111111111
Right...,（レイネシア）ううっ… はい,Uh ... yes,0.25
"Yes, I think it's beautiful.",ええ 大変美しいと思いますよ,Yeah I think it's very beautiful,0.5
A lot more people are in \Nfull gear all of a sudden.,ログ･ホライズンのシロエです,It is a siroe of log horizon,0.11764705882352941
"Yeah, are they handing out a quest?","（リコピン）
うん クエストの公布かな？",Yeah? Is it a promulgation?,0.25
"Thank you for coming so early \Nin the morning, everyone.","集まっていただき
ありがとうございます","Thank you for collecting
thank you",0.23076923076923078
"Our situation is pressing, \Nso I'll get right to the point.","戦況は差し迫っていますので
早速 現状を説明します","Because the war situation is imminent
Explain the current situation immediately",0.15
has appeared in the northern Kanto hills.,"関東北部の丘陵森林地帯に
最大２万弱のゴブリンが発生","In the hill forest area in northern Kanto
Up to 20,000 goblins outbreak",0.25
"Even if we leave them alone, \NEastal will not be wiped out,","仮に放置しても
イースタルは全滅しませんが―","Even if left left
Easter is not annihilated-",0.17647058823529413
