en_text,jp_text,google_translated,score,semantic_score
"""Hello.","〝ハロー ワールド
ハロー シロエ〞","""Hello World
Hello Siroe",0.4,0.6350176
"but for my first word, a greeting is appropriate.","〝最初の言葉は
挨拶がふさわしい〞","""The first word is
Greeting is appropriate """,0.38461538461538464,0.8303365
"'Shiroe, of Log Horizon.'",“ログ･ホライズンのシロエ”,"""Log Horizon's Shiroe""",0.18181818181818185,0.94375414
"When I heard that name, I felt so strange.","“その名前を聞いて
私は不思議な気分になったものだ”","""Listen to that name
I felt strange",0.38461538461538464,0.66361356
Because your memories are still within me.,"“私の中には
あなたの記憶が残っているからだ”","""In me
Because your memory remains """,0.25,0.6340398
"Just like you are beings who have \Ncome to this world from another,","“異なる世界から この世界へ来た
存在であるように―”","""I came from different world to this world
As existence- """,0.2,0.5581762
My name is Roe 2.,“私の名前はロエ２”,"""My name is Lee 2""",0.4444444444444444,0.3584391
We call ourselves the Navigators.,"“私たちは
私たちを航海種と呼ぶ”","""we
We call us a sailing species """,0.18181818181818185,0.6298105
"And at the same time, I'm also your little sister.""","“同時に 私自身は
あなたの妹でもある”","""At the same time myself
Your sister is also """,0.4117647058823529,0.73278713
"What should we make today, Nyanta?","今日は何にしましょうねえ
にゃん太(た)さん？","What do you do today?
Nyan ?",0.2727272727272727,0.49651492
"I know you just got back, \Nbut can you tell me the details","（シロエ）早速だけど
詳細を聞かせてくれる？","It is immediately
Can you tell me more?",0.2222222222222222,0.2586196
about this new type of monster?,新種のモンスターのこと,New species of monsters,0.2222222222222222,0.7985272
"The genius of marriage, Camaysar.",“結婚の典災(てんさい)”カマイサル…,"""Casual disaster of marriage"" Kamisar ...",0.15384615384615385,0.4743825
That was more like marriage fraud than marriage.,"（ナズナ）結婚というより
結婚詐欺だろ ありゃあ","rather than marriage
It's a marriage scam",0.15384615384615385,0.69670737
The West Wind girls were the \Nones who first found him?,"（シロエ）西風(にしかぜ)の女の子が
気づいたんですか？","The girl of the West Wind
Did you notice?",0.25,0.73100024
Yeah.,（ナズナ）まあね～,Well ~,0.0,0.41154686
"Yes, it's amazing, my lord.","うちは女子の情報網あっから
その辺すごいんだよ イシシ…","My girl's information network is
It's a side of that side ...",0.17647058823529413,0.085863516
"You also knew about it, Akatsuki?",アカツキも知ってたの？,Did you know Akatsuki?,0.3,0.8972816
"No, not at all.","（アカツキ）いや 全然
（シロエ）え？","No and at all
?",0.375,0.6513688
So what happened?,"（シロエ）
ああ… で どうなったの？",Oh ... What happened to she?,0.375,0.44617277
Well...,（ソウジロウ）それが…,That's ...,0.25,0.55281466
A second form?,（ナズナ）第２形態？,2nd form?,0.4,0.89577687
We'll attack immediately.,速攻でいきます,I will go fast,0.0,0.38740116
Nazuna!,（ソウジロウ）はあーっ！,is!,0.3333333333333333,0.37374723
My beautiful brides...,"うちの子に手を出すやからにゃ
容赦しないのさ","After going to my child
I do not forgive",0.08333333333333333,0.101607315
You guys are as crazy as ever...,相変わらず むちゃするなあ,I will do it as usual,0.08333333333333333,0.16754071
"Did you also help, Akatsuki?",アカツキも手伝ったの？,Did you also help Akatsuki?,0.8571428571428571,0.9773578
"So what is he, exactly?","で？ あいつは一体
何なんだい？","so?He is integral
What is it?",0.5555555555555556,0.49001917
Is he an enemy?,（ソウジロウ）敵なんですか？,What is the enemy?,0.42857142857142855,0.6957964
"Since they're attacking us, we have to fight.","こちらに攻撃を加えてくるんだから
戦わなきゃいけない","Because I'm addicting here
I have to fight",0.1875,0.40925217
Leave it to us.,この街を守りゃいいってことだね,It is good to protect this city,0.2,0.17825243
"Come to think of it, he was a weird enemy.","そういえば 変な敵でしたよ
（シロエ）変？","Speaking of which, it was a strange enemy
 strange?",0.375,0.73427206
"Since we came to this world, he's the \Nenemy most like those in Elder Tale.",こっちの世界に来てから一番,The most from coming to the world of this,0.2380952380952381,0.23625126
Be my beautiful bride...,（シロエ）ん…,...,0.2,0.09874691
It was like a game.,"（ソウジロウ）
ゲームみたいでした",It was like a game,0.8333333333333334,0.9700566
Sir Isaac! Sir Isaac!,"（イセルス）
アイザック様！ アイザック様！",Isaac!Isaac!,0.6666666666666666,0.8317993
How can he jump so high?,"（イセルス）あの方は なぜ
あんなに高く跳べるのですか？","Why is that person
Do you jump so high?",0.3076923076923077,0.784074
But...,（アイザック）んっ…,...,0.5,0.65562385
"You know, uh...",お前さあ…,You ...,0.4,0.42915523
I'm Iselus.,イセルスです,It is Iselus,0.16666666666666666,0.79987
And you're training the knights of Maihama.,"（イセルス）それにアキバの街では
レイネシアお姉様が―","in the city of Akiba
Reineshia My sister-",0.13333333333333333,0.25062707
I'm just doing it because I want to.,"（アイザック）
好きでやってるだけだ",I just like it,0.3,0.30491996
