en_text,jp_text,google_translated,score
...and she rode solo to the highest point \Nof the national highway!,それでその人 国道最高地点まで,"So, up to the highest point of the person",0.2222222222222222
I was really surprised!,本当 びっくりしましたよ,I was really surprised,0.8
"It's a famous touring destination, but yeah, it's amazing.",ああ 渋峠か,"Oh, it is a shash",0.21428571428571427
It was so light!,軽いですよね,It is light,0.3333333333333333
I wonder what it's like to ride one!,さばさばした感じのな,I feel like it's a mess,0.3076923076923077
"Oh, but, I have Ponta-kun, so...",う でも 私にはポンタくんがいますから,Even if I have Ponta-kun,0.3
It's just how you use it.,あら　それはいいわね,"Oh, it's good",0.2
How I use it?,使い 分け？,Use?,0.4
A folding bike is great if you need to move around at a destination.,"買い物なら
かごが付いてるのが一番便利だし","If shopping
It is the best thing to have a car",0.19047619047619047
I see... I never thought of it that way.,そういう考え方もあるんだ,There is also such a way of thinking,0.125
Episode 4,ウヒ,Uhi,0.0
Use it to suit my needs.,用途に合った使い分けか,How to use it for use?,0.3
We're going to Paca-san's store this weekend. \NWould you like to come along?,私たち 週末にパカさんの所に行くけど,We go to Paka's place on weekend,0.2
I'm so sorry!,"-ひゃい　失礼いたしました
-ちっ","-Bunyi I'm sorry
- Chis",0.375
A bicycle other than Ponta-kun...,ポンタくん以外の自転車か,Bicycle other than Ponta-kun,0.6666666666666666
"Just like Hinako-san said, \Nthere are all kinds of bikes.",やっぱり雛子さんも言ってた通り,After all Mr. Koji also said,0.125
But I have Ponta-kun...,でも私にはポンタくんがいるし,But I have Ponta-kun,0.8
But... I can't forget that \Ncool road bike I saw at Shibu Pass.,"でもでも あの渋峠で見た
ロードのかっこよさは忘れられないよ","But I saw it in that shot
I can't forget the coolness of the load",0.3181818181818182
Cycling again?,"-また自転車のこと？
-は う う","-A again a bicycle?
-",0.2857142857142857
You're really hooked on it these days.,本当 最近夢中だよね,It is really crazy recently,0.16666666666666666
I guess...,いらっしゃいパカ,I love you,0.2
"Right now, in that corner...",んまあね　ウフハハ,"Hmmm, Uhuhaha",0.1111111111111111
and beautiful...,綺麗で,Beautiful,0.3333333333333333
So cool!,かっこいい,cool,0.3333333333333333
"And yet, it's cheap!","て あれ
他の比べればって話で安くはないけど","In
It's not cheap with other compares",0.25
Why is it so low?,なんでこのお値段なんですか？,Why is this price?,0.375
"Oh yeah, this is a great bargain.",おおう　これはお買い得品だな,This is a bargain,0.4444444444444444
"I think it's the perfect size for you too, Ami-chan.",でも性能は申し分ないパカよ,But the performance is perfect,0.125
Plus what I have left from my last paycheck...,あううう,Guy,0.0
But is it really okay for me to buy it?,でも本当に買っちゃっていいのかな,But I wonder if I really buy it,0.3076923076923077
I just bought cycling shorts and other accessories...,レーパンとか買ったばっかだし,I bought a rapan or bought,0.16666666666666666
"so I won't have any money this month, or even next month!","今月どころか
来月もお金が無くなっちゃうんだよ","Where is this month
The money will disappear next month",0.21052631578947367
"What do you think, Aoi-chan?",どう思う？,What do you think?,0.7142857142857143
"You said you own a road bike too, right?","葵ちゃんも ロードバイク
持ってるって言ってたよね？","Aoi-chan is also a load bike
Did you say that you have?",0.2222222222222222
"Well, yeah.",ああ まあ,Oh yeah,0.2
It's really different from the cross bike I usually ride.,"いつも乗ってるクロスとは
別物だとは思うな","With the cross that is always riding
I think it's a different thing",0.3
"Yes, yes!",ええ,Yes,0.3333333333333333
"Oh, but...",ああ でもでも,"Oh, but",0.75
"If you put down a deposit,","頭金を入れていただければ
来月納車ということで","If you have a decay fee
About delivery next month",0.21428571428571427
With that road bike...,お取り置きもOKパカ,OK Paca,0.0
Huh?,ええ？,Yes?,0.3333333333333333
Entering a brevet or flèche \Nmight not be just a dream for you.,夢じゃないかもな,It may not be a dream,0.26666666666666666
"And it's held in regions throughout Japan,\Nso you get to try all kinds of delicious food.",日本各地で開催されるから,Because it will be held in various parts of Japan,0.2
It's a wonderful form of cycling where you can\N share moving experiences with your teammates.,素敵なサイクリングなんだ,It's a nice cycling,0.2222222222222222
"But once you get your hands on a road bike,\Nyou might be able to see a brand new world.",新しい世界が見えるかもよ,You may see a new world,0.22727272727272727
I think with this bike...,この子となら,With this child,0.2857142857142857
my world will expand even more.,もっと世界が広がりそうな気がする,I feel that the world is likely to spread more,0.13333333333333333
I'm... going to buy this!,私 これ買います,I buy this,0.375
We welcome you!,歓迎するわよ,Welcome,0.25
"It's the first time I've spent so much money,\N my knees are shaking!",ひざが震えちゃってます,My knees are shaking,0.2222222222222222
"Oh, but this bike...",でもこの自転車,But this bike,0.5
