en_text,jp_text,google_translated,score,semantic_score
There was also that one time.,（リン）あとさ あれもあったよね,There was also another,0.375,0.6523406
The bread Mel had baked for \Nus that was way too hard,"メルの作ってくれたパンが
硬すぎてさ","The bread made by Mel
It is too hard",0.3125,0.81090915
It was the first time I've ever\N seen grandfather so flustered.,"（リン）
あんな慌てたじいちゃん
初めて見たよ","Such a stinge-chan
I saw for the first time",0.2222222222222222,0.30383816
All of us together...,ずっと みんなで,Everyone all,0.16666666666666666,0.6076108
I'm not lying.,うそなんか つきませんよ,I'm sorry,0.3333333333333333,0.3500234
I give up.,（アル）僕も,I,0.25,0.31331494
"Hey, you two!",（ナール）ちょっと あんたたち！,A little annoying!,0.125,0.25145948
This is bad.,大変だ,Tough,0.0,0.22650088
Hey!\N Someone help me out here!,ちょっと誰か 手伝っとくれ！,Someone someone help me!,0.5,0.7311556
"That's pretty absurd, walking \Nall the way here from Dandera village.","（トロ）
ダンデラの村から歩いて来たなんて
ムチャして","I've been walking from the village of Dandela
Mucible",0.2,0.6821709
"Thank you ma'am, \Ncould I have seconds?","（リン）
ありがとう おばさん
おかわり","Thank you aunt
seconds",0.3,0.5180223
Rin! Show some restraint!,"（アル）
ちょっ！ 遠慮してくださいよ",Chicken!Please do not hesitate,0.1,0.3503429
Do you think the minstrel hunters\N burned that village to the ground?,"（男１）
村が焼かれちまったって
吟遊詩人狩りかな？","The village was baked
Maybe poet hunting?",0.17647058823529413,0.59503555
to arrest people who \Nare involved with singing.,"歌に関わる人を
捕らえてるらしいんだよ","People involved in the song
It seems to be caught",0.1875,0.46590418
Who would've thought there'd be a songstress in such a rural area. \N,"（男２）
あんな田舎に歌い手がいたのかよ
もしかして…","Was there a singer in such a countryside
Maybe ...",0.2,0.67222744
"Don't mind them,\N just continue eating.",気にしないで ゆっくり食べな,Don't worry slowly,0.16666666666666666,0.35732174
So it was because of \Nmy singing after all..,"やっぱり 私が言いつけ破って
歌っちゃったせいなんだ","After all I wrote
It's because I sang",0.21428571428571427,0.5969487
Because of me...,私のせいで…,Because of me…,0.4,0.88008064
That's not true!,違います！,wrong!,0.16666666666666666,0.49680266
Didn't you save him by singing that song?,"リンの歌は
人を元気にしてあげられるって","Lynn song
It can be given by people",0.125,0.26451463
"You even said so yourself,",それに姉さんも言ってました,And sister also said,0.1111111111111111,0.27809504
go to the capital to \Nsing your songs there?,王都に行って 歌を歌う,Go to the capital city and sing songs,0.4166666666666667,0.66059786
So please cheer up.,リンが元気出さなきゃ,Lynn has never been afraid,0.0,0.077517755
Al...,アル…,Al ...,1.0,0.9999998
Okay.,うん,Yes,0.0,0.29613975
