en_text,jp_text,google_translated,score
"Okay, let's do this!",それじゃ、この問題を――,"Well then, this problem-",0.2
"The wrapping is a uniform, argh,\Nit's not an act, pooh",接近3ピクト するまでってちゅーちょだ やん☆,It is a churche until the approaching 3 pictures ☆,0.15
"Gotta do your best, gotta just do it",がんばって はりきって My Darlin' darlin' P L E A S E!!,Do your best and get MY DARLIN 'DARLIN' P L E A S E !!,0.15
Between sweat \Nsweat,泉――っ,Fountain,0.0
"I love you... Oh wait,\None of those was different",あ、英語の教科書忘れちゃった,"Oh, I forgot to use English",0.1875
The heated body of that\Nflying you-know-who,向こうも英語あったでしょ,The other side was also English,0.09090909090909091
Da da da da da,ありがとー,thanks,0.0
"Yeah! Feeling of existence,\Ndot dot small planet",そういえばこなたって教科書とかの忘れ物少ないわよね,"Speaking of which, if you are a textbook or something for me",0.09523809523809523
"Collided and it melted away,\Nin total awe",でも、教科書置きっぱなしだと復習とかできないでしょ,"But if it is a subject writing, it can not be reviewed",0.10526315789473684
"Go all out to sing, shi-ranger!",全然しっかりしてねぇよ,Please do not fit at all,0.07692307692307693
Motteike!,あーそうだったね,Oh yeah,0.0
I should be the one who'll be\Nlaughing in the end,あらかじめ教科書全部置いてってるし,It will put all the textbooks in advance,0.125
It's only Monday!,テストの前日になるまで持って帰らないくらいだからなぁ,It's so hard to bring it back until the day before the test,0.13333333333333333
Kigen warui no dou suru yo?,私が宿題忘れるのもそのせいかなぁ？,I wonder if I will forget my homework?,0.07142857142857142
"Do your best, be energetic",あんたの場合は忘れるんじゃない,If you do not forget,0.1
My darlin' darlin' please!,同じクラスなんだし　みゆきに見せてもらいなさいよ,Please show me the same class,0.1
"Then, this problem...",なんていうのかなぁ…,How do you say ...,0.1111111111111111
"No, I'm not asleep, okay?",何とな～～くわかるけど　納得できないわね,"I understand what happens, but I can not be convinced",0.2
A Question of Motivation,ストップっ　遅刻じゃないですーっ,It is not a stop late,0.1111111111111111
I forgot my English textbook.,俺は良いから解散しようとか言ってくれたんだけど,I told me that I was going to break up,0.07142857142857142
Why don't you go\Nborrow it from Kagami?,人助けをしてたら遅くなりましたっ,It was late if you have a help,0.13333333333333333
"They had English class too\Ntoday, right?",その人いつも一緒に行動してるんですけど,They are always working together,0.08333333333333333
"Come to think of it, Konata,",へー,To,0.14285714285714285
I'm pretty reliable\Nabout things like that.,ずっと長い間パーティー組んでるんだから\Nこういう時はみんなで助け合およって励まし合いました,"Because I'm going to party for a long time, \ N.",0.15789473684210525
I leave all the textbooks\Nin the classroom in advance.,商店街の前で女の子がぶっつかってきまして,A girl is hitting in front of the shopping street,0.11764705882352941
"Yeah, that's right!\NYou're not reliable at all.",で、昨日も徹夜でネトゲーってわけや,"So yesterday, Netgeae is all night",0.1111111111111111
"After all, you leave\Nall the textbooks here",うちが落ちた後も延々か,Endless after the house falls,0.18181818181818182
Oh!,うぐぅ　突っ込みドコロ満載や…っ!!,Ugu ぅ 突 満 満 満 満 満 満 満 !!,0.16666666666666666
You just don't have the will to do it.,なんで私まで巻き込まれなきゃならんのか\Nと思ったんですけど,Why didn't you get caught up? I thought it was \ N.,0.19047619047619047
why don't you have Miyuki\Nshow you her homework?,どないしたんや？,What do you do?,0.3
Miyuki-san is just such a good person\Nthat it's hard to ask her.,教師として　人として,As a teacher,0.0625
"I kinda get it, but that isn't\Na satisfactory answer.",あー先生　すみません,"Oh, I'm sorry I'm sorry",0.14285714285714285
"What, is she late?",うわはははははは,Wow is,0.14285714285714285
Stop! I'm not late!,まさか夏カゼとか言うんやないやろな!?,I'm sorry summer Case and I'm sorry!?,0.2727272727272727
I was a bit tardy as a result\Nof helping someone out.,てなわけで昨日はすっかり狼少年扱いでしたよ,That's why I was treated as a boy who was completely,0.2222222222222222
"I usually spend my time\Nwith this person,",ぁぁいえー病欠したいんで,"Oh, I would like to",0.16666666666666666
I see.,いつまでもたるいとか言っとらんと早よ来い,I will come to me forever,0.125
"Oh, having good comrades\Nreally is a good thing.",いや、でもこなちゃんは喉で息する割合が多いんだよ,"No, but this is a lot of percentage of sore throat",0.17647058823529413
"On and on, after I logged out?",鼻から入ったら鼻風邪引くわけでしょ？,"If you get out of your nose, do you get angry?",0.1875
"I thought, ""Why do I have\Nto run away with her",何もやる気しない―――っ,I don't feel anything---,0.125
we entered a café to escape\Nfrom the taiyaki shop owner...,だから喉風邪引く人は、\Nこう、喉からウイルスを入れる確率が高いんじゃ…,"So people who get caught by throat, \ N, the probability of putting a virus from the throat ...",0.11538461538461539
"But it's a bad thing to\Npoint out all the flaws,",今日の誕生会だけど　やっぱウチでしない？,It's a birthday party today but isn't it?,0.2222222222222222
I caught a summer cold...,おう　早く来なー,I will come soon,0.1111111111111111
"Hey, Izumi, what's wrong?",あーかがみ？,"Oh,?",0.25
"Oh, Ma'am, I'm sorry,\NI'd like sick leave today...",ふーーん　いまウチでクッキー焼いてるんだけどなァ,"I'm cooking cookie in Uchi, but I'm sorry",0.2222222222222222
"And so, yesterday, I really felt like",ならば私も差し上げてしんぜよう,"If so, I will give you",0.25
You reap what you sow.,何だろ,What,0.2
Huh?,何これ？,What's this?,0.2
"Well, of course she'd breathe\Nthrough her mouth too,",ペアのイヤリングだぁ,It is a pair of earrings,0.06666666666666667
"Oh, but the percentage in which",団長腕章　付けてみて,Try to attach the chief arms,0.08333333333333333
"You know, at times like this, how\Nabout we let Miyuki-san handle it?",あの、じゃ、これは…？,"That, this is ...?",0.17647058823529413
- Yeah...,むー　うちの制服とあんま変わんないじゃんか…,"Museu uniforms and uniforms, I'm not changing ...",0.09090909090909091
- Huh?,ToHeart!?,Toheart!?,0.2
I don't feel like doing anything.,ちょっとは遠慮しなさいよ,Please do not hesitate,0.09090909090909091
"Hey, Kagami? About that\Nbirthday party today,",ねー　困るよね　臭いのもね,"Hey, I'm troubled",0.18181818181818182
how about we do it\Nat my place after all?,やっぱりつかさが作ったクッキーおいしいね,After all the cookies made by,0.14285714285714285
That's a shame... I'm baking cookies\Nat my house right now.,そう聞くと、美味しいのと\Nそうじゃないのがある気がしてくるから不思議だよね,"If you hear that, it's strange that it's not good and \ N.",0.12
- I'm coming.,どうせだから　ケーキも食べていってよ,I'm eating cake because it is,0.2
Don't abbreviate me!,なんだと!?,what!?,0.14285714285714285
"And this is something really simple,",これはかがみのかな,This is a habit,0.2222222222222222
"I thought about all sorts of things,",しまったぁ　ズレた…,I'm sorry ...,0.09090909090909091
What's this thing?,何がだ！,What's wrong!,0.2857142857142857
Why do I have to put on\Nsomething like this?,いただきます,I'll enjoy having this,0.15384615384615385
