en_text,jp_text,google_translated,score,semantic_score
I'd rather die than spend the rest of my life in a place like this.,こんな所に　一生 閉じ込められているくらいなら→,If it is about to be trapped in such a place →,0.1153846153846154,0.44054347
Tell me! What am I?,ねえ　答えてよ！,Hey answer!,0.1111111111111111,0.34918964
"But if you absolutely insist,",ですが もし　どうしてもと望むなら→,But if you want to,0.375,0.5094969
"by the power of these holy grounds, I can grant your any one wish.",この聖宮の力をもって→,With the power of this Seijin →,0.15,0.34360644
"My king, the greatest of all those who wield magic,",我が王よ… 偉大なる魔法使いよ。→,My king ... Great Wizard.→,0.14285714285714285,0.79732317
let me turn your wish into reality.,あなたの願いをかなえましょう。→,Let's make your wishes.→,0.18181818181818185,0.6343634
"Boundless wealth, unimaginable power, and even  immortality are yours for the taking if you so desire.",巨万の富も 幾億の星々を統べる力も→,The power to control the huge millions of wealth,0.13043478260869565,0.48851368
"Come, tell me what it is you want.",さあ　あなたの願い事は　なんだ？,Come on your wish?,0.07142857142857142,0.42963102
My wish is...,僕の…　願いは…。,My ... Wish ....,0.6,0.74717253
"You're working so hard, Alibaba!",ふぅ～。 ≪精が出るな　アリババ。,Fu.«She doesn't get out of her alibaba.,0.05555555555555555,0.47216788
What's going on?,なんか　あったのか？ 今日は→,Something happened?Today is →,0.1,0.284355
"Oh, that greedy pig...",あの　ごうつくな…。,That's all ....,0.2222222222222222,0.16224529
What goal?,目標？ ははっ。　こいつは→,the goal?Haha.This is →,0.2857142857142857,0.72767836
I see! Youngsters and their crazy dreams.,若者は そのくらい夢がなくちゃな。→,Young people have much dreams.→,0.0,0.7707144
I'm serious!,ちぇっ…　俺は　本気だっての。,Chi ... I'm serious.,0.42857142857142855,0.42772114
What are you—,お前…。,you….,0.0,0.44147956
"I was just making a meal of this delicious, sweet, red fruit!",今は　この赤くて甘い果実で→,Now this red and sweet fruits →,0.16666666666666666,0.7646612
You were just what?,「さ！」じゃねぇ。 うぅ…。,"""Sen!""Uh ....",0.0,0.11193375
"I have everything set and ready to go, so...",一度は　完全に 用意　出来たのですが　その…。,Once you have prepared it completely ....,0.1176470588235294,0.45932573
What is going on here? this... i...,どういうことだ!? いや　これは…。,What does it mean? No this is ....,0.35714285714285715,0.532274
I am so sorry.,申し訳ございません。 実は　この変なガキが…。,I'm sorry.In fact he is this strange oyster ....,0.14285714285714285,0.39395276
You're going to pay me back for those! Every single one!,貴様が弁償しろ！ 弁償が終わるまで→,Verify you!Until the end of the repire →,0.1,0.21587604
You'll work for me without pay until you do!,タダ働きしろ。→,Working with Tada.→,0.0,0.13399091
Don't you even think about getting away!,逃がさんからな。,From Sorry.,0.0,0.17405632
Damn that Budel...,くそ～　ブーデルの野郎。,A bastard of Budel.,0.125,0.76211023
What was that kid thinking?,あのガキも　ばっくれやがるし…→,That oysters will also go back ... → →,0.07692307692307693,0.09275441
This sucks.,最悪だぜ。,It is the worst.,0.14285714285714285,0.3743621
But didn't you give them to me earlier?,どうして？ さっきも　くれたじゃないか。,Why?She just did she gave me?,0.21428571428571427,0.44689795
"Man, I'm in so much trouble if I can't clear a dungeon.",こりゃ マジで　迷宮を落とさねぇと→,I'm seriously dropping the labyrinth →,0.1,0.39270604
I've got nothing.,干からびちまう。 ん？　迷宮って　なんだい？,I'm wondering from the dried.Yeah?What is he?,0.07142857142857142,0.14651932
What's a dungeon?,ああ？,Ah?,0.16666666666666666,0.06632129
You don't even know what a dungeon is?,んなことも知らねぇのかよ。,I'm not good at something.,0.0,0.26993102
Dungeons refers to the mysterious historical structures that started appearing all around the world 14 years ago.,迷宮ってのは　１４年前→,The labyrinth is 14 years ago →,0.2,0.51345086
The person who can clear a dungeon  gains a mountain of wealth and power.,そこを攻略した人間には→,For human beings who captured there →,0.05,0.19462414
"Dungeons hold gold, treasure, and mysterious magical items.",金銀財宝や 不思議な魔法のアイテムとかがな。,Golden silver treasure and mysterious magic items.,0.38461538461538464,0.6893545
What dungeons have are magical items though.,迷宮にあるのは　マジモンさ。,Majimon is in the labyrinth.,0.07692307692307693,0.27025783
Like flying carpets and endlessly refilling jars of alcohol.,ふぁ～…。　空飛ぶ布　酒の湧く壺→,Fa ....A flying cloth sake rose →,0.05882352941176471,0.18802513
But the best items are the magical djinn vessels...,究極なのは　魔人が宿る…→,The ultimate thing is the devil ... →,0.14285714285714285,0.21952625
"Mister, where would you find a dungeon?",おにいさん その迷宮っていうのは→,How are you in the labyrinth →,0.06666666666666668,0.36603847
I think we might finally be able to find one of your friends.,やっと　君の仲間が 見つかるかもしれないよ。,You may finally find your friends.,0.3125,0.76098
"Goodnight, Ugo.",おやすみ　ウーゴくん。,Good night Uoo-kun.,0.14285714285714285,0.5221169
Why on earth are you still asleep?!,≪何　寝てんだ　てめぇ！ うっ！,«What's your sleeping!Uh!,0.06666666666666668,0.5253301
