en_text,jp_text,google_translated,score
"In the wilderness, as far as the eye can see, stands a lone figure",♪♪～,♪ ♪ ~,0.0
I asked everyone to come.,みんなに 来てもらったのさ。,I got everyone coming to everyone.,0.5
He's completely trapped in darkness right now.,彼は　今 すべてを闇に取り込まれている。,He is incorporated into all now.,0.23076923076923078
The only way to free him is to break  through that darkness with your sword!,打ち払うには 君が　その剣で貫くしかないんだ。,You can only penetrate that sword to pay.,0.2
But my sword is...,でも　もう剣は…。,But the sword is already ....,0.5
"Don't worry, Amon's sword can be reforged.",大丈夫。 アモンの剣は　よみがえるさ。,fine.Amon's sword is him.,0.21428571428571427
So long as we put our powers together!,僕らが　力を合わせればね。,We will combine power.,0.07692307692307693
I told you that doesn't work on me!,また　それかよ。 俺には　効かねぇっつってんだろ。,It is also it.I'm going to work for me.,0.10526315789473684
It's made of flames!,炎だ。　あっ。,It is a flame. Ah.,0.09090909090909091
"The only magic I can use right now is heat magic. Luckily enough, your sword works with fire!",僕は　まだ 熱魔法しか使えないんだけど→,I can only use the heat magic yet →,0.3181818181818182
It's more than just luck or coincidence though.,これも　偶然じゃないよね。,This is not a chance.,0.06666666666666667
Amon's sword is back!,アモンの剣が戻った。,Amon sword came back.,0.375
So what?,だから　なんだってんだよ！,That's why!,0.0
Yeah right!,させるか！,Do you want to do it!,0.125
Attacking it will backfire on you.,そんな攻撃では　返り討ちだ。,Such an attack is returned.,0.08333333333333333
What? Did he get swallowed by the black djinn?,なんだ？ ジンの腹に　食われちまったぜ。,what?I was eaten by the belly of Jin.,0.23529411764705882
Guess he was just bluffing.,ただのハッタリかよ。　ははっ。,It's just a hatter.Haha.,0.2
I have something to tell you too.,君にも　伝えたいことがある。 ああ？,I also want to convey to you.Ah?,0.15384615384615385
W-What is that?,なっ…　んん！　なんだ？,Become ... what?,0.14285714285714285
W-What's happening...,な…　なんだ？→,What is ... what?→,0.125
Stop!,やめろ…　やめろ！,Stop ... Stop!,0.6666666666666666
Stop!!,やめろ～～!!,Stop ~!!,0.6666666666666666
Alibaba...,≪アリババくん…≫,«Alibaba-kun ...»,0.2
Where am I?,ここは？,here?,0.2
"You're inside of the black djinn, Alibaba.",そこは 黒いジンの中さ　アリババくん。,There is a black gin middle san.,0.125
