en_text,jp_text,google_translated,score,semantic_score
Who's there?,誰だ,Who,0.25,0.46585417
"I never thought that Shiba-kun would catch onto me, let alone you, Master.",先生はともかく　司波くんに気付かれるとは思いませんでした,I did not think that the teacher noticed to be aware of Kuni-kun,0.07692307692307693,0.4892467
"If you want to pull the wool over his eyes,",彼の目をごまかしたかったら,If you want to spend his eyes,0.5,0.5618675
I learned something today!,なるほど　勉強になりました,I studied so much,0.125,0.2991822
"What brings you here, Ms. Ono?",なぜ小野先生が　こんなところに？,Why Owodo is such a place?,0.07142857142857142,0.30484426
Haruka's a student of mine.,遥くんは僕の教え子だ,Haruka-kun is my teaching child,0.0,0.7227059
"So Ms. Shiba, are you entering the Nine Schools Competition?",司波さん　九校戦に出場するの？,Shiba-san?,0.07692307692307693,0.47522384
Correct! Miyuki-kun's competing in the Mirage Bat and Ice Pillars Break tournaments.,深雪くんはね,Shine,0.0,0.17919491
Two competitions? That's amazing!,すごいわね,It's amazing,0.25,0.20905411
"It would be nice if you would answer my question, too.",こちらの疑問にも答えてほしいんですが,I want you to answer this question,0.1875,0.40396717
"Even if I said no, you'd just tell them when I'm not around, right?",だめだと言っても　私がいないところで話しちゃうんでしょう,"Even if it says, I will talk in places where I do not have",0.19230769230769232,0.42469987
"All right, since Haruka-kun herself has given me the go-ahead...",じゃあ　本人の了解が取れたということで,"Well then, because the person's understanding was taken",0.1,0.14337343
Haruka-kun here is a Public Safety investigator for the police department.,遥くんは警察署公安庁の捜査官だよ,Haruka-kun is an investigator of the Police Department Police Police Office,0.4,0.9050689
"To be precise, i became a secret investigator for public safety after i was assigned as a counselor to first high school.",正確にはカウンセラーとして第一高校へ配属された後,"For exactly, after being assigned to the first high school as a counselor",0.4583333333333333,0.5906911
"that makes you my senior apprentice, Shiba-kun.",司波くんのほうが兄弟子になるのね,Shiba-kun is more brothers,0.08333333333333333,0.5209876
"Considering that, it was a tremendous Concealment spell you pulled off.",それにしては　見事な隠形でしたが,That was a wonderful concave shape,0.1875,0.18804081
"Well, that's the kind of magic I specialize in.",私の魔法特性だもの,My magic characteristic,0.07142857142857142,0.5642003
"So you're a BS Magician, then?",なるほど　BS魔法師でしたか,Was it BS magician?,0.2727272727272727,0.7012946
I don't like being referred to that way.,その肩書きは好きじゃない,I do not like that title,0.3333333333333333,0.39563447
"Shiba-kun, normally my status as an investigator would be confidential.",司波くん　捜査官の身分は本来極秘だから,Because the status of the Kun investigator is inherently,0.1111111111111111,0.48133242
So I'm counting on you to keep it off-the-record.,ほかの人にはオフレコで頼むわよ,Other people will ask for off-recording,0.0,0.4098707
"if any incidents like the Blanche plot were to happen again,",ブランシュのようなことがあったら,If there is something like Blanche,0.2,0.57346606
will you keep me informed ahead of time?,早めに情報をもらえませんか,Could you get information early?,0.15384615384615385,0.46062955
Give-and-take it is.,ええ　ギブアンドテイクで行きましょう,Yeah Give And Take,0.0,0.73544
わ,わけにいかない　強くクラクションが鳴る,I can't go there I strongly scream,0.0,0.118901804
け,わけにいかない　強くクラクションが鳴る,I can't go there I strongly scream,0.0,0.11099461
ke,わけにいかない　強くクラクションが鳴る,I can't go there I strongly scream,0.0,0.16706902
強,わけにいかない　強くクラクションが鳴る,I can't go there I strongly scream,0.0,0.118901804
ク,わけにいかない　強くクラクションが鳴る,I can't go there I strongly scream,0.0,0.12055399
ラ,わけにいかない　強くクラクションが鳴る,I can't go there I strongly scream,0.0,0.091853835
A siren sounds loudly,わけにいかない　強くクラクションが鳴る,I can't go there I strongly scream,0.0,0.2969028
鳴,わけにいかない　強くクラクションが鳴る,I can't go there I strongly scream,0.0,0.118901804
