en_text,jp_text,google_translated,score
Chise...,チセ… チセ…,Chise ... Chise ...,1.0
Chise!,チセ〜！,Chise ~!,0.6666666666666666
"We show no mercy to those who defile this knoll, Ainsworth.",この丘を荒らす者に 容赦はせんぞ,For those who destroy this hill,0.1875
"You call yourself a mage, but you're now far removed from both us and the humans.",己を魔法使いと 言い張るくせに,In a wizard with a wizard,0.047619047619047616
Are you going to become a freak of obsession?,執着の化け物に 成り果てるか！,Is it possible to get into a monster of attachment!,0.16666666666666666
You fool!,愚か者め！,Fool!,0.6666666666666666
Pitiful child.,悲しい子,Sad child,0.25
"Surrogate eyes, surrogate ears, surrogate mouth.",代わりの目 代わりの耳 代わりの口,Instead of the alternative ears,0.1
Losing a branch doesn't hurt a tree.,１つの枝が折れたとしても 樹に障りはないわ,"Even if one branch is broken, there is no disability",0.058823529411764705
"Elias, pitiful child...",エリアス 哀れな子,Alias pitiful child,0.3333333333333333
"You say you don't want to be pitied,",お前は自分を 哀れに思われたくないと言うけれど,You say that you do not want to be quite pity,0.46153846153846156
but forgive me for pitying you regardless.,やはり 哀れと 思ってしまう私を許してね,After all I think I'm sorry,0.0
"She has left you, hasn't she?",あの子は お前を置いて行ってしまったのね,That girl has put you in you,0.18181818181818182
Chise... Why?,チセ… どうして,Chise ... why,0.75
You were the one who said you'd stay with me until I was done with you.,僕が いいと言うまで,Until I say that,0.11764705882352941
"You're very much human, but the way you love is like us.",お前は人間に よく寄っているのに,You are familiar with humans,0.05555555555555555
"You shouldn't fight with your spouse,",夫婦げんかは良くないぞ,The couple is not good,0.0
though at times it may be necessary.,まあ ときには 必要かもしれないけどな,"Well, it may be necessary, though",0.5
Titania's brief lovers died the moment she took her eyes off of them.,ティターニアの 仮の恋人たちだって,Titania's temporary lovers,0.1875
"When you next catch her,",次に捕まえたときは,When you caught it next time,0.3333333333333333
"you must keep her from going outside, so that she won't escape.",逃げないように 外に出してはいけないよ？,Don't you go out to not escape?,0.14285714285714285
So don't you worry.,だから あなたは心配しないで,So don't worry,0.6666666666666666
Just stay here.,ここに いればいいわ,It should be done here,0.125
And we'll all live in the land of endless youth.,そうして 私たち,Then we,0.07692307692307693
Not that.,ダメだ それは…,It is no good ...,0.0
She thinks the way I do.,僕が考えていることと同じだ,It is the same as what I think,0.15384615384615385
You were no different.,結局 あなたも…,After all you too ...,0.1111111111111111
It can't be this way.,このままじゃ ダメなんだ,This is not good,0.1
But that's the way we are.,だけど 私たちは そういうものよ,But we are such things,0.3
"It's part of who you are, too.",それだって あなたの一部なのに,That's why not your part,0.14285714285714285
You can't be the only one who changes the way you love.,あなただけが 愛し方を変えるなんて…,You only change how to love me ...,0.17647058823529413
in order to live with her...,あの子と一緒に生きるには,To live with that child,0.3333333333333333
If Chise will touch me again...,チセが 僕に また触れてくれるなら…,If Chise will touch me again ...,1.0
I have to rethink my ways.,僕は 僕のやり方を 見直さなければいけない,I have to review my way,0.4444444444444444
"Ruth, do you know where Chise is?",ルツ チセの場所は分かるか？,Do you know the place of Rutchse?,0.3076923076923077
She's rejecting me.,拒否されてる,Be rejected,0.0
The branches of my body extend to the goddess Morrigan.,女神モリガンの影に連なる この身の枝は,This family branch is connected to the shadow of Goddess Morigan,0.23529411764705882
They sprout in all places.,いかなる場所にも芽吹く,Boil in any place,0.1111111111111111
"You may not like it, but you're still my beloved children.",お前は嫌がるかもしれないけれど,You may be disgusted,0.13333333333333333
"To atone for my inability to keep from pitying you, I shall give you my assistance.",憐みをやめることの できない償いに,In a compensation that can not be stopped,0.0
Wrap your thorns around my branches.,お前の茨を 私の枝に絡めなさい,Get involved in my branches,0.2
Let's bring your mate home.,お前のつがいを 迎えに行きましょう,Let's go to pick me up,0.16666666666666666
"Deposit the massage fee here, please.",マッサージ代は ここの口座に振り込んでね,Massage will be transferred to the account here,0.23076923076923078
What did you tell those two?,あの２人に 何を教えた？,What did you teach to that two?,0.5
We must never harm people.,我々は決して 人に仇なしてはならないと,We must never get against people,0.5
"That we must know the ways of hurting them, in order that we don't.",傷つけぬために 傷つける術を知るのだと,I know the art that hurts to hurt,0.15
Quit worrying about some strangers and care more for yourself!,見ず知らずの人間なんて 心配しないで,Don't worry about people who know,0.058823529411764705
Just give up on me.,見損なえばいいわよ,It is good if it is misplaced,0.0
"I'll leave the coven, too.",カヴンだって やめる,Stop it,0.0
You'll be better off without a troublemaker like me.,問題児がいなくなって 清々するでしょ,There is no problem with the problem and it will be clean,0.047619047619047616
You're still a child if you think you're the only one who is lonely.,自分だけが寂しいと 思っているのなら,If you think that only yourself is lonely,0.375
Do what needs to be done.,きちんと やるべきことをしてきなさい,Do what you need to do properly,0.3
"If you were the one who created the opportunity, it's your duty to help them.",お前が きっかけを作ったのなら,If you made a trigger,0.1
What do you mean by...,それって どういう…,What is it ...,0.25
It's that lowly gravedigger's brat.,卑しい墓掘りの子だ,It is a child of a lonely tomb,0.07692307692307693
I heard he talks to the dead.,死人と話すらしい,It seems to talk to the dead,0.2727272727272727
He's a witch.,穢れてる,I'm sorry,0.0
Is someone there?,誰か いるの？,Someone?,0.5
It hurts.,痛い…,pain…,0.0
please.,たの… む…,... Mum ...,0.0
You can count on me!,うん！ 任せて,Yes!Leave it to me,0.2
I will.,必ず 僕が… 僕だけが,Be sure to ... only me,0.0
let's leave this stupid village and travel together.,こんな村 出て ２人で旅をしようよ,Let's go out with two such villages,0.125
And let's live happily together.,そして 幸せに暮らそう,And I will live happily,0.3333333333333333
Hurry.,早く…,quickly…,0.0
Why do you neither get better nor worse?!,君は 治りも朽ちもしない,You don't get rid of it,0.21428571428571427
I've tried everything!,これだけ あれこれ試してるのに…,"It's about this, but I'm trying ...",0.07142857142857142
When are we going to...,いつになったら…,When when ...,0.3333333333333333
