en_text,jp_text,google_translated,score,semantic_score
You have that much trouble with a simple errand?,お使いも 満足にできないの？,Are you not satisfied?,0.15384615384615385,0.21739598
"If you don't want apprentice to be turned into an ingredient,",君の弟子を 材料にされたくなかったら,If you do not want your disciple to be ingredients,0.35294117647058826,0.5734697
"Master, why do you listen to that psycho?",なんで あんなイカれたヤツの 言うことを聞くんですか？,Why don't you hear what the guy saying such a squid?,0.21052631578947367,0.22765514
He took your arm!,腕まで取られて！,Taken to your arms!,0.25,0.721478
You don't need to concern yourself.,お前は何も気にしなくていい,You don't have to worry about you,0.3636363636363637,0.72796595
A master protects his apprentice.,師匠は弟子を守るものだ,My master is something to protect his disciples,0.16666666666666666,0.68291086
I have a plan.,大丈夫だ　考えはある,There is an idea that is okay,0.0,0.36773217
Wasn't I supposed to protect you?,あたしは あんたの護り手じゃなかったのかよ,I did not protect you,0.3,0.77832854
Please.,お願い,Please,0.5,0.8284512
"Sound, sound through the night forest.",響け 響け 夜の守歌,Sounding echo Morio,0.0,0.38751885
Let your thorns pierce the creeping hooves.,忍ぶ蹄を お前の棘が刺すように,Your wolf stabbed the hook,0.18181818181818185,0.32543206
And this is an enchanted potion for warding off nightmares.,こっちは 悪夢を避ける まじないの水です,This is a waterless water to avoid nightmares,0.1875,0.5419224
Just as I taught you.,ふむ 教えたとおりだね,It is like teaching,0.0,0.43811068
You used too much magic. It's turned into a sleeping potion.,魔力 使い過ぎて 眠り薬になってる,Magical use too much and has a sleeping medicine,0.2222222222222222,0.74616724
Work a little harder on the proportions.,もう少し 調整 頑張って,Good luck a little more,0.18181818181818185,0.2823587
This is hard.,難しいな,Difficult,0.0,0.6074809
"Since I learned of his goal, Elias seems to have decided",私が彼の目的を知ったことで,By knowing his purpose,0.06666666666666668,0.2793244
"What has an effect on what, what needs to be helped along, and what needs to be avoided...",どんなものが どんなことに影響するのか,What kind of thing do you affect,0.05,0.47933716
Strange traditions from long ago.,奇妙な習わし 古くから伝わること,Strangely learning and transmitted from old days,0.08333333333333333,0.4244205
Things that can be both medicinal and poisonous.,薬にもなり 毒にもなるもの,It will be a medicine and it will be poison,0.14285714285714285,0.59639776
