en_text,jp_text,google_translated,score
This must be...,"（ロビン）
ここが 憧れのバビルス…",This is a longing Babirus ...,0.25
"Suzuki Iruma, age fourteen.",（ナレーション）鈴木(すずき)入間(いるま)　14歳,Suzuki  Iruma  14 years old,0.2222222222222222
"One day, he became the grandson\Nof a demon called Sullivan.","彼は ある日突然
悪魔サリバンの孫になった","He is suddenly
It became the grandchild of the devil Saliban",0.15789473684210525
Sullivan loves to spoil Iruma to bits\Nand is even sending him to school.,"サリバンは入間を
デッロデロに甘やかし―","Sullivan
Pamper to Delo deer-",0.13333333333333333
But there is just one problem...,ただ１つ問題があった,There was only one problem,0.3333333333333333
The school Iruma is attending\Nis the demon school Babyls.,"人間の入間が通うのは魔界にある
悪魔学校バビルスだったのだ","It is in the devil who passes human incoming
It was a devil school Babirus",0.16666666666666666
I need to make sure they\Ndon't find out I'm human...,"（入間）人間って
バレないようにしなくちゃ","people
I have to do not barre",0.11764705882352941
"""Today is...""",（入間）“今日こそ…”,"""Today is ...""",1.0
"""Today is the day that \NI tell him how I really feel!""","“今日こそ私の気持ち
絶対に伝えるんだからぁ！”","""Today is my feelings
I will tell you absolutely!""",0.35
"""Kakeru-kun...""",“翔(かける)くん…”,"""Sho"" ... """,0.6
"""Clench!""",“ぐっ”,"""Great""",0.4
When I'm scared...,（入間）あ… “怖い時こそ”,"A ... ""I'm scared""",0.5
W-We won?,か… 勝った,Won ...,0.25
I won?!,僕が？,I?,0.5
"Everyone else was so happy, too,",すっごく うれしかった,I was so happy,0.375
And then what happened?,"（アメリ）で どうした？
（入間）え？","What happened to ?
?",0.5
What's going to happen to me after this?,このあと 一体どうなるのだ？,What will happen to this one?,0.45454545454545453
Rin decided that she was going to tell Kakeru\N how she felt and awaited him in the hallway.,"告白しようと心に決めた凛(りん)は
廊下の角で翔を待って","The 凛  who decided to confess
Wait for her Sho at the corner of her corridor",0.10344827586206896
What happens after that?!,そのあと どうなったのだ？,What happened after that?,0.5714285714285714
"""And he's with his friends.""",“しかも友達と一緒だわ”,"""And it is together with friends""",0.4166666666666667
"""My heart's pounding! What should I do?""","“心臓がバクバクする！
どーしよ 私”","""The heart is baked!
I'm sorry.",0.2222222222222222
"""What should I do? What should I do?""","“どーしよ どーしよ～”
（魔獣チャイムの声）","""How is it?""",0.3
"I'm very curious as to what happens next, \Nbut classes are about to start, so it must wait.","ああ… 先が気になるが
もう授業が始まるから仕方ない","Oh ... I'm worried about
It can not be helped because classes begin",0.1724137931034483
I shall contact you again.,また連絡する,Contact again,0.3333333333333333
