en_text,jp_text,google_translated,score
"I understand it in my head, so why can I do nothing about it?",零) 頭では分かっているのに 動けないのは何でだ,Zero) What does it do not move at your head?,0.18181818181818182
"I say I have no reason to win,  so why is it so painful when I lose?",“勝つ理由が無い”とか言いながら 負けると苦しいのは なぜだ,"Why is painful if you lose while saying ""no reason to win""",0.36363636363636365
I always take half-measures...,中途半端だ 僕は,I am halfway,0.14285714285714285
with everything.,何もかも,Anymore,0.0
He's staring at me. He's totally staring at me!,見てる… めっちゃ見てるよ,I'm looking at ... I'm looking very much,0.07142857142857142
He's huge... I'm scared!,デカい… 怖い…,I'm scared ...,0.5
Um... what's your name?,勇介) あの… お名前は？,Yusuke) That ... What is your name?,0.45454545454545453
You became a professional shogi player in junior high.,あの中学生で 将棋のプロになった,It became a professional of Shogi in that junior high school student,0.4666666666666667
I play baseball and hope to turn pro in the future.,僕は野球をやっていて,I'm playing baseball,0.14285714285714285
"Then, my dad told me about you.",父が あなたのこと 話してくれたんです,My father talked about you,0.2727272727272727
"In this world, there are kids like him who decided  their own path in junior high and then turned pro.",世の中には この子みたいに,I like this child in the world,0.16666666666666666
"If you want to become a pro,  you need to be courageous and make a decision.",プロになりたければ ちゃんと自分で勇気を出して選べ,"If you want to be a professional, you can choose yourself with yourself",0.35
A coach who helped me at a junior tournament invited me.,ジュニアの大会でお世話になった 監督が誘ってくれているので,Because the director who has been indebted at Junior tournament invited me,0.375
But I wanted to ask you something first.,でも 聞きたかったんです,But I wanted to hear,0.4
"After turning pro, you went back to high school a year later, right?",桐山さんはプロになってから １年遅れで—,Mr. Kiriyama is a year after becoming a professional-,0.15
"Looking at his serious expression,",彼の真剣な顔を見て これは うわべの答えではなくて,Look at his serious face and this is not an answer of a wow,0.17647058823529413
It needed sincere words.,そう理解した,I understand that,0.0
what should I convey to him?,何て伝えたらいいだろう,What should I tell you,0.3333333333333333
I really only specialize in shogi.,僕は本当に 将棋にしか特化してないんです,I really only specialize in Shogi,0.8571428571428571
I'm not really good at socializing.,人づきあいも苦手だし,I'm not good at people,0.5555555555555556
"I like studying, but I couldn't fit in at school.",勉強は好きだけど 学校には なじめませんでした,I like studying but I did not get to school,0.3125
I don't regret deciding on the direction of my life so early.,人生を早く決めたことは 後悔していません,I have not regret that I decided my life quickly,0.21052631578947367
I think I wanted memories of not running away.,逃げなかったって記憶が 欲しかったんだと思います,I think I wanted to remember that I did not escape,0.2857142857142857
Why am I giving a speech like this?,俺 何 語っちゃってるんだ？,What are you talking about?,0.07142857142857142
He's a junior high student whom I just met. blush,こんな 初めて会った 中学生相手に,For junior high school students who first met this for the first time,0.15
"Only I will know my own memories of ""running away"" and ""slacking off,""",逃げたり サボったりした記憶って,Sorry for the escape or sabo,0.0
"but at critical moments,  my coach often tells me to ""believe in myself.""",あ ピンチの時に よく監督に,Good to supervise at the time of pinch,0.08695652173913043
"However, if you have even one memory of  ""running away"" or ""slacking off,""",でも 自分の中に ちょっとでも,But even in myself,0.05263157894736842
"And then, you can't do it.",それができないんです,I can not do that,0.07692307692307693
"Anyway, I can't explain it well,",だから… うまく言えないけど,So ... but I can not say well,0.14285714285714285
"but you wanted to get rid of things like that, right?",そういうの無くしたかった ってことですよね,That's why I wanted to do something else,0.15789473684210525
It got through.,通じた,got through,0.5
What is this? i'm really happy.,何だこれ すっごいうれしい,What's wrong with this,0.16666666666666666
"tears would stream down my face, so I panicked.",うっかり 涙が出そうで焦った,It was hard to come out with tears,0.05555555555555555
That's how happy I was.,そのくらい うれしかった,It was so happy,0.2222222222222222
"Right. oh, but i wanted to talk a little more...",あっ でも俺…,But I ...,0.23076923076923078
He's kind of a cool guy.,何か 彼 かっこいいね,Something is my cool,0.09090909090909091
"I know, right? he's really got his act together.",でしょ？ すっごく しっかりしているの,right?It is very solid,0.11764705882352941
"So, what did you two talk about?",で 何 話したの？ ２人で,What did you talk?In two people,0.5454545454545454
"There's also tempura, a boiled egg, pickled vegetables...",あとは 天ぷらとゆで卵とお漬物と,"After that, with tempura and boiled eggs and pickles",0.17647058823529413
Thank you. I really appreciate it.,すみません 助かります,I'm sorry I'm helpful,0.1
"I couldn't fall sleep easily,",なかなか眠くならなくて,I can not sleep well,0.2
so I stayed up late solving shogi checkmate problems.,遅くまで 詰め将棋の問題を 延々解き続けた,"Until late, I continued to solve the problem of the shogi",0.16666666666666666
"Suddenly, the smell of the water and the sound of the waves climbed up to my room on the sixth floor.",ふと気づくと,If you notice,0.0
I wanted to ask you.,聞いてみたかったんです,I wanted to hear,0.42857142857142855
"Just like how he asked me,",彼が僕に聞いたように,As he heard me,0.2222222222222222
"if a day comes when I'm able to ask someone,",僕も誰かに尋ねることが できる日がくるとしたら,If I can ask someone to ask someone,0.38461538461538464
"then someday, the scenery reflected in those eyes...",いつか その目に映ってきた景色を,Someday the scenery that came to the eyes,0.3076923076923077
The stories that exist on the other side of the storm...,嵐の向こうにあるものの話を,Talk about something across the storm,0.14285714285714285
That's right.,そう—,Yes-,0.0
I still don't know the stories that are told on the other side of the goal.,ゴールの向こう側について語られる 物語を 僕はまだ知らない,I do not know the story that is told about the other side of the goal,0.5
"Right now, Hina is extremely nervous.",ヒナちゃんは今 猛烈に緊張している,Hina is nervous now,0.5
"Normally she's energetic like a ball of light,",ふだんは パーっと 元気になったり,It usually feels good,0.0
I think of it as a good characteristic of hers.,そこが 彼女の持ち味であると 思うのだけど,I think there is her own taste,0.13333333333333333
But she's currently as stiff as a board.,その彼女が固まっている,That she is solid,0.08333333333333333
"And that's because in front of her,",なぜなら目の前に 高橋君が いるからである,Because you have Takahashi-kun in front of you,0.3333333333333333
"Freeze man, it's been a while since i've come here.",いやー 久しぶりだな 川本んち,No long time no longer,0.0
Ughhh,ほら ヒナちゃん しっかり,Hina-chan firmly,0.0
Ahhhh,ほら ヒナちゃん しっかり,Hina-chan firmly,0.0
"Come on, Hina. Get it together.",ほら ヒナちゃん しっかり,Hina-chan firmly,0.0
Is this enough rice?,ごはん こんくらいでいい？,Is it okay?,0.2857142857142857
