en_text,jp_text,google_translated,score,semantic_score
Shogi  Hall\h,ウオ〜ッ…　でかっ！,U o ...!,0.0,0.14706197
Whose shoes are these? they're freaking enormous!,これ 誰の靴？ すっげえ！　でけえ！,Who's shoes?Sull!Hey!,0.21428571428571427,0.6154079
He's here for the qualifier for  the Shogi Dragon Tournament.,だよな 今日 棋竜戦の予選やってるもんな,I'm doing a qualifying of the game,0.05882352941176471,0.3554768
"Hey, what size is it? want to check?",ちょっと サイズいくつ？ 見てみねえ？,Several sizes?Do you look at it?,0.125,0.58317584
Rumble,"すげえ！　29,5センチ まさかの約30センチ！","great!About 30 cm of 29,5 cm!",0.0,-0.007831487
That's how he kicked that hole in the inn's wall!,さすが 旅館の壁を蹴り抜くだけあるぜ,I just kick the wall of the inn,0.2,0.658198
These are beyond human! you can't fit them into a cubbyhole!,ものが違う もう絶対 ゲタ箱入んねえ,Things are different elsewhere,0.0625,0.12139932
"But I was shocked, you know?",でも びっくりしたよな,But I was surprised,0.3333333333333333,0.62966025
"Hard to imagine the cool, stone-faced Kumakura  kicking the wall of an inn after losing a title match...",あの いつも岩のように 冷静な隈倉さんが—,That's always a rocky and a calm,0.04,0.2701725
I never realized he had so much hidden passion beneath that calm exterior.,あの静けさの裏に そんな熱さを隠していたなんて…,I hidden such a heat on the back of that tranquility ...,0.13043478260869565,0.402752
"I bet if I put these on, I can get better!",これ履いたら 俺 強くなれんじゃね？,"If you wear it, I'm getting stronger?",0.16666666666666666,0.44877115
I'll get closer to Class A!,Ａ級に近づけんじゃね？　ンンッ…,Aren't you close to the class A?Network ...,0.1875,0.56788176
I'm starting to believe that!,…とまで思えてきた！,... I think ...,0.1111111111111111,0.23139517
"What do you think? what do you think, smith? you think i can be class a?",どうよ？　どうよ スミス なれそう？　Ａ級,How is it?How do you think smith?Class A,0.4666666666666667,0.8102198
"Sorry to interrupt when you're having a good time,",うん？ 盛り上がってるところ すまんが,Yes?Where it is exciting,0.0,0.16486165
but can I have my shoes back?,靴 いいかな？,Is shoe good?,0.09090909090909093,0.5178911
Such a giant. So cool.,はぁ…　でけえ　かっけえ,Haa ...,0.0,0.13738942
Look at that trunk. that's not a professional shogi player's body.,見ろよ あの体幹 もはや棋士の体じゃねえよ,"Lookout, that trunk is not the body of the house",0.2222222222222222,0.48637787
Crap! It's already been 25 minutes?,あっ いけねえ　もう25分？,There is no more than 25 minutes?,0.21428571428571427,0.7280577
Our precious 50-minute lunch break will be over soon!,50分しかねえ大事な昼食休憩が 終わってしまう！,"50 minutes, an important lunch break is over!",0.25,0.89583534
Shogi  Hall,これだと 角の六角そばしか 間に合わないや！,If this is the hexado sightbed with the hexagon!,0.0,0.23363642
The Rookie Tournament is for  players 26-years-old and younger.,新人戦は26歳以下,Newcomer war is 26 years old,0.06666666666666668,0.45774284
"Chew, chew. players 5-dan and below can compete.",五段以下の棋士で争われる…,It is contested by a gift of five or less ...,0.0,0.24116401
You should either eat or talk.,食べるか しゃべるか どっちかにしろよ,Let's eat or talk,0.3333333333333333,0.6829049
You and I won't face off at any  class-promotion tournaments this year.,お前と俺は 順位戦で 今年は対局がない,You and I have no opponents this year in the ranking game,0.2380952380952381,0.47732553
Wipe,公式戦で戦うためには お前には なんとしても残ってもらわねば！,"In order to fight in the official game, if you remain!",0.0,0.13920406
"You need to hang in there, no matter what,  so we can battle each other in an official match!",公式戦で戦うためには お前には なんとしても残ってもらわねば！,"In order to fight in the official game, if you remain!",0.2307692307692308,0.615574
*The Legend Begins!,公式戦で戦うためには お前には なんとしても残ってもらわねば！,"In order to fight in the official game, if you remain!",0.06666666666666668,0.24217366
"""I need to hang in there""?",“お前には”って…,"""You're"" ...",0.16666666666666666,0.38869238
Where does that confidence come from?,どっから来るんだ？　その自信,How can I come?That confidence,0.4,0.80742496
"Whatever you do, make it to the finals!",ンンッ！　いいか？ なんとしてでも決勝に残れ！,"Nhen!Is it okay?Whatever, it will be left in the final!",0.2631578947368421,0.37525484
That's where our legend begins!,俺と お前の 伝説の始まりなんだぞ！,I'm the beginning of your legend!,0.15384615384615385,0.7636491
~The Rivals Are Best Friends~,俺が 見事 名人になって—,I become a masterpiece-,0.0,0.19981217
Master Nikaidou's Challenge,俺が 見事 名人になって—,I become a masterpiece-,0.0,0.26240167
"After I become a Master,",俺が 見事 名人になって—,I become a masterpiece-,0.42857142857142855,0.5279942
"I'll get featured on a program like Project X,",「プロジェクトＸ」的な番組で 特集されたとき—,"When ""Project X"" program is featured-",0.1875,0.8019387
and they'll show black-and-white  stills of that match!,モノクロ静止画像で 差し込まれるんだよ そのもようが,It is inserted in a monochrome still image.,0.0,0.28317785
That's what Nikaidou thought at the time.,そのとき 二海堂は …思った,"At that time, Daihagi was ... I thought",0.2857142857142857,0.41561794
Heartrending,…みたいなナレーションと一緒にな,... along with narration,0.0,0.15608741
Quiver,…みたいなナレーションと一緒にな,... along with narration,0.0,0.13255855
It'll have narration like that!,…みたいなナレーションと一緒にな,... along with narration,0.1,0.6111157
"Also, are you crying?",…つか もう泣いてる？,... Are you crying?,0.5714285714285714,0.80596125
"The Rookie Tournament, huh?",新人戦か　何もかも皆 懐かしい,Newcomer war or nothing is nostalgic,0.0,0.31167793
"Gasp but kid, you should only indulge in such idle chatter after you beat this old man today.",だが 坊主　そんな与太話は 今日 このじじいに勝ってからだぞ,"However, such a tapered tenth of this is after winning this day",0.14814814814814814,0.25532454
Got that?,こら,Hey,0.0,0.14531685
"A pie in the sky is tasty, but it won't fill you up.",絵に描いた餅は うまいが 腹にたまらんぞ　ハハハハッ…,The rice cake drawn in the picture is delicious but I'm hungry ha ha ha ...,0.15384615384615385,0.4090709
Right! I'm looking forward to our match today.,はい！　今日は どうぞ よろしくお願いいたします,Yes!Thank you very much today,0.125,0.2732843
I'm sorry we interrupted your lunch!,お食事中 騒いで すみません！,Sorry for the noise during your meal!,0.2307692307692308,0.57000643
"The gentle Arimoto, 9-dan, got mad! gwarrr",あの温厚な有本九段に！,That warm-headed nine steps!,0.07692307692307693,0.32594818
"Talking loudly about winning a title,  becoming a Master, and going on NHK's Top Runner...",大声で 賞を取りたいだの—,I want to take a prize loud-,0.043478260869565216,0.3098623
"you're always doing that ""Oh, I'm not greedy"" air, like you're watching with the cool detachment of a spectator,",お前は いっつも そうやって—,You are working so always-,0.037037037037037035,0.27738506
but I know what's up.,俺には分かっているんだぞ,I know it,0.25,0.42855287
"What? about this rookie king title, you're like,",お前 新人王は—,A newcomer king-,0.0,0.63625544
"""Well, if I play properly, I can win it without much hassle.""",“まあ 順当にいけば 普通に取れるだろうし”,"""I will be able to get normally if I go to me",0.13043478260869565,0.44843286
Wh-Where is that coming from?,い… いきなり何ですか？,... What is it suddenly?,0.2,0.32754666
