en_text,jp_text,google_translated,score
MARMALADE BOY,♪～,♪ ~,0.0
ima ichiban aitsu no egao wo mitai,～♪,~ ♪,0.0
Please come!\NIt's an important match!,"（銀太(ぎんた)）
来てくれよ　大事な試合なんだ！",")
It's an important match!",0.5
I want you to be there.,お前に見ていてほしいんだ,I want you to see you,0.5
I'm just so worried about Yuu!,どうしても 遊(ゆう)が心配なの,Why is you worried about Yuu,0.2727272727272727
Is it Yoshimitsu Miwa?,もしかして 三輪由充(みわ よしみつ)さん？,Maybe Yoshimitsu ?,0.3333333333333333
I'm a bit nervous.,ちょっと緊張するぜ,I'm tense a little,0.375
"Meiko, I can't leave Yuu alone.",茗子(めいこ)… 私 遊を放っとけない,Meiko  ... Do not leave my own,0.14285714285714285
"I want to be by his side, so...",そばにいたいの　だから…,Because I want to be soba ...,0.4166666666666667
Isn't Ginta amazing?,（麻理）ええっ？,?,0.2
Do you mind giving this to Meiko for me?,悪いけど これ茗子に渡して,It's bad but passed to this,0.13333333333333333
I'll explain it later.,"（光希）私 遊についていく
訳は あとで ちゃんと話すから","I will go to my own
Translation she later she talks properly",0.13333333333333333
Please take me with you!,お願い　連れてって,Please take me,0.5
But...,"（遊）でもな…
（光希）絶対ジャマしない","...
 absolutely not jammed",0.2
I don't have to be right there.\NI can wait outside!,"その場にいなくていいの
近くで待ってるから","I do not have to be on the spot
Because I'm waiting nearby",0.25
If you insist.\NCome along.,しょうがねえな　来いよ,Let's come true,0.0
I am not Yuu's father.,私は 松浦(まつうら)君の父親ではないよ,I'm not my father of Matsuura,0.2727272727272727
"I'm sorry, but I'm not\Nwho you're looking for.","（悟史）父さん 見苦しいぜ
今更 しらばっくれんなよ","Father is unsightly
I'm sorry I'm sorry",0.21428571428571427
"""Wrong person...\Nwrong person...""",別の人だよ 別の人だよ…,Another person I'm another person ...,0.2222222222222222
It was in Mom's old diary.,"母さんの…
昔の日記に書いてあったんだよ","Mother's ...
It was written in her old diary",0.5
She thought that you were\Nseeing Chiyako and...,"お前たち 一体 どうして
そんなふうに思い込んだんだ？","Why one of you
Do you think like that?",0.13333333333333333
...that the baby Chiyako had after\Nquitting her job and getting married...,"千弥子さんが事務所を辞めて
結婚して産んだ子供は―","Chihoko quit office
Kids who got married and produced-",0.10526315789473684
...was definitely yours.,ハァ… まいったな,Hua ...,0.16666666666666666
- Is that true?\N- Why would I lie?,ホントか？ それ,realy?that,0.18181818181818182
I knew your mother was\Nsuspicious of our relationship...,"母さんが 千弥子さんとの仲を
疑っているのは知ってたが","My mother gets along with Chihoko
She knew that she was suspicious",0.1111111111111111
So nothing happened with Chiyako?,"ホントに
千弥子さんとは何でもなかったの？","Really
Didn't anything with Chihoko?",0.18181818181818182
Nothing.,何でもなかった,Nothing,0.5
"Mom obviously\Ndidn't believe you, though.","母さんは
そう言っても信じなかったのかよ？","Mother
She didn't believe that even though she said so?",0.1875
I didn't try to explain it to her.,"いや あえて
誤解を解こうとはしなかったんだ","No way
I did not try to misunderstand",0.3076923076923077
Why not?,どうして？,Why?,0.6666666666666666
"So, Yuu, why did you think\NI was your father?","どうして
私が父親だと思ったんだね？","why
Did you think I was a father?",0.42857142857142855
I stumbled across an old letter...,（光希）アア…,Aoa ...,0.125
...my grandmother sent to my father.,"祖母が父宛てに出した古い手紙を
偶然 見つけてしまったんです","Old letters that my grandmother went to father
She has found by chance",0.25
"""Can you have a good\Nrelationship with a woman...","“前の恋人との赤ちゃんが
おなかにいる女性と―”","""The baby with the previous lover
Women with a stomach- """,0.2
"""Could you truly love that child?""","“その子供を 妻を
愛し続けていけるのか？”","""My wife
Can you continue to love?""",0.35714285714285715
"...but I worry that you won't be happy.""","“もう何も言わないけれど
お前が幸せになれるのか心配だ”","""I'm not saying anything
I'm worried that you can be happy",0.2631578947368421
That was what it said.,そういう内容でした,That's what kind of content,0.2
Did it say that I...,"父が… 要士(ようじ)が はっきり
そう言ったのではないようでしたが","My father is ... guest of the user
He seemed that he did not say that",0.25
...was the former lover?,"その手紙に“前の恋人”というのは
私だと書いてあったのかね？","The letter ""Previous Lover"" is
She was written that she was me?",0.26666666666666666
"Yes, it said\N""Yoshimitsu Miwa...""",ええ “三輪由充”と…,"Yeah ""Mitsuhiro"" and ...",0.16666666666666666
...so at least my grandmother\Nthought it was you...,"少なくとも
祖母は そう思っているようでした","at least
Her grandmother seemed so she thought so",0.21428571428571427
That's also wrong.\NYour grandmother was mistaken.,"それも誤解だ　おばあさんは
思い違いをしているんだよ","It is also a misunderstanding grandmother
She is misunderstanding",0.15384615384615385
Can't you ask your parents?,"思い切って
ご両親に聞いてみたら？","Daringly
If you ask your parents?",0.5555555555555556
I can't!,できません！,can not!,0.16666666666666666
I see.,"もう亡くなっているんだよ
（由充）そうか…","I'm dead
 It is so ...",0.1111111111111111
It's really not you?,本当に あなたじゃないんですか？,Aren't you really sorry?,0.3333333333333333
...unless there had been\Nsomething going on!,だって 何の関係もないのに―,Even though there is no relationship-,0.07692307692307693
Tell the truth! Please!,"本当のことを言ってください
お願いします！","Please say the real thing
please!",0.375
It really isn't me.,ホントに私じゃないんだ,Really not me,0.2857142857142857
To be honest...,ぬけぬけと…,Naruken and ...,0.16666666666666666
...I did fall in love with your mother.,"正直に話すと 確かに
私は 君のお母さんを好きになった","Certainly if you talk honestly
I liked your mother",0.1875
I even confessed my feelings to her.,つきあいたいと思って そう言った,I thought that I wanted to meet you,0.15384615384615385
But she wouldn't say yes.,"だが 彼女は
“うん”と言ってくれなかった","But she
She did not say ""Yeah""",0.25
I bet that boyfriend is your father.,"君の父親は
多分 その人じゃないかな？","Your father is
He maybe that person?",0.3333333333333333
We did go out to eat\Nafter work a few times.,"もちろん 仕事の帰りに食事に
つきあってもらったことくらいなら","Of course, in a meal on the way home from work
If it is about to have",0.11538461538461539
But that was all.,でも それだけだ,But that's only,0.2857142857142857
What is this?,何だよ？ それ…,What?that…,0.4
This is no joke!,冗談じゃねえよ！,It's not a joke!,0.2222222222222222
How can you make it up to me and Yuu...,あっ… あっ そうか　いや すまん,Oh ... it's going to be,0.2
"Satoshi, calm down!","さ… 悟史 落ち着け！
（光希）三輪さん…","Senior ... Gihedi calm!
 Miwa ...",0.2222222222222222
It doesn't matter.,（遊）もういいよ 悟史さん,It is already good,0.125
How can my mom\Nstay with a man like that?,"なんで あんな男と
離婚しないんだろうな うちの母親","Why is such a man
My mother who won't divorce",0.16666666666666666
The ocean is out that way.,えっ？ ああ 向こうは海岸だから,"eh?Oh, because it is the coast",0.14285714285714285
Do you mind taking her home?,うん？,Yes?,0.125
I have this sudden urge\Nto see the ocean.,"俺 ちょっと散歩してから帰るよ
なんか 急に海が見たくなった","I will take a little while taking a moment
Something suddenly wanted to see the sea",0.14285714285714285
