en_text,jp_text,google_translated,score,semantic_score
Now I'll be able to hit  you with everything...,これで思う存分ぶつけられる,This is a plug,0.0,-0.01568905
Is that it?,終わりか？,Is it the end?,0.5,0.45173085
This is finally getting interesting.,面白くなってきたじゃないか,It's interesting,0.125,0.5482725
What the hell is going on?,何が起きてんだ？,What happened?,0.25,0.3288824
They're fighting in a whole different stratosphere!,規模が違い過ぎて…,The scale is too different ...,0.07142857142857142,0.23338312
"As righteous as you try to sound, deep down, you're the same as me.",どんなにきれい事を言ったところで やはり本質は私と同じ,"No matter how beautiful the thing was said, the essence is the same as me",0.21739130434782608,0.37027353
We are freer than anyone else!,我々は誰よりも自由！,We are freedom than anyone!,0.625,0.74181175
How could I be so foolish?,僕は なんて愚かなヤツなんだ,I'm a stupid guy,0.09090909090909093,0.30612215
"It may have only been for a moment,  but I let this power control me!",ほんの一瞬でも この暴れる力に 流されてしまうなんて,"Even in just a moment, it will be flowing to this violent power",0.24,0.4425317
You're so emotionally unstable.,情緒不安定なヤツめ,Emotional unstable guy,0.125,0.6002811
"At this rate, you'll never catch up to me, no matter how far you go.",そんな様子では どこまで行っても お前は私までたどりつけまい,"In such a situation, you can go to me even if you go",0.20833333333333331,0.34685555
I am the best in the world!,私が世界一だ！,I am the best in the world!,1.0,1.0000002
How did your life end up being so hollow?,どうして あんたの人生は,What is your life,0.16666666666666666,0.33192402
"I can't judge you for the life you chose, though.",でも 僕には その生き方を責めることができない,But I can not blame how to live,0.05263157894736842,0.37187356
You were just unlucky.,あんたは運が悪かったんだ,I was lucky,0.0,0.62836504
There is no one in this world  that is as lucky as me!,私ほど運に恵まれた者は ほかにいないだろう！,There will be no other person who was lucky!,0.2222222222222222,0.8219845
Heaven bestowed these powers upon me,天が与えたこの“力”,"This ""power"" given by heaven",0.08333333333333333,0.7655619
"and made you all extras, created solely to make my star shine!",お前たちは世界の主役である私を 引き立てる端役にすぎない,You are only a terminal that brings out me who is the leading role of the world,0.03448275862068965,0.16818684
You lived in overwhelming solitude.,圧倒的に孤独な人間,Overwhelmingly lonely person,0.0,0.38379854
"I know that feeling well... living in a world where i'm completely alone, one i want to forget forever.",僕にも分かる 思い出したくもない孤独な世界,A lonely world that I do not want to remember,0.24,0.58164465
Why are you crying?,なぜ泣く必要がある？,Why do you need to cry?,0.3333333333333333,0.7601104
but I really don't want to hurt you.,本当は あんたも傷つけたくないんだ,I really don't want to hurt,0.7,0.83544034
I'm sorry...,ごめん,sorry,0.25,0.42196065
Does that mean it's over?,決着がついたということか？,Is it that you have settled?,0.2727272727272727,0.31097713
Impressive. Is that boy actually human?,さすがだ　あの少年は人間なのか？,Is that boy who is human?,0.5555555555555556,0.8647862
Nii-san... You used a tremendous  amount of power again.,兄さん また随分 大きな力を使ったね,My brother also used great power,0.13333333333333333,0.44586757
It changed.,変わったんだ,It has changed,0.5,0.70443827
This goes beyond human understanding.,人知を超えてるね,I'm over humanity,0.0,0.34687477
How can one man's powers be so immense?,個の力が ここまで大きくなりうるとは,It is possible that the power can grow so far,0.1111111111111111,0.5715887
He's already using way more power than he did when beat me.,僕を負かしたときの力は とっくに出てるはずなのに,The power when I defeated me should be able to go out,0.13636363636363635,0.5978277
"If you can't win, run.",勝てなければ逃げろ,Run away without winning,0.09090909090909093,0.69860923
"You're not responsible for any of this,",お前が背負ってる責任なんか 何もないんだぞ モブ,There is nothing responsible for you to carry,0.21428571428571427,0.38094607
I'm not strong enough.,悔しいけど 僕じゃ力不足だ,I'm sorry but I'm sorry,0.25,0.27379686
I don't have the power to show you a new path.,何か別の道を あんたに示すほどの力はない,There is no power that shows another way,0.05,0.54897696
"You awakened my destructive impulses, now you have to deal with them!",お前には私の破壊衝動につきあう 義務があるんだぞ！,You have a duty to meet my destruction impulse!,0.2777777777777778,0.67690325
