en_text,jp_text,google_translated,score
"Nice to meet you to black hanekawa-san. nice to meet you. i know that sounds strange, because i'm hanekawa tsubasa.",ブラック羽川さんへ,To Mr. Black Hagawa,0.10526315789473684
"First, allow me to thank you.",まず最初に お礼を言わせてください,"First of all, please tell me thank you",0.4166666666666667
Thank you for your bone-breaking labor for my sake during Golden Week and before the school festival.,ゴールデンウィークのときも 文化祭前のときも,Even when the Golden Week is also before the cultural festival,0.22727272727272727
My responsibility for tying you to me is not something I can ever fully make up for.,そのせいで 私に縛られてしまった あなたに対する責任は,The responsibility for you who has been tied to me,0.22727272727272727
Eraser,だから 私は 本当は あなたに こんなことを,So I really like this,0.0
For  Pencil,だから 私は 本当は あなたに こんなことを,So I really like this,0.0
"So I'm not really in a position to ask something like this of you,",だから 私は 本当は あなたに こんなことを,So I really like this,0.3125
"but if I don't do anything, my precious friends will be hurt as a result.",しかし このままでは 私は 私の大切な友人を,"But as it is, I am my important friend",0.22727272727272727
I have no choice but to rely on you. I only have you to rely on.,あなたに頼るしかありません,I can only rely on you,0.4166666666666667
So I'm saying this to someone for the first time.,だから 生まれて初めて 誰かに言います,So I say someone for the first time,0.5384615384615384
Help. Please help.,助けて… 助けてください,Help me ... please help,0.4
Please      help me please help me.,私を助けてください,Please help me,0.75
The true nature of that giant tiger named the History Tiger,あの巨大な虎 苛虎の正体というのは,That huge tiger tiger's true body,0.25
"To be more precise, it's a new aberration that my heart has freshly cut off from itself.",より正確に言うなら,If you say more precisely,0.041666666666666664
"If I say you're the incarnation of stress, the History Tiger is the incarnation of envy.",あなたがストレスの権化だと いうのならば,If you're the right to stress,0.29411764705882354
"Yet, to be honest, I really had nothing to do with this term called ""envy"" until just two days ago.",ただ この嫉妬という言葉とは 正直 言って,Just say honestly with the word this jealousy,0.10714285714285714
Graduation Certificate Award Ceremony naoetsu private high school,ほんの おとといまで 私は本当に無縁でした,I was really unrelated until just one,0.0
"However, the total amount of that envy surpassed what you'd call activation energy three days ago.",その嫉妬の総量が 一気に閾値を超えたのが,The total amount of the jealousy has exceeded the threshold at once,0.16
That day... The day of the new semester.,あの日 新学期初日,That day the first day of the new semester,0.6666666666666666
"What I saw when I headed to the dining room for breakfast,",朝食を食べようと ダイニングに向かった私が見たのは,I saw for the dining to eat breakfast,0.5384615384615384
"were the ones I would call ""Father"" and ""Mother"" already eating their breakfast.",私の父親と呼ぶべき人と 私の母親と呼ぶべき人が,People who should call my father and those who should call my mother,0.19047619047619047
"At that time, I saw it clearly with my own eyes.",私は そのとき はっきりと目撃していたのです,I was witnessed clearly,0.13333333333333333
The fact that he and she had been eating the exact same menu for their breakfasts.,彼と彼女は 同じメニューの朝食を 食べていたことを,He and she had eaten breakfast on the same menu,0.3684210526315789
Naoetsu  Headmaster,今更 家族に戻ろうとする彼らに 心底 嫉妬しました,I was cruising to them to get back to the family now,0.0
I was completely jealous of them returning to being a family after all we've been through.,今更 家族に戻ろうとする彼らに 心底 嫉妬しました,I was cruising to them to get back to the family now,0.21739130434782608
Hanekawa   Tsubasa,今更 家族に戻ろうとする彼らに 心底 嫉妬しました,I was cruising to them to get back to the family now,0.0
Graduation Certificate,今更 家族に戻ろうとする彼らに 心底 嫉妬しました,I was cruising to them to get back to the family now,0.0
This certifies  that you have  successfully  completed the  prescribed coursework,今更 家族に戻ろうとする彼らに 心底 嫉妬しました,I was cruising to them to get back to the family now,0.05263157894736842
Naoetsu  Private  High School,今更 家族に戻ろうとする彼らに 心底 嫉妬しました,I was cruising to them to get back to the family now,0.0
Headmaster,今更 家族に戻ろうとする彼らに 心底 嫉妬しました,I was cruising to them to get back to the family now,0.0
Number 1236982,今更 家族に戻ろうとする彼らに 心底 嫉妬しました,I was cruising to them to get back to the family now,0.0
"I felt like I would burn up, I was so jealous.",燃えるように 嫉妬しました,I was jealous of burn,0.3333333333333333
"That alone was more than enough to be activation energy, and the History Tiger was created.",それだけで 私の嫉妬は閾値を超え,That's all my jealousy exceeds the threshold,0.08695652173913043
"However, I feel I should no longer continue doing things of this sort.",ただ 私は こんなことは もう終わりにしようと思っています,I'm just going to finish this,0.10526315789473684
"Not just regarding the History Tiger, but regarding you as well.",苛虎のことだけではなく あなたのことも,Not only about strike tastes but also,0.11764705882352941
I'm going to redirect my averted gaze towards the front.,そらしていた目を 正面に向けます,Toward the front of the eyes,0.13333333333333333
Please come back. Please return into my heart.,私の中に 私の心に 戻ってきてください,Please come back to my heart in me,0.45454545454545453
Please come back here with the History Tiger.,苛虎と一緒に 帰ってきてください,Please come back with the tiger,0.6666666666666666
"Please. Please, I beg of you.",どうか どうかお願いします,Please ask me,0.1111111111111111
Stress and envy. Anxiety and agony. Bad possibilities and deep shadows.,ストレスも 嫉妬も 不安も 苦痛も,Stresses and jealousy are also painful,0.06666666666666667
