en_text,jp_text,google_translated,score,semantic_score
And yet sengoku nadeko so easily saw through my lies...,千石撫子が こうも あっさりと,Senishishiko is also easy,0.0,0.37003163
So there was nothing to deceive in the first place.,だから だますもなにもなかったのだ,That's why it was nothing,0.13333333333333333,0.44884533
But no i should have put more emphasis on the problems of her heart.,俺は もっと 心の問題を重視すべきだったのだ,I should have focused on my heart problems,0.35294117647058826,0.6006913
I didn't think that this girl had closed her heart to this extent.,ここまで この娘が 心を閉ざしていたとは思わなかった,I did not think this daughter had closed my heart so far,0.3684210526315789,0.8102108
It wasn't a shadow within a soul. It was a soul made of shadows.,心の闇ではなく 闇の心だった,It was not the darkness of the heart but the darkness of the dark,0.17647058823529413,0.44777238
She snubs everyone.,誰のことも相手にしていない,Who is not the other party,0.0,0.17493518
For an entire month,本当 もうウソつき,Really woiss,0.0,0.21060118
I was convinced I could create some amount of trust,本当 もうウソつき,Really woiss,0.0,0.16179222
"with Cat's Cradle, donations, and sake.",本当 もうウソつき,Really woiss,0.0,0.094018966
I thought I'd won Sengoku Nadeko's trust.,本当 もうウソつき,Really woiss,0.0,0.13649662
I was nothing but an enormous fool.,本当 もうウソつき,Really woiss,0.0,0.14240068
"Really now, you liar...",本当 もうウソつき,Really woiss,0.14285714285714285,0.22024286
Everyone... Everyone really does nothing but lie.,みんな みんな本当に,Everyone is really everyone,0.2222222222222222,0.5522652
So animation number 49,美しい,beautiful,0.0,0.19788462
"Really, so full of lies.",本当にウソばっかり,Really a lie,0.1111111111111111,0.5699529
"Really, so full of lies!",本当にウソばっかり 本当にウソばっかり,Really a lie roughly really a lie,0.1,0.5281108
"In the world, this universe, this world...",世の中って 世界って この世って,"In the world, the world is this world",0.625,0.74877304
"Really, really, really, really, really, really...",本当に 本当に 本当に 本当に 本当に 本当に,Really really really really really really really,0.3333333333333333,0.6395054
You really are a liar!,本当に もう ウソつきなんだから,Because it is really good,0.1,0.10877061
"Hah, who do you think you're talking to? And what are you talking about?",は？　誰に言っている？,teeth?Who says?,0.125,0.19150622
You make it sound like you've never told one lie in your entire life.,まるで 自分はウソをついたことが １度もないかのような言いぐさだな,It's a good idea that I have never had a lie,0.13043478260869565,0.6807389
But you've been deceiving everyone around you this whole time.,お前だって 周囲の全てを だましてきたくせに,You are all about the surroundings,0.0625,0.29877123
