en_text,jp_text,google_translated,score,semantic_score
This is a bus ticket.,"（ルーディ）
バスのチケットを買っておいたんだ",I bought a bus ticket,0.375,0.7535922
There are still ways to prove that you're innocent.,"テンマ 今 出頭して
身の潔白を証明する道もあるぞ","Temma now appears
There is also a way to prove yourself",0.15789473684210525,0.37736374
I'll help you.,（テンマ）私は,I,0.2,0.20866649
I'm not chasing after Johan to clear my name.,"自分の無実を晴らすために
ヨハンを追ってるんじゃない","To clear my innocence
I'm not chasing Johan",0.6666666666666666,0.8177896
"Thank you, Rudy.",ありがとう ルーディ,Thank you Ludi,0.3333333333333333,0.36924407
"Tenma, you aren't going to...","（ルーディ）テンマ！
君は まさかヨハンを…","Temma!
You are Johan Johan ...",0.2727272727272727,0.15637194
"You looked like an interesting fellow,\Nbut I never had a chance to meet you.","面白そうなやつだと思っていたが
いい機会がなかった","I thought it was an interesting guy
She had no good opportunity",0.16666666666666666,0.32795426
"But now we're finally friends, aren't we?",でも やっとこれで友達になれたな,But I finally became friends with this,0.21428571428571427,0.5752231
"I was cheating, too.","私も あの時
カンニングしてたんだよ","At that time
I was able to do it",0.15384615384615385,0.1847351
Did you see that sign just now?,（ジョーンズ）今の標識 見たか？,Did you see the current sign?,0.5,0.82006073
"No, sorry. I was dealing with this map.",（レイア）ああ ごめんなさい,"Oh, I'm sorry",0.25,0.29388836
Is it this way? Or maybe...?,こっち？　それともこっち？,here?Is it too?,0.3,0.18913174
Where did you get that map?,"（ジョーンズ）
どこで手に入れたんだ？",Where did you get it?,0.625,0.5116735
That's what I thought.,"（ジョーンズ）
そうに決まっとると思っておった",I thought that it was decided so,0.3,0.37377125
You'll have to deal with it since you forgot\Nyour reading glasses at the airport.,老眼鏡を空港に忘れるからだ,I forgot the eastern glasses to the airport,0.2222222222222222,0.6420829
"Wippenhausen, Ampertshausen, Gartelshausen.","“ウィッペンハウゼン
アンベルツハウゼン”","""Wippenhausen
Aberthausen """,0.14285714285714285,0.68578136
What's with those names? It sounds like you're\Nchewing on your tongue when you say them.,"何だ その どいつもこいつも
舌をかみそうな地名は","Whatever you are
The place name that looks like the tongue",0.12,0.51612526
How interesting! I wonder if German people think\Nthe same thing when they hear English.,"ドイツの人がイギリスに来ても
同じようなことを思うのかしら","Even if a German person comes to England
Do you think like the same thing",0.14814814814814814,0.5962211
"Anyway, what's the next intersection?","そんなことより
次の十字路はどうなっとるんだ？","From such a thing
What is the next cross road?",0.26666666666666666,0.63665235
Let's ask for directions.,"（ジョーンズ）
フン 大丈夫だ このまま行こう",Let's go this way,0.2222222222222222,0.36317903
What are we going to do if we get into\Nsome kind of trouble because of that?,"トラブルにでも巻き込まれたら
どうする","If you get caught in trouble
what will you do",0.2631578947368421,0.6291424
But look...,（レイア）うん でも ほら…,Yeah ...,0.25,0.37941197
"That's great, isn't it, Tenma?\NThey stopped for us.",かわいそうよ 乗せてあげたら？,"If you're pretty, if you put it?",0.15789473684210525,-0.015119919
Guten tag. Bitte...,（テンマ）グーテンターク ビッテ,Gutentek Bitte,0.16666666666666666,0.63121337
We don't speak German.\NDo you speak English?,"ドイツ語は分からんのだ
英語はしゃべれんのかね？","I do not know German
Is English talked about?",0.2,0.71582884
Give them the map.,地図を貸してくれ,Lend me a map,0.125,0.56972784
Okay.,（レイア）はい,Yes,0.0,0.29613978
Where is it?,（ジョーンズ）どこだね？　それは,Where is it? that is,0.8,0.8396194
Where's the place you want to go?,君の行きたいところだ,It is where you want to go,0.4545454545454545,0.69379693
"Um, well...",ああ えーっと…,Oh yeah ...,0.16666666666666666,0.6134683
"We're about here, so you'd\Nhave to go south for a while.","今 この辺りにいますので
ここから南にずっと","Because I am around this area now
From here to south",0.13636363636363635,0.60729074
That's the same direction we're going in.,あら 私たちの行く方向と同じね,The same as the direction of our go,0.21428571428571427,0.5587717
"Well, get in.",さあさあ ボク お乗りなさい,Come on me,0.0,0.26663414
Danke-schoen.,ダンケシェーン,Dunk scene,0.0,0.19017114
How do you know each other?,は？,teeth?,0.125,0.087166645
You're definitely not father and son.,親子でないことは確かだな,It is true that it is not a parent and child,0.13333333333333333,0.5630344
He's the child of a good friend.,は… はあ 親友の子供なんです,Has ... Has a close friend's child,0.3333333333333333,0.62098706
I can tell by your speech and demeanor.,"（ジョーンズ）
あんた 見た感じ⸺",I feel like I saw it,0.07692307692307693,0.05333497
"Honey, please stop.",もう おやめなさいよ,Please stop anymore,0.3333333333333333,0.6460018
You're being rude.,（レイア）あなた,You,0.2,0.1519679
Forgive him. He has some weird habits.,ごめんなさいね,Sorry,0.0,0.19408506
What did they say?,何て言ったの？,What did you say?,0.6666666666666666,0.6828392
It seems he used to be with the police.,いや 元警察の方だそうだ,It seems to be the former police,0.5454545454545454,0.70757484
"Let's get off, Tenma.",降りようよ テンマ,Let's get off the temma,0.4444444444444444,0.44946736
No.,いや…,Disagreeable…,0.0,0.17617646
"So... your husband must be retired and enjoying\Nsome travel with his wife, right?","ご主人が退職されて
ご夫婦でご旅行というわけですか","My husband is retired
Do you want to travel with your couple?",0.2608695652173913,0.7915948
"Ever since we got the rental car from the airport,\Nwe haven't been able to figure out the map.",地図を見るのもままならない,I can't wait to see the map,0.16666666666666666,0.4758225
I'd be much more confident if\Nwe had an interpreter with us.,"通訳代わりの人間がいてくれて
心強いよ","A person in place for an interpreter
I'm keen",0.15,0.61836237
"What should we do, Honey?",（レイア）あなた どうします？,What will you do?,0.3333333333333333,0.37269574
We have to go to the next gas station.,"近くのガソリンスタンドまで
行かなくちゃ","To nearby gas station
I have to go",0.4545454545454545,0.76831496
There's a car.,（ディーター）あっ 車 来たよ,A car came,0.3333333333333333,0.7696448
"Hey, stop! Stop!",おーい ストップ！,"Oh, stop!",0.6,0.75986516
What's wrong?,"（運転手）どうしたね？
（テンマ）ガス欠なんです","What happened?
 I'm missing gas",0.2222222222222222,0.3109335
In a place like this?\NI don't think I can help you.,こんなとこで それは困ったなあ,I'm troubled with this,0.1111111111111111,0.10304597
I can only let two of you on.,"うーん… まあ
２人までなら乗せてやれるがね","Hmm ... Well
If you can get up to two people, you can carry it",0.15,0.35284436
Mr. Jones.,ジョーンズさん,Mr. Jones,0.6666666666666666,0.9791857
But...,（テンマ）はあ…,...,0.5,0.6556247
"When I get to the next gas station,\NI'll tell them what happened.","それじゃあ 近くの
ガソリンスタンドまで行ったら","Well then near
If you go to the gas station",0.18181818181818185,0.5265483
Right. We'd be grateful if you did that.,"ああ
そうしてくれるとありがたいな","Ah
It would be appreciated if you do so",0.1875,0.3476992
That was pretty lucky.,"よかったね テンマ
ちょうどよく乗り換えができて","It was good Tenma
Just a good change",0.09090909090909093,0.24160776
"Take us to the next gas station, please.","（テンマ）とりあえず
ガソリンスタンドへ寄ってください","For the time being
Please stop by the gas station",0.26666666666666666,0.78506273
It's getting late.,（レイア）遅いですね,is late,0.16666666666666666,0.7078237
"If he told them, the people at the gas station\Nwould come for us, wouldn't they?","ガソリンスタンドの人
来てくれますよね？","Person of gas station
You will come?",0.13636363636363635,0.55040306
That man...,"（ジョーンズ）あの男…
（レイア）え？","That man ...
?",0.75,0.73470646
I've already seen it many times.,何度も目をやったから もういい,I'm already good because I did my eyes many times,0.2857142857142857,0.25150833
It's not the sun setting.\NThe sun's already gone down.,"（レイア）
あら 夕日じゃないわ あなた","Oh, it's not a sunset you",0.2,0.4729739
Look at the color of the\Nsky after the sun has set.,あの日が落ちた後の空の色,Empty color after that day has fallen,0.2,0.4975468
Watching this sky...,ロバートも見てるかしら この空を,Robert also looks like this sky,0.25,0.41372576
That's...,（ジョーンズ）うん…,Yeah ...,0.25,0.5932572
Someone's coming.,（レイア）誰か来るわ,Someone comes,0.2,0.74184626
See? I told you.,"見てごらんなさいよ
（ジョーンズ）ん？","See you
?",0.5,0.48220918
A nearby farmer gave us\Nsome gasoline and a lamp.,"ガソリンとランプを
分けてもらいました","Gasoline and lamp
I divided it",0.25,0.6438562
It's delicious.,"（レイア）ああ おいしかったわ
ねえ あなた","Oh delicious
Hey you",0.14285714285714285,0.4727525
Huh? Yeah.,（ジョーンズ）ん？　うん,? Yes,0.2,0.5612324
"Thanks to your translating the menu, we've\Nhad such a wonderful meal. Right?","ドイツ語のメニューを
訳していただいたおかげで","Menu of German
Thanks to the translation",0.2222222222222222,0.6824802
Especially that wine.,（レイア）特に あのワイン,Especially that wine,0.75,0.984157
Forster Ungeheuer. It's wine\Nfrom the Pfalz area.,"フォルスター ウンゲホイヤー
ファルツ地方のワインです","Folster Unghe Heuer
It is a wine in the Fartz region",0.1111111111111111,0.60555595
Leberknödel.,（テンマ）レバークネーデル,Leverk Nadel,0.0,0.3726592
That's it. It was really good!,"それそれ
ああ ホントによかったわ","It
Oh, it was really good",0.4,0.7002202
"If you weren't with us, we'd have probably passed\Nby the good German restaurants without noticing.","あなたがいなかったら
ドイツのおいしいところを","If you do not
German delicious place",0.13043478260869565,0.62093675
"No, thank you for treating us to a meal.","（ディーター）あ…
（テンマ）いや もう結構です","A ...
 No no longer",0.15384615384615385,0.1723276
"Dieter, how would you like another ice cream?","（レイア）ディーター
アイスクリーム もう１つ いかが？","Deteri
Ice cream more than one?",0.21428571428571427,0.59649074
I'm talking about the man I just\Nread about that killed his wife.,"いや この女房殺しの容疑で
裁判にかけられた男のことさ","No on the suspicion of this wife
A man who was injured",0.14285714285714285,0.49336848
What do you think.?,あんた どう思うかね？,What do you think?,0.8333333333333334,0.81936693
Stop it already.,（レイア）やですよ もう,It's already,0.4,0.5114397
"When I looked at someone, I could always\Nfigure out if he was a criminal and whether\Nor not he was a bad person.",その人間を見ると 犯人かどうか,"If you look at the human being, whether or not a criminal",0.2222222222222222,0.7317652
Stop it.,"本当の悪人かどうか
ズバリ当てられたのさ","Whether it is a real villain
Zubari hit",0.1,0.16841461
Did you drink too much wine?,"ワイン
飲みすぎたんじゃありません？","wine
Aren't you too much drinking?",0.5,0.8049217
"Good people and bad people,\Nthe guilty and the innocent...",善人と悪人 犯人と無実の人間,Good person and dummy criminal and innocent person,0.2307692307692308,0.74092513
I might have had too much wine.,"確かに
ワインを飲みすぎたかもしれん","surely
It may have been too drinking wine",0.2307692307692308,0.85130584
What did you call this wine?,ワインの名前 何ていったかな？,What did you do wine?,0.625,0.70797306
It was good.,（ジョーンズ）おいしかったよ,It was delicious,0.4,0.5726214
How cute.,（レイア）まあ かわいい,Well cute,0.25,0.68319535
Everyone is happy during their childhood.,"（レイア）誰にでも 幸せな
子供時代ってあったんだものね","Everyone is happy
It was a childhood",0.4,0.8482359
It makes me nostalgic.,懐かしいわ,Nostalgic,0.2,0.7140354
This should be the place.,"（ジョーンズ）
確か この辺りだったはずだ",Certainly he should have been around this area,0.16666666666666666,0.2865901
What is it?,（テンマ）何がですか？,What is it?,1.0,0.99999994
"Here you go, Honey.",あっ ここだ,Here,0.16666666666666666,0.35240728
"Sorry, but we'll have to\Nask you to take a detour.","悪いが
ちょっと寄り道させてもらうよ","Badly
I'll let you have a little",0.2352941176470588,0.32683355
Go ahead.,どうぞ,please,0.0,0.33709344
The police?,（テンマ）あっ 警察？,A police?,0.5,0.81793374
Please wait in the car for us.,"（ジョーンズ）すぐ戻る
君らは車ん中で待っていてくれ","Return immediately
You are waiting for you in the car",0.3076923076923077,0.6016588
"Wh-What are we going to do, Tenma?","（ディーター）
ど… どうする？　テンマ",... what do you do?Temma,0.15384615384615385,0.310311
"Tenma, let's run.",テンマ 逃げようよ,Let's run away,0.42857142857142855,0.4714751
It looks like there's a car in the patrol car's parking\Nspace again. It looks like a foreigner.,"またパトカーの駐車スペースに
止めてるやつがいるが外国人らしい","Also in the parking space of the police car
There is a guy who is stopped but it seems to be a foreigner",0.25925925925925924,0.72632295
It can't be helped...,（テンマ）ハァ…,Hua ...,0.14285714285714285,0.19201766
What should we do?,どうします？,What do you do?,0.5,0.45898414
"Um, this seems to be the opposite direction\Nfrom Freiham, the place we want to go.","私たちの行きたいフライハムと
逆方向なんですが…","With the flyham that we want to go
It is the reverse direction ...",0.21739130434782608,0.64419186
"Sorry, this won't take much time.",悪いな 時間は取らせないよ,I can't take a bad time,0.2307692307692308,0.28349978
Honey...,（テンマ）あの… この方角だと,That ...,0.3333333333333333,0.33606175
Steinbach Castle?,シュタインバッハ城…,Steinbach Castle ...,0.5,0.9228545
There's something I want to see there.,見ておきたいものがあるんだ,I have something I want to see,0.5555555555555556,0.74231356
Are you all right?,"（テンマ）大丈夫ですか？
（レイア）ハァ ハァ… はい","Are you okay?
 Ha Ha ... Yes",0.3333333333333333,0.3150029
Yes. Thank you.,ハァッ ありがとう,Thank you,0.5,0.3757539
He said that the view from\Nthis castle was wonderful.,このお城からの景色は最高だって,The landscape from this castle is the best,0.13333333333333333,0.6414112
He mentioned wanting to show it to us.,私たちにも見せたいって,I want to show us,0.3,0.59682465
Your son lives here?,あっ 息子さんは こちらに,My son is here,0.2857142857142857,0.67514414
"We're on our way to see him,","（レイア）これから
会いに行くところなんです","From now on
I'm going to see you",0.2,0.5099058
but we keep on making stops.,でも 寄り道ばっかり,But it is all right,0.09090909090909093,0.21482158
He was admiring this scenery.,"（ジョーンズ）
この景色を眺めていたんだ",I was looking at this scenery,0.3333333333333333,0.73594874
Our son...,（ジョーンズ）息子はね,Son,0.3333333333333333,0.5375503
"We came here to see him, face to face.",（テンマ）じゃあ 私たちは ここで,Well then we are here,0.16666666666666666,0.35640043
We'll be leaving now. Thank you very much.,"（ジョーンズ）
ありがとう 元気でな",Thank you very much,0.4,0.39357188
"No, we thank you from the\Nbottom of our hearts.",こちらこそ 心から礼を言うよ,This is a thank you from the bottom of my heart,0.2222222222222222,0.5094959
He was such a nice man.,"彼は 連続殺人の容疑で
追われている男だ","He is a suspicion of consecutive homers
A man being chased",0.21428571428571427,0.17519054
That can't be. He...,（レイア）だって…,...,0.14285714285714285,0.20485161
"No, it's true.",（ジョーンズ）いや 確かだ,No certainty,0.14285714285714285,0.20792498
I saw his wanted picture.,以前 彼の手配写真を見た,I saw his arrangement photo,0.375,0.6797296
"The truth is that when I said ""hello"" to the officer who\Narrested Robert today, his picture was at the station.","現に 今日 ロバートを逮捕した
刑事に挨拶に行った時","Today I arrested Robert today
When I went to greeting to a detective",0.1851851851851852,0.6301059
"Before I saw his picture, I doubted him,","ああ 私も以前
彼の写真を見た時 疑問に思った","Oh, I also used before
I wondered when I saw his photo",0.35714285714285715,0.5821469
He cannot be a bad person.,少なくとも悪人じゃない,At least not a bad guy,0.2727272727272727,0.6971856
Yes.,あっ…,Ah…,0.0,0.3673717
"Our son, Robert, killed someone.","（ジョーンズ）ロバートが…
息子が殺人を犯した","Robert ...
His son committed murder",0.18181818181818185,0.7952247
I was so ashamed that I couldn't even\Nface my friends and family.,"そして会って確信した
彼は無実","And I was convinced
He is innerably",0.17647058823529413,0.12258221
"When I thought that, I quit the force.",そう思った時 私は刑事を辞めた,When I thought so I quit the detective,0.4545454545454545,0.4813566
"I want to confirm one last thing\Nwith my own eyes, though.","私は 身内でさえ
見抜く目がなかった","I am in my own
There was no eyes to see",0.2631578947368421,0.47348815
Let's go see Robert.,さあ 会いに行こう,Let's go to see you,0.5,0.41123447
Happy Holidays,{\an8}～♪,~ ♪,0.0,0.21384713
