en_text,jp_text,google_translated,score
"No,","（グリマー）いや 本名は
ラインハルト･ビーアマンさん","No real name
Rhinhard Beaeman",0.16666666666666666
There was a special orphanage in East Berlin.,"東ベルリンに
特別な孤児院があったでしょ？","To East Berlin
There was a special orphanage?",0.6363636363636364
It was an experimentation ground for brainwashing\Nyoung boys and changing their personalities.,"少年たちに科学的な
人格矯正を行っていた実験場","Scientific to boys
Experiment center that was personally corrected",0.1
It was called 511 Kinderheim.,511キンダーハイム,511 Kinderheim,0.3333333333333333
You were the director there.,あなたは そこの院長だった,You were the director there,0.8333333333333334
You should know everything.,"あなたなら
全てを知っているはずだ","if it's you
You should know everything",0.5
What were you trying to do...,"何をしようとしていたんですか？
旧東ベルリンの あの場所で","What were you going to do?
At his place of the former East Berlin",0.29411764705882354
Wait!,（グリマー）待ってください,Please wait,0.3333333333333333
"Wait a sec, Mr. Petrov.","ちょっと待ってください
ペドロフさん","wait a minute
Pedrov",0.2222222222222222
I've heard that you were a psychologist and a psychiatrist.,"あなた 心理学者で
精神科医だそうですね","You are psychologist
It seems to be a psychiatrist",0.25
"But in the Ministry of Internal Affairs, your speciality\Nwas scientific personality management.","しかも内務省での専門は
科学的人格矯正","Moreover, the specialty of the Ministry of Crew
Scientific personality correction",0.3333333333333333
"Or in other words, brainwashing.",いわゆる洗脳だ,It is so-called brainwashing,0.1
That's not right.,納得いかないなあ,I can not understand,0.125
Why would they have an expert in brainwashing\Nas the director of an orphanage?,なぜ ただの孤児院に,Why to the orphanage,0.21428571428571427
"If you were just raising the children,",子供たちを養育するだけなら,If you just rearranges children,0.4444444444444444
there must have been someone more qualified than you.,"もっと それに適した人材が
いたでしょうに","More suitable for people
It would have been",0.2
You don't know anything.,"（ペドロフ）帰れ
何のことか さっぱり分からん","Return
I do not understand anything",0.2
Get out of here.,帰りたまえ,Returned,0.0
Where is it hidden?,よく うわさされてますよね,It is often rumored,0.2857142857142857
The records of the experiments at 511 Kinderheim.,"511キンダーハイムの
実験結果記録","511 Kinderheim
Experimental result record",0.18181818181818182
from East Germany after the wall fell.,"ベルリンの壁崩壊時に消えた
東ドイツの数々の機密書類の行方","It disappeared when Berlin's wall break
Many sensitive documents in East Germany",0.16666666666666666
The whereabouts of the documents were lost there.,書類の行方も そこで途絶えた,The documents were missing there,0.4444444444444444
But I don't think the documents about 511 were destroyed.,"でも私は
あの511の資料に関しては","but, I
About that 511 material",0.26666666666666666
Why do you think so?,なぜだと思います？,Why do you think?,0.8333333333333334
Because you're a scholar.,あなたが学者だからです,Because you are scholars,0.25
his data and thesis are more important than his life.,命より大切なものでしょう,It will be more important than lives,0.21428571428571427
I'd like you to show me those documents.,ぜひ見せてほしいなあ その資料,I want you to show it by all means that document,0.23529411764705882
I don't know anything.,（ペドロフ）知らん,I do not know,0.42857142857142855
Is it fun using people like marionettes?,"人をモルモットのように扱って
楽しいですか？","Handling people like guinea pig
Is fun?",0.45454545454545453
Was the experiment...,実験は失敗だったんでしょ？,The experiment was a failure?,0.42857142857142855
"In 1985, 511 Kinderheim was destroyed in a fire.","1985年に511キンダーハイムは
焼失しています","511 Kinderheim in 1985
I'm burned off",0.2857142857142857
I wasn't the director.,"（ペドロフ）あの時 私は
院長の任から既に外れていた","At that time I
It was already off after the director",0.3076923076923077
It has nothing to do with me.,私には関係ない,It does not matter to me,0.2727272727272727
you barely escaped.,そう あなたは命拾いしましたね,Yes you have picked up,0.125
Five of the directors were the first to be killed in the revolt.,"後任の院長は その暴動で
真っ先に殺されているんですから","The successor of the successor is that riot
He is killed first",0.23529411764705882
"If I was there, that would not have happened.","私がいたら
あんなことにはならなかった","When I am
It was not such a thing",0.17647058823529413
The experiment was a success.,実験は成功していたんだ,The experiment was successful,0.42857142857142855
"Oh, is that what you meant?",ほう つまり こういうことですか,"In other words, is this?",0.25
That means all the materials on 511\NKinderhiem were burned then.,"あの時 全て焼けてしまったと
言われているけど","At that time all burned
It is said",0.1875
So only the data from when you\Nwere in charge is still around.,"どうやら あなたの任期中の
実験データだけは","Apparently during your term
Only experimental data",0.1111111111111111
You're stepping on dangerous ground.,"あんたは危険なところに
足を踏み入れている","Any is dangerous
I'm stepping into",0.16666666666666666
I'm not responsible for whatever happens to you.,どうなっても知らんぞ,I know what happens,0.16666666666666666
I'm not scared at all.,"今度は脅しですか？
私は別に怖くありませんよ","Is this time a threat?
I'm not scared by another",0.26666666666666666
"No, I'm going to hang around until I get the truth from you.","いいえ 私は あなたから
真実を得るまで付きまといます","No I from you
It is attached to getting the truth",0.3684210526315789
Don't show yourself in front of me ever again.,"（ペドロフ）消え失せろ
二度と私の前に現れるな","disappearing
I will never appear in front of me",0.25
Get outta my sight!,消え失せろ！,kiss my ass!,0.2857142857142857
Grandpa!,（男の子）おじいちゃーん,Grandpa,0.5
"You were late coming home, so we came to get you.","（男の子）
帰りが遅いから迎えに来たよ",I came to pick me up because I was late,0.16666666666666666
Who's this person?,（男の子）誰？　そのおじさん,Who?That uncle,0.2857142857142857
Let's go home.,さあ 帰ろう,Let's go back,0.5
Keep your nose out of this.,この件から手を引け,Pull your hand from this matter,0.18181818181818182
Even though he did such awful\Nthings to children in the past.,"子供たちに
あんなひどいことをした人間が…","To children
A human who made such a terrible ...",0.16666666666666666
Coming.,あ… はーい,Oh ... Hey,0.0
Who is it?,誰？,Who?,0.5
Petrov?,ペドロフ？,Pedrov?,0.3333333333333333
Wait a second.,ちょっと待ってて,Wait a minute,0.4
"Corner rooms have such a bad view,","景色が悪い角部屋だけどね
こういう時 便利なんだ","The scenery is a bad corner room
It is convenient for this",0.1875
I was in quite a dangerous situation this morning.,"（グリマー）いやあ 今朝
早速 危ない目に遭いましたよ","I'm sorry this morning
I was dangerous soon",0.38461538461538464
Some strange men came to my hotel room.,"ホテルに妙な男たちが
やってきてねえ","Tomething strange men at the hotel
Come on",0.21428571428571427
Are those your grandchildren?,お孫さんですか？,Are you grandchildren?,0.5
"Back when I was a newspaperman in East Germany,",私もね 旧東ドイツ時代,I am also a former East German era,0.2
"I could never have imagined it, a life like this.",いいですねえ 悠々自適の生活だ,"It is good, nor a lifestyle",0.1875
I'm a freelance journalist now.,"何たってフリーランスの
ジャーナリストですよ","What is freelance
Journalist",0.2222222222222222
Free.,フリー,free,0.5
I couldn't even imagine what it was like under socialism.,"社会主義体制ではフリーなんて
考えられませんでしたからね","It is freemed by socialist system
I could not think",0.15789473684210525
I could just follow you forever.,"ずっと あなたに
付きまとってたっていいんだ","For you
I wish I had an attached",0.16666666666666666
What a nice house.,なかなか立派なお宅だ,It is a pretty good house,0.2222222222222222
The rent must be high.,"お部屋も広そうだし
家賃も高いでしょ？","Rooms are also widely
Is the rent high?",0.25
"You spend your time at the cafe without a care in\Nthe world, and go on walks with your grandsons.","さっき あなたが
ご自宅から出てくるところから","A little while you
From the place coming out of your home",0.14285714285714285
Where are you getting money from?,お金は どこから出てるんですか？,Where is the money from?,0.4444444444444444
What do you sell?,何を売ったんですか？,What did you sell?,0.6666666666666666
It was a success?,失敗した実験データでも？,Is it a failed experimental data?,0.3333333333333333
Then you sold it for even more.,それじゃ なおさら高く売れそうだ,That's why it seems to sell more high,0.13333333333333333
Just...,もう ほっといてくれ,Please be relieved,0.0
leave me alone.,ほっといてくれ,Leave me alone,0.75
He took his grandkids to see a movie\Nand had chocolate parfait at the cafe.,"やれやれ 孫を連れて映画を見て
カフェでチョコレートパフェか","Let's take a movie with my grandson
Chocolate parfait in cafe",0.17391304347826086
Different kids again...,また違う子だ,It's a different child again,0.25
"three, four...",まさか…,Masaka ...,0.2
"Hey there. This is Mr. Petrov's house, isn't it?","やあ ペドロフさんのお宅だよね？
入ってもいいかい？","Yana Pedrov's house, right?
Is it okay to enter?",0.3157894736842105
Can I come in?,ん？,Yeah?,0.16666666666666666
Hey there.,やあ,Hi,0.0
"Oh, my God.",何てことだ…,Oh my God…,0.3333333333333333
the same thing...,また彼は… 同じことを…,He is also ... the same thing ...,0.5714285714285714
the same experiment...,また同じ実験を,Also the same experiment,0.6
What is this?,（グリマー）何ということだ,What is it?,0.6
"At the German border, there's\Na place with many prostitutes.","（ペドロフ）ドイツとの国境に
娼婦(しょうふ)街があるだろう？","To the border with Germany
Is there a whore  city?",0.15789473684210525
"After the wall fell, many children were abandoned\Nin the midst of all the poverty.","そしてベルリンの壁崩壊直後
貧困の中で捨てられた子もいる","And immediately after the wall fragment of Berlin
Some children have thrown away in poverty",0.2608695652173913
So you gathered those children here to continue the experiment from 511 Kinderheim.,"また ここで
511キンダーハイムの⸺","See you here again
511 Kinderheim's ⸺",0.2222222222222222
"Oh, Mr. Petrov. Do you have a guest?","（アナ）あら ペドロフさん
お客さんですか？","Ana Pedrov
Are you a customer?",0.2
How would you like knedliky for supper tonight?,"（アナ）今晩のお食事
クネドリーキでよろしいですか？","Meals tonight
Are you sure you like Cune Doliki?",0.2857142857142857
Your knedliky is everyone's favorite.,"アナさんのクネドリーキは
みんなの大好物だ","Ana's Cune Doliki
Everyone's favorite thing",0.2727272727272727
Continue the experiment at 511 Kinderheim?,"511キンダーハイムの
実験の続きか…","511 Kinderheim
Continuing the experiment ...",0.4444444444444444
the experiment there was a success.,"何度も言うが
あそこでの実験は成功だった","I say many times
An experiment in over there was a success",0.35714285714285715
There's no need to do it again.,続行する必要などない,There is no need to continue,0.36363636363636365
A success...?,何が… 成功だ…,What is ... Success ...,0.3333333333333333
Education?,教育？,education?,1.0
That was human experimentation!,"あんなもののどこが教育だ！
あれは ただの人体実験だ","Any of that thing is education!
That is his just human experiment",0.23076923076923078
What is education?,"（ペドロフ）よく考えてみたまえ
教育とは何だね？","Please think carefully
What is education?",0.5714285714285714
Education is an experiment!,教育とは実験なのだよ,It is an experiment with education,0.5714285714285714
There was an active education system at 511 Kinderheim.,"高度な教育システムが
確立されていた","Advanced education system
It was established",0.23076923076923078
