en_text,jp_text,google_translated,score
"Like a silver shooting star,","突如 流れる銀の星のごとく
弁天丸に降ってきた ジェニー・ドリトル","Somewhat flowing silver star
He has fallen to Bentaru Jenny Dritol",0.13333333333333333
"Swept up in a struggle with her uncle \Nfor the fate of her family's company,","ヒュー＆ドリトル社を巡る伯父との
お家騒動に巻き込まれ","With the uncle around Hugh & Drittle
Covered to your house turmoil",0.12
"With Jenny and Lynn's fate,",ジェニーとリンの未来,The future of Jenny and Lynn,0.3
"and her own luck and future\N as a pirate captain hanging in the balance,","そして海賊としての自分自身の
運と可能性をかけて","And my own as a pirate
Luck and possibilities",0.375
Marika decided to help Jenny.,茉莉香はジェニーに協力することを決めた,Yuka decided to cooperate with Jenny,0.3333333333333333
Then let's take them out.,だったらやっちゃいましょうか,"If so, let's do it",0.16666666666666666
I'm thinking of you even when I'm at the edge of the universe.,宇宙の　果ての果てでも キミの事　想う,Even if the end of the universe is,0.26666666666666666
I want to see you,遠くて （近くて）　逢いたくて （逢えなくて）,I want to see you,1.0
Turns into a star,誰だって （いつかは） 星となり （消えていく）,Who  Become a star,0.3333333333333333
Who is to blame for fate and destiny?,運命？　宿命？　誰のせい？,destiny?Late?Who is it?,0.36363636363636365
I'll give it all I have and,ボクの全て　捧げるから,Because of all of me,0.1
furiously!,モーレツ！！,Maurets!!,0.3333333333333333
"Even if I end up blown to stardust,",星屑のクズとなりて　（流れる星となり）,Become a stardust cracker,0.08333333333333333
I'd still love you.,キミに　恋し続けよう　（I can believe）,Let's keep in love with you,0.18181818181818182
red hot like the bright shining Antares.,"赤く 赤く 光る アンタレスのように
（そう いつも いつまでも）",Like red red light anti-night,0.2
nan,何億光年先だって （恐れることはない）,Hundreds billion litsdays,0.0
i!,"構わない！　そう　好きだから！
（I can fly！）",I do not care!Because I like this!,0.25
The children of the stars will keep protecting you,星の子どもが キミを守り続けるよ,Children of the stars will continue to protect you,0.5454545454545454
Omni-directional scan complete.,全天走査完了！,All heavenly scanning is complete!,0.1111111111111111
I'm already seeing two to three pre-drives.,"プレドライブ現象 すでに二つ 三つ
感知されています","Pre-drive phenomenon Already two three
It is sensed",0.21428571428571427
Roger.,了解！,Roger that!,0.25
"Well, we've been through a lot.",そりゃま 色々苦労したからな,Because I had a lot of trouble,0.14285714285714285
"Crew aside, this is a real pirate ship.","乗組員はともかく
船は本当の海賊船ですし","Any crew
The ship is a real pirate ship",0.5
How are you enjoying the ship you hired?,"ううん…！ お雇いになった
船の乗り心地はいかがですか？","No…!Hired
How is the boat ride?",0.3076923076923077
You can't get a pirate license anymore.,"今から海賊免許なんて取れないぞ
新規で発行してもらえないんだからな","I can not get a pirate license from now
I can not get a new issue",0.25
I've heard there are ways around that.,手はいくらでもあるって聞いたけどね～,"I heard that there are no hands, though",0.38461538461538464
"Well, you can decide your post-graduation life later.","まあ卒業後の進路は後で決めて頂くとして
とりあえず目の前の作戦をどうにか…","Well, after graduation course is decided later
For the time being, how is the strategy earlier ...",0.13043478260869565
What's going on?,おっ！ どうしたの！？,Oh!What's wrong!?,0.375
The enemy's caught us!,敵に捕捉されました！,I was caught by the enemy!,0.4444444444444444
Hugh and Dolittle's escort fleet...,ヒュー＆ドリトル護衛艦隊,Hugh & Doritori Fleet Fleet,0.2222222222222222
Two Talbot-class and five Corback-class escorts.,"タルボット級戦艦二隻と
コーバック級護衛艦が五隻！","With two Tarbottail Battleships
Cove class escort ship is five!",0.125
"I thought we'd ditched them, \Nbut they've already surrounded us.",巻いたと思ったのにもう囲まれた…,I was already surrounded by winding ...,0.16666666666666666
One more.,あと一隻！,One more!,0.5
The battleship Jabberwocky.,戦艦 ジャバウォッキー！,Battleship Java Woodki!,0.14285714285714285
What happened?,何が起こったの！？,What happened!?,0.75
Bombardment from five o'clock!,五時の方角から砲撃です！,It is a bombardment from the direction of five o'clock!,0.45454545454545453
Bombardment?,砲撃ィ～！？,Irruitum!?,0.25
"If it doesn't hit us, it can't hurt us.",当たらなきゃ大丈夫よ！,I have to hit it!,0.14285714285714285
Energy readings?,エネルギー反応は？,What is the energy response?,0.2857142857142857
Calculating attack patterns.,８つ！ 攻撃予測を計算中です,8!Calculating attack forecasts,0.2857142857142857
"President, what about our electronic warfare?",先輩！ 電子戦は？,upperclassman!What is the electronic war?,0.23076923076923078
can you keep dodging a while longer?,"アイちゃん！ もう少しの間
頑張って避けてくれる？","I-chan!A little more
Do you work hard and avoid?",0.17647058823529413
I'll try.,やってみます！,I'll try!,0.6
"If we attack and hurt them,","しません　攻撃をして
相手に怪我でもさせたりしたら","Do not attack
If you make the other party injury",0.13333333333333333
My uncle will wait for a bit to see what we do.,伯父はしばらく こちらの出方を待つはず,My uncle should wait for a while,0.3333333333333333
So let's think of a plan.,その間に作戦を立てましょう,Let's make a strategy during that time,0.23076923076923078
Robert Dolittle.,ロバート・ドリトル,Robert Doritol,0.25
"For years, he's been fighting my father, his younger brother,","昔から私の父である弟と
覇権争いが絶えなかったの","With my father my father
The supremacy conflict was not uncomfortable",0.10526315789473684
"Ever since I started the Fairy Jane travel company,","私がフェアリー・ジェーン旅行会社を
起業してからは","I am a Fairy Jane travel company
After entrepreneurship",0.35714285714285715
"Mr. Robert, we've already fired enough warning shots!","ロバート様！
威嚇射撃はもう十分でしょう","Robert!
The threat shooting will be enough",0.1875
"If anything happens to her, the rest of the family...","万が一 お嬢様に何かありますと
一族からの反発を…","There is something in the world
Repulsion from the family ...",0.16666666666666666
Did you not hear me?,聞こえなかったのか？,Did not you hear?,0.8333333333333334
I said fire.,砲撃準備 完了しました！,I'm ready to fire!,0.25
Jenny.,あの… ジェニーさん,That ... Jenny,0.25
What is it?,何かしら？,Something?,0.2
Can you think of any weaknesses your uncle might have?,"例えば伯父様のウィークポイントなどは
思い当たりませんか？","For example, there are Week points of
Would you like to think?",0.19047619047619047
"If there were something that only you, his niece, might know...","姪のジェニーさんにしか分からない
何かがあれば…","I can only understand the niece Jenny
If there is something ...",0.3157894736842105
Attacking head-on is out of the question.,正面から攻めるのは無理ね,It is impossible to attack from the front,0.14285714285714285
"It would be great if we could do \Nsomething behind the scenes,","このままだと電子戦で
攻撃はかわせたとしても","In this case, in the electronic game
Even if attacked",0.15
What do we do?,どうする？,what will you do?,0.5
"At this rate, even if we can avoid their attacks with EW, if they catch us and dock, it's over.","追いつかれてドッキングされたら
終わりよ？","If it is docked and docked
Is it over?",0.16
Then why don't we change our perspective a little?,少し視点を変えてみては いかがでしょう？,How about changing a little perspective?,0.2857142857142857
Junigh Coolph.,ジュナイ・クールフ,Junai Coolf,0.0
"Eldest son of Theodore Coolph, \NSecretary of Interstellar Transportation.","星間運輸省長官の大物政治家
セオドア・クールフの長男","Great Transport Provincial Manager's Great Political House
The eldest son of CODOA COLF",0.15
"My uncle plans to marry me to Junigh,","伯父は私とジュナイを結婚させて
更なる事業拡大を目指しているの","Unc of me marry Junai and Junai
Aiming for further business expansion",0.11764705882352941
"And he wants to make Jenny a politician's wife,","加えてジェニーさんを政治家の妻にし
会社経営から外すのが狙いでしょうね","In addition, Jenny is a politician wife
It will be aimed to remove from the company management",0.2608695652173913
you mean to go after the fiancé's weakness.,"視点を変えるってのはつまり
婚約者の弱みを握るってことね？","That is why changing the perspective
Can you hold the fiancee weakness?",0.15789473684210525
"If nothing else, we can get the marriage canceled.","少なくとも結婚の障害は取り除けると
思うんです","At least when you can remove marriage disorders
I think",0.10526315789473684
"Well, it's indirect, but...",ま 間接的なやり方ではあるけど…,It is an indirect way but ...,0.4
but I just don't like the guy.,私この婚約者はどうも好きになれないのよね,I can not like this fiancee,0.15384615384615385
Why is that?,どうしてですか？,Why?,0.5
"It's a political marriage, anyway.",どうせ政略結婚なんだし,"Anyway, it is a political marriage",0.6666666666666666
I wouldn't mind doing it as camouflage.,"カモフラージュとしてするのは
構わないんだけど…","It is a camouflage
I do not mind ...",0.2857142857142857
"Oh, really?",は～？,What?,0.2
"No... No, I actually do!",嫌！ やっぱり嫌！,I hate!After all I don't like it!,0.23076923076923078
"I met him once, at a party.","わたくしも一度だけパーティで
お会いしたことが…","I am only once at the party
What I met ...",0.35714285714285715
"Yeah, something off.",そう　微妙なのよ 何か,Something subtle,0.16666666666666666
I understand that he's a bit off.,スゴイ わかったんだ,I understand great,0.2
"Wow, she gets it!",確かに微妙でした,Certainly it was subtle,0.1111111111111111
It's not a weakness.,"でもそれだけじゃ何の弱みにも
ならないでしょ どうするのよ","But that's just the weakness
I will not do it",0.3076923076923077
"Anyone of the elite class is likely to have weaknesses, for better or for worse.",特権階級の方々というのは,The privilege class,0.11764705882352941
"Keep searching, and you'll find something.","道徳心や充足なんて言葉
有りませんしね","Moral heart and fulfillment
Sorry",0.07692307692307693
"Coming from you, that sounds strangely convincing...","あなた達から言われると
妙に説得力あるわね…","When you say from you
It's strangely persuasive ...",0.2857142857142857
"Weaknesses, hmm...",うっ…,Uey ...,0.2
"Junigh hosts clandestine parties on his large, private ship.","弱みと言えば… ジュナイは
頻繁に自分の大型船舶で","Speaking of weakness ... Junai is
Frequently your own large ship",0.1
That might lead to something.,もしかしたら何か出るかもしれないわ,Maybe something may come out,0.1
Robert Dolittle's a nasty guy.,…ロバート・ドリトルって相当の曲者ね,... Robert Doritol is a considerable song,0.16666666666666666
Former Stellar Military.,"元星系軍の出身で
政財界に顔が広いみたい","From the Motori military army
It seems that the face is wide in the government goods world",0.05555555555555555
"he only heads a company fleet, they might regret it.","会社艦隊だと侮ってると 船長達
痛い目見るかもしれないな","If it is a company fleet, the captain
It may be painful",0.2631578947368421
Large donations to volunteer groups.,ボランティア団体に多額の寄付…,Variable donation in volunteer groups ...,0.2
But lots of accusations of bribery.,"だが一方で
贈収賄の疑惑もつきない…","But
There is no suspicion of bribery ...",0.2727272727272727
"The first security layer took a while, but once inside, it's easy.","最初のセキュリティに手間取ったが
入っちまえばザルだなこの会社","I took time for the first security
If it comes to you, it is a kind of this company",0.25925925925925924
This amount...,ん？ この金額…,Yeah?This amount ...,0.6
Found this too.,こんなのも見つけたよ～,I also found this,0.3333333333333333
"Yeah, let's have Show report this to the captain.","ああ　この事実を
ショウさんから船長へ報告してもらおう","Oh this fact
Let's report from Show to the captain",0.5333333333333333
"For the time being, we've dodged them all.",とりあえず全部かわした～,For the time being,0.36363636363636365
They're still jamming our attacks.,攻撃 なおも妨害されています,Attacks are still disturbed,0.2222222222222222
"Continue EW, and prepare to dock.",引き続き電子戦をかけ ドッキング準備,Continue to spend electronics and prepares for docking,0.23076923076923078
