en_text,jp_text,google_translated,score,semantic_score
Doesn't it scare you when your computer does this?,"（ルル）パソコンがこうなると
焦っちゃうよね～","When PC is this
It will be impatient ~",0.1875,0.3797987
"It's important to keep a copy of \Nall your data, just in case.","（一条晴彦(いちじょうはるひこ)）いざという時のために
データをコピーしておくことは大切です","For the time of
It is important to copy data",0.3,0.76614183
What Ruru just said isn't true.,"ルルが言ったのは
ウソですから ウソ","Lulu said
Because he is a lie",0.15384615384615385,0.35860062
"It'd be useful if human memory could be \Nbacked up, like computer data.",パソコンのように人間の記憶も,Human memory like a personal computer,0.2352941176470588,0.7421876
It's true!,"あのね～！ 晴彦が
見てたのはね","That 's!Harryah
I saw it",0.375,0.26771092
"If you don't believe me, copy my \Nmemories and check!","コピーして調べれば分かるもん！
（晴彦）フッ","You can see if you copy and check!
 Hu",0.375,0.48871446
"Unfortunately, that research is on humans.","残念ながら その研究は
人間についてのものなんだ","Unfortunately, its research is
What is about human beings",0.3076923076923077,0.8086151
Phantom memories are beyond the scope...,"ファントムの記憶は対象外…
（ルル）えいッ","Memory of phantom is not covered ...
 Eigo",0.15384615384615385,0.6777536
"So, anyway, this episode will be about memory.",というわけで今回は,So this time,0.18181818181818185,0.21735214
"I'm Kawakami Mai, a second-year \Nat Hosea Academy High School.","（川神(かわかみ) 舞(まい)）私は 川神 舞
ホセア学院 高等部２年生―","Kawagami Mai ) I
Hoseha Gakuin High Part 2nd Year-",0.15,0.72744536
I'm a member of the Phantom-hunting club.,"（晴彦）すいません
ちょっとコンビニ寄ってて…","I'm sorry
A little bit of congressive ...",0.2857142857142857,0.13037753
"There's no school today, but Himeno \NArisu-sensei told us to head out.","今日は休日だけど
姫野(ひめの)アリス先生の指示を受けて―","It is a holiday today
Himeno  Anti-Teacher's Indication-",0.14285714285714285,0.53141475
Mai-oneesama!,"（ルル）舞っち～！
やっほ～","dancing ~!
~",0.25,0.26263872
"No, we just happened to—","いやぁ 玲奈ちゃんとは
たまたま…","No, Rena-chan
by chance…",0.2222222222222222,0.2702632
I just happened to bump into him \Nat the convenience store!,"晴彦君とは コンビニで
偶然 一緒になっただけです！―","Haruhiko is a convenience store
By accident, I just got together!-",0.2380952380952381,0.42197636
She didn't have to deny it so vehemently.,"そんなに必死に
否定しなくても…","It is so desperately
Even if you do not deny it ...",0.16666666666666666,0.44762146
"To be honest, our team, Team E, often fails.","（舞）正直 私たちチームＥは
失敗が多くて―","Honestly Team E
There are a lot of mistakes-",0.1176470588235294,0.7632896
"That was fun, huh?",（女の子Ａ）楽しかったね,It was fun,0.2857142857142857,0.6015419
The giant isopods were cool.,"（女の子Ｂ）
オオグソクムシ カッコよかった",Oogsokumushi was cool,0.125,0.40097013
Senpai?,先輩？,upperclassman?,0.3333333333333333,0.23358291
It's nothing.,"それがね ウソだって
言われそうだけど","That's a lie
It seems to be said",0.18181818181818185,0.17214698
