en_text,jp_text,google_translated,score,semantic_score
"You're with the Insect Hunters,  so why protect the princess?",蟲狩りの貴様がなぜ姫君の為に戦っている,Visiting hunt is fighting for the princess why,0.17647058823529413,0.6593008
I have nothing to say...,蟲ケラに語る言葉など　無い,There is no word to talk to Kala,0.08333333333333333,0.34244666
I have seen through your every illusion.,貴様の幻術は全て見切った,You have seen all your illusions,0.2727272727272727,0.79767597
"I feel so much better in this form,  don't you, Kamanosuke?",やはりこっちの方がしっくり来るのう　鎌之介,After all this is a slippery,0.05263157894736842,0.029464364
You're looking pretty sickly now.,随分と優男になったものね,It was a very good man,0.0,0.044861782
I like it. They're serious now.,いいね　ようやく本気を出しやがったか,Good It's finally serious about it,0.16666666666666666,0.60264915
Sounds good to me.,上等だぜ,It is above,0.0,0.1527963
We'll defeat you here!,あんた達は　ここで倒す,Anata defeat here,0.2857142857142857,0.39094317
This rat is a little scrawny.,今度の鼠はちと貧相だな,This time is a palace,0.3333333333333333,0.0662202
"Do your best, little rat.",精々気張れよ　小鼠,I'm afraid,0.0,0.13680278
"The last rat,",さっきの鼠,Earlier,0.0,0.23110284
"the samurai with the quick draw,  was at least enough to entertain me.",居合いの武士は暇つぶし程度には楽しませてくれたぞ,The warrior of the work was fun to kill time,0.15,0.4693739
What do you mean?!,どういう事だ,Whatever,0.0,0.15018633
Y-You can't mean...,ま　まさか,Mere,0.0,0.24208802
"Can you hear me, Oooka-dono?!",聞こえますか　大岡殿,Can you hear Ookaoka,0.3333333333333333,0.6150665
He could never lose to an  evil creature like you!,貴様のような悪に屈するなどあるはず無い,There should be no such evil evil,0.0625,0.5076004
"Before us, you merely fall to your knees.",我らの前に膝を屈するばかりではないか,Isn't it not just bending your knees in front of us,0.15789473684210525,0.5683769
The draw-skill samurai was no different.,居合いの武士とて同じよ,The same thing as a martialianship,0.08333333333333333,0.3142709
His arm was torn off and he was  crawling along the ground.,腕を捥がれ無様に地べたを 這いずり回っておったわ,I went around my arms and went around,0.05882352941176471,0.37896448
What is this weak blade?,なんだそのぬるい剣は,What is that slippery sword,0.2222222222222222,0.51540166
"It brings back so many memories  to see you again, Princess Naa.",お懐かしゅうございます　奈阿姫様,Nostalgic Nana Aya,0.0,0.47770825
I am deeply honored to see you.,この様に姫と顔合わせができ,"In this way, it is possible to meet the princess",0.05555555555555555,0.16583051
I have a task I must complete.,妾には大切な勤めがある,There is an important work for 妾,0.0,0.37059677
I shall not accompany you.,お主と行動を共にするつもりは　無い,I do not intend to make my own main and action,0.13333333333333333,0.26854816
Then I shall take you there.,ならば　この手でお連れするまでの事,If it is a matter of this hand,0.0,0.1596883
"Now, come with me to Oosaka.",さ　一刻も早く大阪へ,I will go to Osaka as soon as possible,0.06666666666666668,0.30941474
"Get to the Well now, miss!",今のうちに　早く井戸に行ってください,Please go to well as soon as possible,0.15384615384615385,0.53593475
To think you'd try to fight me  with such weak power...,この程度の力で俺に立ち向かおうとはな,I'm going to face me with this degree of power,0.21052631578947367,0.54014575
"Miss, don't worry.",お付きの方　ご安心ください,Please rest assured that you are up,0.0,0.20375943
"I, Tsukishima Jinbei, shall protect  you, even at the cost of my life!",月島仁兵衛　この命に代えてもお守り致します,Tsujima Hitoshi also protect even if this lives,0.09523809523809523,0.5999917
You're wasting your time.,くだらん足掻きを,Garred foot scratch,0.0,0.06647374
"You'll die for nothing, like that samurai  with the quick-draw swordsmanship.",居合いの武士と同じく無駄死に終わるだけだぞ,It's just endless as a warrior of,0.0,0.34386212
Die for nothing?,無駄死にだと,It is difficult to die,0.125,0.41695958
"And when you mock him,",それを愚弄する貴様は,You are stupid,0.125,0.18054606
you're very wrong!,大バツだ,It is a big butt,0.0,0.11665623
"I shall go, then.",では行くぞ,I will go,0.2857142857142857,0.6244308
