en_text,jp_text,google_translated,score
Yes?,（吹）はい？,Yes?,1.0
"Your contract with us was through next year, right?","（清志朗）お前 うちの勤めは
来年までだったよな？","Working in your house
Was it until next year?",0.3125
Yes...,（吹）はい,Yes,0.5
What are your plans after that?,"（清志朗）
じゃあ そのあとはどうするんだ？","Well then, what do you do after that?",0.3333333333333333
Do you have a job waiting for you back home?,里に帰って 仕事はあるのか？,Is there a job back to a village?,0.2857142857142857
Nothing... yet...,（吹）まだ… 何も…,still ... nothing ...,0.5
"Oh, there is the first star.",ああ 明星だ,Oh it is a star,0.3
Seijiro-san... What is that?,この糸 一体 どこから…,This thread is from anywhere ...,0.2
Where?,糸？,thread?,0.3333333333333333
String From The Sky,（吹）空から糸が垂れてる,The yarn is dripping from the sky,0.42857142857142855
There... there...,ほれ お星さまが いっぱいだよ,There are a lot of stars,0.14285714285714285
There... there... stop crying...,よしよし 泣きやんでおくれ,Good luck crying,0.16666666666666666
We can't go home until you stop.,でなきゃ おうちに戻れないよ,I can't go back to my house,0.21428571428571427
I wonder what happened to that star?,そうだ… あの星 どこ行ったかな,That's right ... that of that star go,0.15384615384615385
The one with the long tail...,（吹）えっと 向こうの方に,To the other side,0.1111111111111111
"The long-tailed star? Yes, last night.",ほうき星ですか？ はい 昨日,Is it a broom star?Yes yesterday,0.21428571428571427
Which way was it headed?,（清志朗）どっちに動いてた？,Which one was moving?,0.375
Um... that way.,あの辺りで,In that area,0.14285714285714285
It was zigzagging as it blinked on and off...,"光ったり消えたりしながら
くねくね 動いてた","While glowing and disappearing
I was moving",0.14285714285714285
I wonder if such a comet exits...,えっと… 吹だったな でかしたぞ,Well ... I'm sorry,0.18181818181818182
"But if it did, it'd be a great discovery...",まあ でも もしあれば 大発見だな,"Well, if there is a big discovery",0.26666666666666666
"All right, I'm definitely going to find it.",よし！ 絶対 見つけてやる,OK!I absolutely find it,0.21428571428571427
In the end... I never found such a star.,"（清志朗）結局 そんな星が
見つかることはなかった","After all, such a star
There was nothing to be found",0.21052631578947367
Fuki came to us to care for my fretful youngest sister.,"吹は 癇(かん)のひどい末の妹の
子守りとして 家に来た","The tender sister of spring is a terrible sister
She came home as a child",0.09090909090909091
some people in the village looked\N upon Fuki with disdain.,"そのため里には 吹を
白い目で見る者もいた","Therefore, the village
Some people saw with white eyes",0.3125
Fuki!,吹～！,Blow-!,0.3333333333333333
"Ah, Master, she's not around here, either.","（使用人）ああ 旦那さま
こちらにもおりません","Oh husband
I do not go here",0.13333333333333333
