en_text,jp_text,google_translated,score
"Hey, Suzu-chi, Hubby!",おーい,Hey,0.2
"Mei Mei and Kappa Tohno-san, who became residents of the island during the summer,","はれて村の住人になった
梅梅と河童の遠野さんは","It became a resident of the village
Pauma plum and Tono of Kappa",0.25
"Huh, where's Mei Mei?",あれ 梅梅は？,What is plum plum?,0.1111111111111111
She went to the farm to pick up some vegetables,うん 畑にお野菜もらいに行ったよ,I went to the field of vegetables in the field,0.3076923076923077
I wonder will Mei Mei be alright?,"あたしの家の近くの
水車小屋に住むことになりました","Near my house
I will live in a water milled hut",0.125
Would it be alright with that turtle?,大丈夫か あの亀で？,Is it okay or at that turtle?,0.3333333333333333
Like I said that Tohno-san is a Kappa...,だから遠野さんは河童だってば,So Mr. Tono is Kappa,0.16666666666666666
Delicious!,うま〜,Horse~,0.0
Erm...,あの… スミマセンデスヨ,That ... Sumima Seisuzo,0.2
Huh?,ん？,Yeah?,0.3333333333333333
Did you call me just now?,呼んだべか？,Should I call?,0.2222222222222222
I'm here.,ほぉら聞こえたべ,I heard,0.2
Erm...about that...,"あの… その… おや… おや…
おやややさい… くだ…","That ... that ... ... Oo ... ...
Goody ... ... ...",0.3333333333333333
What? Wait...,梅梅？,Pew plum?,0.16666666666666666
Mei Mei...,ごっ こー こっ うっ 梅梅,Mei plum plum plum,0.3333333333333333
"From today onwards, this will be Mei Mei's home.",今日からここが梅梅の家だよ,"From today, here is plum plum",0.21428571428571427
As I thought...,"いいえ… 感動で言葉が
出なかっただけデスヨ","No ... I feel excited
I did not go out",0.18181818181818182
It's a little noisy.,少しうるさいよね,It's a bit noisy,0.5714285714285714
Really?,本当？,true?,0.3333333333333333
Compared to how I've been camping outside all this time...,今までの野宿に比べれば！,Compared to the previous fields!,0.125
"Ever since you came to this island, you've been living in the North forest.","そっか 島に流れ着いた後
北の森で生活してたんだよね","After flowing on the island
I lived in the north forest",0.23809523809523808
That must have been hard on you.,大変だったでしょう,It would have been difficult,0.18181818181818182
"Always embarrassed, always running.","はい　いつも恥ずかしくって
逃げてばかりデスヨ","Yes I'm embarrassed
I'm just running",0.2222222222222222
Especially the two-tailed tiger who always chased me.,"特に尻尾が２本ある
トラさんがおっかなくって","Especially there are two tails
Tora is given",0.0625
So this is heaven to me.,だから ここは天国デスヨ　それに…,So here is Heaven Death Yo ...,0.2727272727272727
And...,な！ あぁっ あぁぁ…,!Aaaa ...,0.25
"For Tohno-san, it's also a good place.",遠野さんにとってもいいところです,It is a good place to Tono,0.3076923076923077
A Kappa needs water.,河童は水が必要だもんね,Kappa needs water,0.6
I said that he's not a Kappa but a turtle.,だから河童でなくて亀,So it is not Kappa but turtle,0.2857142857142857
I'm not being stubborn. It's a fact.,"はい… それは聞くも涙
語るも涙の悲しいお話デスネ","Yes ... It's also a tears
Talking sad story of tears",0.16666666666666666
There is no such thing as monsters.,"ガンコではなく真実
妖怪なんているわけがない","It is not a ganko but the truth
There is no monster",0.1875
"Hey hey, how did Mei Mei and Tohno-san end up traveling together?","ねぇねぇ 梅梅は何で遠野さんと一緒に
旅する事になったの？","Hey Mei plum is what with Mr. Tono
Did you travel?",0.2
I've got a feeling I've seen this before...,どっかで見たような…,As I saw somewhere ...,0.16666666666666666
"Today, Dad made curry.","ははは… 今日はお父さんが
カレーを作ったぞ","Haha ... Today is my father
I made curry",0.25
I wonder if... I can get one hundred friends?,友達100人出来るかな…,I can do 100 friends ...,0.3333333333333333
"Like I've said before,","前にも言いました通り ワタシ恥ずかしがり屋を
克服するため 旅をしてマシタネ","As I said before, the shy shy
Traveling to overcome and Mashinne",0.2857142857142857
And one day...,そんなある日,One day,0.5
I felt sorry for him and struggled to break the seal.,"かわいそうに思たワタシ
苦心の末に封印を解いたデスネ","I thought it was cute
Deathe who released seal at the end of the stress",0.13043478260869565
But the place was no longer the livable river,"でも 昔の思い出の場所は
河童の住める川ではなくなってましたネ","But the place of old memories
It is not a river that I can live in Kappa",0.19047619047619047
Let's search for a clean river and your companions.,綺麗な川と仲間を探しに行くデスヨ,Dessyo going to find a beautiful river and companion,0.17647058823529413
I'm called Mei Mei.,ワタシ梅梅イイマスネ,Warm Mei Ume Iimasne,0.125
Nice to meet you.,これからよろしくデスネ,Thank you from now on,0.1111111111111111
That's so sad...,というわけデスヨ えぇっ えぇっ えぇ〜,That's why Deathyo Eh Eye,0.2222222222222222
And Mei Mei is brought to the dragon palace... Wah!,そして 梅梅は竜宮城に？ ぐわっ,And plum plum is a Ryugu Castle?Vague,0.11764705882352941
My tears aren't stopping!,クワッ！,Kuwa!,0.14285714285714285
If I had a pot... a cutting board and,"う〜ん お鍋に… まな板に…
お皿ももう少しあると便利ですネ","Hmmm Nabe ... on the cutting board ...
It is convenient that the plate is a little more",0.2
But I can't always keep troubling them forever.,"でも… いつまでも
迷惑かけられないデスネ んっ","But ... forever
I can not bother you",0.2
This is revenge for last time!!,さっきのリベンジですヨ,It is a revenge,0.2222222222222222
What happened!?,どうしたの！？,What's wrong!?,0.5
Mei Mei?,大丈夫？,fine?,0.3333333333333333
Are you alright?,本当に大丈夫？,Are you sure you're okay?,0.42857142857142855
I'll run the errand on my own.,"ダメデスネ！ 行人サンやすずサンに
頼ってばかり いけないデスヨ！","Damedezne!Go to Midor San Yasu San
I can not just rely on Deathyo!",0.09523809523809523
Let's go together.,一緒に行くよ,I will go together,0.2857142857142857
