en_text,jp_text,google_translated,score
Huh? Th-this is–...,うう…　え？,Umm ...?,0.3333333333333333
A-Asakura-san? Everyone?,あ… 朝倉(あさくら)さん？　みんな？,Oh ... Asakura ? Everyone?,0.3333333333333333
Do not worry.,（長門有希）心配ない,Do not worry,0.75
He will be coming for you soon.,もうすぐ彼が あなたを迎えに来る,He will come to pick you up soon,0.3333333333333333
Yes.,そう,Yes,0.5
Ah! This is a dream?,あっ　夢？,A dream?,0.42857142857142855
don,～♪,~ ♪,0.0
U-um...,（朝倉）はっ…,...,0.5
"And I guess, uh...","（キョン）
朝倉　電話でも話したが…",I also talked with Asakura phone ...,0.18181818181818182
I fell asleep on\Nthe park bench?...,"え… えーっと
公園のベンチで寝ちゃってね","E ...
I'm sleeping on the park bench",0.3076923076923077
"Welcome back, Nagato-san.",（朝倉）おかえり　長門さん,Welcome Nagato-san,0.4
Yeah. I'm back.,ん？,Yeah?,0.16666666666666666
You were involved in an\Naccident while on your way home.,"（長門有希）
あなたは帰宅途中 事故に遭った",You were accidentally accidents on the way home,0.35714285714285715
Huh... An accident...,はあ…　事故,Ha! Accident,0.16666666666666666
"In your place, I have been\Nliving your life as Nagato Yuki.","代わりに私が
長門有希として生活をしていた","Instead, I
I was living in Nagato Yuki",0.3333333333333333
O-oh?... That sounds like some\Nkind of paranormal phenomenon...,その時の影響で―,Under the influence of that time-,0.14285714285714285
It was nothing that significant.,なるほど,So that's it,0.25
And what is happening\Nnow is nothing but a dream.,今のこの時も ただの夢,Now this time is just a dream,0.23076923076923078
Your brain is merely in the process of organizing your memories.,脳が記憶を整理しているにすぎない,The brain is only organizing memory,0.3076923076923077
"When you awaken, you may\Neven forget this conversation.",目が覚めれば 忘れる程度の会話,A conversation that you can forget if you wake up,0.2
I see...,"あっ じゃ… じゃあ
私が眠ってる間のこと―","Oh yes ...
What I'm sleeping-",0.25
"Oh! Th-then, could you tell me what's been going on while I was asleep?",教えてもらっていいですか？,May I tell me?,0.21052631578947367
Ehhh!?,（長門）えー！,Eh!,0.25
That is something your\Nbrain is doing on its own.,それは脳が勝手にしていること,That is the brain being selfish,0.15384615384615385
"It is not something that I, personally...",な… なんでですか？,... Why is it?,0.2727272727272727
I told him... about my feelings.,（長門有希）彼に私の気持ちを,My feelings to him,0.3333333333333333
"Please note that I only told\Nhim my own, personal feelings.","これは 私個人の気持ちを
伝えたって意味","This is my feelings
Meaning that he was communicated",0.16666666666666666
"Yeah. Of course, I understand.",うん もちろん分かってるよ,"Unfortunately, I understand",0.375
That's still really incredible!,ほんと すごい,Really amazing,0.14285714285714285
"Now, it is your turn.",次は あなたの番,Next is your turn,0.375
Yeah.,うん,Yes,0.0
What?,（長門有希）何？,What is it?,0.5
"We ended up liking\Nthe same person, huh?",（長門）同じ人が好きなんだね,I like the same person,0.16666666666666666
"With the rain gone, it sure dries a lot quicker.","（朝倉）梅雨を過ぎると
やっぱり乾くの早いわね","When the rainy season goes too much
After all it is dry",0.09090909090909091
Nagato-san?,"（朝倉）長門さん
（長門）ん？","Nagato-san
?",1.0
I'm going to take down the laundry.\NCan you get me a basket?,見事 ゲーム好きに戻りましたねえ,I returned to the game I love the game,0.17647058823529413
Mmm.,（長門）ん～,~,0.0
"I still like reading, too.\NI just like video games more.","（長門）本も好きだよ
ゲームのほうが好きなだけ","I also like books
I just like the game",0.2
"Reading manga, you mean?","（朝倉）漫画じゃなくて？
（長門）失礼","Isn't it a manga?
 rude",0.18181818181818182
Did you prefer it when I liked books?,（長門）本好きのほうがよかった？,was it better to love book?,0.14285714285714285
Maybe so...,ウフフ…　冗談よ,Uhufu ... joke,0.2
I might like it better if you were reading.,本読んでてくれたほうがいいかも,It may be better to read this,0.13333333333333333
I-I guess that makes sense...,（長門）あ…　あの日―,Oh ... that day-,0.25
I thought I'd pay you back for\Nasking such a mean question.,"そういう意地悪な質問するから
お返しです","Such an evil question
It is returned",0.11764705882352941
Ah... Sorry.,あっ！　そ… そうだね,Ah!That's right ...,0.25
Is there something\Nyou're still worried about?,フッ まだ何か気になってます？,I'm still worried about something?,0.36363636363636365
"That night, when I came home...",私が帰った時―,When I came home-,0.3333333333333333
but you seemed kind of\Nsad at the same time...,でも どこか寂しそうで…,But it seems lonely somewhat ...,0.14285714285714285
Well of course I did!,そりゃそうよ,Well,0.16666666666666666
"To me, both Nagato-sans are\Nmy incomparable, precious friends.","私にとっては
どっちの長門さんも―","For me
Either Nagato-san",0.07692307692307693
Okay?,"私に小言 言わせりゃ
いいんじゃない？　ねっ","Let me say small words
Why not?Neck",0.1
"By the way, you're supposed to\Nget mad about the scolding part.",ウフフ,Uhufu,0.0
"Anyway, goodness is it hot!",（朝倉）しっかし 暑いわね,It is hot and hot,0.375
"That's summer for you, huh?","（朝倉）夏休みに
いろいろ予定立てなきゃでしょ？","On summer vacation
You should plan variously?",0.23076923076923078
Bathing suits?,（長門）水着？,swimwear?,0.25
