en_text,jp_text,google_translated,score,semantic_score
What?,（キョン･長門(ながと)）えっ？,)?,0.3333333333333333,0.29971394
"Nagato, call an ambulance!","（キョン）
はっ 長門！　救急車 呼べ！",Nagarema!An ambulance call!,0.5714285714285714,0.6249648
Y-yeah.,（長門）う… うん,... yeah,0.0,0.51664954
No ambulance necessary.,救急車は いい,Ambulance is good,0.16666666666666666,0.6653341
Right now!,（ハルヒ）今すぐに！,Now!,0.6666666666666666,0.65815383
"So, who are you guys?",で あんたたち 誰？,Who are you?,0.5714285714285714,0.48993522
"I was kinda scared, you know?","お前が“寒い”とか言って
ガタガタ震えてたから―","You say ""cold""
Because I was trembling",0.21428571428571427,0.29986894
"What am I, a stranded climber on a snowy mountain trail?","そんな冬山の遭難みたいなこと
言ったかしら？","What a distress of such a winter mountain
What did you say?",0.21052631578947367,0.53919554
"You did save me, after all.","ちゃんと感謝してるわよ
助けてくれたことには","Thank you very much
To help me",0.15384615384615385,0.13513283
"Must be tough, huh? Being stuck with such a stick-in-the-mud boyfriend.","大変ね　あんたも
こんな冗談の分からない彼氏で","Oh very much
With a boyfriend who does not know such a joke",0.18181818181818185,0.34182665
Yeah?,（長門）ん？,?,0.5,0.75195247
No!,ねっ！,Ne!,0.3333333333333333,0.6014418
"We're not, um... well...","（長門）私たちは… その… えと…
まあ 違うというか その…","We are ... that ...
Well, it is different ...",0.3333333333333333,0.63282794
"""We're not like that at all""?","全く そういう関係？
いや いや いや…","Such relationship at all?
No no no…",0.21428571428571427,0.08845445
"No no no, uh!...",いやあ あんたも容赦ないわねえ,"No, I'm sorry",0.25,0.24575269
"so we're like, Club Member A and B, or basically...","ただの同じ部活の…
部員ＡとＢであって… つまり―","Just the same club activity ...
Member A and B ... that is",0.3157894736842105,0.7165001
I can call him my friend!,"（長門）そ… そうなんだ
友達でいいんだ","... That's right
I like my friend",0.25,0.39638504
Why the blushing?,（キョン･ハルヒ）なぜテレる,Why Telet,0.2,0.10031558
I detest people who waste their lives chasing love.,"恋に時間割くヤツらの
気が知れないわ","Love timely
I do not know",0.14285714285714285,0.20019639
Yeah...,"（キョン）ああ…
（長門）うん…","Oh ...
 Yeah ...",0.6666666666666666,0.8181906
"By the way, it's not cause I have a tragic past of bitter heartbreak or anything, got it?","ちなみに 別に
つらい失恋の過去なんてないわよ","By the way
I do not have a hard time",0.3043478260869565,0.30216756
"Nailed it, huh?","つまらない勘違いされても
シャクだし","Even if it is misunderstood
Squirt",0.1,0.09391482
so let me take this opportunity to explain my ambitions!,"この際だから
私の野望を教えてあげる！","Because of this
I will teach my ambition!",0.17647058823529413,0.6618139
"What I'm really interested in, is aliens, ti–",（長門）あっ ごめんなさい,I'm sorry,0.18181818181818185,0.12481475
Oh! Sorry about that.,私が興味あるのは 宇宙人！,An alien that I am interested!,0.18181818181818185,0.06554118
"Ah, it's a message from Asakura-san.",ヤバッ　片づけの催促か,Is it a reminder of the habits,0.14285714285714285,0.16619614
"""Kyon-kun, Nagato-san, get your butts to the club room!"", it says.","“キョン君 長門さん
早く部室へ！”って","""Kyung-kun Nagason
Go to club room early!""",0.25,0.7773161
Yeah.,"（長門）うん
（ハルヒ）まあ いいわ","Yeah
 Well good",0.25,0.46782306
I've warmed myself up plenty.,私も十分あったまったし―,I got enough-,0.1111111111111111,0.19887121
"If you guys have stuff to do, let's get going.","あんたたちも用事があるんなら
もう出ましょう","If there is also a business
Let's go out",0.15,0.3698198
Thank you for coming!,（店員）ありがとうございました～,Thank you ~,0.3333333333333333,0.3456751
"You're going to North High? We're heading the same way for a while, then.","北高(きたこう) 行くんだ
じゃあ 途中まで一緒ね","North he  I'm going
Then you'll be on the way",0.25,0.6476298
Suzumiya Haruhi's the name.,涼宮(すずみや)ハルヒよ,Suzumiya  Haruhi,0.3333333333333333,0.9289672
"Got it. Well then, I'm-",そういや お前さ,Well then you,0.25,0.3967055
My name is Nagato Yuki.,"（長門）私は長門有希(ゆき)
（ハルヒ）有希ね","I am Yuki Nagato
 Yesuki",0.2222222222222222,0.8361517
"So, ""Yuki"", then.",（キョン）そうか じゃあ俺は…,"I'm so, I ...",0.2,0.15383856
