en_text,jp_text,google_translated,score
This is brutal!,ザラトラス様… なんて むごい)),Zaratras ... What a good thing)),0.0
Father?!,),),0.0
Looks like they've already left town and headed southwest.,すでに町を出て 南西に向かったようです｡,It seems that I already left the town and headed southwest.,0.4375
Southwest... that's toward the forest of white dreams.,南西… 確か 白夢の森があったな｡,Southwest ... There was a certainty dream forest.,0.25
But over there is—,はい｡ しかし あそこは…｡➡,Yes. But there is .....,0.2222222222222222
"Having found one of the legendary traitors, Meliodas, the Dragon's Sin of Wrath,",＜伝説の逆賊 七つの大罪の一人➡,<One of the seven legends of the legendary revenge,0.23529411764705882
"Elizabeth continued her search for the others,",ほかの七つの大罪を捜して エールで有名な➡,Search for other seven sins and is famous for ale,0.13333333333333333
Meliodas saved the village by,＜メリオダスは そこで 聖騎士の剣によって➡,<Meriodas is there and Holy Knight's Sword,0.0
Their journey to find more members of the Seven Deadly Sins continues from there.,新たな七つの大罪捜しの旅を 続けるのだった＞,We continued to journey of new seven major sins>,0.25
"So you were alive after all, Meliodas.",やはり生きていたか メリオダス｡,After all it was alive and Meriodas.,0.3076923076923077
This is a tale of humans and beings from other worlds.,＜ これは いまだ 人と 人ならざるものの世界が➡,<This is still the world of people and people,0.23529411764705882
The Holy Knights who protected this country,＜国を守る聖騎士たちは 絶大なる魔力を有し➡,<Holy Knights to protect the country has a great magic,0.2857142857142857
They were both feared and revered.,恐れ 敬われた＞,Fearful>,0.0
"To the masses, they were known as the ""Seven Deadly Sins.""",＜人々は 彼らを 七つの大罪と呼んだ＞,<People called them seven great sins>,0.1
Are we really gonna be okay?,おいおい ほんとに大丈夫か？,Hey really okay?,0.3333333333333333
"It's been three hours since we entered the forest,",森に入って ３時間はたつぜ｡,I entered the forest for 3 hours.,0.26666666666666666
but we haven't seen a sign of man or beast anywhere.,人どころか 動物の影さえ見えねぇぜ｡,People can see the shadow of animals.,0.10526315789473684
"Lord Meliodas, are you sure one of the Seven is hiding here in the forest?",そうね｡ メリオダス様 本当に この森に➡,That's right. Meriodas really in this forest,0.08695652173913043
Probably. so we came here with no hard evidence?!,たぶん｡ 確たる証拠もなしに来たってのか!?,Maybe. Is there no need evidence?,0.25
"There are rumors of a crazy monster in this forest, you kn—",あのなぁ この森には➡,That's right in this forest,0.1875
S-Something's touching my butt...,な… 何かが 私のお尻を…｡,... Something is my butt ....,0.3333333333333333
Don't worry.,安心しろ 俺だ｡,I am relieved.,0.14285714285714285
"Oh, thank goodness!",あっ なんだ｡ よかった｡ よかねぇだろ！,There is it. It was good. Yuka no!,0.07692307692307693
"How is that okay?! well, moving past that...",まっ それは置いといて｡,It is put of it.,0.06666666666666667
You're letting it end there?!,それで済ませるんかい！,I'm sorry!,0.09090909090909091
I do have a hunch.,根拠なら一応ある｡ あっ｡,There is a problem with the basis.,0.16666666666666666
"This Forest of White Dreams is covered by fog, making it difficult to traverse on horseback.",この白夢の森は見たとおり 馬での移動は 困難だし➡,This white dream forest is difficult to move with a horse as seen,0.24
"It's easy to lose your sense of direction,  so even hunters and travelers avoid this place.",方向も見失いやすく 猟師や旅人も迂回する森だ｡,It is a forest that is easy to lose sight and hunters and travelers.,0.3333333333333333
That's true! It would be easy to hide here.,確かに 身を隠すには 持って来いですね｡,Certainly it comes to hide yourself.,0.26666666666666666
Th-They're gone!,≪な… ない！ うそ！≫,«Na ... not!lie!»,0.1
"What's wrong? ah! w-well, it's nothing.",どったの？ へっ？ あっ い… いえ｡,What happened??There is ...,0.13333333333333333
This can't be happening!,≪そんな まさか…≫,«That's right ...»,0.0
"No, you need to calm down and think this through, Elizabeth.",≪ダメよ 落ち着いて考えるのよ ｴﾘｻﾞﾍﾞｽ≫,«Don't calm down and think Ellizabeth»,0.2222222222222222
I'm sure I put them on in the morning when I woke up.,≪朝起きたときは ちゃんと はいてたわよね≫,"«When I got up in the morning, I had it properly»",0.3
There's no way I would've forgotten them then.,≪そんな所で忘れるなんて そんなこと…≫,«That's what you forget in such a place ...»,0.045454545454545456
"Hey, quit slowing us down and keep moving!",おい！ もたもたしてねぇで行くぞ｡ はっ はい！,Oi!I'm going to do it. Yes!,0.05263157894736842
Huh? Who's an uptight piglet?!,はあ!? 誰が神経質な小豚だ！➡,Has!? Who is a nervous pig!➡,0.21428571428571427
What? There are so many of me!,俺がいっぱい！ なんじゃこりゃ！,I am full!What's this!,0.14285714285714285
Who are you?,誰だよ～！ 誰だ お前！,Who is!Who are you!,0.5
Is this the monster of the forest?,これが 森の怪物？ 確かに とんでもねぇな｡,Is this a monster in the forest?Certainly he is tongue.,0.46153846153846156
Meliodas! I'm telling you I'm the real one!,メリオダス！ 言っとくけど 俺が本物だぜ｡,"Meriodas!I say, but I am a real thing.",0.17647058823529413
"What are you saying, you impostor?",何言ってる 偽物！ うるせぇ 豚！,What is the fake what you say!Urusei pork!,0.14285714285714285
N-No mercy...,よ… 容赦ねぇ｡ ホークちゃん！,... I'm sorry. Hawk!,0.1111111111111111
Elizabeth!,エリザベスちゃ～ん…｡ えっ？,Ellizabeth .... Eh?,0.0
Wh-Who's there?,はっ！ だ… 誰？,Hey!... Who?,0.125
Wh-What?,な… なんだ～!? ん？,What ... What????,0.25
M-Me?,わ… 私？,Wow ... me?,0.2
"You know I'm the real one, right?",私が分かりますよね？ 私は ここにいます｡,"I understand, right?I am here.",0.2857142857142857
Now's not the time for that!,≫帰れ～｡ ん？,»Return ...?,0.0
I can't tell them apart by looking.,う～ん さっぱし見分けがつかん｡ プゴッ！,Hmm さ さ 見 見 見 プ プ プ プ プ プ!,0.0
"Now, now, let's see.",さてさてさ～て？ 一体➡,"Well, is it?Integral ➡",0.08333333333333333
Please believe me. I'll do anything to convince you.,信じてください なんでもしますから｡,Please believe it.,0.25
Say my name with an embarrassed face.,恥じらいの顔で 俺の名を呼ぶ｡ メリオダス様｡,Call me my name with a shameful face. Meriodas.,0.38461538461538464
Massage your breasts.,おっぱいをもめ｡,Give tits.,0.16666666666666666
Leave! You will never pass through here.,≪出てゆけ｡ ここは絶対通さない｡,«Outward. Here is not absolutely passing.,0.13333333333333333
Jump as high as you can!,思いっ切り ジャンプしろ！ ジャ～ンプ！,Jump! Jump!,0.3333333333333333
"I'm sorry, I can't do it!",ごめんなさい 無理です！ あっ｡,I'm sorry!Ah.,0.36363636363636365
So those were the forest monsters?,森の怪物の 正体は あいつらだったか｡,Was the true identity of the forest monster?,0.25
So it was you!,じゃあ メリオダス様が！,Well then Meriodas!,0.125
Don't lose sight of them!,見失うなよ｡ あいつらが逃げる先に➡,Don't lose sight. As there are those who run away,0.26666666666666666
"They're not going to attack her next, are they?",あいつら あの子を襲う気じゃないだろうな｡,I guess I'm not motivating that child.,0.05555555555555555
Attacking a little girl like that...,あんな小さな子を襲うなんて｡,I'm going to attack such a small child.,0.0625
That's just— attacking a... little... girl...,そうだぜ！ あんな… 小さな…｡,That's right!That's ... small ....,0.25
She's not small at all!,小さ… くねぇ～！,Small ... Kaneyu ~!,0.2
"Lady Diane, a Holy Knight made it past us.",ディアンヌ様 聖騎士の侵入を➡,Diane-san Holy Knight's intrusion,0.14285714285714285
A Holy Knight?,聖騎士だと～!?,Holy Knight and ~!?,0.42857142857142855
Sh-She's huge!,で… でけぇ～！,... in ...,0.0
"N-No, we're definitely not Holy Knights!",ち… 違うんです｡ 私たちは 聖騎士ではなく…｡,Chi ... It is different. We are not Holy Knight ....,0.17647058823529413
There he is!,あそこだ！ あっ！,That's right!Ah!,0.125
Are you a Holy Knight?,聖騎士だと～？,What is the Holy Knight?,0.3333333333333333
"You're not going to eat him, are you?",メリオダスを食う気か～！ メリオダス様を放して！,I want to eat Meriodas-!Release Meriodas!,0.125
"Hey, Diane! it's been a long ten years!",よう ディアンヌ｡ １０年ぶり｡ んん～？,Diane. For the first time in 10 years.,0.1111111111111111
"I really missed you, Captain!",会いたかったよ～ 団長！,I wanted to meet ~ The leader!,0.15384615384615385
Captain?,団長？ ディアンヌ…➡,Is it a leader?Diane ... ➡,0.1111111111111111
"Captain, you remembered how much I love a whole pig roast!",団長ってば 僕が 豚の丸焼きが好きってこと➡,"If you are a leader, I like pork round grilled ➡",0.19047619047619047
My back is already roasting! Get me off this thing!,そうじゃねぇよ！ てか 背中が焼けるように あっちぃ～！,That's right!It is like that so that the back is burn!,0.15789473684210525
"Hey, this is no time to joke around!",おい 見てねぇふりすんじゃねぇ！,I'm looking at it!,0.06666666666666667
Didn't you hear me?!,聞こえてんだろ！,You can hear!,0.375
"N-Nice to meet you, Lady Diane.",あっ｡ は… はじめまして ディアンヌ様｡,Oh. ... Nice to meet you Dianne.,0.3333333333333333
I am Elizabeth.,私は エリザベス｡,I am Elizabeth.,1.0
I'm traveling together with Lord Meliodas.,メリオダス様と共に 旅をさせていただいている者です｡,I am a person who is traveling with Meriodas.,0.2857142857142857
Just you and the Captain? hawk as well!,団長と二人で？ プラス一匹な｡,Is it a leader and two people?There is one plus.,0.1
"Oh, is that so?",へえ～ そうなんだ｡ そう そう｡ そんでさ…｡,Hey ~ That's right. That's right. So ....,0.16666666666666666
You've scarred a maiden's heart!,乙女心が傷ついたよ～！ ううっ…｡,The girl's heart was hurt!Uh ....,0.2
"If you have any excuses, tell me now!",でも… 言い訳があるなら ちゃんと言ってよ｡,"But ... if there is a translation, say properly.",0.10526315789473684
"Well, I don't really have an excu—",あっ いや 言い訳も何も…｡,There is no excuse and anything ....,0.0
I don't wanna hear it! you pervert! you womanizer!,言い訳無用だ～い！ 団長のスケベ！ 女ったらし！,Excuse useless!Sukeve of the leader!Woman!,0.05555555555555555
What the hell is this?,メリオダス様…｡ なんだ あれ｡,Meriodas .... That's why.,0.0
for the Seven Deadly Sins to stop the Holy Knights.,七つの大罪を捜して 旅をしてるんだよ｡,I'm traveling for the seven main sins.,0.35714285714285715
Oh... So that's why.,そうだったんだ｡ 僕ってば➡,That was right.,0.2222222222222222
Sorry... And I'm sorry for trying to eat piggy over there as well.,ごめんなさい｡ 豚さんも➡,I'm sorry. Pig is also ➡,0.21052631578947367
That's all you have to say?!,それで済むか！ こっちは 腹ん中に➡,Is it not done!Here is a vision,0.0625
"I-If you touch me again,  Mom won't stay quiet about it!",待て｡ 俺に手を出したら➡,Wait. If I put out my hand,0.0
"You don't have that kind of relationship with Captain, do you?",本当に 団長とは そういう関係じゃないんだよね？,"You're really a leader, right?",0.17647058823529413
"Anyway, Elizabeth and I are tracking down the Seven Deadly Sins.",とにかく 俺は エリザベスと一緒に➡,"Anyway, I am with Elizabeth",0.26666666666666666
I have a few questions for them myself.,知りたいこともあるしな｡ ふ～ん 分かったよ｡➡,There is also something I want to know. I understand.,0.11764705882352941
"Well, I'll tag along as well.",なら 僕も行く｡ えっ？,Then I will go. Eh?,0.15384615384615385
"The Serpent's Sin of Envy, Diane,",この嫉妬の罪 嫉妬の罪のデｨアンヌ 力を貸すよ｡,I will lend the Dianne power of the sin of crime of this jealousy.,0.17647058823529413
shall lend you her power. thanks! that'll help.,そっか｡ 助かる｡ ありがとうございます ﾃﾞｨｱﾝﾇ様｡,Sorry. Thank you. Thank you Dianne.,0.14285714285714285
The only reason I'm lending you my power is because of Captain here.,僕が力を貸すのは 団長のためだからね｡,"Because I lend my power, because of the leader.",0.3888888888888889
Th-Thank goodness!,ははっ…｡ ≫よ… よかった～｡,Ha .... »Good ... good ~.,0.0
We can finally live in peace!,これで やっと静かに暮らせる｡,Now you can live quietly.,0.18181818181818182
Lady Diane threatened to go on a rampage if we didn't help her hide here forever!,ずっと ディアンヌ様に かくまわないと暴れるって➡,I'm going to go wild if I'm going to Dianne,0.13043478260869565
"You guys have had it rough too, huh?",お前らも 苦労してきたんだな｡,You have struggled.,0.16666666666666666
Just now—,今のは…｡ おかしいよ｡➡,Now .... It's funny.,0.0
I'm sure most of the animals  from this forest have left already.,この森には 動物は ほとんどいないはずなのに｡,Although there should be no animals in this forest.,0.2
Smells like rain clouds.,雨雲の匂い｡ はっ 見ろ！ えっ？,The smell of rain clouds.eh?,0.1
Those are...,ゴロゴロゴロ… これは…｡,Gorogorogoro ... This is ....,0.14285714285714285
Thunder clouds?,雷雲？ ピシャーン！,Thundercloud?Pishan!,0.16666666666666666
What is this?,おっ｡ なんだ これ？ 団長？,"Oh, what is this?Is it a leader?",0.4444444444444444
I can't move! can't move!,動かねぇ…｡ 動かねぇ！,Moving .... Move!,0.25
"We finally meet,",ようやく会えたな➡,I finally met,0.16666666666666666
Seven Deadly Sins.,七つの大罪｡,Seven Great Sins.,0.6
"We finally meet, Seven Deadly Sins.",ようやく会えたな 七つの大罪｡,Seven Great Sins I finally met.,0.36363636363636365
"Yep, without a doubt.",ああ 間違いねぇ｡ 聖騎士だな｡,Oh no mistake. Holy Knight.,0.09090909090909091
It's a Holy Knight. gilthunder...,ギルサンダー…｡ ギルサンダーなのですか？,Gil Thunder .... Is it Gilsander?,0.23076923076923078
You know him?,知り合いか？ はい｡,Do you know?Yes.,0.42857142857142855
"He's a Holy Knight very  close to my father, the king.",彼は 国王の… 父の側近の聖騎士｡,He is the king's side of the father's side.,0.35294117647058826
"He's the son of the Great Holy Knight Zaratras,",当時の聖騎士長だった ザラトラスの子息で➡,At the son of Zaratras who was the Holy Knight of the time at that time,0.4
so he would visit the royal palace often.,王宮に出入りしていたから➡,Because I went to the Royal Palace,0.23076923076923078
I've known him since I was young.,私も 小さいころから知ってて｡,I also know from my little while.,0.14285714285714285
"If you've got time to be joking around,",そんな口を 利いている暇があったら➡,If you have time to have such a mouth,0.2857142857142857
"then you've got an escape plan, haven't you?",そこから脱出する方法を 考えるのだな｡,I think about how to escape from there.,0.05263157894736842
"Hey, this lightning...",おい この雷…｡ ああ｡,Heyday this lightning ....,0.42857142857142855
Sealing the underground river at Bernia and attempting to destroy the village...,バーニャ村で 水をせき止めたのも 村を吹っ飛ばそうとしたのも➡,I also stopped water in Bagna Village and I tried to blow the village,0.2
"That was you, right?",どうやら お前だったみたいだな｡ そんな… メリオダス様！,Apparently I would like you. Such ... Meriodas!,0.06666666666666667
there's no way! he's not that type of person—,違います｡ 彼は そんな… あっ！,It is different. He is ...!,0.125
This is nothing...,そんな…｡ ぐぐっ… こんなもの～！,Such ....,0.16666666666666666
It's futile.,無駄だ｡ うっ！,It is useless!,0.14285714285714285
Do you know why the Holy  Knights are after the Sins' heads?,聖騎士が なぜ 七つの大罪の首を狙うか➡,Why Holy Knight aims at the neck of seven major sins?,0.25
One half says it's to kill the traitorous knights who attempted to overthrow the kingdom.,王国転覆を謀った 裏切り者の騎士団への➡,"To the Kingdom's Knights, who is a retiring kingdom",0.3157894736842105
The other half says it's to prove our  might by defeating the legendary Seven.,かつての伝説と戦い➡,Battle of the former legend,0.05263157894736842
