en_text,jp_text,google_translated,score,semantic_score
Not inside my desk either...,机の中… にもない,Nothing in the desk ...,0.2222222222222222,0.6747132
Today's the day that guys \Nare restless and fidgety.,今日は男がソワソワする日,Today is a day when a man is sowa,0.125,0.44663918
"Senpai, good morning!","（高橋(たかはし)）
先輩！　おはようございます",")
upperclassman! good morning",0.42857142857142855,0.42170143
"Ah, that you, Takahashi?",ああああ…,Ah ...,0.14285714285714285,0.18324128
"I got this from ""Big Sis"" Hika.",（高橋）ひか姉にもらって,I got a hika sister,0.25,0.7471511
I'd also like to receive some \Nchocolate from Sensei...,"（田中）
俺も先生からチョコがもらいたい",I also want to get chocolate from the teacher,0.25,0.46083704
It's okay. There's no need to be impatient.,大丈夫 焦ることはない,There is no okay,0.2727272727272727,0.4228214
There are still too many people here\Nfor her to hand them to me.,まだ渡すには人が多すぎる,There are too many people to pass,0.42857142857142855,0.23296781
The most likely time is after school!,本命は放課後だ,Litro is after school,0.3333333333333333,0.2867413
Dammit!,"（田中）
チクショウ！",Chikusho!,0.3333333333333333,0.27318928
"Well, I just knew this would happen.",まあ こうなることは分かってたさ,Well I understand that,0.18181818181818185,0.29482722
"I simply wanted to dream a bit, okay?!",少し夢を見たかっただけ！,I just wanted to see a little dream!,0.42857142857142855,0.65669984
"Er, it's already snowing like crazy?!",って 雪 降り過ぎでは？,Is it too snowing?,0.25,0.7157074
"Oh no, all the trains and buses have stopped.",ヤバい 電車もバスも止まってる,Both trains and buses are also stopped,0.2857142857142857,0.69791144
I'll just be cold if I stay here at school.,"学校にいても寒いだけだし
歩くしかないか","Even if you are at school, it's only cold
I have no way to walk",0.21739130434782608,0.70119363
"This's bad. With all this snow,\Nmy clothes will get soaked in no time.","（田中）
ヤバい　これ 一瞬で
服ビショビショになるぞ","In this instant
It will be a clothes biting",0.19047619047619047,0.40018216
"Oops, I slipped and now I can't move.",（立花(たちばな)）しまった　滑って動けない,) I can not move slipped,0.2307692307692308,0.8627902
"Why the hell are you here, Sensei?!",（田中）なんでここに先生が!?,Why is the teacher here!?,0.4166666666666667,0.28453088
