en_text,jp_text,google_translated,score
This is a former school building.,"（高橋(たかはし)）
ここは旧校舎
間違いなく旧校舎だ",")
This is the old school building
It is definitely the old school building",0.3333333333333333
You got that right.,（高橋）確かに,Certainly,0.0
"It's perfect for the Kawanuma Festival's\Nspecial evening program, isn't it?","川沼(かわぬま)祭 夜の部の目玉企画に
ぴったりですね","Kawanuma  Festival of the night part of the night
It is perfect",0.29411764705882354
"Why the hell are you here, ""Big Sis"" Hika?!",なんでここに ひか姉が!?,Why is the sister here!?,0.3125
"in front of the venue, \NSaya and Takahashi-kun?","さやと高橋君に
お願いしていいですか？","Saya and Takahashi-kun
May I ask?",0.21428571428571427
Uh... I guess so.,お… 男らしい？　ホントに？,Oh ... Men? Really?,0.1
"Certainly, please leave it to us!",（高橋）はい！　任せてください,Yes! please leave it to me,0.5
"I'm scared and don't really wanna do it,\Nbut I see you're quite manly, Takahashi-kun.",私は怖くて嫌なのに,I'm scared and I don't like it,0.35
"""M-manly""? You mean it?!",（葉桜(はざくら)）なんだよ かっこつけて,What is it?,0.2
"In the old days, he used to get scared\Nand pee his pants!","昔は怖がって
おしっこ漏らしてたくせに","I used to be scared
To pee leakage",0.16666666666666666
"Well then, I'll get ahead of them\Nand come up from behind and frighten him!","（葉桜）
こうなりゃ 先回りして
後ろから驚かしてやる！","If you have to go ahead
Surprise from behind!",0.17391304347826086
"If Taka gets scared and\Nexposes his shameful side, then-","タカなんてビビって
恥ずかしい姿をさらせば…","Taka is Bib
If you express your embarrassing figure ...",0.1111111111111111
It was dark and I couldn't \Ntell where I was going!,暗くて分かんなかったんだ,It was dark and I was very well,0.38461538461538464
"But why'd you head to a place\Nlike this all alone, anyway?",でも どうしてこんな所に１人で？,But why are alone in such a place?,0.2777777777777778
What's with that shocked look on your face?!,なんだ そのあきれた顔は！,What is the face that has come out!,0.25
"Well, of course I'm shocked.","恥ずかしい姿を
さらしてやろうと思ってね","An embarrassing figure
I'm thinking of exposing it",0.21428571428571427
"First of all, shouldn't we\Ncall someone over here to help?","（さや）
とりあえず 誰か
呼んできたほうがいいんじゃない？","For now, someone
You should call you?",0.23529411764705882
"""Big Sis"" Hika, hold tight for a bit!",ひか姉 ちょっと待ってて,Hika sister waiting for a while,0.2
"There's no real reason \Nfor you to go too, Taka.",別にタカまで一緒に行かなくても,Even if you don't go along with Taka,0.15789473684210525
