en_text,jp_text,google_translated,score,semantic_score
"<i>Yeah, turn your sadness into kindness,</i>
<i>your uniqueness into strength</i>","♬
 
そうさ
 
悲しみをやさしさに

","♬
 
So
 
Sadness to the kindness",0.1176470588235294,0.699969
"<i>when you're always meeting</i>
<i>to someone's expectations?</i>","♬
 
誰かの期待にずっと応え

","♬
 
Meet the expectations of someone",0.1111111111111111,0.623353
"<i>Even if you change to</i>
<i>who you really wanna be</i>","♬
 
なりたい自分を摺り替えても

","♬
 
Even if you rerun yourself",0.17647058823529413,0.28524134
<i>Will you always have a great smile?</i>,"♬
 
笑顔はいつでも素敵ですか

","♬
 
Is it always nice to smile",0.1176470588235294,0.7599904
"<i>and someday, I'll live on my own.</i>","♬
 
いつか自分の腕で

","♬
 
Someday with your own arms",0.05882352941176471,0.53727305
"<i>Yes, precious things are never in shape</i>","♬
 
そうだ
 
大事な物は
 
いつも

","♬
 
That's it
 
Important things
 
everytime",0.05555555555555555,0.30791083
"<i>Even if you get lost,</i>
<i>let's start walking</i>","♬
 
手に入れても
 
なくしても

","♬
 
Even if you get it
 
Even if it is lost",0.29411764705882354,0.45522577
"Sensei!
Please stop this match right away!","(ﾅﾙﾄ)
先生
 
今すぐ
 
この試合を
止めてくれってばよ
｡

","teacher
 
right now
 
This match
If you stop it
.",0.2857142857142857,0.46661705
What?,"(ｶｶｼ)
え？
(ｻｸﾗ)
あっ…
｡

","picture?

Ah…
.",0.2,0.3732493
Sasuke and I...,"♬
 
気付かぬまま

","♬
 
I noticed",0.16666666666666666,0.18558656
"We didn't just get here late
for no reason.","ムダに遅れてきたわけじゃないさ
｡

","I'm not late for Muda
.",0.2,0.3397195
<i>The third eye...</i>,"(ﾃﾏﾘ)
《第三の目
｡
➡

","""Third Eye
.
➡",0.18181818181818185,0.7624143
<i>There is no doubt... That Jutsu is...!</i>,"間違いない
 
あの術…》

","no doubt
 
That technique ... """,0.2857142857142857,0.36303708
"<i>As I thought, it's no good.</i>","何のつもりか知らねえが➡

",What's wrong or not.,0.0625,0.23194176
<i>This thing of mine also takes time!</i>,"《俺の
 
こいつも時間がかかる！》

","""my
 
This always takes time!""",0.25,0.572214
Hurry up!,"(
暗部２
)
気のせいか…
｡
(
暗部１
)
早くしろ
｡

","Is it just me…
.

hurry up
.",0.25,0.59759235
Hm?,"先生
｡
(ｶｶｼ)
ん？

","teacher
.

Yeah?",0.2,0.2221367
"What did you mean when you said
that you didn't get here late for nothing","ムダに遅れてきたわけじゃない
って
 
どういう意味よ？

","I'm not late for Muda
In
 
What does it mean?",0.19047619047619047,0.47263372
You want to know why?,"(ｶｶｼ)
う～ん…
 
聞きたい？

","Hmm ...
 
I want to hear?",0.3,0.30224043
Shut up and watch him.,"(ｶｶｼ)
黙って
 
あいつを見てろ
｡

","shut up
 
Look at that
.",0.3333333333333333,0.5811215
"<i>Gaara...we never know when</i>
<i>the signal is going to come!</i>","いつ
 
合図がかかるか
分からんのだぞ!?》

","when
 
Is a signal taken?
I do not know!? """,0.2608695652173913,0.58674026
"<i>Yeah...</i>
<i>I'm gonna tear him open.</i>","(ｶｶｼ)
びっくりするから
｡

","I'm surprised
.",0.14285714285714285,0.15754169
"<i>That's how it comes out.</i>
<i>What?</i>","それで出すんだ
｡
➡

","It will come out with that
.
➡",0.1111111111111111,0.39925784
<i>The contents...</i>,"え？
 
中身だよ
｡
➡

","picture?
 
It is the contents
.
➡",0.15384615384615385,0.49859887
<i>I'm always a good boy!</i>,"ハハ…
 
いつも僕は
 
いい子だよ
｡
➡

","Haha ...
 
Always I
 
It is a good girl
.
➡",0.2352941176470588,0.6949759
"<i>Yeah, let's do it.</i>","うん
 
やろう
｡
➡

","Yes
 
let's do it
.
➡",0.21428571428571427,0.6028503
"<i>Mother, I'm watching so...</i>","母さん
 
僕は見てるから
｡

","mother
 
Because I'm looking
.",0.2307692307692308,0.49390316
"He's not even
abiding by the plan.","我愛羅のヤツ…
｡

","Ira's guy ...
.",0.16666666666666666,0.30802852
"<i>Hey, hey, wouldn't it</i>
<i>be better if we flee...?</i>","(ｶﾝｸﾛｳ)
チッ
 
ああなったら
何してもダメじゃん
｡

","Chick
 
If it is
Whatever you don't do anything
.",0.13043478260869565,0.09984328
Plan?,"(
シノ
)
《計画？》

","""plan?""",0.5,0.64487714
How's it going?,"(
忍１
)
いかがですかな？

",How is it?,0.5,0.6622026
"Please hurry up with preparation
for Summoning.","(
忍１
)
口寄せの準備
 
急いでください
｡
➡

","Preparing for the mouth
 
Please hurry
.
➡",0.3333333333333333,0.42391255
"I want to be sure we're able to
make our move at any time.","いつでも動けるように
しておきたい
｡

","To move at any time
I want to
.",0.5333333333333333,0.5664132
"All right, I'll leave that to you.","(
忍１
)
では
 
こちらは
 
お任せします
｡

","In
 
This is
 
I'll leave it to you
.",0.42857142857142855,0.61943173
"The reason I decided to
train Sasuke was...","(ｶｶｼ)
俺がサスケの修業についたのは…
｡

","I was about to study Sasuke ...
.",0.4166666666666667,0.7766861
because he was like me.,"(ｶｶｼ)
あいつが
俺と似たタイプだったからだ
｡

","that guy
Because it was a type similar to me
.",0.3076923076923077,0.5117719
That's right!,"(
ガイ
)
ん？
 
ま…
 
まさか
 
あれは！

","Yeah?
 
Devil…
 
Masadish
 
That is!",0.2222222222222222,0.2685632
Awesome...,"(
ガイ
)
肉体活性…
｡

","Body activity ...
.",0.2,0.16930857
Exactly...,"(
風影
)
《まさしく…》

","""Masashi ...""",0.2,0.08569655
W-What the heck is that?!,"(
ガイ
)
《これが
 
うちは一族か》
うお～！

","""This is
 
Is it a family?
Uo!",0.2307692307692308,0.10807764
"What a sound!
What's that technique?","すごい音…
 
何なの？
 
あの技
｡

","Great sound ...
 
What's?
 
That technique
.",0.5454545454545454,0.8987961
That's just a jab...,"(
ガイ
)
ただの突きだ
｡

","It's just a thrust
.",0.3333333333333333,0.35171145
Huh?!,"え？

",picture?,0.25,0.31992978
"That's the only original technique
of the Copy Ninja, Kakashi...","コピー忍者
 
カカシ
唯一のオリジナル技
｡

","Copy ninja
 
Kakashi
Only original technique
.",0.4615384615384616,0.9074947
"Its secret is in the speed of the jab,","その極意は突きのスピード➡

",The quarter is the speed of the thrust ➡,0.3333333333333333,0.3280889
"and also the physical aptitude
that gives forth a gigantic Chakra,","そして
 
強大なチャクラを生む
肉体大活性
｡
➡

","and
 
Base a powerful chakra
Physical adequacy activity
.
➡",0.2222222222222222,0.7348208
"the ability of the Chakra to
focus solely on the target,","膨大なチャクラの
突き手への一点集中➡

","Various chakra
One point concentration to the stir",0.2,0.57396257
"A unique sound attack similar
to the rumbling of a thousand birds.","独特の攻撃音を奏でる
｡

","Play unique attack sound
.",0.3076923076923077,0.61298686
And that's why that technique is called...,"(
ガイ
)
よって
あの技は
 
こう呼ばれる
｡

","By all means
That technique
 
Be called
.",0.2307692307692308,0.8620895
Chidori: One Thousand Birds!,"(
ガイ
)
千鳥‼

",Chidori!,0.3333333333333333,0.7342199
Excellent work!...,"(
一同
)
あっ！

",Ah!,0.2,0.17795542
Kakashi's...,"(
猿飛
)
あれは
 
カカシの…
｡

","That is
 
Kakashi ...
.",0.3333333333333333,0.7475814
"Chidori...
Also known as Lightning Blade.","(
バキ
)
まさか…
｡

","Masaka ...
.",0.2222222222222222,0.1925115
Lightning Blade?,"雷切？

",Lightning arrival?,0.5,0.6262367
