en_text,jp_text,google_translated,score
<i>We are Fighting Dreamers aiming high</i>,"♬
 We are Fighting Dreamers
高みを目指して

","♬
 We ARE Fighing Dreamers
Aiming for heights",0.2857142857142857
"<i>Fighting Dreamers</i>
<i>follow what they believe</i>","♬
 Fighting Dreamers
なりふり構わず

","♬
 Fighting Dreamers
Indeed",0.16666666666666666
<i>Oli Oli Oli Oh! Just go my way</i>,"♬
 Oli Oli Oli Oh-
！
Just go my way
！

","♬
 OLI OLI OLI OH-
!
Just Go My Way
!",0.46153846153846156
"<i>Right here right now </i>
<i>Hit it straight like a line drive!</i>","♬
 Right here Right now(Bang
！
)
ぶっ放せ
 Like a 
弾丸ライナー！

","♬
 RIGHT HERE RIGHT NOW 
Leaning
 Like A
Bullet Liner!",0.3157894736842105
<i>Right here right now </i>,"♬
 Right here Right now(Burn
！
)

","♬
 RIGHT HERE RIGHT NOW",0.375
"<i>Down a difficult road</i>
<i>filled with endless struggles</i>","♬
 
険しい修羅の道の中

","♬
 
In the road of steep shura",0.05555555555555555
"<i>Where do you think you are going</i>
<i>following someone else's map?</i>","♬
 
他人の地図を広げて
何処へ行く？

","♬
 
Spread the map of others
Where do you go?",0.22727272727272727
"<i>Now open your eyes and</i>
<i>take a look at the truth </i>","♬
 
さぁ心の目
 
見開いて

","♬
 
Saya no eyes
 
Open",0.1111111111111111
"<i>There's nothing to lose,</i>
<i>so let's GO!!!</i>","♬
 
失うモノなんてないさ

","♬
 
I do not have to lose anything",0.15789473684210525
"<i>Right here right now </i>
<i>We're gonna do it and do our best!</i>","♬
 Right here Right now(Burn
！
)
ぶった斬ってくぜ
 Get the fire
！

","♬
 RIGHT HERE RIGHT NOW 
I'm sorry
 Get the fire
!",0.21739130434782608
"Hey, Pervy Sage. What Jutsu are you
gonna teach me this time?","一体
 
今度は
どんな術
 
教えてくれんの～？

","Integral
 
Next time
Any
 
Tell me ~?",0.14285714285714285
"The last time was Walk on Water Jutsu,
so is it gonna be Walk on Fire Jutsu?","この前は
水面歩行の術だったから➡

","previously
Because it was the surgery of water surface walking",0.17391304347826086
"Hurry up and tell me, Pervy Sage!","アハッ
 
早く教えてくれってばよ
なぁ
 
エロ仙人！

","Acupuncture
 
If you tell me early
Hoped
 
Erotic Sennin!",0.1875
"So you have no idea that
I'm a superb person, huh?","お前
 
わしが
 
すっごい人だって
知らねえだろ？

","you
 
Wow
 
It is a great person
You're notifying you?",0.2
Huh...? A superb Pervy Sage?,"え？
 
すっごいエロ仙人？
(
自来也
)
うっ…
｡

","picture?
 
A great erotic sannin?

Uey ...
.",0.23076923076923078
Nhaagh... Listen carefully!,"それとも…
｡

","Or ...
.",0.14285714285714285
Toad Sage is only a disguise!,"ガマの仙人とは仮の姿！➡

",Gama's Sennin is a temporary appearance!➡,0.23076923076923078
North and South and East and West!,"北に南に西東！

",West East south of the north!,0.625
Such a stud!,"白髪童子ガマ使い！

",Using a white haired child girl!,0.2222222222222222
"I am no other than ""Master Jiraiya""!","斉天かなわぬ三忍の➡

",Saiku Nittaru no Saiko,0.07692307692307693
"Atafuku Town?
That's ten kilometers from here!","あのさ
 
あのさ！
 
あのさ
 
あのさ！
エロ仙人！

","That
 
Ah!
 
That
 
Ah!
Erotic Sennin!",0.15384615384615385
"It's ""O"" tafuku Town!","｢
あ…
 
あたふくまち
｣
10km
だってばよ
｡

","""
Ah…
 
Haruka Machi
""
10 km
It is
.",0.2
that I'm potentially a genius?,"旅のお供に俺
 
連れてくってのは
やっぱ
 
あれかな？

","I am a trip to travel
 
Take the
After all
 
Is it that time?",0.2222222222222222
"Hey! Hey! Hey!
Why did you choose me?","ウハハ～！
 
ねぇねぇ
 
ねぇねぇ！
何で
 
俺
 
選んだの？

","Uhaha ~!
 
Hey
 
Hey!
why
 
me
 
Did you choose?",0.8
"A long time ago
the Fourth Hokage was my disciple.","わしはな
 
昔
 
四代目火影を
弟子にしていてな
｡

","I'm sorry
 
long ago
 
Fourth generation
I am a disciple
.",0.375
