en_text,jp_text,google_translated,score
"Birthday hey, hey!",ねえ ねえ みお)うん？,Hey Hey Yayo) Yo?,0.125
Let's throw Nano-chan a birthday party!,なのちゃんの 誕生日会をしよう,Let's have a birthday party of Nanoha,0.45454545454545453
What should we do?,何も用意してないよ,I have not prepared anything,0.0
Good idea!,おお いいね 一石二鳥じゃん,Good morning Two birds,0.16666666666666666
All right!,よっしゃ！ 麻衣ちゃんも それでオーケー？,"Yo!Mai-chan, she is orchy with it?",0.08333333333333333
"Well then, Yukko and I will...",私も財布 忘れちゃった,I also forgot my wallet,0.08333333333333333
"Well, I never paid you back the money I lost at the amusement park,",前に遊園地で落としたお金も 返してなかったし―,I did not return the money dropped in the amusement park before-,0.2631578947368421
so I guess I'll pay for today.,とりあえず 今日は 私が出しておくよ,"First of all, I will do it today",0.13333333333333333
"Well, I'll go tell Nano-chan we're having a birthday party!",じゃあ なのちゃんに 誕生日会やるって言ってくる,"Well then, I say that I will do my birthday",0.2
What happened to the surprise?!,サプライズどこいったの？,Surprise What did you do?,0.3
so it's not like I got dumped or anything!,だから全然 フラれたわけじゃないし,So it's not scared at all,0.2857142857142857
It's not like I gave up!,だから 全然 あきらめたとかでもないし,So I'm not able to give up at all,0.2
Let's leave it at that!,そこんとこ よろしくっ！,I'm sorry!,0.1
Nothing forgotten... nichijou 110,なの) よし！ 忘れ物なしっと,Yes!Lessless thing,0.0
"What's with you, Professor?",どどど… どうしたんですか？ はかせ,Howt to ... What happened?Doctor,0.16666666666666666
"I made a small one, so I'm taking this one off.",今ね 小っちゃいやつ 作ったから 取るね,I will take it because I made a small guy now,0.2222222222222222
"Professor, what do you mean by ""a small one""?",はかせ 小っちゃいやつって 何ですか？,What is a small and small guy?,0.25
By small... uh...,小っちゃいやつはね えっとね,Small guy is fine,0.14285714285714285
Will that make my back smooth?,それって 背中つるつるに なるんですか？,Is it going to be broken back?,0.15384615384615385
It will.,おっ なるけど,I'm sorry,0.0
But even on top of the small one...,でも 小っちゃいのの その上から…,But from the top ...,0.4
It's so loud...,朝から何やってんだ 騒がしい,What's wrong from morning,0.1111111111111111
"Kid, why did you set up a trap?!",ガキ！ てめえ なんてトラップ 仕掛けてやがんだ,Gaki!I'm trapped by trapping,0.058823529411764705
Sakamoto broke the small thing!,ああ！ 阪本が 小っちゃいやつ壊した,Ah!Hakamoto has broken a small guy,0.16666666666666666
W-What? No!,えっ？ ああ… いや 違う,eh?Oh ... no different,0.25
It's your fault for leaving it on the ground!,お前が床に置いてんのが 悪いんだろ！,You're bad for you to put it on your floor!,0.3125
I'm heading off to school.,学校いってきます,I will come to school,0.3333333333333333
You forgot this.,なの　忘れ物,What forget,0.0
I'll make another one real quick.,また すぐ作れるけど,I can make it soon,0.18181818181818182
"Well, I can make it really quick.",だって すぐ作れるから,Because it can be done immediately,0.15384615384615385
Professor! i'm heading off to school!,ぱあ　はかせっ,Paa,0.0
Have a safe trip!,いってらっしゃーい,I'm sorry,0.0
Have a safe trip...,い… いってらっしゃーい,... I'm talking,0.125
Principal,あれ？ おかしいですね,that?It is funny,0.0
"Well, that's odd...",あれ？ おかしいですね,that?It is funny,0.1
Principal & Vice Principal,あれ？ おかしいですね,that?It is funny,0.0
Kids these days with their sophisticated pranks...,まったく 近頃の若者のいたずらは ユーモアがあるというか―,Is there a humor of young people at all around,0.0
Or is it something else?,それともなんですか？ ハアッ,Or is it?Haoad,0.5714285714285714
Could I possibly have an admirer?,私の支持者でもいるんですかね ハッハッハッ,I'm also my supporter?,0.18181818181818182
We've finished moving it!,教頭先生　運び終わりました,Teacher's carrying end,0.0
"The statue is fine here, correct?",この像は ここでよかったんですよね？,"This statitive was good here, right?",0.23076923076923078
"Vice Principal, this is...",教頭 これは？,Is this a teacher?,0.2222222222222222
"Well, the pranks these youngsters do...",ま… まったく 最近の若者のいたずらは―,Ma ... Nostatic young people's mischief-,0.07142857142857142
They're well plotted out.,何というか 手が込んでいるというか,What is the hand?,0.0
"Sorry, can you take this statue as well?",す… すいません この像も持っていってください,... I'm sorry I also have this image,0.125
"You want to take away this cheap statue, too?",えっ？ この ちゃっちいほう 片づけちゃうんですか？,eh?Is this her chattering more?,0.125
"Now, now, Vice Principal, don't be so gloomy.",まあまあ 教頭先生 お気になさらずに,"Well, not good luck",0.07142857142857142
"Well, we're taking it with the stinky one!",じゃあ さっきのクッサイほうと 一緒に持ってっちゃいますね,Well then I have a chance to bring it together,0.10526315789473684
Go Soccer Club 8,なんと！,What!,0.0
It's unlocked.,あれ？ 鍵開いてる,that?Be open,0.0
"I wanted to be first,",一番に来ようと思って―,I'm thinking of coming to you,0.18181818181818182
"What is it? sekiguchi, are you going to do morning practice, too?",なに？ 関口も朝練するの？,what?Is Sekiguchi also in the morning?,0.29411764705882354
Nichijou 111 to think that i'll have to pay for both of your lunches...,もう ２人のお昼まで 私が買うことになるとは,What will I buy until the other day noon,0.043478260869565216
Of course Mio-chan understands!,よっ さすが みおちゃん 太っ腹,"Yes, but Mio-chan",0.125
Did you ask Nano-chan if we could come over today?,なのちゃんに 今日 行っていい？ って聞いた？,Do you want to go today to Nanoha?Did you hear?,0.23529411764705882
"Just a moment, please!",ジャス モーメン プリー！,Jas Momen Plei!,0.1111111111111111
"Well, I'm going to see Nano-chan now.",んじゃあ ちょっと なのちゃん所 行ってくる,I'm going to go a little chance,0.2857142857142857
I must hurry!,善は急げ,Strike while the iron is hot,0.0
Don't worry.,いいよ　いいよ 私のほうこそ ごめんね,It's good I'm sorry I'm sorry,0.0
I found it!,おおっ あった,Hoped,0.0
Actually...,うん　実は…,Yeah ...,0.3333333333333333
"Anyway, this isn't what it looks like.",あっ といいますか これは違くてですね,Is it okay? This is different,0.23076923076923078
"That's great and all, but is it all right if I come over today?",ねえねえ そんなことより 今日 なのちゃん家 行っていい？,"Hey, can you go home today than such a thing?",0.12
That's righ-,あっ そうだ！ あっ,It looks like!Ah,0.0
"That's a surprise, so I can't tell you.",それは サプライズなので 言えません,It can not be said because it is a surprise,0.10526315789473684
"Well, I guess I'll have to buy some for Aioi-san, too.",じゃあ 相生さんたちの分も 買っておこうかな,"Well then, I will buy a resident",0.23529411764705882
"First comes rock,",♪ 最初はグー その次パー,♪ The first is the next par,0.1111111111111111
