en_text,jp_text,google_translated,score,semantic_score
It's starting to look a little better.,大体 形にはなってきたかな,Did you become a rough shape?,0.06666666666666668,0.23808858
Your cleaning skills are amazing.,阿良々木先輩の清掃スキルは目を見張るものがある,Atsugi Senior Cleaning Skills are looking at eyes,0.2727272727272727,0.42853913
Perhaps I made my room messy,私は阿良々木先輩のそのスキルが見たくて,I want to see the skill of Arbi Senior,0.07142857142857142,-0.016837845
just so I could see your skill.,こうして部屋を散らかしているのかもしれないな,"In this way, you may have spent a room",0.0,0.24629867
"That'd be a pain, so please don't.",それは迷惑だから是非やめろ,"Because it is annoying, stop by all means",0.05263157894736842,0.012658974
You'll make a great wife.,阿良々木先輩は いいお嫁さんになる,Atsugi Senior will be a good bride,0.07692307692307693,0.334833
I wouldn't want you for a husband.,いや 僕はお前が旦那ってのはいやだな,"No, I'm no longer my heson",0.06666666666666668,0.1356697
"Well, she'd probably kill me too.",いや 多分僕も殺されるけど,"No, I will kill me too",0.3333333333333333,0.553419
make a good couple.,戦場ヶ原先輩とはお似合いのカップルではあるとは思うが,I think that it is a couple with a good match with Battlewahara Senior,0.21428571428571427,0.1973646
and maybe Sengoku-chan as a third.,千石ちゃんが三号か,Senishi-chan is the third,0.1,0.79058564
"Following that logic,",きっとその上 本命は八九寺なのだ,Surely the life is Hachiku Temple,0.0,0.11358255
koyomi                tsubasa,きっとその上 本命は八九寺なのだ,Surely the life is Hachiku Temple,0.0,0.24591744
mayoi,きっとその上 本命は八九寺なのだ,Surely the life is Hachiku Temple,0.0,0.22606158
Th-That's not true...,そ…そんなことはないさ,So ... there is no such thing,0.09090909090909093,0.2463531
Cold Sweat i don't know what to say,そんな夢見がちのプロポーズを私に対して今ここでされても挨拶に困るな,Don't be troubled by greeting even if you're going to have such a lot of dreaming,0.125,0.26073316
"if I really pursued you, you couldn't refuse.",私が本気で迫ったら 断りきれないだろう,I will not be able to refuse if I get stuck,0.17647058823529413,0.4352669
It's easy for girls to,阿良々木先輩の優しさは,The kindness of Atsugi senior,0.0,0.16151267
"take advantage of your kindness, so be careful.",女子から見れば付け込みやすいから気をつけたほうがよかろう という意味だ,It means that you should be careful because it is easy to attach from girls,0.09090909090909093,0.1654692
"That's what I mean. for now, that's all it is.",まあ 今のところ他意はない,Well now there is no other opinion,0.1176470588235294,0.1972832
I like our current relationship.,私は今の関係が好きだから それを壊す方向へは動くつもりがないが,I do not intend to move in the direction to break it because I like the relationship now,0.16666666666666666,0.5913548
"But should you ever hurt Senjougahara-senpai,",もしも阿良々木先輩が戦場ヶ原先輩を傷つけるようなことをしたら,If you do something like Sakagi Senior hurts the Tamagahara senior,0.0625,0.61799145
I'm certain I would...,きっと私はそのように動くのだろうな,Surely I will move like that,0.1,0.3236424
"Actually, if I married Hanekawa,",ていうか 考えてみりゃ 羽川と結婚なんかしたら,"If you think about it, if you get married and marry",0.2307692307692308,0.39752218
wouldn't Senjougahara kill her too?,羽川もまた戦場ヶ原に殺されちゃうじゃないか,Hagawa will also be killed by the Battleigahara again,0.0,0.5010761
I wouldn't want that.,それは嫌だ 話さなかったか,Didn't it be a disgusting story,0.08333333333333333,0.090944596
