en_text,jp_text,google_translated,score,semantic_score
We won't let you fight the Eastern Federation!,"（貴族３）出てこい愚王
東部連合の内通者め！","Out of the Ogai
Internal of the eastern party!",0.2,0.4525806
Why are we all here?,"（ステファニー･ドーラ）
それで… なんで ここに
集められてるんですの？","So ... why he is here
Are you collected?",0.3333333333333333,0.47657877
"I told you after we won yesterday, right?","（空(ソラ)）昨日
俺らが勝ったあとに言っただろ？",") yesterday
Didn't we win after win?",0.2857142857142857,0.7994259
Demand 2:,要求２ そこのエルフ,Request 2 Elves there,0.16666666666666666,0.2828015
"You want us to spy for you, right?","（クラミー･ツェル）私たちに
スパイをやれっていうんでしょ？","To us
Don't let me spy?",0.3076923076923077,0.8207631
Spy...,（フィール･ニルヴァレン）なっ…,...,0.5,0.20349018
The reason we bet Imanity's Race Piece is,"俺らがイマニティの駒を
賭けたのは―","We do not use the I manity piece
What I bet-",0.1875,0.4032945
"with Elven Garde, would make contact with us.","エルヴン･ガルドの内通者である
クラミーが―","Elven Gardo's internal person
Chlamy-",0.07142857142857142,0.301479
And we beat you in the game.,そして俺らはゲームに勝った,And we won the game,0.4444444444444444,0.79693806
"I agreed to help you,","ただ こっちも
乗ってあげるとは言ったけど―","I'm just here
I told you to ride-",0.2727272727272727,0.26906645
leads me to think you can \Nbeat the Eastern Federation.,"東部連合に勝てるとは
思えないんだけど","It is possible to win the eastern part
I do not think",0.21052631578947367,0.5696709
Can you really do it?,"盟約を使わず私を味方にできると
踏んだわけでしょ？","If you can make me a friend without using
You stepped on?",0.2,0.30813438
It'll be fine.,大丈夫だって,It is okay,0.14285714285714285,0.49318317
There's just one thing we must do now...,"今 俺らがやるべきは
ただ１つ","What we should do now
Only one",0.3076923076923077,0.6552483
Nice to meet you.,"クラミー･ツェルよ
よろしく","Chlamy Zel
nice to meet you",0.5714285714285714,0.5443675
Huh?,はい？,Yes?,0.3333333333333333,0.59651583
Don't you have anything else to say?,"（ステファニー）もうちょっと
ほかにないんですの？","a little more
Is there anything else?",0.21428571428571427,0.3929289
"She's 18 years old, same as me.",（空）えー 俺と同い年の18歳,Eh 18 years old with me,0.3333333333333333,0.5805724
