en_text,jp_text,google_translated,score,semantic_score
We'll arrive on the scene first.,現場には我々が先に着きます,We arrive first in the field,0.4,0.62253803
I chose you because I'll need heavy armor in the underworld.,黄泉に入ることを考えて　重装備のお前にした,I thought about entering the heavy spring and made it a heavy equipment,0.14285714285714285,0.20374714
Sorry to put you on the spot.,すまんが　防御を頼む,I ask for the protection,0.08333333333333333,0.069332324
"Milady, if by some chance Ebisu-sama really is the conjurer,",お嬢　もしも,Sometimes,0.0,0.068416454
it's possible his Masked Ones attacked our clan.,一族を襲った面は恵比寿様の…,The side where the family is attacked is Ebisu-sama ...,0.05882352941176471,0.24824274
He's not the type to do such things.,あいつはそんなことをするようなやつじゃない,He is not a guy who wants to do that,0.25,0.61443835
but he would never pointlessly  disrupt the heavens.,無意味に天を乱すようなことなど,It is likely to disturb the sky meaninglessly,0.0625,0.47634318
I have faith in Ebisu.,私は恵比寿を信じている,I believe in Ebisu,0.42857142857142855,0.8404566
hibi wo touka shite,甘い体温の蜜匂いだって,It is a sweet body temperature nectar,0.0,0.06613691
Throwing away their days,甘い体温の蜜匂いだって,It is a sweet body temperature nectar,0.0,-0.013846132
Aroused by the sweet nectar,甘い体温の蜜匂いだって,It is a sweet body temperature nectar,0.2,0.6521492
amai taion no,甘い体温の蜜匂いだって,It is a sweet body temperature nectar,0.0,0.1302877
甘い体温の蜜匂いだって,甘い体温の蜜匂いだって,It is a sweet body temperature nectar,0.0,-0.020771272
of bodily warmth,甘い体温の蜜匂いだって,It is a sweet body temperature nectar,0.0,0.343926
狂って　Hey Kids!,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,-0.06765108
ku,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.04392074
"Go crazy! Hey, kids!",次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,-0.02698804
ru,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.026550721
t,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.113759525
te,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.004035169
kids,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.034312755
shi,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.01845321
One age slowly turns into another,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.16247946
次第に時代は変わって　終わらない焦燥,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,-0.05283945
da,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.06652337
i,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.046117194
ni,次第に時代は変わって　終わらない焦燥,It depends on the time it's gradually changed and not finished,0.0,0.08463368
