en_text,jp_text,google_translated,score,semantic_score
O-Of course that would be the case.,"ネットで特定できるぐらいだし
関係者以外お断りですよね","It can be identified on the net
It is not clearer than the person concerned",0.10526315789473684,0.108402
I guess ordinary folk like me\Nwon't be able to get any closer.,"こりゃ僕みたいなパンピーは
近寄れないかな〜","I want to be a pamphee like this
I wonder if I can't get it ~",0.2608695652173913,0.12861636
Where are you going?,"（ゾン子）どこ行くの？
（悠太）ああ その だってねえ…","Where are you going?
 Oh, her girlfriend ...",0.5,0.61311364
"No ""right""s allowed!","（ゾン子）
何が“ねえ”よ
これだけ人がいるってことは","What is ""Hey""
That there is only people",0.14285714285714285,0.054383837
Th-That can't be the case!,"どのまとめサイトよりも目立って
アフィ稼げるチャンスじゃん","Every summary site noticeable than the site
Affilized chance",0.07142857142857142,0.09368725
I'm not dead or anything!,（悠太）死んでなんかいませんし,I'm dead,0.42857142857142855,0.613457
"If you could do a report\Nof what it was like inside,",つまみ出されてポイですよ,It is a pinched and poi,0.125,0.0858031
F-Fine...,（悠太）うう… 分かったよ,Umm ... I understand,0.2,0.17479499
I'm going to head in!,"すみません 入りますよ
入っちゃいますよ","I'm sorry I'm sorry
I'm in",0.375,0.47910312
I guess everyone is busy.,"フウ みんな忙しいんだな ハハ…
ハハハ…","Fu everyone is busy haha ...
Hahaha ...",0.3,0.64807165
Is this me?,"（悠太）これ 僕？
（あすな）あなた… う！","This is me?
 you ...",0.6666666666666666,0.73926616
Kisaki! Kisaki!,鬼崎！　鬼崎！,Onzaki!Onzaki!,0.3333333333333333,0.46192983
Who was the victim?,"（記者たち）
すいません！　すいません！
中の様子はどうでした!?","Excuse me! Excuse me!
How was the inside?",0.3,0.19176802
What would you like to say\Nto the culprit?,"どなたが被害に遭われたんですか？
犯人になんと言いたいですか？","Who were suffering from damage?
What do you want to say to the criminal?",0.2777777777777778,0.3918276
Think... I have to take\Nanother look at the situation.,"（サライ）
考えろ
状況を見つめ直さなければ…","Thinking
If you do not look at the situation ...",0.3125,0.669568
"In the first place,\Nhow do I know that I'm dead?","そもそも自分が死んでいると
どうして分かる？","If you are dead in the first place
Why do you know?",0.4705882352941176,0.7804035
Where am I now\Nand what am I thinking?,"俺は今 どこで考えている？
俺は確かにここにいる","Where are you thinking now?
I'm sure here",0.3076923076923077,0.6772849
"Then, what am I? Is this the container,\Nthe soul that my father was speaking of?","これが父さんの言っていた
器と魂か？","This said father
Is it a bowl and soul?",0.21739130434782608,0.7049313
"Indeed, Professor Hashigami's\Ntheory was perhaps correct.","（桐子）
確かに橋上先生の理論は
正しかったのかも","Certainly, the theory of Topy Kakoto
Maybe it was correct",0.1875,0.43992776
Are you all right?,"（悠太）
マジで僕ら
死んじゃったでＦＡなの？","Seriously we
Did you die?",0.2222222222222222,0.17533083
Pardon me. I'm all right now.,"（あすな）
失礼しました もう大丈夫です",I'm sorry I'm fine,0.2,0.41862497
Can it be that when you do that—,お前 ひょっとしてあれをやると…,If you do it before ...,0.2727272727272727,0.42703748
"No, it's just that I got a bit tired.","（あすな）
いえ ちょっと疲れただけです","No, she is a bit tired",0.35714285714285715,0.5838561
Kisaki! Hey!,（篠山）鬼崎 おい！,Onigisaki!,0.25,0.6688676
"No, that's not true.\NI haven't touched anything.","（篠山）
いや そんなことはないぞ
俺は何も触ってない","(Mt.
No, there is no such thing
I have not touched anything",0.3888888888888889,0.5617035
What's wrong?,（篠山）どうした？,What happened to ?,0.3333333333333333,0.33807704
"Someone? No, it was just you and me.","（篠山）
人？　いや俺とお前だけだったが","(Mt.
Man?No, I was only you",0.375,0.42615414
A lie... A lie... A lie...,（悠太）ウソだ ウソだ ウソだ,Uso is a lie,0.4,0.33253
Hey... Someone! Someone out there!,ねえ誰か 誰かってば！,Hey somebody!,0.2857142857142857,0.76495445
Why won't anyone notice me! Hey!,"なんで誰も
気付いてくれないんだよ ねえ！","Why everyone
You can't notice it!",0.3333333333333333,0.6142911
Someone...,誰か 僕に気付いてよ,Someone notices me,0.25,0.35707802
TOUKO,ん…,Hmm…,0.0,0.20822355
How are you feeling?,"もしもし 澄風です
体の具合はどう？","It is a clear
How is your condition?",0.18181818181818185,0.4205138
I'm sorry I couldn't be of help\Nin all sorts of ways.,色々 力になれなくてごめんなさい,I'm sorry I can not help,0.2,0.56714296
"We haven't been able to meet,\Nand that worries me.","あれから会うタイミングがなくて
とても心配です","There is no timing to meet from that
I am very worried",0.13636363636363635,0.7255595
And today... Well...,それに今日は… その,And today ... that,0.6,0.8463818
"I figured out something very important,\Nso I dropped by your house.","大切なことが分かったから
家の前まで来たの","Because I understand that it was important
I came to the front of the house",0.13043478260869565,0.4963913
"If you think you can contact me,\NI'd like you to call me. I'll be waiting.","もし連絡できそうなら
電話してほしい 待ってます","If you can not communicate
I want you to call me",0.35,0.5567962
March 7th,ハア…,Haa ...,0.0,0.005907644
"So even if you become a ghost,\Nwhat you do doesn't change.","（相模(さがみ)）
幽霊になっても
やることは変わらないんだね",")
Even if you become a ghost
What do you do is not different",0.3684210526315789,0.8963642
There's nothing else I really want to do.,"（西園梨々花(にしぞのりりか)）
ほかにやりたいこともないから",")
Because I have no other thing to do",0.1875,0.5279404
Oh?,"（相模）ふ〜ん 君つまんないね
（梨々花）そう？","Fu-Ni-kun
 so?",0.25,0.09815393
- You always seem to be having fun.\N- Maybe it's because I'm a kid?,"（梨々花）君はいつも楽しそうね
（相模）子供だからかな","You are always fun
 Because it is a child",0.2380952380952381,0.7335534
