en_text,jp_text,google_translated,score,semantic_score
Edited at https://subtitletools.com,矢ー ぐははははは~ ん力`いぞ ヽ ヽ 、 ` し 人間ども ! 一,The arrow tuzhahahaha `` ヽ ヽ `` 人 人 間 間 間 間 間 間 間 間 間 間 一 間 間!,0.0,0.08711535
"If you wish not for annihilation, take heed!",皆殺しにされたくなければ 聞<力ヾよい ! 一,If you don't want to be killed,0.125,0.35596028
I bear a message from the depths!,我は深海力`らの使者である !,I am the messenger of deep marine power!,0.21428571428571427,0.5934053
"You will surrender the surface to us, the Clan of the Seafolk!",深海族ー ぐへへへ! 地上を我々 深海族に明け渡曹のだ! しん力ヽいぞ<,To the deep sea urchin!,0.2,0.5309639
"Thereafter you shall become  our nourishment, human scum—",そし亡貴様ら人間は 我々の工サとし亡…一,Humans are killed as our tools ...,0.06666666666666668,0.36358914
Nice head! Are you related to an octopus by any chance?,その頭 貴様 夕コの 親戚力ヽ何力ヽ力ヽ? グハハハハ…,The relative power of the head of the head,0.05882352941176471,0.3333195
I heard it was that same guy again.,男性ー これ また例の奴だつ亡話だぜ,Men's This is another person who is another example,0.0,0.28341293
"We, the Clan of the Seafolk, now rule the surface!",深海族2我々 深海族は これより地上を支配曹る一,Deep Sea 2 We Heavy Sea Following Grounds More,0.05882352941176471,0.45956567
Resistance is futile!,抵抗し亡も無駄だ !,Resistive and the dead is also useless!,0.2,0.5860923
"You'll pay for that, human!",やつたな 人間!,A person who is a guy!,0.07692307692307693,0.18379906
"The A-class hero Stinger, rising in popularity and currently 11th in the rankings, is here to help.",スティンガ一 ただ今 大好評売り出し中の A級ヒ一口一 現在A級ーー位!,Stinga is only a class A class A class A class A series of A-class.,0.13043478260869565,0.5313743
"Anyone who needs a new blowhole drilled into their torso, step right up!",胴体にでけえ風穴作りてえ奴力ヽら 力ヽ力ヽつ亡きな!,"In the fuselage, make a ball hole, and the power of power.",0.08,0.32209456
