en_text,jp_text,google_translated,score
OP Kara,// PopSub注释: 下一行已被修改,// POPSUB Post-Subscript,0.0
{Lines during ED:,// PopSub注释: 下一行已被修改 下一行有疑问,// Popsub pseudo: down line 被 下 有 有,0.07692307692307693
This girl is on her newspaper run.,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}昔　昔　このナレーションも今日でお仕舞いなんですねぇ",A long time ago this narration is also fun today.,0.1875
Her name is Himura Machiko-san.,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}名前は火村真知子さん",The name is Makoto Makoto,0.25
I should go home and make Dad's lunch box now.,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}ああ　終了　さて　帰ってお父ちゃんの日の丸弁当を作って","Oh, I'm finished and I made a round lunch on my father's day",0.17391304347826086
This month is really tight.,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}内は昼抜くか　今月厳しいし",is tough or tough this month,0.375
"Let's go, Elizabeth, Francoise.","{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}行くぞ　エリザベス　フランスヮ",Go Elizabeth France,0.25
Isn't he in my class?,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}確か　同じクラスの　誰だっけ",Certainly who is the same class,0.18181818181818182
What's his name?,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}亮士君　相変わらずクラスメートに顔と名前を覚えられてませんね",Yoho-kun still not remembered the face and name in the classmate,0.07142857142857142
What a huge house!,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}貴そうな犬に貴そうな家　もしかして",Even if you are a horny dog,0.09090909090909091
Damn bourgeoisie.,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}けっ　ブルジョアか",Bulgeoa,0.0
"Wait, expensive looking dogs and an expensive looking house...","{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}おっ 待ってよ",Please wait,0.1
Could this be...,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}これって　玉の輿　やった　見つかった　真知の幸せ",This is the happiness of the ball of balls,0.1
"A serious face, a subtle face","{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3} 真面目顔微妙顔",Serious face face,0.4
You show a lot of faces,"{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}色んな顔見せるね",I can see various faces,0.1
"Even if you're told so,","{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}そんなの言われても",Even if it is said that,0.18181818181818182
You still don't know what to do,"{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}わからないね",I do not know,0.2222222222222222
"They're hiding in themselves, right?","{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}どうしていいのか",Why is it?,0.09090909090909091
あれとかこれとかそことかすぐに,"{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}こととかあるでしょう",may be,0.0
"Like that, like this, like there,","{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}あれとか　これとか　そことか",That or if there is an idea,0.2
I can't say it in words immediately,"{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}すぐに言葉にできないけど",I can not be a word immediately,0.15384615384615385
人前では明るいフリ,"{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}人前では明るいフリ",A bright frief,0.0
"And you don't whine about things, but-","{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}弱音を吐かない君だけれど",You do not want to spend weak sound,0.13333333333333333
"Even if 100 years pass by,","{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}100年経っても　ありのままでいい","Even if it has been 100 years, it is good",0.4166666666666667
You should be yourself,"{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}好きなら好きと叫べばいい",Yes should be screamed,0.3333333333333333
Ready Go! Fly away!,"{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}Ready Go! Fly away　ありのままがいい",Ready GO! Fly Away Good for,0.7142857142857143
"If you want to cry,","{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}泣きたいのなら　思い切り泣けばいい","If you want to cry, you should cry",0.8571428571428571
I'm behind you,"{\1vc(HFFE2C7,HFFE2C7,HC35E00,HC35E00) }{\blur3}あたしがついているよ",I am on,0.16666666666666666
Ookami-san and,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}そして　真知子さんが運命を感じたその朝",and Makoto felt destiny,0.2
Late! I'm going to be late!!,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}遅刻 遅刻",late late,0.14285714285714285
This overused scenario...,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}あら　このよくあるシチュエーションは","Oh, this common situation is",0.1111111111111111
Her name's printed on her pants?!,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}パンツに名前を",Pants name,0.25
My first impression was perfect!,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}これで第一印象は完璧",The first impression is perfect,0.375
"Machiko-san, everyone's staring at you.","{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}真知子さん　皆が見てますよ",Makoto I see everyone,0.09090909090909091
"Morning, Morino-kun!","{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}森野君　おはようですの",Morino-kun Good morning,0.4
You look troubled.,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}絶対内は幸せになってるんじゃ",Insolvae is happy,0.0
What's wrong?,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}時化た顔してるんなあ　どうした",What a time I have a time,0.125
"Just now, Himura-san tried to run into me yelling ""I'm going to be late!""","{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}先火村が遅刻　遅刻って体当たりしようとしてきて",The pre-trailing trail is trying to be late,0.13043478260869565
"And then she held down her skirt and asked if you saw her panties, right?","{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}勿論決め台詞は　スカートを押さえて　見た　ですのよねぇ","Of course, the dialing words have seen the skirt and saw it.",0.16666666666666666
"Yeah, pretty much.","{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}うん",Yeah,0.2
Oh!,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}あは　大体そんな感じッす","Oh, I feel that",0.16666666666666666
"Well, we're kind of in the same class...","{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}まあ　あなたはさっきの　こんな所で会うなんて　運命だわ","Well, you are fate that you meet in such a place",0.15789473684210525
Morino Ryoushi!,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}いや　えっと　同じクラスッすし",No no longer,0.0
Yes!,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}は　はい",Yes,0.5
A sudden confession!,"{\1vc(HD0DFFF,HD0DFFF,H4668B4,H4668B4)} {\blur2}いきなり告白です",Sudden confession,0.5
