en_text,jp_text,google_translated,score,semantic_score
I feel bad for doing that to Iroha.,≪いろはには 悪いことしたな,«I did not have a bad thing,0.13333333333333333,0.18873961
It doesn't work that way. and you know that. it's pretty mean  of you to put me in that position.,無理だよ 分かってるくせに そういうことを言うのは,"It is impossible, I know that",0.13043478260869565,0.26573414
"I'm honestly happy Iroha feels that way,",いろはの気持ちは素直に嬉しい でも違うんだ,I'm glad to be honest,0.15384615384615385,0.34248745
but that's not what it is. i don't think it's really me...,それは たぶん俺じゃなくて…,It is probably not me ...,0.3125,0.57416636
"You're really amazing, the way you change everyone around you.",君はすごいな そうやって 周りの人間を変えていく,You will change the people around you so much,0.26666666666666666,0.61789906
Huh? Where's this coming from?,はあ？ 何だよ急に,Is it?What is it?,0.1,0.26956606
Don't get me wrong.  Remember what I told you?,ははッ 違うよ 言っただろ,I said that it was different,0.05882352941176471,0.26698875
I'm not the nice guy you think I am.,俺は君が思っているほど いいヤツじゃない,I'm not a good guy that you are thinking,0.3333333333333333,0.64580363
I'm complimenting you for my own sake.,君をほめるのは 俺のためだ,It is because of me to apologize,0.0,0.2544002
The train will soon arrive at  Kaihin-Makuhari. Kaihin-Makuhari.,[ｽﾋﾟｰｶ]間もなく海浜幕張,[Speaker] Noborama Makuhari,0.0,0.41829237
"Well, the next stop is ours.",では 私達は次で,So we are next,0.09090909090909093,0.5238264
"Isshiki, I'm getting off, too.",一色 俺も次だけど お前 駅どこだ？,"One color I was also next, but where is the store?",0.10526315789473684,0.088935725
"Senpai, my bag's really heavy.",先輩 荷物超重いです,Senior luggage super heavy,0.09090909090909093,0.51495636
"Yeah, that might be better.",うん その方がいいかもね,"Yeah, it may be better",0.4444444444444444,0.7851089
You shouldn't need to say that now.  You knew it wouldn't.,いや お前 今言っても ダメなことくらい分かってたろ,"No, I understand that I'm not good at saying",0.047619047619047616,0.28419265
"Well, what was I supposed to do?",だって しょうがないじゃないですか,Isn't it not good?,0.07142857142857142,0.13061328
I got all excited...,盛り上がっちゃったんだから 意外だな,It is surprising because it was excited,0.1,0.5437815
That surprised me. i thought you weren't the type to,お前は そういう場の雰囲気とかに 振り回されないヤツだと思ってた,I thought it was a guy who was not swinged like an atmosphere of such a place,0.08,0.27533492
I was expecting more indifference.,もっと冷めてるんだと 思ってました,I thought it was more cool,0.3333333333333333,0.34358102
"Huh? I thought you were trying  to look like a love-struck fool,",ああ お前 恋愛脳に見せかけて 結構クレバーっていうか…,"Oh, I'm looking at a love brain and say quite a clever ...",0.12,0.54004097
but were actually pretty clever... not from me. from you.,私じゃなくて 先輩の話です はッ？,"It's not me, it's a senior story?",0.1111111111111111,0.22664474
Of course I'd be moved after seeing that.,あんなの見せられたら 心動いちゃいますよ,I feel my mind if I can see that,0.125,0.34508678
Seeing what?,何が？ 私も,what?me too,0.4,0.27995384
Your voice was perfectly audible through the door.,声 普通にもれてましたよ,Voice was usually over,0.18181818181818185,0.48611617
Forget about that.,忘れてくれ 忘れませんよ,I will not forget,0.14285714285714285,0.47630063
That's why I tried to take a step forward today.,だから今日 踏み出そうと思ったんです,So I thought that I wanted to go out today,0.2352941176470588,0.36624983
"Well, um, you know...",その 何… 気にすんなよ,What is that ...,0.1111111111111111,0.34878725
What is this? Are you taking advantage of my heartbreak to hit on me?,はッ 何ですか傷心に付け込んで 口説いてるんですか,What is it?,0.1875,0.19277485
I'm sorry. I still can't.,ごめんなさい まだ無理です ちげえよ,I'm sorry I'm not yet impossible,0.3,0.5797937
"Besides, it's not over yet!",ていうか まだ終わってませんし,It is not yet over,0.4444444444444444,0.76682943
"In fact, this is the most effective way to approach Hayama-senpai!",むしろこれこそ 葉山先輩への有効な攻め方です,"Rather, this is a valid attack to Hayama seniors",0.21052631578947367,0.59862906
and other girls won't go near him!,周囲も遠慮するじゃないですか お おう,I'm not sure there is also a convenience,0.0,-0.009653263
And you know what else? it'll make people curious about the girl he rejected.,それにあと あれです フッた 相手のことって気にしますよね➡,"Besides, I will care about the other party who",0.08,0.21680017
People will feel sorry for me!,かわいそうだって 思うじゃないですか➡,I wonder if it seems to be a cute,0.0,0.115403116
So this defeat is part of the overall strategy.,だから この敗北は布石です,So this defeat is a cloth stone,0.3076923076923077,0.5063692
To make the next phase,次を有効に進めるため…,To enable the next ...,0.42857142857142855,0.5809739
proceed... effectively...,だから その 頑張らないと…,So I can not do my best ...,0.1,0.24231209
You're really something.,すごいな お前 先輩のせいですからね,Because it is a great senior,0.0,0.083086625
"It's your fault this happened to me, you know.",私がこうなったの,I became like this,0.06666666666666668,0.22672176
"Well, the student council president thing is, but the rest...",いや 会長の件はそうだけど 他のは…,"Yay, the matter is true but the other is ...",0.3333333333333333,0.14193696
To confirm our objective and discuss the future.,方針の確認と今後について だな,Confirmation of policy and future,0.16666666666666666,0.48715493
"The plan currently in place is, frankly, impossible.",はあ… 現状の案は ぶっちゃけ無理だ,Yes ... The present draft is impossible,0.21428571428571427,0.5683747
"Even if we pull it off, only a small part will be successful.",実現できても あの中の一部分,Some of that even if it can be realized,0.2,0.27943695
"For all the ideas they threw out,  it'll end up being a pretty dull event.",打ち出した看板のわりに 結構しょぼいイベントになる,It will be a quite a good event in the launched signboard,0.16,0.47576523
What do you think we should do to prevent that?,そうならないために どうすればいいと思う？,What should I do to do so?,0.4166666666666667,0.19133689
Uh... I don't know... the problem lies in those meetings.,はあ 分かりませんけど 問題は あの会議にある,"I do not know that, but the problem is in that meeting",0.3157894736842105,0.78362536
"We've pulled a lot of opinions together, but no one has made any actual decisions.",意見はまとめるが その実 誰も決定は下してない,"Opinions are summarized, but no one is decided",0.2272727272727273,0.67673343
"So let's have a proper meeting, with none of the colluding.",だから そういう なれ合いを排除した,So I excluded that kind of relationship,0.10526315789473684,0.25416046
We'll make it clear which ideas have won.,勝ち負けをきっちりつける そういう会議を,Such a meeting that takes over the winning loss,0.0,0.34982246
Uh... What do you think?,えっと どうですかね？ 俺は…,How about it?I am…,0.08333333333333333,0.21822195
I think... it's better if we don't make waves.,波風立てない方がいいと思う,I think it is better not to wavy,0.2352941176470588,0.46227643
And I think it'll be difficult to bring up counter-proposals at this point.,このタイミングで対案出すのは ちょっと難しいと思うし,I think it is a bit difficult to make this timing,0.3,0.31857052
That's true... but we'll do it.,ですよね～ でもやります えッ？,That's right ~ I will do it?,0.26666666666666666,0.39057955
I personally don't want this event to be dull.,私的にしょぼいのって やっぱりちょっと嫌かな～って,I'm a little disgusted by myself,0.05882352941176471,0.26529533
Mihama  Library,そうかもですけど 私的には結構 演劇やりたいなって思うんです➡,"That's right, but I think that I want to play quite a lot of play",0.0,0.06553702
Takasu  Community  Center,そうかもですけど 私的には結構 演劇やりたいなって思うんです➡,"That's right, but I think that I want to play quite a lot of play",0.0,0.029468723
That may be true...,そうかもですけど 私的には結構 演劇やりたいなって思うんです➡,"That's right, but I think that I want to play quite a lot of play",0.05555555555555555,0.20065536
"But personally, I think I'd really like to put on a play.",そうかもですけど 私的には結構 演劇やりたいなって思うんです➡,"That's right, but I think that I want to play quite a lot of play",0.3333333333333333,0.6282243
"If the audience can see both your musical performance and our play,",そっちの音楽系と こっちの演劇で どっちも見れるとか➡,Either music system and this theater can see either,0.16666666666666666,0.5441987
"it's a really good deal for them, right?",お客さん的にも 超お得じゃないですか,Aren't you very good for customers,0.125,0.25393108
"But if we separate, it would weaken our synergetic effect,",ただセパレートすると シナジー効果が薄れるし,Just say that the synergy effect is diminished,0.05555555555555555,0.5882923
and it doubles the risk...,ダブルリスクじゃないかなあ ですよね,It may not be a double risk,0.18181818181818185,0.7387759
That's what this meeting is for.,そのための会議なんだし それアグリー,It is a meeting for that and it is Agley,0.3333333333333333,0.6222413
"Um, can I ask something?",≪あの ちょっといいかな,«That's a bit better,0.0,0.1826449
What's your reason for opposing the two-part event structure?,二部構成にすることに 反対の理由って何？,What is the other reason to make a two-part configuration?,0.29411764705882354,0.5433661
"Well, it's not that I oppose it.",≪反対ってわけじゃなくて,«Not obvious,0.09090909090909093,0.08319615
"I just think if we all share our visions, we'll bring a sense of unity to this.",ビジョンを共有すればもっと 一体感を出せると思うんだ➡,I think I can make a sense of more unity if you share the vision,0.32,0.76690155
"I think the joint event framework is a must for building a positive image, too.",ｲﾒｰｼﾞ戦略の点でも合同ｲﾍﾞﾝﾄの 大枠はﾏｽﾄなんじゃないかな,"Even in the image strategy, the large frame of joint events is not a mast",0.24,0.5535406
Is it necessary to do it jointly?,合同でやる必要ってあるか？ もちろん,Do you need to do jointly?of course,0.3636363636363637,0.8993035
"Of course. By doing it jointly,",合同でやることで ｸﾞﾙｰﾌﾟｼﾅｼﾞｰを生んで大きなｲﾍﾞﾝﾄを…,A big event created by group synergy by jointing,0.06666666666666668,0.30176765
"And if we keep this up, we'll never achieve anything big.",このままだと 大したことできないだろ,It can not be bigger than this,0.05263157894736842,0.3500403
