en_text,jp_text,google_translated,score
"What are you up to, Tatsumi?",-------staff---------,------- STAFF ------------,0.0
It stinks.,だろ,It,0.3333333333333333
Again?!,今日はハロウィン,Today is Halloween,0.0
tanoshii kotoba yappa,{\c&H030303&\bord0\fs38\t(\fs45)}そうさ　未来に飛び込んじゃえばいいのさ,} そ れ そ れ さ いい いい いい いい いい いい いい,0.0
kitaishichau no ga sa,"{\alpha90\bord0\move(644,13,637,8)}Rotten apple's everywhere",Rotten Apple's Everywhere,0.0
that'll keep us moving forward.,"{\alpha90\bord0\move(644,13,637,8)}Sucks on others to make its day",SUCKS ON OTHERS TO MAKE ITS DAY,0.0
"I'm almost done cleaning the drain, so hang in there for a bit longer.",{\blur3}手を抜けない人間でしょ,A person who can not get out of the hand,0.08
This is fun.,"{\alpha90\bord0\move(644,13,637,8)}手を抜けない人間でしょ",It is a person who can not get out of hand,0.07142857142857142
Onii-chan!,ミイラ,mummy,0.0
You should've told me that we were going to go swimming!,吸血鬼,vampire,0.0
Don't be so standoffish!,と　いうわけで,so,0.16666666666666666
I-I'm a fish?,私　魔女だよ,I'm a witch,0.2857142857142857
but it was just for the fish...,三人係り　卑怯だ,It is jealous of three people,0.07692307692307693
"You said that you'd do anything I asked for, remember?",ごめん　待たせた,I was waiting for you,0.21428571428571427
What?! But you promised!,買いに行ったのか,Were you going to buy,0.1
Why? Give me a good reason!,コンビニかな,A convenience store,0.1
"Well, I mean...",いや　ちょい先のスーパーと見た,"No, I saw it with a slight supermarket",0.16666666666666666
Mr. Fish—,暗くて狭いもんね,Dark and narrow,0.0
It hurts...,本当に好きなんですね,I really like it,0.16666666666666666
What is this?,あれ　ハロウィンってこんなんだっけ,That Halloween is this,0.3333333333333333
It's so sticky.,行くぞ,let's go,0.14285714285714285
This should do the trick.,トリックオアトリック,Trick user,0.14285714285714285
"Nice one, Mr. Fish!",もう一回　もう一回,Another one more time,0.1111111111111111
Does it itch anywhere?,水飴です,It is water syrup,0.125
"Yeah, right there.",10巡目,10 rounds,0.0
I want to join in too!,僕もっと　もっと欲しいです,I want more more,0.25
Is that...,龍己　まだ足りないよ,Ryuzu is not enough,0.16666666666666666
the new Mikami shampoo?,分かったよ,OK,0.0
It's a limited edition item!,すごい　お菓子の山だよ,It is a mountain of great sweets,0.16666666666666666
"Wow, it's so adorable!",あ　俺はあげる番だから,"Oh, because I will give it",0.16666666666666666
"Out of all the kids I've come across so far, you're the most adorable.",あれ　龍己くんの分は,The minute of Ryu-kun is,0.1
Eh? What?,は？　いやだ,teeth? I refuse,0.16666666666666666
It's dangerous to fall asleep in the bath!,子供はお菓子をもらわないといけない日なんだぜ,It is a day when children have to get sweets,0.1111111111111111
I'm sowwy.,{\an3}僕も,I also,0.2
