en_text,jp_text,google_translated,score,semantic_score
诸神字幕组,日  听      マキ,Nippon Maki,0.0,0.29658806
"- Good morning, Little Lord. - Good morning, Little Lord.",若　おはようございます,Good morning,0.2857142857142857,0.5646483
"Little Lord, return to us safely.",若　行ってらっしゃいやし,I'm going to go young,0.07692307692307693,0.21297835
"Little Lord, have a good day at work today.",若　今日もお勤めご苦労さんです,It is a hard time working today,0.125,0.5240489
- Have a good day at work today. - Have a good day at work today.,今日もお勤めご苦労さんです,It is hard work today as well,0.14285714285714285,0.48538885
"""Ouran Academy High School Class 1-D, Ritsu Kasanoda""",いつも言ってるだろう,I will always say,0.0,0.038248617
"Tetsuya, I'm surprised that ya'd speak to Little Lord like that just then.",を掛けられるな,Do not hang,0.0,0.02308986
Little Lord's glaring power's gotten even more scary lately.,若の眼力　最近更におっかねえよな,Young eyes of youngness recently,0.0,0.32627073
That's no doubt 'cause there's some bastard at school,あれはゼッテー学校で誰かムカつく野郎でもいるに違ぇねえよ,That's why somebody is a muka Tsutsuro guy at Zette school,0.2222222222222222,0.26988235
Today is the day...,今日こそその日だぜ,Today is that day,0.5,0.71299404
"- Welcome. - Welcome. ""ikeda shop"" ""the host club is now open for business""",いらっしゃいませ,Welcome,0.06666666666666668,0.34025952
"Tamaki- kun, it's so fantastic when you speak in Tosa dialect!",土佐弁の環くんも素敵,Toserzen's ring is also wonderful,0.05263157894736842,0.41890112
"No, it's weird, just speaking Tosa dialect where he did.",いや　おかしいでしょう　そこだけ土佐弁とかって,It is strange that it is only there.,0.1111111111111111,0.22883567
"Still, I didn't know that late-Edo era cosplay would be this popular.",でも知らなかったな　幕末コスプレって受けがいいんだ,"But I did not know, I'm good at Bakumatsu Cosplay",0.2380952380952381,0.45777488
What are you talking about? That's one of the basics of the basics.,何言ってんの　基本中の基本でしょう,What is the basis of what you say,0.25,0.19969207
There are more girls that like the late Edo era than you can imagine.,幕末大好き女子は想像以上に多いんだよ,I love Bakumatsu by more than I imagined,0.1,0.13866852
"Especially the Shinsengumi. and in any case, among those who like it, there are lots of real maniacs.",ともかく　好きな子にはマニアさんが多いよね,"Anyway, there are many mania for their favorite girls",0.1111111111111111,0.6120967
Perhaps the reason for their popularity was their gallantry,その人気の理由が若くして国のために散った気高さにあるのか,Is the most popular reason be young and is in a streaky depth for the country?,0.15,0.29144055
"In their single-mindedness to live the bushido code,",ひたすらに武士道を貫き　自らを律したストイックさにあるのか,Is it a stoic that he has passed through the warrior road?,0.047619047619047616,0.15783346
"...they detect the scent of something forbidden,",ギムナジウム的な男子集団に禁断の香りを感じるのか,Do you feel a forbidden smell in the Gymnadium male group?,0.10526315789473684,0.5500137
"The Ikeda-ya Inn may indeed be generally well-known,",やっぱり一般的には池田屋があまりにも有名ですけれど,After all Ikeda shop is too famous,0.0,0.5753825
"but for me, just imagining the back of Hijikata- san,",私としては鳥伏見後の北の大地に向かって,"As I, head towards the north earth after Takafumi",0.10526315789473684,0.34587848
"facing the northern lands, following the battle at Tobafushimi,",一人新選組を守り抜こうとする,Try to keep the new selection group,0.06666666666666668,-0.010275611
