en_text,jp_text,google_translated,score
Do you remember when we first started playing this game?,最初にこのゲームを始めたときのこと,When I first started this game,0.4166666666666667
Let's go make a snowman together.,一緒に雪だるま作ろう,Let's make a snowman together,0.75
"There's nobody named ""Both of you"" here.",「ふたり」なんて名前の子はいないよ,"There is no child of ""two""",0.26666666666666666
"Okay then, which one of us is hikaru,",じゃあさ　どっちが光で　どっちが馨か　分かる,"Well, I know which way is the light",0.2
"Let's play the ""Which one is Hikaru- kun game""!",どっちが光君でしょうかゲーム,Which one is the game,0.38461538461538464
"Now then, can you tell which one of us is hikaru?",さあて　どっちが光か分かるかな,I wonder if I can see it,0.05555555555555555
"Oh, this is hard.",え～難しい～,Eh ~ difficult ~,0.0
There's never been a girl,いままで　本当に見抜いた子は一人もいないからね,There are no children who really saw it until now,0.06666666666666667
who could really tell us apart before. what a ridiculous game.,なんてくだらないゲームだ,What a silly game,0.23076923076923078
Huh? Something you don't like about it?,あれ　なんか気に入らない,I do not like that,0.16666666666666666
It's not just that. i can't quite figure out why you two are so popular.,ていうか　二人の人気がいまいち理解できない,I can not understand the popularity of two people,0.125
earns plenty of high points.,美形同士のホモと言うだけでも十分ポイントは高い,"Even though it is just saying homo of beauty, points are high enough",0.17647058823529413
And making a show of teetering between that and friendship is also desirable.,そして　友情との狭間で揺れる演出も好ましいが,And it is also preferred that swaying between narrowing with friendship,0.3333333333333333
"who have such deep ties to each other, loving you at the same time.",そんな絆の深い二人に同時に愛されてしまうという構図,The composition that it is loved at the same time to two people with such a bond,0.23076923076923078
"It's the ultimate young woman's romance, right?",乙女の究極のロマンだろう,It will be the ultimate romance of the maiden,0.2857142857142857
I can't bear any more!,わたくし　もう駄目です,I'm sorry,0.1111111111111111
I let you have control of the club's homepage on the condition,部のホームページ管理は真面目にやるという条件で,Under the condition that the home page management of the club is serious,0.21052631578947367
that you would take it seriously!,任せたんだよな,I left it,0.1111111111111111
We were up until dawn last night working on it.,昨日だって明け方までかけて,"Since yesterday, we will",0.06666666666666667
And this is the screen that you made!?,作ったのが　この画面か,Is this screen that you made,0.6
"Haru-chan, you look great!",ハルちゃん　格好いい,Haru-chan cool,0.14285714285714285
"""Yes, that's the pose.",そう　そのポーズだ,That's right,0.2222222222222222
That's a nice expression.,いい表情だよ,It's a good look,0.2222222222222222
"...that you want... that you want...""",あげるからね　あげるからね,I'll give it to you,0.1
Is that what you did!? Is that what you did!?,とかやったのか　やったのか,Did you do it?,0.3333333333333333
"""You mean, photoshopped?""",よく出来てるでしょう,It will be done well,0.0
