en_text,jp_text,google_translated,score
It's never the puzzle's fault. it's always the person who makes it that betrays us.,裏切るのは　いつでも それを作った人間。,A person who made it is always a person who made it.,0.29411764705882354
"We should at least believe in the puzzles, okay?",僕たちだけは信じてあげよう。 パズルのことを。,We will believe only.Puzzle.,0.14285714285714285
It's a promise then.,約束だよ　２人の。 うん！　約束だ。,It is a promise.Yes! It's a promise.,0.5555555555555556
Hello there.,ルーク。 呼んだ？ あっ！,Luke.called?Ah!,0.0
"Jikugawa, how long have you been there?",あ～っ！　軸川先輩！　いつから？ いつからでしょう？,Oh!Aidagawa senior! from when?When will it?,0.058823529411764705
Long enough. do you want something?,何か　用かよ。 君に　新たに パズルの解放の依頼が来てるんだ。,Something for something.You have a request for her puzzle release newly to you.,0.16666666666666666
Leave your schedule open on Sunday.,日曜日　空けといてね。 ウン。,It is time to leave Sunday.Un.,0.16666666666666666
I was thinking it'd be too hard for you anyway...,今回のパズルは　カイト君にも 無理じゃないかとは思ってたんで→,I thought that this puzzle is not a kite or not →,0.045454545454545456
What kind of puzzle is it?,ウッ。　どんなパズルなんだよ？！,Uh.What kind of puzzle is it?!,0.6666666666666666
Wonderful! I knew you'd do it!,よかった。　カイト君なら やってくれると思ってた。,Was good.Kite I thought she would do.,0.14285714285714285
I didn't say I would!,なっ…　俺は　まだ　やるとは…。,... I'm still doing ....,0.09090909090909091
Partner? What do you mean?,パートナー？　何だ　そりゃ？,partner?What is it?,0.375
Go to the second art studio and see for yourself.,第２美術室に行けば　会えるよ。 ダビンチの称号を与えられし者に。,I can see if I go to the 2nd art room.For those who are given the title of Davinch.,0.2608695652173913
"Sunday, huh? What should we do?",日曜日か？　どうしよう。,Is it Sunday? What should I do.,0.4166666666666667
The Softball Club asked me to help them out.,その日　私　ソフトボール部から 助っ人　頼まれてるんだよねぇ。,That day I'm asking help people from Softball Club.,0.23529411764705882
I can't see how this is your problem.,何で　ノノハが悩むんだよ。 そっか！　確かに。,What's wrong with Nonoha.I see! surely.,0.11764705882352941
"You're right, you should change partners every now and then.",たまには　私以外のパートナーと 組むのもいいかも。,Sometimes it may be good to be a partner other than me.,0.043478260869565216
I told you I'm going to refuse.,断りに行くんだって 言ってんだろ。,I'm talking about it.,0.2727272727272727
And since when are you my partner?,…つうか　お前　いつから 俺のパートナーになったんだよ。,... I'm going to be my partner from me.,0.11764705882352941
"Yeah right, you couldn't live without me!",うふん。　そうよね。 このままじゃ　カイト→,Ufu.That's right.This is a kite →,0.0
You sound like my mother.,何だよ　その「親の苦労」みたいな 発言は…。,"What is that like that ""parent's hardship"" ....",0.13333333333333333
Kaito is having so much fun with Nonoha.,カイト先輩　ノノハ先輩と楽しそう。,It looks fun with Kite senior Nono Haya.,0.2
I should get closer to him by talking about puzzles!,私もパズルの話題で もっと自分をアピールしなきゃ！,I also have to appeal myself more on the topic of puzzles!,0.2
This place is really creepy.,なんだか　気味が悪い…。,It's bad.,0.1111111111111111
"There won't be ghosts or anything, right? cut it out.",お化けとか出たりしないよね。 やめろよ。,It does not come out with a habit.stop it.,0.15
Don't tell me... it's a gh-gho-,まさか　おば…。　ちょっと　カイト！,Masazu Aoba ...A little kite!,0.14285714285714285
I think... you shouldn't have interrupted my chat with the birdies.,アナが思うに… 小鳥さんたちとのおしゃべり→,I think Ana think ... chat with little bird →,0.2777777777777778
"This is it for today, right?",ふっ　今日は　ここまで。 そう思うでしょう。 でしょって。,So far today.I think so..,0.0
Why are you asking me? right?,でしょう？ さあ…。,Is it?here we go….,0.07692307692307693
There's this rumor about a student who never goes to class,思い出した。　入学してから　ずっと 授業にも出ないで→,"I remembered.After admission, she has always been in class →",0.045454545454545456
and just hangs around the art studios.,美術室に閉じこもっている 生徒がいるって噂。,Rumor that there are students who are closed in the art room.,0.17647058823529413
They say she's a real art genius.,すごい芸術の 才能の持ち主なんだって。,What is the owner of the talent of great art.,0.125
I think her name is Ana Gram.,名前は　確か　アナ・グラム。 アナ・グラム…。,The name is certainly an ana gram.anagram….,0.3333333333333333
She's Da Vinci then?,それが　ダビンチの正体か？ ≫カイト先輩！,Is it the identity of Davinch?»Kite senior!,0.0625
It's a puzzle from a painting of Leonardo Da Vinci!,レオナルド・ダビンチの絵のパズル。,Leonardo Davinch picture puzzle.,0.14285714285714285
You recognized the painting from the scattered pieces?,バラバラのピース見ただけで 絵柄を認識しちゃったの？！,Did you recognize the pattern by just looking at the piece of barbara?!,0.15789473684210525
Are you telling me you solved that in a second?,一瞬で　パズルを脳内で 組み立てたってのか？！,Did you assemble the puzzle in the brain in an instant?!,0.16666666666666666
But I think this puzzle can't be completed.,でも　このジグソー 完成しないと思うな。,But don't think this jigsaw is not completed.,0.42857142857142855
One piece is missing.,うん？！ ピースが１個　足りないから。,Yes?!Because there is not enough piece.,0.25
It's really true!,実は　そうなんですよ。 そんなことも分かるの？！,Actually it is true.Do you also know that?!,0.15384615384615385
You even figured that out? we've found another puzzle maniac.,こいつは　また とんでもねえ　パズル好きだ。,This guy also likes puzzles.,0.05555555555555555
