en_text,jp_text,google_translated,score,semantic_score
The giant rampaging robot  destroys everything in its path. fujisawa destroyed,暴走した巨大ロボットは すべてを壊滅させてゆく,The huge robot that runs running is destroyed everything,0.2352941176470588,0.7264377
Hero Absent only the legendary hero can stop it.,彼を止められるのは 伝説のヒーローしかいないのだ,It is only a legendary hero that can stop him,0.4615384615384616,0.84205735
246 Days until Earth's Destruction,よみがえれ ヒーロー,Yomigei Hero,0.0,0.15954055
"I know, right? Everyone's reading it.",だろ？ みんな読んでんよ,Is it?Everyone reads,0.25,0.6767288
The robot's so cold-blooded!,ロボット 冷血だよな,Robot cold blood,0.125,0.74025834
"What do they mean, ""hero""?",あれ どういう意味？ ヒーローって,What does that mean?Hero,0.3636363636363637,0.87998074
"The robot's gone berserk, but he's really nice on the inside.",ロボットは暴走してっけど—,The robot runs running-,0.13333333333333333,0.38396928
And only the hero can stop it.,それを止められるのが ヒーローだけなんだって,It is only the hero that can be stopped,0.4166666666666667,0.86152846
Over 2 Million Copies Sold!,徹底的に 相手を分析して—,Analyze the other party thoroughly-,0.0,0.012210048
Takemoto Gekkou,徹底的に 相手を分析して—,Analyze the other party thoroughly-,0.0,-0.020604877
Apparently he thoroughly analyzes his opponents and goes after their weaknesses with pinpoint accuracy.,徹底的に 相手を分析して—,Analyze the other party thoroughly-,0.0,0.28500575
No one can find his weakness.,弱点が まったく見当たらないんだと,I can not see the weakness at all,0.15384615384615385,0.7003748
"Yeah, he leaves nothing but ashes in his wake.",通ったあとは ペンペン草も生えねえって,"After passing, you can also grow penpen grass",0.05263157894736842,0.19288695
I heard Manabe from Kita High took such a beating he quit table tennis.,吹っ飛ばされた キタ高のマナベは—,The blown kita high manabe-,0.1111111111111111,0.6075403
I hope I don't have to play him.,そんなやつと当たりたくねえわ,That kind of thing and hit,0.0,0.09887317
"Man, he pisses me off.",ムッカつく野郎だな ホント,Mukka Tsujiro Hondo,0.0,0.08884736
these super-dark chocolate and high-price chocolate fads,高カカオやら高価なチョコレートが もてはやされる昨今—,High Cacao Yara and expensive chocolate will be done now-,0.14285714285714285,0.51379967
