en_text,jp_text,google_translated,score
It is the turn of the 20th century.,（ナレーション）19世紀末,The end of the 19th century,0.3
"The Kingdom of Albion's new royal air force,\Ncommonly known as the Air Fleet,",アルビオン王国の王立航空軍,Royal Air Force in Albion Kingdom,0.3333333333333333
has created a dramatic shift in the balance of global power.,"通称 空中艦隊の登場は
世界の勢力図を一変させた","The appearance of a popular aerial fleet
We changed the world's power figure",0.19047619047619047
the Kingdom of Albion became\N the greatest world power since the Roman Empire.,"この空中艦隊を擁して
ローマ帝国以来の覇権国家となった","With this aerial fleet
It became a supremacy nation since the Roman Empire",0.19047619047619047
"revolution split the kingdom into East and West,","しかし 革命により
アルビオン王国は東西に分離","But by the revolution
Albion kingdom isolated east and west",0.46153846153846156
Just a passing extraterrestrial.,"（アンジェ）
冗談じゃないわ ただの嘘(うそ)よ",It's not a joke her just lie,0.18181818181818182
What?,（エリック）なんだって？,What is it?,0.5
I am from the Black Lizard Planet.,（アンジェ）黒蜥蜴(くろとかげ)星から来たの,I came from the black,0.4444444444444444
I'm just lying.,（警察）ハア ハア… いたぞ！,Haahaa ... I'm!,0.25
There he is!,"（エリック）
そういう冗談は よそでやってくれ",That kind of joke is doing he,0.2222222222222222
Is that... Cavorite?,それは ケイバーライト？,Is it Cayber Light?,0.25
Impossible... at that size...,まさか そんな大きさで…,It is also such a size ...,0.2
Um...,わあ…,Wow ...,0.3333333333333333
Incoming. One vehicle!,わっ！,Wow!,0.16666666666666666
"Okay, we're out of here.",（ドロシー）オッケー 出すよ,Occase,0.0
They were ready for us.,対策済みか,Countered,0.0
Who are you people?,なんなんだ 君たちは？,What are you?,0.5
We're under orders to keep you safe \Nuntil you find asylum in the West.,"（ドロシー）
あんたが西側に亡命するまで
保護するよう命令を受けた","Until you exile on the west side
I received an order to protect",0.16666666666666666
Then... you're with the Commonwealth?,それじゃ 君たちが共和国の？,Well then you are the republic?,0.36363636363636365
I told him we're from the Black Lizard Planet.,言ったわ 黒蜥蜴星から来たって,I said that I came from Kuroho,0.13333333333333333
You mean we're spies!,（ドロシー）スパイだろ！,Spy!,0.14285714285714285
"Well, it is exciting.",スパイって いつも こうなのか？,Is it always like a spy?,0.18181818181818182
Refrigeration complete.,冷却完了,Cooling completion,0.0
Understood.,（アンジェ）了解,OK,0.0
I'm back.,ただいま,I'm back,0.75
Back where?,（エリック）帰る？　どこに？,Do you go home? where?,0.2857142857142857
To the perfect place to hide you.,"（アンジェ）
あなたを匿(かくま)うのに最適な場所",The best place for you to,0.4444444444444444
So I found an envelope in my bag.,"（ドロシー）そしたら
かばんに封筒が入っててさ",The envelope is included in the bag,0.25
An envelope?,"（ちせ）封筒？
（ドロシー）そう","envelope?
 so",0.5
Flower?,（ちせ）花？,flower?,1.0
"New orders, right?",新しい指令書ね,New command,0.16666666666666666
Idiot! You workaholic! Just try to enjoy being a student.,"仕事バカ！
もっと学生を楽しめよ","Work stupid!
You can enjoy more students",0.17647058823529413
So? Who was it from?,"（ベアトリス）
で それ 誰からだったんですか？",So why did it?,0.375
Lord Rupert's second son.,ルパート卿の次男坊,Le Part's next man,0.1
It said to meet him behind the gymnasium after school.,"明日の放課後
体育館裏に来てくれって","After school tomorrow
Come back to the gymnasium",0.35714285714285715
It was a love letter!,（ドロシー）ラブレターだよ！,Lovelet!,0.14285714285714285
At school.,"（エリック）ここは？
（ちせ）学校じゃ","How is it?
 School",0.14285714285714285
"""Why""?","（エリック）なぜ そんなとこに？
（アンジェ）なぜって…","Why yes?
 Why ...",0.3333333333333333
Because we're students here.,"（アンジェ）
私たちが ここの生徒だから",Because we are the students here,0.5
"Welcome back, everyone.",（プリンセス）おかえりなさい,Welcome back,0.4
Pleased to meet you. I am-,"（プリンセス）
はじめまして　私は…",Nice to meet you ...,0.3333333333333333
I know!,（エリック）存じてます！,I know!,1.0
Everyone in the Kingdom knows...,この国の者は 皆…,Everyone in this country is everyone ...,0.3333333333333333
"You can't mean... you're a spy, too?","まさか あなたまで
スパイなのですか？","Masaka to you
Is it a spy?",0.26666666666666666
Princess?,プリンセス,Princess,0.5
"Yes, I am a spy.",はい スパイです,Yes spy,0.2857142857142857
Our Principal Team has secured asylum seeker E.,"プリンシパルのチームが
確保しました","Principal team
Ensured",0.2
They are currently hiding him at Queen's Mayfaire Academy.,"（７）
現在 クイーンズ･メイフェア校に
潜伏中です","Currently at Queens Mayfair School
I'm in love",0.1111111111111111
What a waste. \NThe Princess should be used for more important things.,"（大佐(たいさ)）せっかくのプリンセスを
つまらんことに使うものだ","Skilled Princess
It is something to use for boring",0.1
What about the Wall Team?,"（Ｌ(エル)）壁のチームは
どうなっている？",") The wall of the wall
What is it?",0.4
This is the shift schedule.,こちらがシフト表です,This is a shift table,0.375
Tell both teams.,（Ｌ）両チームに伝えろ,Transformed to both teams,0.3333333333333333
They'll cross the Wall next Thursday.,壁越えは 次の木曜日とする,Moving over the wall is the next Thursday,0.36363636363636365
Good morning!,（生徒）おっはよ〜！,!,0.3333333333333333
Is our school that fascinating?,（アンジェ）学校が珍しい？,school is rare?,0.42857142857142855
"If you know that, then be careful.","（アンジェ）
分かってるなら 気をつけて",Be careful if you know,0.5555555555555556
An omelet?,オムレツ？,Omelette?,0.25
It's the only thing I can make.,（アンジェ）これしか作れないから,because I can only make this,0.36363636363636365
"Mm, delicious!",うん うまい！,Uma!,0.2
You'll be staying here until it's decided.,決まるまで ここにいてもらうわ,I'll get here until you decide,0.3076923076923077
Why...,（エリック）どうして…,Why ...,1.0
Why would a girl like you be a spy?,"どうして
君みたいな子がスパイを？","why
A child like you are spy?",0.5454545454545454
"When I was born, the word ""spy"" was written on my forehead.","生まれたときに
額に“スパイ”って書いてあったの","When born
He wrote ""spy"" to his value",0.25
The truth wouldn't be very interesting.,"（アンジェ）
本当のことは面白くないもの",The real thing is not interesting,0.16666666666666666
What?!,えっ！　これが？,eh!  This is?,0.3333333333333333
That?,（エリック）人間でも？,or human?,0.25
Oh...,あ… これは？,Oh ... this?,0.5
Tell me if there's anything else you need.,"（アンジェ）
ほかに必要なものがあれば言って",If there is something you need elsewhere,0.3076923076923077
I'll get you anything I can.,可能な範囲で用意するわ,I will prepare in the possible range,0.07692307692307693
Can you get me a person?,"（ちせ）
一緒じゃないと亡命しないと
言いだすのではないか？","If you don't have a exile
Isn't it saying?",0.2
He wants his little sister?,（プリンセス）妹さんも一緒に？,Sister also together?,0.25
It's not like getting opera tickets.,"（ドロシー）
オペラのチケットじゃないんだ",I'm not a ticket for an opera,0.14285714285714285
"You can't just say, ""I'd like to add one more to the party.""","簡単に １人追加ってわけに
いくかよ","Easy to add one person
I'm going",0.18181818181818182
"That's that, then!","（ベアトリス）
じゃあ しかたないですね",Well then she's only,0.25
"Defectors to the West, party of two!","（生徒Ｂ）夜会のお相手？
（生徒Ｃ）やだ〜",The party of the night party?,0.2727272727272727
"What do we do, Ange?",どうするんだよ アンジェ,What do you do is Ange,0.375
What do you suppose they're talking about?,"（生徒Ａ）
何を話してらっしゃるのかしら？",What do you talk about?,0.5
Drug Eric and carry him over the Wall alone.,"（アンジェ）薬で黙らせて
エリックだけ運び出す","Shut up with medicine
Carry out only Eric",0.125
Good idea. We shouldn't take the risk.,"（ドロシー）そうだな
リスクは避けるべきだ","That's right
Risk should be avoided",0.14285714285714285
Are you sure we couldn't let them defect together anyway?,"ねえ それでも 一緒に
亡命させてあげられないかしら？","Hey still together
Could you get a exile?",0.23529411764705882
"Princess, I understand how you feel, but-",プリンセス 気持ちは分かるが…,I know the princess ...,0.18181818181818182
And I'll get more info on Eric.,エリックの裏も取る,Take the back of Eric,0.07692307692307693
We still have four days until Thursday.,"（アンジェ）
木曜まで まだ４日あるわ",There is still 4 days until Thursday,0.36363636363636365
"Thank you, Ange!","（プリンセス）よかった！
ありがとう アンジェ","It was good!
Thank you angee",0.3333333333333333
So Eric's little sister is in the hospital up ahead?,"この先の病院に
妹さんがいるんですか？","To this hospital
Do you have a sister?",0.16666666666666666
Brother?,"（エイミー）お兄ちゃん？
（ベアトリス）あっ…","brother?
 ...",0.6666666666666666
Why didn't you come yesterday?,"（エイミー）
どうして 昨日は来なかったの？",Why didn't yesterday?,0.7142857142857143
Umm... You must be Miss Amy right?,あの… エイミーさんですよね？,"That ... I'm Amy, right?",0.3076923076923077
Who are you?,（エイミー）誰？,Who?,0.5
I came to deliver some flowers from Eric Anderson.,"（ベアトリス）
エリック･アンダーソンさんから
お花のお届けです","From Eric Anderson
It is delivered to flowers",0.38461538461538464
What do you really want?,"（エイミー）フッ なんのつもり？
（ベアトリス）え？","What is it?
?",0.25
Cavorite poisoning?,（エイミー）あんた 一体 誰？,Annual one?,0.2
How dare you use my brother's name to trick me!,"お兄ちゃんの名前なんか使って
最低！","Using your brother's name
Minimum!",0.26666666666666666
My brother is all I have left!,"私には もう
お兄ちゃんしかいないのに！","I already
I have only my brother!",0.5
Get out!,出てけ！,Get out!,1.0
Apparently Miss Amy was in a Cavorite accident.,（ベアトリス）エイミーさん,Amy,0.1111111111111111
And it's going to take \Nrather a lot of money to pay for an operation.,"手術するには
かなりのお金がかかるって","To operate
It takes considerable money",0.15789473684210525
Why don't you go on back without me?,（アンジェ）先に戻ってくれる？,Will you go back?,0.36363636363636365
What are you going to do?,"（ベアトリス）どうしたんです？
黒蜥蜴星に帰るんですか？","What happened?
Do you return to black 蜥 star?",0.4166666666666667
An insurance office?,保険屋さん？,An insurance shop?,0.6
"Yes, Miss.",はい,Yes,0.25
Now I have to forge documents for two people.,"（ドロシー）やれやれ
偽造書類も２人分か",Two forged documents or two people,0.25
Dorothy! What are you writing?,（生徒）ドロシー 何してんの？,What do you do with Dorothy?,0.4444444444444444
We'll pass.,遠慮しとく,Refreshing,0.0
See you at the match next week.,来週の試合 よろしくね,Thank you for the match next week,0.5
That was a bold move.,（ちせ）大胆だな,Bold,0.16666666666666666
It's best not to sneak around with these things.,"（ドロシー）こういうのは
コソコソしないほうがいいんだよ","Such
You should not do it",0.13333333333333333
I see Ange isn't the only one with a knack for lying.,ちせだって嘘をついてる,I'm looking for a lie,0.17647058823529413
So what do you say we try being honest with each other?,"どう？
お互い 正直になるってのは","copper?
What is honest with each other",0.4
"If we stopped lying, we wouldn't be able to stay friends.","嘘をやめたら もう友達では
いられんだろうな","If you quit a lie, friends already
I will come",0.14285714285714285
Is that really friendship?,（ドロシー）それって友達か？,Is it a friend?,0.25
Even parents and children lie to each other.,（ちせ）親子だって嘘をつく,Parents and children lie,0.4444444444444444
Ange?,アンジェ？,Angay?,0.3333333333333333
Your sister's operation. Is that why you're defecting?,"あなたが亡命したいのは
妹さんの手術のため？","What you want to exile
For sister's surgery?",0.2222222222222222
You met Amy.,会ったのか エイミーに,I met or Amy,0.3333333333333333
"Since the accident, it's like she's a different person.","人が変わったみたいに
なってしまって","It looks like a person has changed
It has become",0.25
"Until then, she was a nice girl, always smiling.","それまでは よく笑う
いい子だったんだ","I often laugh until then
I was a good boy",0.25
There's no way I can afford it.,"僕の給料の10年分だ
払えるわけがない","It is 10 years of my salary
I can not pay",0.17647058823529413
"He said that if I defected to the Commonwealth with\N my research, he would give me the money.","研究成果ごと 共和国へ亡命すれば
金をくれるって言ったんだ","Research results If you decade to the Republic
I told you to give money",0.30434782608695654
"The timing is just too perfect, isn't it?",タイミング良すぎだろ？,Is it too good for timing?,0.4166666666666667
"Tell me, Ange.",教えてくれ アンジェ,Tell me Angee,0.3333333333333333
Was my sister really in an accident?,僕の妹は 本当に事故だったのか？,Was my sister really accident?,0.75
so I can't deny that possibility.,"だから その可能性は
否定できないわ","So that possibility is
I can not deny",0.45454545454545453
"Spies aren't champions of justice, after all.",スパイは正義の味方じゃないから,Because spy is not a friend of justice,0.125
I wish you'd tell me it was an accident.,ただの事故だって,It is just an accident,0.23076923076923078
The stars are so beautiful here.,"（エリック）
ここは 星が きれいなんだな",Here is a star of her,0.08333333333333333
Yes.,（アンジェ）ええ,Yeah,0.0
Do you hate me?,"（アンジェ）
ねえ 外に出てみない？",Don't you go outside?,0.375
Why?,（アンジェ）どうして？,Why?,1.0
I betrayed my research team for money.,"研究チームのみんなを裏切って
僕は 金をもらうんだ","Back to everyone in the research team
I get money",0.2857142857142857
You care about your family.,家族は大事でしょ,Family is important,0.125
"I had a family, too.","分かるわ
私にも家族はいたから","I understand
Because there was also a family",0.25
I watched as my parents were murdered.,"（アンジェ）両親が殺されるのを
この目で見たの","Parents are killed
I saw it with this eye",0.13333333333333333
During the London Revolution.,ロンドン革命のときに,When the London revolution,0.5
That's...,それは…,that is…,0.25
"Don't worry. \NI was only seven, but I didn't go hungry.","大丈夫　私は７歳だったけど
食べるものには困らなかったわ","Okay I was 7 years old
I did not get trouble with what I eat",0.125
Because the Intelligence Agency took me in.,諜報(ちょうほう)機関に拾われたから,Because I was picked up by the intelligence,0.23076923076923078
Ange...,あっ… くっ,Oh ...,0.3333333333333333
No.,いや なんでもない,No way,0.3333333333333333
Eric.,"（アンジェ）エリック
（エリック）ん？","Eric
?",0.3333333333333333
We'll be taking you over the Wall next Thursday.,壁越えは 次の木曜日に決行するわ,The wall is decided on the next Thursday,0.2857142857142857
Good night.,おやすみ,Good night,0.6666666666666666
The man being kept at Mayfaire has revealed his true colors.,"メイフェア校に保護した男が
シッポを出した","A man who protected at Mayfair school
I put out a sippo",0.09523809523809523
Switch to Plan B.,本作戦は プランＢへ変更する,Change this work to plan B,0.375
