en_text,jp_text,google_translated,score,semantic_score
Dreadful...,（女Ａ）まあ 怖い,Well scary,0.0,0.33909348
What is that?,"（男）なんだ あれ？
日本人だって？","What is it?
Is it a Japanese?",0.42857142857142855,0.2558605
"You mean that country in Asia? Where they do that ""harakiri""?","（女Ｂ）
アジアの国よね ハラキリとか",Asian Country Your Harakiri,0.13333333333333333,0.8282495
"I'm pleased to meet you, Lord Horikawa.","（プリンセス）
はじめまして 堀河(ほりかわ)公",Nice to meet you Horikawa,0.3636363636363637,0.87801933
Welcome to the Kingdom of Albion.,ようこそ アルビオン王国へ,Welcome to the Kingdom of Albion,0.8571428571428571,0.98313665
"It basically means our ""princess of air""","うちらの空気姫で十分
ってことだよな","Underwearly the air princess
That's why",0.14285714285714285,0.56992894
I doubt the Crown is unaware of the assassination attempts.,（７(セブン)）暗殺の首謀者は 藤堂十兵衛(とうどうじゅうべえ),) The commitee of assassination is Fujodo Ryei,0.2857142857142857,0.41249308
It was in a European military report.,"（７）欧州から派遣された
軍事顧問の報告です","Dispatched from Europe
It is a report of military adviser",0.2857142857142857,0.73109734
"During the Boshin War, \Nhe boarded an ironclad ship and sank it unaided.","たった１人で
装甲艦に乗り込み 撃沈せしめたと","It is only one person
When I got into an armored ship and shoot",0.16,0.3313195
I would hate for her to get caught up in an assassination plot.,"せっかく引き入れたプリンセスが
暗殺騒ぎに巻き込まれたら","The princess who pulled out
If you get caught up in the assassination",0.2380952380952381,0.54750645
That is what our Principal is for.,そのためのプリンシパルだ,It is a principal for that,0.4444444444444444,0.8464869
"It will take us to London. This way, please.",ロンドンへは こちらでどうぞ,Click here to London,0.15384615384615385,0.63698095
"All this, for us. We are deeply in your debt.","我らのために わざわざ
かたじけない","For us
Untouched",0.15384615384615385,0.35324138
"Er, yes...",え… ええ,E ... yeah,0.16666666666666666,0.545335
These Japanese people are peculiar.,"日本人も 黒蜥蜴(くろとかげ)星人には
言われたくないだろうけどな","Japanese people and Kuroho  Alien
I do not want to say",0.13333333333333333,0.7008813
"I understand you came here\Nto revise the treaty, Lord Horikawa?","条約を改定するために
いらっしゃったのですね","To revise the treaty
You were asked",0.26666666666666666,0.66977084
The current terms are far too one-sided.,現在の条約は あまりに不平等,Current treaty is too unequaled,0.18181818181818185,0.44806856
"Of course, this is a result of our own ignorance.","もちろん かつての
我らの無知が招いたこと","Of course
What we invited our ignorance",0.2857142857142857,0.6373016
However...,あっ ああ… そうだな,Oh yeah ... that's right,0.14285714285714285,0.25013143
"Horikawa-sama, this is not the place.",（大島(おおしま)）堀河様 ここで その話は,) Horikawa Here Here is the story,0.16666666666666666,0.7050914
"I have no authority over it myself,","私には
なんの決定権もありませんが","To me
I have no decision right",0.25,0.29637682
but I can promise you a meeting with my Grandmother.,"おばあ様に お引き合わせすると
約束しましょう","If you put it on your grandmother
Let's promise",0.16666666666666666,0.5633552
Oh!,おお！,Oh!,1.0,1.0000006
"Please, you mustn't!",（プリンセス）やめてください,Please stop,0.14285714285714285,0.44897166
It's nothing...,そんな…,Such ...,0.2,0.35099414
Someone's here.,あっ 誰か来た,Someone came,0.2,0.53807276
Are you Todo Jubei?,あなたが 藤堂十兵衛さん？,Are you Todo Tosho?,0.6666666666666666,0.62400615
I didn't expect you to be a woman.,女とは思わなかったけど,I did not think of a woman,0.3076923076923077,0.63600767
Two handguns.,（ちせ）拳銃が二丁,Handgun is two,0.2,0.83161116
At your bosom and behind your waist.,懐と 腰の後ろ,Back behind my nostalgic and waist,0.3,0.55010974
And your left shoe...,それと 左の靴,And the shoes on the left,0.25,0.6440977
You have something hidden there.,何か仕込んでいるな,Do not put something,0.1111111111111111,0.2547212
That's a legendary killer for you.,さすが伝説の殺し屋だな,It is a legendary killer,0.3,0.7691222
Dorothy!,ドロシー！,Dorothy!,1.0,1.0
The world is truly vast.,（ちせ）世界は広い,The world is wide,0.42857142857142855,0.7455335
To think I would find such martial skill in the West.,"これほどの体術を持つ者が
西洋におろうとは","Those who have such a body
If you are in the West",0.2,0.35134712
"You impress me, too. \NSo the story about you killing 100 men was hardly fake.","そちらも 100人斬りは
フェイクではなさそうね","There is also 100 people
It looks like a fake",0.08333333333333333,0.40971407
Stop!,（大島）待たれい！,waiting!,0.3333333333333333,0.4961925
She is not the assassin!,その者は暗殺者にあらず,The person is not an assassin,0.5,0.7730887
She's not our enemy?,敵じゃないのか？,Isn't it an enemy?,0.2,0.6472362
You know why I'm here!,１人で帰すわけにもいくまい,I'm sorry I'm going back with one person,0.15384615384615385,0.20843214
That is why,そのために,for that reason,0.2,0.6527465
I have come to this distant foreign land.,"私は はるばる この異国の地まで
やってきたのだ","I am far to this different country
I've done it",0.1875,0.616006
"For the time being, \NI will allow you to accompany me as far as London.","とりあえず
ロンドンまでの同道を許そう","for now
I would like to allow the same road to London",0.2272727272727273,0.65493965
"Thank you, My Lord.",（ちせ）ありがとうございます,Thank you very much,0.25,0.34000775
I know Todo Jubei better than any of your samurai.,"（ちせ）私は ほかのどの侍より
藤堂十兵衛を知っています","I like any other
I know Tsudo Todo",0.2857142857142857,0.42103332
"Yes, but...",（大島）しかし…,But ...,0.5,0.7075006
I'm against it.,連れていくだけだ,I just take it,0.2857142857142857,0.21079592
"With Princess on-board,",プリンセスが乗る車両に,For vehicles on which Princess gets,0.1111111111111111,0.5715424
I cannot allow any dubious characters to ride this train.,"身元の不確かな人物を
乗せるわけにいかないわ","An uncertainty person of the body
I can not get rid of it",0.14285714285714285,0.20679654
You question my intent?,私を疑っているのか？,Do you suspect me?,0.25,0.29443103
You are a stowaway.,ちせ殿 刀を収められよ,You can get a chisel,0.25,0.11658401
Then allow me to prove my trustworthiness.,証明しよう,Prove,0.125,0.25618833
"Stop it, both of you.",やめろ お前ら,Please stop,0.125,0.45920762
Ange.,アンジェ,Angee,0.0,0.83294016
I want you to be Miss Chise's buddy.,"あなたは
ちせさんとバディを組みなさい","you
Let's combine Buddy with Chisetsu",0.21428571428571427,0.552992
What?,私が この女と？,What is this woman?,0.4,0.10147706
Buddy?...,バディ… バディ？,Buddy ... Buddy?,1.0,0.8527617
"It means ""partner.""",相棒ということだ,It is a partner,0.25,0.7071643
"Princess,",プリンセス 笑えない冗談です,Princess I can not laugh,0.16666666666666666,0.5878909
"If this girl is dangerous,","（プリンセス）その方が
危険だというなら なおさら",If it is dangerous,0.42857142857142855,0.6045423
There's a platoon of 50 \Nrailroad security guards riding in Car 5 and the caboose.,"５両目と最後尾には
鉄道警備小隊50名が乗ってる","5 eyes and the last tail
The railway security platoon 50 people are riding",0.3043478260869565,0.6966841
Have you fought him?,"（アンジェ）
十兵衛と戦ったことがあるの？",Have you ever fought for crave welcome?,0.4444444444444444,0.38853413
Many times.,何度も,Many times,0.6666666666666666,0.8978288
Why did you fight him?,戦った理由は？,Why did you fight?,0.8333333333333334,0.8839536
Was it a matter of principle?,主義主張？,Is it a principle claim?,0.4444444444444444,0.67045957
Is this an interrogation?,これは尋問か？,Is this an interrogation?,1.0,1.0000002
We're buddies. We need to get to know each other.,"バディなら
互いを知る必要があるでしょ？","If it is a buddy
You need to know each other?",0.29411764705882354,0.73341167
I like pickles.,好きなものは漬物,My favorite thing is pickles,0.125,0.89478546
Ange. Age 17.,アンジェ 17歳,Angers 17 years old,0.14285714285714285,0.40180793
I come from the Black Lizard Planet.,出身は黒蜥蜴星,I'm from Kuroi Star,0.18181818181818185,0.37696174
I see! That's how you learned those martial arts.,なるほど,So that's it,0.14285714285714285,0.12914854
"Princess Kaguya, too, came from the Moon.","（ちせ）かぐや姫も
月から来た女であった","Kaguya Princess
It was a woman who came from the moon",0.42857142857142855,0.9163295
Close to the gods?,（ちせ）山に川に,From the mountain to the mountain,0.2857142857142857,0.2939013
This is the only stop before we get to London.,"ロンドンまで
停車駅は ここ１つだけよ","To London
Only one stop station",0.3076923076923077,0.697995
"Which is to say, if he were to attack, he would do it here.","（ちせ）仕掛けてくるとすれば
ここというわけか","If you set up
Is it here?",0.2222222222222222,0.114258535
Don't cry.,泣くな,Do not cry,0.4,0.81062984
I will take the pain away.,痛いの 痛いの 飛んでけ〜,Flying painful pain ~,0.1,0.49074978
fly away!,（子供）エ〜ン！,E-N!,0.25,0.33472967
Better?,どうだ？,How is it?,0.2,0.28634822
Uh-huh. I'm all right.,かつて 私も よくやってもらった,Once I got well,0.1111111111111111,0.13198781
What did you do?,何をしたの？,what did you do?,1.0,0.9999999
He cast it for me many times in the past.,父上直伝の東洋のまじないだ,It's just the oriental of the father,0.125,0.05619356
I have no interest in that eastern island nation.,"（ノルマンディー公）
東洋の島国に興味はない",I'm not interested in the oriental island country,0.1875,0.75062406
I only hope he gets that woman\Ncaught up in an assassination plot.,"（ノルマンディー公）暗殺騒ぎに
あの女を巻き込んでくれれば","To assassination
If you involve that woman",0.1111111111111111,0.54849267
"She may be only a figurehead,\Nbut she's fourth in line to the throne.",お飾りとはいえ 王位継承権は４位,"However, although it is a decoration, the throne right is 4th place",0.16666666666666666,0.5196279
We can't be sure someone won't move her ahead.,必ず来る,Be sure,0.18181818181818185,0.30097544
So he didn't come after us at Maidstone Station.,"結局 メードストン駅での襲撃は
ありませんでしたね","After all attack at Meaduston Station
There was no",0.17647058823529413,0.3391199
"Even the fearsome Jubei \Nis out of his element in a foreign nation, it seems.","さしもの十兵衛も
異国では勝手が違ったようですな","Sashi Toshino also
It seems that the selfish was different in foreign countries",0.2,0.37972853
Jubei isn't such a simple opponent.,十兵衛は そんな簡単な敵ではない,Caisuke is not such a simple enemy,0.3636363636363637,0.4929015
Why are you so obsessed with him?,なぜ そんなに十兵衛のことを？,Why don't you like that?,0.25,0.30449322
killed my father.,（ちせ）十兵衛は私の父を殺した,Tenju killed my father,0.6,0.59131366
