en_text,jp_text,google_translated,score
What? i told you not to talk to me  too much at school.,何ですか？ 学校では あまり接触し過ぎないように…,What is it?In school she does not get too much contact ...,0.2727272727272727
This is the second time.,えっ？ ２度目ですよね,eh?It is the second time,0.4444444444444444
"Before school started, you asked once, so you could formally quit your job.",学校に通い始める前に １度,One time before starting to school,0.1111111111111111
What's it for this time?,今度は何の用ですか？,What is this time?,0.5
I want to visit a grave.,墓参りに 行きたい あっ,I want to go to the grave,0.4444444444444444
I know you've done your homework.,調べたんだから 知ってるだろ？,You know because I checked it?,0.25
"You know about my senpai  at that company, right?",会社員時代の 先輩のこと,The senior of the company employee age,0.0625
This Monday...,今度の月曜—,Now Monday-,0.0
...is the anniversary of her death.,命日なんだ,It is a life day,0.08333333333333333
A Trip to the Past you can't go looking like this?,今の姿じゃいけないんですか？,Aren't you now?,0.2
And risk running into someone else  who worked with us?,万一 会社の誰かに 鉢合わせたら まずいだろ,It is bad if you put someone in someone in the company,0.05
Not that any of them will show up.,まあ 会社の連中なんて 来ねえと思うけど,Well I think that there is a party of the company,0.1111111111111111
We're worried about it.,こちらとしては 心配なんです,I'm worried about here,0.2222222222222222
Worried you might impulsively follow her.,衝動的に佐伯さんの後を 追ったりしないか,Do not follow up after Mr. Saeki,0.07692307692307693
Or not be able to control yourself  if a coworker shows up.,もし 同僚に鉢合わせした場合 冷静でいられるのか,If it is calm if you combine colleagues?,0.05
Th-That was last year!,きょ 去年の話だろ 全然平気だよ,It's a story of last year at all,0.16666666666666666
What's wrong?,どうしました？ 顔色が悪いようですが,What's wrong?It seems that the color is bad,0.36363636363636365
But you're doing better than you were  right after you resigned. you couldn't even tighten a necktie then.,ネクタイも締められなかった頃に 比べれば 回復してるみたいですが,It seems that it seems to be recovered compared to when it was not tightened,0.0
"You know about that, too?",そんなことまで 知ってんだな,I know such a thing,0.09090909090909091
"You can visit the grave, and I'll get you the medicine, but only if I can come with.",お墓参りと 薬の件 僕も同行なら 許可します,"Tomb and medicine, I will allow me to be accompanied by",0.16
Writing a medicine request for Kaizaki-san and myself.,海崎さんと俺の分の薬剤申請書,Mr. Marizaki and my medicine application form,0.14285714285714285
I can tell that much!,そんなの見れば分かります,You can see if you look like that,0.18181818181818182
I wanna know why!,何で ってところを 聞いてるんです,I'm listening to what,0.1
"If memory serves, it's dangerous  for him to go alone.",あっ 確かに１人で行かせるのは…,It is certainly going to go alone ...,0.23529411764705882
"I could totally go like this, though!",ん… 別に このままの姿でも いいと思うんですけど,... I think it is good for this as it is,0.125
Two grown men and a high school girl?,大人の男２人と女子高生？,A high school girl with two adult men?,0.6363636363636364
"No, thanks. I don't want the police questioning me.",やだよ俺 職質されたくない,Yada I do not want to be a job,0.16666666666666666
"But sorry, Onoya.",でもごめん 小野屋 ん？,But I'm sorry Ono Ono?,0.2222222222222222
What's up with that suit?,どうしたんですか？ そのスーツ,What happened?That suit,0.5
How'd you know it was a suit?,よく分かったね スーツだって,I understand well,0.0
Oh. I'm sorry.,そうですか それはすみません,"That's right, I'm sorry",0.3333333333333333
I shouldn't have pried.,立ち入ったことを聞きました,I heard that I entered,0.1111111111111111
It's not often that you start a conversation.,日代さんから 声かけてくれるなんて—,I can speak from Mr. Hiki-,0.0
This medicine...,この薬 飲んで１時間もすれば—,If you drink this medicine for one hour,0.2222222222222222
"Should we spend the hour together,  fighting off the drowsiness side effect?",どうします？ １時間どつきあって 副作用の 眠気に耐えますか？,What do you do?Do you have one hour and endure your side effects sleepiness?,0.13043478260869565
Fair enough.,そうですね,is that so,0.0
"Meanwhile, I'm the type  to sleep through alarms,",ええ 僕 アラームとか 聞こえないほうなので—,Yeah I can not hear me an alarm-,0.058823529411764705
so wake me up if I do.,もし 起きなかったら 起こしてくださいね,"If you do not get up, please",0.23076923076923078
What? You sleep through alarms?,いやいや 何？ アラーム聞こえないほうって,"No, what?I can not hear alarm",0.15384615384615385
How do you ever feel rested?,武士かよ！ そんなんじゃ 疲れ取れねえだろう,Samurai!That's why I can get tired,0.0
"I mean, you've gotta do your job  on top of going to school.",ただでさえ 毎日 学校で それプラス 仕事もあるだろうに,"Even if it is a school, there will be a job at school every day",0.10714285714285714
You're even worrying about me!,海崎さんが 僕の心配をしてくださるなんて,Mr. Marisaki is worrying about me,0.3
You should really get a girlfriend  who'll wake you up.,早く 朝 起こしてくれるような 彼女でも探したら？ 杏とか,"If you are looking for a while in the morning, do they also look for?Apartment",0.07692307692307693
"Oh, please!",勘弁してくださいよ,Please forgive me,0.16666666666666666
I feel tired just thinking about  her waking me up!,小野屋に起こされるとか 想像しただけで 疲れてきます,I'm getting tired just because I imagined or imagined,0.1875
See you in an hour.,ああ また１時間後な,After another hour later,0.1111111111111111
"Yoake-san, it's time!",夜明さん 時間！ んん…,Dishi-san!...,0.125
"Sleepy, my foot! Get up!",眠いじゃねえよ 起きろ！,I'm not sleepy!,0.2
It's been four months since  we met each other as adults.,４か月ぶりですね こうして大人の姿で会うのは,It is for the first time in four months,0.15789473684210525
A third of the way through.,もう ３分の１が終わったのか…,More than one-quarter is over ...,0.0
Did you just look sad because you were  imagining this experiment ending?,あ 今ちょっと実験終了の 日を思って しんみりしました？,"Oh, did you think about the day of the end of the experiment?",0.2
I'm fine. Shut up.,大丈夫だよ うるせえな,It's okay,0.0
to,あの… ホントに大丈夫ですか？,That ... really okay?,0.0
"Shut up, you tactless bastard!",うるせえな！ 情緒のないやつめ 黙ってろ！,Uruse!Sushi silent without emotions!,0.08333333333333333
Where should we get lunch?,お昼 どこで食べようか？,Where do you eat lunch?,0.3333333333333333
This was your first big sale!,今日は 海崎君の 初めての お手柄だったから—,Today was the first hand of Kiisaki-kun-,0.16666666666666666
"I was a new hire, and she was my trainer.",新人の俺の教育係となった—,It became my educational staff of newcomers-,0.058823529411764705
She had the best sales  record of any employee.,営業成績トップの 女性社員,Operating Results Top Female Employees,0.0
At first I was surprised to be working under a woman in sales.,営業職で 女性の下につくなんて と思ったけど—,I thought that I had a woman under a sales position-,0.2777777777777778
But Saiki Michiru-senpai was super friendly.,佐伯みちる先輩は 気さくな人だった,Saiki Machi-san was a friendly person,0.3
"Daily overtime, hard work,  and wages that in no way justified it.",毎日の残業 激務 それに見合わない 安月給,Daily overtime work hard work I can not meet it,0.2777777777777778
The mood was always tense.,ギスギスした社内の空気,Gisgis-in-house air,0.0
The job I'd struggled to find,俺が やっとの思いで 入った会社は—,The company who finally got into,0.08333333333333333
was at one of those black companies.,いわゆる ブラックだったと思う,I think it was a so-called black,0.15384615384615385
What? Running out of steam?,どした？ そろそろバテたか？,Did you do?Was it a while?,0.07692307692307693
She was strong and kind.,強くて 優しくて—,Strong and gentle-,0.2857142857142857
"I admired her, and she kept me going.",俺の憧れで 支えだった,It was supported by my yearning,0.0
Someone must've sabotaged you!,誰かに やられたんじゃ…,I was killed by someone ...,0.09090909090909091
A lot of people don't like me just because I'm a woman.,女ってだけで やっぱ いい顔されないことも 多くてさ,There are also many things that are not good face,0.0
"If you won't say anything, I will!",先輩が言わないなら 俺がみんなに言います,"If you don't say your seniors, I will tell everyone",0.4666666666666667
"You're absolutely right,  and I'm glad you feel that way.",海崎君は正しいし 気持ちは うれしいんだけど—,Kaisaki is right and I'm glad I feel good-,0.375
But I want you to stay out of it.,あまり踏み込まないでほしいかな,I do not want to go out very much,0.26666666666666666
I heard what she said.,先輩はそう言ったけど—,Seniors said so-,0.125
But I couldn't stand it.,俺はやっぱり 許せなかった,I was not allowed to forgive,0.08333333333333333
