en_text,jp_text,google_translated,score,semantic_score
Do you hate me now?,"ねえ 私のこと嫌いなの？
寂しいのよ 私","Hey I hate me?
I miss me",0.3333333333333333,0.7213806
"Oh, please...\NLet me hear your voice.","ねえ お願い
あなたの声 聞かせて","Hey request
Let me hear your voice",0.3076923076923077,0.66434735
- You still look sleepy.\N- What's wrong?,（鳳(おおとり) 暁生(あきお)）どれどれ？,Which one? Which?,0.09090909090909093,0.06276717
Good morning.,おはよう,good morning,0.6666666666666666,0.9375631
You look good in an apron.,似合いますね エプロン,It looks good apron,0.2222222222222222,0.7802507
"I hope you're not teasing me.\NHere, take this.",（暁生）冷やかさないでほしいな,I want you to cool,0.14285714285714285,0.28025457
Sure.,"（暁生）これ運んで
（ウテナ）はい",Yes,0.0,0.5027838
"So, did you sleep well?",よく眠れましたか？,did you sleep well?,0.7142857142857143,0.95033926
I'm glad to hear that.,"（ウテナ）へえ
暁生さんて料理上手なんだ",I'm a good-looking guy,0.2,0.23620307
That jam is made from\nrose hips Anthy raised...,"そのジャムは
アンシーが育てた薔薇(ばら)の実を","The jam is
The fruit of the rose  raised by Anty",0.2,0.66961515
which are then stewed\nwith brandy and sugar.,"ブランデーと砂糖で
煮込んで作ったんだよ","Brandy and sugar
I made it boiled",0.25,0.67847764
"Wow... You're a really\ngreat cook, Akio.","（暁生）アハハハ…
愉快だね 二人とも","Ahahaha ...
It's fun.",0.14285714285714285,0.21699382
"Why, thank you.",（アンシー）どうもどうも,Thank you very much,0.2857142857142857,0.31728452
Really?,（ウテナ）あれっ 僕もですか？,Are you so?,0.2,0.32872587
Nanami!,（ウテナ）七実！,7th!,0.3333333333333333,0.30206236
"Well, you don't have to be\nso violent about it!","だからって
乱暴なことしなくてもいいだろ","Because
You don't have to be violent",0.42857142857142855,0.70976406
What?!,何よ！,What!,0.6666666666666666,0.82940304
Apologize to\NAkio and Himemiya!,暁生さんと姫宮に謝れ！,I apologize to Mr. Himeshi and Himesumiya!,0.3,0.74281305
Are you really that stupid?!\NDon't you know what's going on?!,"あんたばかじゃないの？
何も知らないくせして！","Aren't you stupid?
Do not know anything!",0.4117647058823529,0.6043926
The trouble with her brother.,きょうだいのことで,By the way,0.125,0.14307976
I'm sorry.,（ウテナ）ごめんなさい,I'm sorry,0.75,0.8993135
"So, how're your new\nliving arrangements?",（薫）あれ？ そうなのかい？,?Is it so?,0.2,0.09023186
It's one thing after another...,ほんとにおいしいのにね,It's really delicious,0.2222222222222222,0.16148326
"Oh, really?",あらそう,Oh yeah,0.2,0.5791833
It's awful! I don't want to\nstay another second!,最低よ １秒もいたくないって感じ,It feels like I do not want to have a minimum of 1 second,0.25,0.32674092
Wanna trade with me?,（薫）ええっ？,yeah?,0.14285714285714285,0.26961315
Can I do it?!,（薫）い… いいの？,... Is it okay?,0.2222222222222222,0.30728465
"If you're okay with it,\NI'll agree to it, too.","そうすれば あんたも憧れの
姫君と一つ屋根の下で暮らせるし","If you do so, it's too longing
Princess and live under one roof",0.21739130434782608,0.24854393
"Oh, but what\nwould I tell Kozue?",ああ でも梢(こずえ)が何て言うかな,"Oh, what is the treeto  say?",0.2307692307692308,0.3359023
I was kidding.,"あいつに 頭から
バリバリ食べられちゃうわよ","From my head
I'm eating bali",0.1,0.083117366
A nice guy like you would\nbe eaten alive by that bunch...,"（七実）
あんたみたいなお人よし",People like a person,0.14285714285714285,0.3417295
It feels like I have\nnowhere left to go...,"結局 私がいる場所なんて
どこにもないって感じ","After all, there is a place where I have
It feels like everywhere",0.21052631578947367,0.41454616
Because I love you!,"（七実）私 好きなんだから
お兄様のことが好きなんだから！","I like me
Because I like my brother!",0.3333333333333333,0.3493949
I was so stupid!\NHow can I face Big Brother now?,"いまさらどんな顔して
お兄様に会うっていうのよ","Now that I have a face
I will meet my brother",0.2222222222222222,0.5230906
"We should live to help\neach other, shouldn't we?","お互い助け合って
生きていくべきじゃないのか","Help each other
I should not live",0.2307692307692308,0.5763712
What is it?,（苑田(そのだ)茎子(けいこ)）何ですか？,stem ) What is it?,0.6666666666666666,0.32001796
There's no one.,（桐生）誰もいないさ,There is no one,0.5,0.8492228
"Besides, we're not doing anything\nother people shouldn't see.","それに 人の目を
気にすることなんかないだろ？","And the eyes of people
You won't mind?",0.1,0.37907246
"Well, if your sister spotted us\ntogether, she'd kill me.","（茎子）もう… こんなところ
あなたの妹に見られたら","already ... such place
If you are seen in your sister",0.15,0.6437906
I have no sister.,（桐生）俺に妹なんていないぜ,I have no sister to me,0.5714285714285714,0.928323
Huh? But...,（茎子）えっ？ だって,?Because,0.2,0.36057284
We're not related by blood.,（桐生）血は つながっていない,blood is not connected,0.2222222222222222,0.5344269
I'm surprised.,（茎子）驚いた,I was surprised,0.4,0.6830591
My father ordered me to do it.,妹と思って大切にしてくれって,I think it's my sister and cherish it,0.14285714285714285,0.18159981
You're a scary man...,（茎子）怖い人,scary person,0.14285714285714285,0.50282687
So cold-blooded.,あんな ありきたりでつまらない女,A woman who is so boring,0.125,0.20087524
And what will you do now?,（桐生）だったらどうする？,What if it was ?,0.2,0.2585141
I have no sympathy at all!,同情なんか してやらない,I do not do sympathy,0.2222222222222222,0.7325457
Keiko...!,茎子…,Stem ...,0.25,0.21112013
Huh?,（アンシー）あらっ？,?,0.5,0.66354746
What's wrong?,どうしたの？,What's wrong?,1.0,1.0000001
"I'll never, ever forgive you!",あんただけは許さないわよ,I can not forgive only,0.18181818181818185,0.65395933
