en_text,jp_text,google_translated,score,semantic_score
This is bad!,まっ アキちゃんも発作起こしたりして 相当まずかったけどね,Maco-chan also seizures and was quite quite quite,0.0,0.059283588
I'm telling you it's bad!,まっ アキちゃんも発作起こしたりして 相当まずかったけどね,Maco-chan also seizures and was quite quite quite,0.0,0.057060696
Subaru hasn't come to school since then!,まっ アキちゃんも発作起こしたりして 相当まずかったけどね,Maco-chan also seizures and was quite quite quite,0.0,0.051852584
That doesn't matter now! Subaru's what matters!,こうなったら 昴の家に乗り込むしかない,"If this happens, I can only get into the house",0.0,0.07935641
"Now that it's come to this,",やめなよ アキちゃん,Don't stop Aki-chan,0.0,0.14802131
"we've got no choice but to sneak into his house! cut it out, aki.",誰もが夢を持ち続けられるわけじゃない,Everyone can not keep their dreams,0.0,0.17346118
Not everyone can continue having great dreams like you.,それはアキちゃんも知ってるでしょ,I also know Aki-chan,0.0,0.056322947
"Wait for me, Rosetta! Our dream will last forever!",待ってろロゼッタ 夢は永遠に続くんだ,Wait Rosetta Dreams forever,0.25,0.84614587
The Gunvarrel anime?,『ガンヴァレル』のアニメ？,"Anime of ""Ganvarel""?",0.25,0.6808282
Thanks you very much!,あき穂ちゃんが貸してくれたから 全１５５話,Akiho-chan lent all 155 episodes,0.0,0.06380971
Though I'm still just at episode 7.,今は まだ７話だけど,I'm still 7 episodes now,0.3636363636363637,0.80182004
There's still a lot ahead.,まだまだ 先は長いね,It is still long ahead,0.2,0.77022886
"Well, it's quite fun, and the last  episode's kinda an urban legend,",でも 結構 面白いよ,But it is quite interesting,0.1176470588235294,0.36214095
so I've wanted to watch it all for a while now.,一度全部見なきゃって思ってたし,I thought I had to see everything once,0.1111111111111111,0.42188752
That mysterious last episode that never aired?,放送中止になった幻の最終話ってやつ？,The final story of the vision that has been discontinued?,0.13333333333333333,0.24670666
"You really like urban legends, don't you?",ホント都市伝説が好きだよね,I like the true urban legend,0.15384615384615385,0.709822
"Ah, by the way, remember when PokeComs were freezing all at once?",あっそういえば この前のポケコンが一斉にフリーズするって話,"Speaking, for example, the previous Pokon will freeze all at once",0.2380952380952381,0.5149015
"I looked into it, and stuff like that's happened before.",他にも 似たような現象が起きてないか調べてみたんだ,I checked that no other phenomenon has occurred,0.10526315789473684,0.46358934
Apparently it's happened quite a few times before.,そしたら 過去にも結構あって,Then there is a lot in the past,0.05882352941176471,0.29588377
Stuff like millions of people getting emails at the same time.,例えば 何百万人のポケコンに一斉にメールが届くって現象とか,"For example, a phenomenon that mail will be delivered to millions of pocket computers",0.08,0.5945804
And the content of that mail was quite scary too.,そのメールの内容っていうのがね ちょっと怖くて,It is a little scary like the content of the email,0.2352941176470588,0.7547375
Scary?,怖いって？,Are you scared?,0.2,0.6388239
"It was the lyrics of ""Kagome Kagome.""",『かごめかごめ』の歌詞だったの,"It was the lyrics of ""Kagome Kagome""",0.8888888888888888,0.9926768
"Yashio, you should tell me when you're gonna help me hunt cheaters down.",八汐先輩は いつチーター狩りしてくれるのか教えてくれるべき,Hakuten seniors should be taught when they hunt cheetah,0.14285714285714285,0.32027835
that could make glasses guys cry out in joy!,メガネ男子をヒィヒィ言わせるみたいに ゲームすればいいじゃない,It would not be good if you look like a male of glasses,0.045454545454545456,0.5619233
Would you like something to drink?,先輩 な…何か飲む？,Senior ... Do you drink something?,0.4,0.5853631
Do you have anything warm?,あったかい飲み物,A lot of drink,0.0,0.1579479
You call me here then this is what I get?,人のこと呼び出しといて それ？,Is it called a person?,0.13333333333333333,0.2881036
"Well, I've got time on my hands now that we can't go to the Robo-One after all.",まあ ＲＯＢＯ－ＯＮＥの出場はなくなりそうだし,"Well, it seems that there is no participation of Robo-One",0.14285714285714285,0.67601055
Those top five on the leaderboard...,リ…リーダーボードの上位５人いるっしょ,Ren ... there are 5 leader boards,0.07692307692307693,0.64182144
Until last month I thought they were all cheaters.,わた…私 先月までこの５人チーターだと思ってた件,... I thought it was a five-person cheetah until last month,0.3125,0.24900092
I'm not one at least.,少なくとも 俺は違う,At least I am different,0.3333333333333333,0.5069738
"Neither is the fourth, Tagiri.",あと ４位のタジリンもチーターじゃない,The fourth place Tagirin is not a cheetah,0.25,0.6462384
During fights they use tricks that are clearly superhuman.,対戦中に明らかに人間業じゃない動きをすることがあるんだ,It is clear that it is not a human business clearly during the match,0.15789473684210525,0.24853525
So how do you hunt them down?,で どうやって狩るわけ？,How do you hunt in?,0.5555555555555556,0.72305113
You should just fight them.,せ…先輩は 単に相手と対戦すればいい,Let's make my seniors just against the other person,0.06666666666666668,0.39153257
I made a tool that detects cheating.,チートを判別する解析ツールを作った,I made an analysis tool to determine the cheat,0.21428571428571427,0.70286435
I'll run it while you're fighting.,対戦中 それを走らせる,Run it during the battle,0.16666666666666666,0.64871174
