en_text,jp_text,google_translated,score,semantic_score
"And again, Class 2 comes from behind!","（アース）あ～っと！
またもここで２組が逆転！","Oh!
See you again here in two pairs!",0.125,0.24789491
Who could've imagined this turn of \Nevents at this year's magic competition?!,"今年の魔術競技祭 誰が
この展開を予想できたでしょうか","Who this year's magic competition festival
Have you expected this deployment?",0.35,0.64767104
"This year's dark horse,",まさに今年のダークホース,Easy this year's dark hose,0.5,0.51295704
"Glenn-sensei's Class 2-2, \Nwon't stop climbing the ranks!","グレン先生率いる ２年２組の
快進撃は止まらない～！","Glen teacher 2 years two years of
I will not stop the commitment!",0.13636363636363635,0.24011455
"He left without saying a word,",こんな所にいたとはな,I have been in such a place,0.07692307692307693,0.029184924
"What are you doing, Albert?",何をするの？ アルベルト,What are you doing?Albert,0.8571428571428571,0.9619767
To go settle the score with Glenn.,（リィエル）グレンと決着をつけに行く,Go to Glen and December,0.18181818181818185,0.28116846
Ow.,うっ 痛い…,It hurts ...,0.0,0.21553694
"Don't you want to see Glenn, Albert?","アルベルトはグレンに
会いたくないの？","Albert is Glen
Do you not want to meet?",0.42857142857142855,0.77974844
"There's plenty I want to say to that man,","あの男には
言いたい事が山ほどある","That man
There is a lot of things I want to say",0.4666666666666667,0.70440227
Mission?,（リィエル）任務？,mission?,1.0,0.9999999
"with protecting Her Majesty, the Queen.","女王陛下の護衛を務める
王室親衛隊の監視だ","Success at the Queen Majesty
It is monitoring of the royal troops",0.1875,0.63900363
Why?,"（リィエル）なぜ？
彼らは私たちの仲間","Why?
They are our fellow",0.3333333333333333,0.31372166
Guess I'll stave off my hunger \Nwith another shirotte sprig.,"また シロッテの枝で
飢えをしのぐか…","Also at the branch of Shirotte
Do not hunger ...",0.1,0.6564811
"U-Um, Sensei?","（リン）あ あの… 先生
（グレン）ああ？","Ah ... teacher
 Oh?",0.125,0.17640628
"What is it, Lynn?","（グレン）
どうした リン 金以外の事なら
大体 相談に乗ってやるぞ","What is a thing other than Lille
I will take a lot of consultation",0.1176470588235294,0.26811707
Could I switch with someone else?,"（リン）あの… 午後の私の出番
誰かと代えてもらえませんか？","That ... my turn of the afternoon
Could you replace someone?",0.1875,0.30329284
Yes.,（リン）はい,Yes,0.5,0.83685523
"I've practiced the Self Illusion \Nspell the best I could,","“セルフ･イリュージョン”の魔術
一生懸命練習してきたんですけど","""Self Illusion"" magic
I practiced hard work",0.26666666666666666,0.7769084
But what do you want to do?,"お前はどうしたいんだ？
（リン）え？","What do you want?
?",0.7142857142857143,0.48230895
"Y-Yes, I do.",で 代えてくれないかと,May I repeat me,0.125,0.1980769
